Date,Close,Open,High,Low,Volume
2020-05-06,32100.0,34200.0,34200.0,32100.0,30.0
2020-05-05,32100.0,32100.0,32100.0,32100.0,0.0
2020-05-04,34100.0,34000.0,34100.0,34000.0,640.0
2020-04-29,32000.0,32000.0,32000.0,32000.0,0.0
2020-04-28,32000.0,32000.0,32000.0,32000.0,0.0
2020-04-27,32000.0,31550.0,32000.0,31550.0,290.0
2020-04-24,31350.0,33000.0,33300.0,31350.0,240.0
2020-04-23,31200.0,31200.0,31200.0,31200.0,10.0
2020-04-22,32000.0,32000.0,32000.0,32000.0,250.0
2020-04-21,32000.0,35400.0,35400.0,32000.0,190.0
2020-04-20,33200.0,33200.0,33200.0,31100.0,260.0
2020-04-17,31050.0,31050.0,31050.0,31050.0,400.0
2020-04-16,32550.0,32550.0,32550.0,32550.0,10.0
2020-04-15,34000.0,34000.0,34000.0,34000.0,270.0
2020-04-14,32000.0,32000.0,32000.0,32000.0,70.0
2020-04-13,32000.0,32000.0,32000.0,32000.0,400.0
2020-04-10,31000.0,31000.0,31000.0,31000.0,50.0
2020-04-09,32100.0,34400.0,34500.0,32100.0,1340.0
2020-04-08,33000.0,33000.0,33000.0,33000.0,0.0
2020-04-07,33000.0,33000.0,33000.0,33000.0,170.0
2020-04-06,32600.0,31350.0,33900.0,31350.0,2880.0
2020-04-03,33700.0,31500.0,33700.0,31500.0,540.0
2020-04-01,31500.0,31500.0,31500.0,31500.0,10.0
2020-03-31,31300.0,31300.0,31300.0,31300.0,10.0
2020-03-30,33350.0,29950.0,33350.0,29900.0,60.0
2020-03-26,32000.0,31200.0,32000.0,31100.0,40.0
2020-03-25,33300.0,33100.0,33300.0,33100.0,9290.0
2020-03-24,33300.0,31100.0,33300.0,31000.0,2290.0
2020-03-23,31200.0,31500.0,31550.0,31000.0,9090.0
2020-03-19,33000.0,32100.0,33000.0,32000.0,1130.0
2020-03-18,33000.0,32029.0,33000.0,32029.0,2320.0
2020-03-17,33679.4,33679.0,33679.4,33679.0,10.0
2020-03-13,31641.2,31641.0,31641.2,31641.0,10.0
2020-03-12,31641.2,33971.0,33970.6,31593.0,4700.0
2020-03-11,33970.6,32709.0,33970.6,32709.0,5560.0
2020-03-09,32708.8,32612.0,32708.8,31059.0,3390.0
2020-03-06,32611.8,32660.0,32660.3,32612.0,20.0
2020-03-05,32611.8,32612.0,32611.8,32612.0,10.0
2020-03-04,31058.8,30574.0,31058.8,30574.0,510.0
2020-03-03,30573.5,30574.0,30573.5,30574.0,10.0
2020-03-02,33000.0,33000.0,33000.0,33000.0,10.0
2020-02-28,32000.0,32050.0,32050.0,32000.0,260.0
2020-02-27,32050.0,33400.0,33400.0,32050.0,20.0
2020-02-26,32000.0,33000.0,33000.0,32000.0,30.0
2020-02-25,33500.0,31400.0,33500.0,31400.0,110.0
2020-02-24,33500.0,35200.0,35200.0,33500.0,20.0
2020-02-21,33100.0,33100.0,33100.0,33000.0,1270.0
2020-02-20,33100.0,32750.0,33100.0,32750.0,580.0
2020-02-19,32750.0,32750.0,32750.0,32750.0,10.0
2020-02-18,32700.0,34000.0,35000.0,32700.0,80.0
2020-02-17,34000.0,34000.0,34100.0,34000.0,270.0
2020-02-14,36500.0,34100.0,36500.0,34100.0,20.0
2020-02-13,36500.0,36800.0,36800.0,34500.0,430.0
2020-02-12,36400.0,32200.0,36400.0,32200.0,2020.0
2020-02-11,34050.0,34050.0,34050.0,34050.0,10.0
2020-02-07,36600.0,34100.0,36800.0,34100.0,150.0
2020-02-05,36500.0,34200.0,36500.0,34200.0,20.0
2020-02-04,36750.0,34250.0,36750.0,34250.0,30.0
2020-01-31,36800.0,33200.0,36800.0,33200.0,110.0
2020-01-30,34500.0,31150.0,34500.0,31150.0,70.0
2020-01-22,33150.0,33150.0,33150.0,33150.0,10.0
2020-01-21,31000.0,31000.0,31000.0,31000.0,200.0
2020-01-17,31000.0,31000.0,31000.0,31000.0,40.0
2020-01-16,33200.0,33200.0,33200.0,33200.0,300.0
