,Date,Close,Volume,Open,High,Low
2,2020-05-04,20300.0,1193939,20500.0,20500.0,20500.0
3,2020-04-29,20500.0,1196049,20300.0,20300.0,20500.0
4,2020-04-28,20300.0,1246915,20100.0,20100.0,20400.0
5,2020-04-27,20100.0,1806851,20300.0,20300.0,20600.0
6,2020-04-24,20300.0,1264729,20300.0,20200.0,20400.0
7,2020-04-23,20300.0,2076603,20400.0,20500.0,20800.0
8,2020-04-22,20400.0,2637424,19800.0,19800.0,20400.0
9,2020-04-21,19800.0,6015799,20700.0,20600.0,20600.0
10,2020-04-20,20700.0,3064104,21000.0,21200.0,21200.0
11,2020-04-17,21000.0,4809341,20400.0,20500.0,21100.0
12,2020-04-16,20400.0,1895213,20200.0,20200.0,20400.0
13,2020-04-15,20200.0,3686239,20000.0,20000.0,20700.0
14,2020-04-14,20000.0,3167293,20000.0,20000.0,20200.0
15,2020-04-13,20000.0,1926793,19800.0,17900.0,20400.0
16,2020-04-10,19800.0,2517477,20000.0,19000.0,20200.0
17,2020-04-09,20000.0,4068966,20200.0,22200.0,22200.0
18,2020-04-08,20200.0,2331536,20300.0,22300.0,22300.0
19,2020-04-07,20300.0,4467621,20600.0,21000.0,21000.0
20,2020-04-06,20600.0,5757259,19100.0,19400.0,20800.0
21,2020-04-03,19100.0,3574343,18600.0,18100.0,19400.0
2,2020-04-01,18600.0,2761168,17800.0,16100.000000000002,19000.0
3,2020-03-31,17800.0,4532153,18200.0,18200.0,18800.0
4,2020-03-30,18200.0,5925098,19700.0,19500.0,19500.0
5,2020-03-27,19700.0,3980631,19700.0,19700.0,20100.0
6,2020-03-26,19700.0,3631529,20500.0,20600.0,20600.0
7,2020-03-25,20500.0,4115341,19600.0,20000.0,20800.0
8,2020-03-24,19600.0,4315784,19300.0,19100.0,19900.0
9,2020-03-23,19300.0,10024177,21400.0,21200.0,21400.0
10,2020-03-20,21400.0,3341564,21100.0,23200.0,23200.0
11,2020-03-19,21100.0,4083896,21200.0,21000.0,21300.0
12,2020-03-18,21200.0,4944595,21100.0,21300.0,21600.0
13,2020-03-17,21100.0,6568088,20900.0,20800.0,21400.0
