Date,Close,Open,High,Low,Volume
2020-05-08,500.0,500.0,600.0,400.0,222221.0
2020-05-07,500.0,500.0,600.0,400.0,228352.0
2020-05-06,500.0,500.0,600.0,500.0,206200.0
2020-05-05,400.0,500.0,500.0,400.0,29900.0
2020-05-04,500.0,500.0,500.0,400.0,109800.0
2020-04-29,500.0,400.0,500.0,400.0,275800.0
2020-04-28,400.0,500.0,600.0,400.0,233700.0
2020-04-27,500.0,500.0,600.0,400.0,301600.0
2020-04-24,500.0,500.0,500.0,400.0,260910.00000000003
2020-04-23,500.0,400.0,500.0,400.0,21400.0
2020-04-22,500.0,400.0,600.0,400.0,412400.0
2020-04-21,500.0,500.0,600.0,500.0,758550.0
2020-04-20,600.0,400.0,600.0,400.0,783420.0
2020-04-17,500.0,500.0,500.0,400.0,115100.0
2020-04-16,500.0,400.0,500.0,400.0,105120.0
2020-04-15,400.0,500.0,500.0,400.0,74500.0
2020-04-14,500.0,500.0,500.0,400.0,94320.0
2020-04-13,500.0,400.0,500.0,400.0,87040.0
2020-04-10,500.0,500.0,600.0,400.0,262700.0
2020-04-09,500.0,500.0,600.0,400.0,257770.0
2020-04-08,500.0,600.0,600.0,400.0,146800.0
2020-04-07,500.0,500.0,600.0,400.0,199060.0
2020-04-06,500.0,400.0,500.0,400.0,716000.0
2020-04-03,400.0,400.0,500.0,400.0,340650.0
2020-04-01,500.0,500.0,500.0,400.0,83330.0
2020-03-31,400.0,500.0,600.0,400.0,789060.0
2020-03-30,500.0,400.0,500.0,400.0,223500.0
2020-03-27,500.0,600.0,600.0,500.0,144700.0
2020-03-26,600.0,500.0,600.0,400.0,350700.0
2020-03-25,500.0,500.0,600.0,400.0,594100.0
2020-03-24,500.0,600.0,600.0,500.0,123680.0
2020-03-23,500.0,500.0,600.0,500.0,519260.0
2020-03-20,500.0,600.0,600.0,500.0,727800.0
2020-03-19,500.0,600.0,600.0,500.0,374600.0
2020-03-18,500.0,500.0,600.0,500.0,76010.0
2020-03-17,600.0,500.0,600.0,500.0,190720.0
2020-03-16,600.0,600.0,600.0,500.0,183980.0
2020-03-13,500.0,600.0,600.0,500.0,781400.0
2020-03-12,600.0,600.0,600.0,400.0,1310000.0
2020-03-11,500.0,600.0,600.0,500.0,18500.0
2020-03-10,600.0,600.0,600.0,500.0,83200.0
2020-03-09,600.0,500.0,600.0,500.0,258450.0
2020-03-06,500.0,600.0,600.0,500.0,73400.0
2020-03-05,600.0,500.0,700.0,500.0,197010.0
2020-03-04,600.0,600.0,600.0,500.0,214000.0
2020-03-03,600.0,600.0,700.0,500.0,231210.0
2020-03-02,600.0,700.0,700.0,600.0,277780.0
2020-02-28,700.0,600.0,700.0,500.0,349800.0
2020-02-27,600.0,600.0,700.0,500.0,187720.0
2020-02-26,600.0,600.0,600.0,500.0,59420.0
2020-02-25,600.0,600.0,600.0,500.0,143500.0
2020-02-24,600.0,600.0,700.0,500.0,318700.0
2020-02-21,600.0,600.0,700.0,600.0,238480.0
2020-02-20,600.0,700.0,700.0,600.0,296700.0
2020-02-19,700.0,500.0,700.0,500.0,626700.0
2020-02-18,600.0,600.0,700.0,500.0,584800.0
2020-02-17,600.0,600.0,600.0,500.0,503400.0
2020-02-14,600.0,600.0,700.0,500.0,337500.0
2020-02-13,600.0,600.0,600.0,500.0,311400.0
2020-02-12,600.0,700.0,700.0,500.0,885650.0
2020-02-11,600.0,600.0,700.0,600.0,403700.0
2020-02-10,600.0,700.0,800.0,600.0,740520.0
2020-02-07,700.0,700.0,700.0,600.0,350800.0
2020-02-06,600.0,700.0,700.0,600.0,2720000.0
2020-02-05,600.0,600.0,600.0,600.0,1470000.0
2020-02-04,500.0,500.0,600.0,500.0,636060.0
2020-02-03,600.0,500.0,600.0,400.0,697310.0
2020-01-31,500.0,500.0,600.0,500.0,189300.0
2020-01-30,500.0,600.0,600.0,500.0,750410.0
2020-01-22,600.0,600.0,600.0,500.0,342300.0
2020-01-21,600.0,500.0,600.0,500.0,735960.0
