Date,Close,Open,High,Low,Volume
2020-05-06,3250.0,3060.0,3270.0,3060.0,4844850.0
2020-05-05,2970.0,2910.0,3040.0,2910.0,4850000.0
2020-05-04,3120.0,3120.0,3240.0,3120.0,5350000.0
2020-04-29,3350.0,3200.0,3420.0,3120.0,5010000.0
2020-04-28,3220.0,3330.0,3430.0,3160.0,4390000.0
2020-04-27,3300.0,3500.0,3500.0,3300.0,10040000.0
2020-04-24,3280.0,3070.0,3280.0,2960.0,11230000.0
2020-04-23,3070.0,3220.0,3220.0,3030.0,4490000.0
2020-04-22,3070.0,2950.0,3170.0,2860.0,4139999.9999999995
2020-04-21,2980.0,2830.0,3060.0,2760.0,9040000.0
2020-04-20,2860.0,2920.0,2950.0,2820.0,4240000.0
2020-04-17,2860.0,2930.0,2970.0,2850.0,5060000.0
2020-04-16,2930.0,2970.0,3050.0,2890.0,4179999.9999999995
2020-04-15,2930.0,2750.0,2930.0,2750.0,7150000.0
2020-04-14,2740.0,2810.0,2830.0,2700.0,3570000.0
2020-04-13,2850.0,2820.0,2920.0,2700.0,3460000.0
2020-04-10,2810.0,2900.0,2920.0,2780.0,13840000.0
2020-04-09,2980.0,2970.0,3150.0,2960.0,7480000.0
2020-04-08,2970.0,2850.0,2970.0,2720.0,1590000.0
2020-04-07,2780.0,2980.0,2980.0,2780.0,9190000.0
2020-04-06,2980.0,3340.0,3340.0,2950.0,21160000.0
2020-04-03,3130.0,3130.0,3130.0,3130.0,541070.0
2020-04-01,2930.0,2550.0,2930.0,2550.0,3910000.0
2020-03-31,2740.0,2740.0,2860.0,2740.0,19490000.0
2020-03-30,2940.0,2940.0,2940.0,2940.0,52780.0
2020-03-27,3160.0,3160.0,3160.0,3160.0,276940.0
2020-03-26,3390.0,3390.0,3390.0,3390.0,1280000.0
2020-03-25,3640.0,3640.0,3700.0,3640.0,13310000.0
2020-03-24,3910.0,3910.0,3910.0,3910.0,141010.0
2020-03-23,4200.0,4200.0,4200.0,4200.0,113490.0
2020-03-20,4510.0,4510.0,4810.0,4510.0,7280000.0
2020-03-19,4840.0,5560.0,5560.0,4840.0,35480000.0
2020-03-18,5200.0,5200.0,5200.0,5200.0,430510.0
2020-03-17,4860.0,4860.0,4860.0,4860.0,435600.0
2020-03-16,4550.0,4550.0,4550.0,4550.0,391710.0
