Date,Close,Open,High,Low,Volume
2020-05-08,400.0,400.0,400.0,400.0,33900.0
2020-05-07,400.0,400.0,400.0,400.0,0.0
2020-05-06,400.0,400.0,400.0,400.0,0.0
2020-05-05,400.0,400.0,400.0,400.0,0.0
2020-05-04,400.0,400.0,400.0,400.0,0.0
2020-04-29,400.0,400.0,400.0,400.0,0.0
2020-04-28,400.0,400.0,400.0,400.0,0.0
2020-04-27,400.0,400.0,400.0,400.0,0.0
2020-04-24,500.0,400.0,500.0,400.0,206200.0
2020-04-23,400.0,400.0,400.0,400.0,0.0
2020-04-22,400.0,400.0,400.0,400.0,0.0
2020-04-21,400.0,400.0,400.0,400.0,0.0
2020-04-20,400.0,400.0,400.0,400.0,0.0
2020-04-17,300.0,400.0,400.0,300.0,683310.0
2020-04-16,400.0,400.0,400.0,400.0,0.0
2020-04-15,400.0,400.0,400.0,400.0,0.0
2020-04-14,400.0,400.0,400.0,400.0,0.0
2020-04-13,400.0,400.0,400.0,400.0,0.0
2020-04-10,400.0,400.0,500.0,400.0,349410.0
2020-04-09,400.0,400.0,400.0,400.0,0.0
2020-04-08,400.0,400.0,400.0,400.0,0.0
2020-04-07,400.0,400.0,400.0,400.0,0.0
2020-04-03,400.0,400.0,500.0,400.0,300800.0
2020-03-27,400.0,400.0,400.0,400.0,202400.0
2020-03-20,400.0,400.0,400.0,400.0,66800.0
2020-03-13,400.0,400.0,500.0,400.0,243300.0
2020-03-06,400.0,400.0,500.0,400.0,4830.0
2020-02-28,400.0,400.0,400.0,400.0,36100.0
2020-02-21,400.0,400.0,500.0,400.0,380220.0
2020-02-14,400.0,400.0,500.0,400.0,240210.0
2020-02-07,400.0,400.0,400.0,400.0,31300.0
2020-01-31,400.0,400.0,400.0,400.0,35300.0
2020-01-17,400.0,400.0,500.0,400.0,361400.0
2020-01-10,400.0,400.0,500.0,300.0,396840.0
2020-01-03,400.0,400.0,500.0,400.0,220400.0
2019-12-27,400.0,400.0,400.0,400.0,320400.0
2019-12-20,400.0,400.0,500.0,400.0,706430.0
2019-12-13,400.0,400.0,500.0,400.0,236800.0
2019-12-06,400.0,400.0,500.0,400.0,90300.0
2019-11-29,400.0,400.0,500.0,400.0,215900.0
2019-11-22,500.0,400.0,500.0,400.0,22100.0
2019-11-15,400.0,400.0,500.0,400.0,295000.0
2019-11-08,400.0,400.0,400.0,400.0,167600.0
2019-11-01,400.0,500.0,500.0,400.0,382110.0
2019-10-25,400.0,500.0,500.0,400.0,27100.0
2019-10-18,500.0,400.0,500.0,400.0,161830.0
2019-10-16,400.0,400.0,400.0,400.0,0.0
2019-10-11,400.0,400.0,400.0,400.0,100.0
2019-10-04,400.0,400.0,400.0,400.0,4410.0
2019-09-27,400.0,400.0,400.0,400.0,40100.0
2019-09-20,500.0,400.0,500.0,400.0,131400.0
2019-09-13,500.0,400.0,500.0,400.0,558300.0
2019-09-06,500.0,500.0,500.0,400.0,575500.0
2019-08-30,500.0,500.0,500.0,400.0,412700.0
2019-08-23,400.0,400.0,500.0,400.0,291820.0
2019-08-16,500.0,500.0,500.0,400.0,626200.0
2019-08-09,400.0,400.0,500.0,400.0,488920.0
2019-08-02,400.0,400.0,600.0,400.0,194620.0
2019-07-26,400.0,500.0,500.0,400.0,680100.0
2019-07-19,500.0,400.0,500.0,400.0,205530.0
2019-07-12,400.0,500.0,500.0,400.0,420060.0
2019-07-05,400.0,400.0,500.0,400.0,1240000.0
2019-06-28,300.0,400.0,400.0,300.0,1130000.0
2019-06-21,300.0,300.0,400.0,300.0,109600.0
2019-06-14,300.0,300.0,400.0,300.0,582630.0
2019-06-07,300.0,300.0,400.0,200.0,311700.0
2019-05-31,300.0,300.0,300.0,200.0,65040.00000000001
2019-05-24,300.0,300.0,400.0,300.0,135410.0
2019-05-17,300.0,400.0,400.0,300.0,49900.0
2019-05-10,300.0,400.0,400.0,300.0,523200.00000000006
2019-05-03,300.0,400.0,400.0,300.0,46000.0
2019-04-26,400.0,400.0,400.0,300.0,18700.0
2019-04-19,300.0,400.0,400.0,300.0,131800.0
2019-04-12,400.0,400.0,400.0,400.0,21500.0
2019-04-05,400.0,400.0,400.0,300.0,105800.0
2019-03-29,400.0,300.0,400.0,300.0,291230.0
2019-03-22,300.0,400.0,400.0,300.0,14260.0
2019-03-15,300.0,300.0,400.0,300.0,127530.0
2019-03-08,300.0,400.0,400.0,300.0,91540.0
2019-03-01,300.0,300.0,400.0,300.0,132900.0
2019-02-22,400.0,300.0,400.0,300.0,50240.0
2019-02-15,300.0,300.0,400.0,300.0,88290.0
2019-02-01,400.0,300.0,400.0,300.0,210.0
2019-01-25,300.0,300.0,400.0,300.0,42500.0
2019-01-18,400.0,300.0,400.0,300.0,74300.0
2019-01-11,400.0,300.0,400.0,300.0,114800.0
2019-01-04,400.0,400.0,400.0,300.0,10280.0
2018-12-28,400.0,400.0,400.0,400.0,81400.0
2018-12-21,400.0,400.0,400.0,400.0,31000.0
2018-12-14,400.0,500.0,500.0,400.0,213510.0
2018-12-07,500.0,400.0,500.0,300.0,571810.0
2018-11-30,500.0,500.0,500.0,300.0,408400.0
