Date,Close,Open,High,Low,Volume
2020-05-08,56800.0,56500.0,57000.0,56500.0,20000.0
2020-05-07,56300.0,55000.0,56500.0,54000.0,37450.0
2020-05-06,54500.0,52300.0,55900.0,52000.0,17300.0
2020-05-05,52400.0,53900.0,53900.0,50700.0,8800.0
2020-05-04,54100.0,54000.0,55000.0,54000.0,16460.0
2020-04-29,56000.0,56000.0,57000.0,54000.0,14660.0
2020-04-28,56000.0,57000.0,58000.0,54000.0,18270.0
2020-04-27,57000.0,58600.0,58600.0,56000.0,24800.0
2020-04-24,58800.0,58000.0,59000.0,57500.0,23660.0
2020-04-23,59000.0,59900.0,59900.0,57000.0,16970.0
2020-04-22,56000.0,53700.0,56500.0,49950.0,17590.0
2020-04-21,53700.0,61600.0,61700.0,53700.0,75730.0
2020-04-20,57700.0,54500.0,57700.0,54500.0,55230.0
2020-04-17,54000.0,54400.0,54400.0,52800.0,43500.0
2020-04-16,51000.0,49150.0,52500.0,48000.0,23010.0
2020-04-15,49150.0,47700.0,49150.0,47600.0,9920.0
2020-04-14,47600.0,50100.0,50100.0,47100.0,24200.0
2020-04-13,47000.0,46500.0,47000.0,46500.0,13720.0
2020-04-10,43950.0,42800.0,43950.0,42000.0,26950.0
2020-04-09,41100.0,43000.0,43500.0,41000.0,43650.0
2020-04-08,40950.0,42000.0,43500.0,40950.0,8109.999999999999
2020-04-07,40950.0,44200.0,45000.0,40950.0,5600.0
2020-04-06,44000.0,45450.0,45450.0,44000.0,1000.0
2020-04-03,43200.0,49350.0,49350.0,43200.0,21400.0
2020-04-01,46450.0,46800.0,46800.0,42500.0,190.0
2020-03-31,44950.0,51500.0,51500.0,44950.0,4040.0
2020-03-30,48300.0,48300.0,52400.0,48300.0,4230.0
2020-03-27,51900.0,50500.0,52300.0,50400.0,2110.0
2020-03-26,51900.0,50100.0,52000.0,50100.0,1720.0
2020-03-25,50000.0,54500.0,54500.0,50000.0,90.0
2020-03-24,52900.0,53300.0,53300.0,52900.0,2040.0
2020-03-23,49850.0,53000.0,53000.0,49850.0,2790.0
2020-03-19,53600.0,52600.0,53600.0,52000.0,340.0
2020-03-18,54500.0,52700.0,54500.0,52700.0,120.0
2020-03-17,52600.0,52600.0,52600.0,52600.0,40.0
2020-03-16,52600.0,56000.0,56000.0,52600.0,820.0
2020-03-13,56000.0,56000.0,56000.0,55000.0,750.0
2020-03-12,57000.0,58500.0,58500.0,57000.0,1590.0
2020-03-11,58600.0,58700.0,58700.0,58100.0,740.0
2020-03-10,58600.0,58000.0,58600.0,58000.0,1010.0
2020-03-09,58500.0,58200.0,58500.0,58200.0,1190.0
2020-03-06,61800.0,61000.0,63900.0,60900.0,3920.0
2020-03-05,61000.0,59500.0,61000.0,58200.0,1270.0
2020-03-04,58500.0,59000.0,59000.0,58500.0,150.0
2020-03-03,60000.0,59000.0,60000.0,59000.0,60.0
2020-03-02,59000.0,61900.0,62000.0,59000.0,310.0
2020-02-27,61500.0,62000.0,62000.0,61500.0,30.0
2020-02-26,59000.0,59000.0,59000.0,59000.0,1500.0
2020-02-25,60000.0,60000.0,60000.0,60000.0,1240.0
2020-02-24,60000.0,62000.0,62000.0,60000.0,60.0
2020-02-21,62000.0,62000.0,62000.0,62000.0,1070.0
2020-02-19,63500.0,61000.0,63500.0,60000.0,860.0
2020-02-18,61000.0,62500.0,62500.0,61000.0,500.0
2020-02-17,62300.0,62500.0,64500.0,62300.0,7700.0
2020-02-14,62300.0,64900.0,64900.0,62300.0,80.0
2020-02-13,62200.0,63900.0,63900.0,62200.0,400.0
2020-02-12,64000.0,63500.0,64000.0,61500.0,510.0
2020-02-11,64500.0,63800.0,64600.0,63000.0,260.0
2020-02-10,63800.0,64000.0,64000.0,63000.0,1350.0
2020-02-07,61000.0,61000.0,63000.0,61000.0,40.0
2020-02-06,61000.0,61000.0,63000.0,61000.0,1740.0
2020-02-05,61000.0,60700.0,61000.0,58500.0,4620.0
2020-02-04,58100.0,61400.0,61400.0,58100.0,3470.0
2020-02-03,61400.0,66000.0,66000.0,61400.0,3440.0
2020-01-31,66000.0,66000.0,66800.0,66000.0,700.0
2020-01-30,68500.0,68000.0,69300.0,68000.0,1150.0
2020-01-22,72000.0,71100.0,72000.0,66200.0,36370.0
2020-01-21,71000.0,71000.0,71000.0,71000.0,10.0
2020-01-20,73900.0,73900.0,73900.0,73900.0,230.0
2020-01-17,73900.0,73900.0,73900.0,73900.0,10.0
2020-01-16,73000.0,72900.0,73000.0,72900.0,30.0
2020-01-15,73000.0,71800.0,73000.0,71500.0,2180.0
2020-01-14,72500.0,72500.0,72500.0,72500.0,50.0
2020-01-13,73500.0,73000.0,73500.0,72000.0,2900.0
2020-01-10,74000.0,74500.0,74500.0,73000.0,3540.0
2020-01-09,75000.0,74600.0,75500.0,72200.0,2780.0
2020-01-08,77000.0,75600.0,77500.0,75000.0,1830.0
2020-01-07,77600.0,75700.0,77600.0,75600.0,710.0
2020-01-06,77900.0,78000.0,78000.0,76200.0,820.0
2020-01-03,78000.0,77800.0,78000.0,77800.0,220.0
2020-01-02,76100.0,76000.0,76200.0,76000.0,550.0
2019-12-31,75600.0,76900.0,76900.0,75500.0,140.0
2019-12-30,77300.0,77300.0,77300.0,77300.0,270.0
2019-12-27,77400.0,76300.0,77400.0,76200.0,460.0
2019-12-26,77300.0,76500.0,77300.0,76500.0,190.0
2019-12-24,77500.0,77400.0,77500.0,76100.0,560.0
2019-12-23,77500.0,76100.0,77500.0,76100.0,450.0
2019-12-20,77500.0,77800.0,77800.0,76000.0,140.0
2019-12-19,77700.0,77600.0,77700.0,77600.0,260.0
2019-12-18,77800.0,78200.0,78200.0,76500.0,210.0
2019-12-17,78500.0,76500.0,78500.0,76500.0,150.0
2019-12-16,78700.0,76300.0,78700.0,76300.0,20.0
2019-12-13,79100.0,75800.0,79700.0,75500.0,170.0
2019-12-12,77900.0,77900.0,77900.0,77900.0,60.0
2019-12-11,78900.0,75100.0,78900.0,75100.0,410.0
2019-12-10,78700.0,78700.0,79000.0,78700.0,500.0
2019-12-09,79700.0,78000.0,79700.0,78000.0,6920.0
