Date,Close,Open,High,Low,Volume
2020-05-06,10000.0,10000.0,10000.0,10000.0,0.0
2020-05-05,10000.0,10000.0,10000.0,10000.0,0.0
2020-05-04,10000.0,10000.0,10000.0,10000.0,0.0
2020-04-29,10000.0,10000.0,10000.0,10000.0,0.0
2020-04-28,10000.0,10000.0,10000.0,10000.0,0.0
2020-04-27,10000.0,10000.0,10000.0,10000.0,0.0
2020-04-24,10000.0,10000.0,10000.0,10000.0,0.0
2020-04-23,10000.0,10000.0,10000.0,10000.0,0.0
2020-04-22,10000.0,10000.0,10000.0,10000.0,0.0
2020-04-21,10000.0,10000.0,10000.0,10000.0,0.0
2020-04-20,10000.0,10000.0,10000.0,10000.0,0.0
2020-04-17,10000.0,10000.0,10000.0,10000.0,0.0
2020-04-16,10000.0,10000.0,10000.0,10000.0,4.0
2020-04-15,10000.0,10000.0,10000.0,10000.0,0.0
2020-04-14,10000.0,10000.0,10000.0,10000.0,0.0
2020-04-13,10000.0,10000.0,10000.0,10000.0,0.0
2020-04-10,10000.0,10000.0,10000.0,10000.0,0.0
2020-04-09,10000.0,10000.0,10000.0,10000.0,0.0
2020-04-08,10000.0,10000.0,10000.0,10000.0,0.0
2020-04-07,10000.0,10000.0,10000.0,10000.0,0.0
2020-03-16,10000.0,10000.0,10000.0,10000.0,25100.0
2019-12-18,10400.0,10000.0,10400.0,10000.0,900.0
2019-12-09,10000.0,10000.0,10000.0,10000.0,200.0
2019-11-28,10100.0,10100.0,10100.0,10100.0,100.0
2019-11-27,9500.0,9500.0,9500.0,9500.0,500.0
2019-11-26,8500.0,8500.0,8500.0,8500.0,900.0
2019-11-25,7300.0,8500.0,8500.0,7300.0,2200.0
2019-11-22,8500.0,8500.0,8500.0,8500.0,10000.0
2019-11-21,8500.0,8500.0,8500.0,8500.0,200.0
2019-11-15,8700.0,8700.0,8700.0,8700.0,300.0
2019-11-14,9800.0,9800.0,9800.0,9800.0,100.0
2019-11-13,8700.0,8700.0,8700.0,8700.0,500.0
2019-11-12,10200.0,10200.0,10200.0,10200.0,100.0
2019-11-11,9000.0,9000.0,9000.0,9000.0,500.0
2019-11-08,9000.0,9000.0,9000.0,9000.0,1300.0
2019-11-07,9000.0,10100.0,10100.0,8800.0,1900.0
2019-11-06,8800.0,10300.0,10300.0,8800.0,1100.0
2019-11-04,9200.0,8900.0,9200.0,8900.0,700.0
2019-11-01,9000.0,8900.0,9000.0,8900.0,900.0
2019-10-28,10300.0,10300.0,10300.0,10300.0,100.0
2019-10-25,9000.0,9000.0,9000.0,9000.0,400.0
2019-10-24,10400.0,10400.0,10400.0,10400.0,300.0
2019-10-23,9600.0,9600.0,9600.0,9600.0,100.0
2019-10-22,8500.0,10000.0,10000.0,8100.0,2900.0
2019-10-21,9000.0,9100.0,11900.0,9000.0,900.0
2019-10-18,10500.0,10500.0,10500.0,10500.0,100.0
2019-10-17,10200.0,10200.0,10200.0,10200.0,200.0
2019-10-16,9000.0,9000.0,9000.0,9000.0,600.0
2019-10-14,10400.0,10400.0,10400.0,10400.0,300.0
2019-10-11,10200.0,10200.0,10200.0,10200.0,800.0
2019-10-10,9300.0,9300.0,9300.0,9300.0,900.0
2019-10-09,10000.0,8000.0,10000.0,8000.0,1100.0
2019-10-08,8800.0,8800.0,8800.0,8800.0,2000.0
2019-10-07,9000.0,9000.0,9000.0,9000.0,100.0
2019-10-04,9800.0,9800.0,9800.0,9800.0,100.0
2019-10-03,9600.0,9600.0,9600.0,8500.0,5800.0
2019-10-02,9500.0,9600.0,9600.0,9500.0,1300.0
2019-10-01,9500.0,9500.0,9500.0,9500.0,1700.0
2019-09-27,9100.0,9100.0,9100.0,9100.0,100.0
2019-09-25,8000.0,8000.0,8000.0,8000.0,400.0
2019-08-28,7000.0,7000.0,7000.0,7000.0,200.0
2019-08-07,7000.0,7000.0,7000.0,7000.0,300.0
2019-07-29,7000.0,7000.0,7000.0,7000.0,100.0
2019-06-17,7500.0,7500.0,7500.0,7500.0,1000.0
2019-06-13,8200.0,8200.0,8200.0,8200.0,0.0
2019-05-15,8200.0,8100.0,8200.0,8100.0,3000.0
2019-05-14,6300.0,7800.0,8200.0,6300.0,1300.0
2019-05-10,6600.0,8800.0,8800.0,6600.0,1800.0
2019-05-09,8400.0,7300.0,8400.0,7300.0,1600.0
2019-04-26,8800.0,8800.0,8800.0,8800.0,0.0
2019-04-12,8800.0,6900.0,8800.0,6900.0,700.0
2019-04-09,8100.0,8100.0,8100.0,8100.0,0.0
2019-04-04,8100.0,8100.0,8100.0,8100.0,0.0
2019-03-27,8100.0,8100.0,8100.0,8100.0,0.0
2019-03-20,8100.0,8100.0,8100.0,8100.0,0.0
2019-03-18,8100.0,8100.0,8100.0,8100.0,0.0
2019-03-13,8100.0,8100.0,8100.0,8100.0,0.0
2019-03-12,8100.0,8100.0,8100.0,8100.0,0.0
2019-03-05,8100.0,8100.0,8100.0,8100.0,400.0
2019-02-25,8200.0,8200.0,8200.0,8200.0,1000.0
2019-02-11,9800.0,9000.0,9800.0,9000.0,2500.0
2019-02-01,9100.0,8000.0,9100.0,8000.0,500.0
2019-01-31,8000.0,8000.0,8000.0,8000.0,1000.0
2019-01-30,7000.0,7000.0,7000.0,7000.0,1200.0
2019-01-18,6100.0,6100.0,6100.0,6100.0,200.0
2019-01-17,6100.0,6100.0,6100.0,6100.0,100.0
2019-01-15,7000.0,7000.0,7000.0,7000.0,1000.0
2019-01-14,6600.0,6600.0,6600.0,6600.0,100.0
2019-01-10,7500.0,7500.0,7500.0,7500.0,1600.0
2019-01-09,7500.0,6200.0,7500.0,6200.0,200.0
2019-01-07,7100.0,7100.0,7100.0,7100.0,100.0
2019-01-03,7800.0,7800.0,7800.0,7800.0,0.0
2019-01-02,7800.0,7800.0,7800.0,7800.0,110.0
2018-12-27,7500.0,7500.0,7500.0,7500.0,2100.0
2018-12-26,6600.0,6600.0,6600.0,6600.0,100.0
2018-12-25,7400.0,7400.0,7400.0,7400.0,700.0
2018-12-24,8600.0,8600.0,8600.0,8600.0,100.0
2018-12-20,7500.0,7500.0,7500.0,7500.0,120.0
2018-12-19,9000.0,8300.0,9000.0,8300.0,200.0
2018-12-17,7900.0,7900.0,7900.0,7900.0,100.0
2018-12-13,9100.0,9100.0,9100.0,9100.0,100.0
2018-12-11,11500.0,8700.0,11500.0,8700.0,1500.0
2018-12-10,8900.0,8900.0,10400.0,8900.0,4000.0
2018-12-07,10400.0,10400.0,10400.0,10400.0,410.0
