Date,Close,Open,High,Low,Volume
2020-05-08,22000.0,22000.0,22000.0,22000.0,0.0
2020-05-07,22000.0,22000.0,22000.0,22000.0,0.0
2020-05-06,22000.0,22000.0,22000.0,22000.0,0.0
2020-05-05,22000.0,22000.0,22000.0,22000.0,0.0
2020-05-04,22000.0,22000.0,22000.0,22000.0,0.0
2020-04-29,22000.0,22000.0,22000.0,22000.0,0.0
2020-04-28,22000.0,22000.0,22000.0,22000.0,0.0
2020-04-27,22000.0,22000.0,22000.0,22000.0,0.0
2020-04-24,22000.0,22000.0,22000.0,22000.0,0.0
2020-04-23,22000.0,22000.0,22000.0,22000.0,0.0
2020-04-22,22000.0,22000.0,22000.0,22000.0,0.0
2020-04-21,22000.0,22000.0,22000.0,22000.0,0.0
2020-04-20,22000.0,22000.0,22000.0,22000.0,0.0
2020-04-17,22000.0,22000.0,22000.0,22000.0,0.0
2020-04-16,22000.0,22000.0,22000.0,22000.0,200.0
2020-04-15,22000.0,22000.0,22000.0,22000.0,0.0
2020-04-14,22000.0,22000.0,22000.0,22000.0,0.0
2020-04-13,22000.0,22000.0,22000.0,22000.0,0.0
2020-04-10,22000.0,22000.0,22000.0,22000.0,0.0
2020-04-09,22000.0,22000.0,22000.0,22000.0,0.0
2020-04-08,22000.0,22000.0,22000.0,22000.0,100.0
2020-04-07,19200.0,19200.0,19200.0,19200.0,0.0
2020-03-26,19200.0,19200.0,19200.0,19200.0,100.0
2020-03-16,16700.0,16700.0,16700.0,16700.0,100.0
2020-03-04,19600.0,19600.0,19600.0,19600.0,100.0
2020-02-19,23000.0,23000.0,23000.0,23000.0,310.0
2020-02-11,26000.0,26000.0,26000.0,26000.0,100.0
2020-02-10,23000.0,23000.0,23000.0,23000.0,100.0
2020-01-15,20000.0,20000.0,20000.0,20000.0,260.0
2020-01-13,21200.0,15800.0,21200.0,15800.0,200.0
2020-01-08,18500.0,18500.0,18500.0,18500.0,110.0
2020-01-07,20400.0,20400.0,20400.0,20400.0,100.0
2020-01-06,24000.0,24000.0,24000.0,24000.0,500.0
2020-01-03,31300.0,26700.0,31300.0,26700.0,300.0
2020-01-02,31300.0,31300.0,31300.0,31300.0,100.0
2019-12-31,36800.0,36800.0,36800.0,36800.0,1200.0
2019-12-17,37000.0,37000.0,37000.0,37000.0,100.0
2019-12-12,35000.0,35000.0,35000.0,35000.0,100.0
2019-12-11,33000.0,33000.0,33000.0,33000.0,100.0
2019-12-09,33000.0,33000.0,33000.0,33000.0,100.0
2019-12-06,33000.0,33000.0,33000.0,33000.0,100.0
2019-12-05,33000.0,29000.0,33300.0,29000.0,6400.0
2019-12-03,29000.0,29000.0,29000.0,29000.0,100.0
2019-11-29,29000.0,28500.0,29000.0,28500.0,200.0
2019-11-08,28500.0,28500.0,28500.0,28500.0,100.0
2019-11-07,28000.0,28000.0,28000.0,28000.0,100.0
2019-11-06,27600.0,24000.0,27600.0,24000.0,200.0
2019-11-01,24000.0,24000.0,24000.0,24000.0,100.0
2019-10-17,23500.0,23500.0,23500.0,23500.0,100.0
2019-10-16,21000.0,21000.0,21000.0,21000.0,0.0
2019-10-15,21000.0,21000.0,21000.0,21000.0,100.0
2019-10-14,24000.0,22800.0,24000.0,22800.0,200.0
2019-10-11,23000.0,23000.0,23000.0,23000.0,100.0
2019-10-10,20900.0,23000.0,23000.0,20900.0,200.0
2019-10-09,20900.0,20900.0,20900.0,20900.0,300.0
2019-10-08,18200.0,18200.0,18200.0,18200.0,100.0
2019-10-07,15900.0,15900.0,15900.0,15900.0,200.0
2019-10-04,13900.0,13900.0,13900.0,13900.0,100.0
2019-10-03,16300.0,16300.0,16300.0,16300.0,100.0
2019-10-02,16500.0,19000.0,19000.0,16500.0,400.0
2019-10-01,18900.0,18900.0,18900.0,18900.0,100.0
2019-09-30,24000.0,20400.0,24000.0,20400.0,200.0
2019-09-27,24000.0,24000.0,24000.0,24000.0,100.0
2019-09-26,24000.0,24000.0,24000.0,24000.0,100.0
2019-09-16,27000.0,27000.0,27000.0,27000.0,100.0
2019-09-13,24000.0,24000.0,24000.0,24000.0,100.0
2019-08-29,24000.0,24000.0,24000.0,24000.0,100.0
2019-08-27,22000.0,22000.0,22000.0,22000.0,1000.0
2019-08-23,25000.0,25000.0,25000.0,25000.0,100.0
2019-08-22,24000.0,24000.0,24000.0,24000.0,5000.0
2019-08-15,21000.0,21000.0,21000.0,21000.0,200.0
2019-08-14,22000.0,22000.0,22000.0,22000.0,100.0
2019-08-12,21300.0,21300.0,21300.0,21300.0,100.0
2019-08-06,19000.0,18000.0,19000.0,18000.0,500.0
2019-08-05,20700.0,20700.0,20700.0,20700.0,200.0
2019-07-24,18000.0,18000.0,18000.0,18000.0,100.0
2019-07-23,18000.0,18000.0,18000.0,18000.0,100.0
2019-07-22,20000.0,20000.0,20000.0,20000.0,100.0
2019-07-19,23100.0,23100.0,23100.0,23100.0,100.0
2019-07-17,27100.0,27100.0,27100.0,27100.0,500.0
2019-07-16,23600.0,23600.0,23600.0,23600.0,100.0
2019-07-15,23600.0,23600.0,23600.0,23600.0,100.0
2019-07-11,28000.0,27600.0,28000.0,27600.0,300.0
2019-07-10,27600.0,27600.0,27600.0,27600.0,100.0
2019-07-05,28000.0,27200.0,28000.0,27200.0,200.0
2019-06-25,32000.0,32000.0,32000.0,32000.0,100.0
2019-06-24,32000.0,31400.0,32000.0,31400.0,300.0
2019-06-21,31400.0,31200.0,32000.0,31100.0,900.0
2019-06-20,31000.0,31000.0,31000.0,31000.0,100.0
2019-06-19,31800.0,31800.0,31800.0,31800.0,100.0
2019-06-17,31800.0,31800.0,31800.0,31800.0,100.0
2019-06-14,28500.0,28500.0,28500.0,28500.0,100.0
2019-06-13,27500.0,27500.0,27500.0,27500.0,100.0
2019-06-12,26400.0,25500.0,26400.0,25500.0,200.0
2019-06-11,23000.0,23000.0,23000.0,23000.0,200.0
2019-06-10,20000.0,20000.0,20000.0,20000.0,300.0
2019-06-06,25500.0,21000.0,25500.0,21000.0,200.0
2019-06-04,21700.0,24900.0,24900.0,21700.0,1200.0
2019-06-03,21700.0,21700.0,21700.0,21700.0,100.0
2019-05-31,18900.0,18900.0,18900.0,18900.0,100.0
2019-05-22,16000.0,17000.0,17000.0,16000.0,290.0
2019-05-21,18000.0,18000.0,18000.0,18000.0,100.0
2019-05-17,20000.0,20000.0,20000.0,20000.0,100.0
2019-05-06,22500.0,23000.0,23000.0,22500.0,800.0
2019-04-25,26000.0,26000.0,26000.0,26000.0,100.0
2019-04-24,26000.0,26000.0,26000.0,26000.0,100.0
2019-04-23,26000.0,26000.0,26000.0,26000.0,100.0
2019-04-18,25500.0,25500.0,25500.0,25500.0,200.0
2019-04-16,26000.0,31000.0,31000.0,26000.0,500.0
2019-04-11,28000.0,28000.0,28000.0,28000.0,100.0
2019-04-09,24400.0,24400.0,24400.0,24400.0,100.0
2019-04-08,29000.0,28500.0,29000.0,28500.0,610.0
2019-04-05,28500.0,27000.0,28500.0,27000.0,520.0
2019-04-04,24800.0,24800.0,24800.0,24800.0,500.0
2019-04-03,21600.0,21600.0,21600.0,21600.0,320.0
2019-04-02,18800.0,18800.0,18800.0,18800.0,100.0
2019-03-29,22000.0,22000.0,22000.0,22000.0,200.0
2019-03-27,19200.0,19200.0,19200.0,19200.0,2000.0
2019-03-26,16100.0,21600.0,21600.0,16100.0,910.0
2019-03-25,18900.0,18900.0,18900.0,18900.0,270.0
2019-03-22,16500.0,16500.0,16500.0,16500.0,1300.0
2019-03-21,14400.0,14400.0,14400.0,14400.0,130.0
2019-03-20,12600.0,12600.0,12600.0,12600.0,110.0
2019-03-15,11000.0,11000.0,11000.0,11000.0,1500.0
2019-03-12,14700.0,12900.0,14700.0,10900.0,2400.0
2019-03-11,12600.0,13900.0,13900.0,12600.0,700.0
2019-03-08,12100.0,12100.0,12100.0,12100.0,1600.0
2019-03-07,15200.0,15200.0,15200.0,13700.0,1500.0
2019-03-06,13300.0,13300.0,13300.0,13300.0,300.0
2019-02-28,11600.0,11600.0,11600.0,11600.0,100.0
2019-02-25,10100.0,10100.0,10100.0,10100.0,100.0
2019-02-22,10800.0,10800.0,10800.0,10800.0,100.0
2019-02-21,12600.0,12200.0,12600.0,12200.0,200.0
2019-02-20,13600.0,13600.0,13600.0,13600.0,100.0
2019-02-19,15200.0,15200.0,15200.0,15200.0,100.0
2019-02-18,17500.0,17500.0,17500.0,17500.0,100.0
2019-02-15,20500.0,20500.0,20500.0,20500.0,100.0
2019-02-14,23800.0,23800.0,23800.0,23800.0,100.0
2019-02-13,28000.0,28000.0,28000.0,28000.0,200.0
2019-01-30,29000.0,29000.0,29000.0,29000.0,500.0
2019-01-28,25300.0,25300.0,25300.0,25300.0,100.0
2019-01-24,29700.0,29700.0,29700.0,29700.0,2100.0
2019-01-16,29700.0,29700.0,29700.0,29700.0,2100.0
2019-01-10,34900.0,34900.0,34900.0,34900.0,0.0
2018-12-28,34900.0,34900.0,34900.0,34900.0,100.0
2018-12-27,39700.0,39700.0,39700.0,39700.0,100.0
2018-12-14,46600.0,46600.0,46600.0,46600.0,0.0
2018-12-04,46600.0,46600.0,46600.0,46600.0,200.0
2018-10-05,33300.0,33300.0,33300.0,33300.0,100.0
2018-10-04,28991.0,28893.0,28991.0,28893.0,900.0
2018-10-02,28991.0,28991.0,28991.0,28991.0,2590.0
2018-10-01,28991.0,28991.0,28991.0,28991.0,100.0
2018-09-25,28893.0,28991.0,28991.0,28893.0,1600.0
2018-09-24,29700.0,29700.0,29700.0,29700.0,400.0
2018-09-20,29800.0,29800.0,29800.0,29800.0,700.0
2018-09-19,29900.0,29900.0,29900.0,29900.0,1000.0
2018-09-18,29900.0,29900.0,29900.0,29900.0,100.0
2018-09-13,30000.0,30000.0,30000.0,30000.0,400.0
2018-09-11,31000.0,31000.0,31000.0,31000.0,200.0
2018-08-28,32000.0,32000.0,32000.0,32000.0,100.0
2018-08-27,31000.0,31000.0,31000.0,31000.0,100.0
2018-08-24,31000.0,30500.0,31000.0,30500.0,2400.0
2018-08-21,31000.0,31000.0,31000.0,31000.0,100.0
2018-08-20,32600.0,32600.0,32600.0,32600.0,100.0
2018-08-16,32900.0,32900.0,32900.0,32900.0,100.0
2018-08-14,33000.0,33000.0,33000.0,33000.0,100.0
2018-08-06,29500.0,29500.0,29500.0,29500.0,200.0
2018-08-03,29500.0,29500.0,29500.0,29500.0,200.0
2018-08-02,29000.0,29000.0,29000.0,29000.0,200.0
2018-06-26,25500.0,25500.0,25500.0,25500.0,100.0
2018-05-31,25900.0,25900.0,25900.0,25900.0,200.0
2018-05-29,26000.0,26000.0,26000.0,26000.0,700.0
2018-05-09,27800.0,27800.0,27800.0,27800.0,100.0
2018-03-23,21000.0,20000.0,21000.0,20000.0,1000.0
2018-03-20,17900.0,17900.0,17900.0,17900.0,0.0
2018-03-19,22000.0,22000.0,22000.0,22000.0,0.0
2018-03-15,21000.0,21000.0,21000.0,21000.0,500.0
2018-03-08,21000.0,21000.0,21000.0,21000.0,100.0
2018-02-27,21000.0,21000.0,21000.0,21000.0,100.0
2018-02-22,20000.0,20000.0,20000.0,20000.0,500.0
2018-02-07,23100.0,23100.0,23100.0,23100.0,900.0
2018-02-05,20100.0,20100.0,20100.0,20100.0,200.0
2018-01-12,17500.0,17500.0,17500.0,17500.0,200.0
2018-01-10,19300.0,19300.0,19300.0,19300.0,100.0
2018-01-08,22500.0,22500.0,22500.0,22500.0,500.0
2018-01-05,26000.0,26000.0,26000.0,26000.0,500.0
2018-01-02,29100.0,29100.0,29100.0,29100.0,600.0
2017-12-29,35000.0,33300.0,35000.0,33300.0,3800.0
2017-12-28,33100.0,29000.0,33200.0,29000.0,900.0
2017-12-27,27500.0,32000.0,32000.0,27500.0,700.0
2017-12-26,29000.0,29000.0,29000.0,29000.0,100.0
2017-12-25,27200.0,27200.0,35300.0,27200.0,1700.0
2017-12-22,35000.0,31000.0,35000.0,31000.0,400.0
2017-12-21,31000.0,31000.0,31000.0,31000.0,100.0
2017-12-20,32000.0,32000.0,32000.0,32000.0,100.0
2017-12-19,28300.0,28300.0,28300.0,28300.0,100.0
2017-12-18,25100.0,24500.0,25100.0,24500.0,1200.0
2017-12-15,24700.0,24700.0,24700.0,18300.0,2500.0
2017-12-14,21500.0,21500.0,22700.0,21500.0,3400.0
2017-12-13,21000.0,21000.0,21000.0,21000.0,200.0
2017-12-12,19700.0,19500.0,19700.0,19500.0,700.0
2017-12-11,17200.0,17200.0,17200.0,17200.0,1500.0
2017-12-07,15000.0,15000.0,15000.0,15000.0,200.0
2017-08-25,21200.0,21200.0,21200.0,21200.0,400.0
2017-08-22,25000.0,25000.0,25000.0,24000.0,1300.0
2017-08-16,21800.0,21800.0,21800.0,21800.0,100.0
2017-08-15,19000.0,19000.0,19000.0,19000.0,600.0
2017-08-10,17300.0,17300.0,17300.0,17300.0,100.0
2017-08-07,15100.0,15100.0,15100.0,15100.0,100.0
2017-07-28,15900.0,15900.0,15900.0,15900.0,600.0
2017-07-26,15900.0,15900.0,15900.0,15900.0,500.0
2017-07-24,16000.0,16000.0,16000.0,14700.0,1900.0
2017-07-21,17200.0,17200.0,17200.0,17200.0,100.0
2017-07-13,20200.0,20200.0,20200.0,20200.0,200.0
2017-07-11,20500.0,20500.0,20500.0,20500.0,200.0
2017-07-05,22000.0,22000.0,22000.0,22000.0,500.0
2017-06-30,20000.0,20500.0,20500.0,20000.0,300.0
2017-06-29,21500.0,21500.0,21500.0,21500.0,100.0
2017-06-27,22000.0,22000.0,22000.0,22000.0,200.0
2017-06-20,22000.0,22000.0,22000.0,22000.0,200.0
2017-05-26,22000.0,22000.0,22000.0,22000.0,400.0
2017-05-25,19600.0,19600.0,19600.0,19600.0,100.0
2017-05-24,19000.0,17000.0,19000.0,17000.0,1500.0
2017-05-19,17000.0,17000.0,17000.0,17000.0,800.0
2017-05-18,18000.0,18000.0,18000.0,18000.0,3000.0
2017-05-16,19000.0,19000.0,19000.0,19000.0,1600.0
2017-05-15,20000.0,20000.0,20000.0,20000.0,300.0
2017-05-12,20000.0,20000.0,20000.0,20000.0,1800.0
2017-05-09,22000.0,22000.0,22000.0,22000.0,800.0
2017-05-08,22000.0,22000.0,22000.0,22000.0,1000.0
2017-05-05,22000.0,22000.0,22000.0,22000.0,200.0
2017-05-04,21300.0,21300.0,21300.0,21300.0,0.0
2017-05-03,21300.0,21300.0,21300.0,21300.0,0.0
2017-04-28,25000.0,25000.0,25000.0,25000.0,200.0
2017-04-27,20000.0,20000.0,20000.0,20000.0,0.0
2017-04-26,23500.0,23500.0,23500.0,23500.0,500.0
2017-04-25,23500.0,23500.0,23500.0,23500.0,400.0
2017-04-12,23300.0,23300.0,23300.0,23300.0,1000.0
2017-04-11,25000.0,25000.0,25000.0,25000.0,1500.0
2017-03-30,22100.0,22100.0,22100.0,22100.0,200.0
2017-03-24,26000.0,26000.0,26000.0,26000.0,300.0
2017-03-22,26000.0,26000.0,26000.0,26000.0,100.0
2017-03-21,26500.0,24800.0,26500.0,24000.0,7000.0
2017-03-20,22500.0,24000.0,24000.0,22100.0,1600.0
2017-03-17,24000.0,24000.0,24000.0,24000.0,500.0
2017-03-16,23600.0,23600.0,23700.0,23600.0,600.0
2017-03-15,27000.0,27000.0,27000.0,27000.0,400.0
2017-03-14,26000.0,26000.0,26000.0,26000.0,100.0
2017-03-13,25000.0,25000.0,25000.0,25000.0,4900.0
2017-03-10,29200.0,29200.0,29200.0,29200.0,3400.0
2017-03-09,33500.0,38700.0,38700.0,33500.0,3800.0
2017-03-08,38000.0,39400.0,39400.0,38000.0,7910.0
2017-03-07,34300.0,34300.0,34300.0,34300.0,2100.0
2017-03-06,29900.0,29900.0,29900.0,29900.0,21000.0
