Date,Close,Open,High,Low,Volume
2020-05-08,14500.0,14500.0,14500.0,14500.0,0.0
2020-05-07,14500.0,14500.0,14500.0,14500.0,0.0
2020-05-06,14500.0,14500.0,14500.0,14500.0,0.0
2020-05-05,14500.0,14500.0,14500.0,14500.0,0.0
2020-05-04,14500.0,14500.0,14500.0,14500.0,0.0
2020-04-29,14500.0,14500.0,14500.0,14500.0,0.0
2020-04-28,14500.0,14500.0,14500.0,14500.0,0.0
2020-04-27,14500.0,14500.0,14500.0,14500.0,0.0
2020-04-24,14500.0,14500.0,14500.0,14500.0,0.0
2020-04-23,14500.0,14500.0,14500.0,14500.0,0.0
2020-04-22,14500.0,14500.0,14500.0,14500.0,0.0
2020-04-21,14500.0,14500.0,14500.0,14500.0,0.0
2020-04-20,14500.0,14500.0,14500.0,14500.0,0.0
2020-04-17,14500.0,14500.0,14500.0,14500.0,0.0
2020-04-16,14500.0,14500.0,14500.0,14500.0,0.0
2020-04-15,14500.0,14500.0,14500.0,14500.0,0.0
2020-04-14,14500.0,14500.0,14500.0,14500.0,0.0
2020-04-13,14500.0,14500.0,14500.0,14500.0,0.0
2020-04-10,14500.0,14500.0,14500.0,14500.0,0.0
2020-04-09,14500.0,14500.0,14500.0,14500.0,0.0
2020-04-08,14500.0,14500.0,14500.0,14500.0,0.0
2020-04-07,14500.0,14500.0,14500.0,14500.0,0.0
2020-03-17,14500.0,14500.0,14500.0,14500.0,1000.0
2020-03-16,16100.0,16100.0,16100.0,16100.0,600.0
2020-03-13,17800.0,16500.0,17800.0,16500.0,11400.0
2020-03-12,16200.0,16200.0,16200.0,16200.0,6000.0
2020-03-11,14800.0,14800.0,14800.0,14800.0,1000.0
2020-03-09,13500.0,13500.0,13500.0,13500.0,1000.0
2020-03-06,12300.0,12300.0,12300.0,12300.0,3000.0
2020-03-05,11200.0,11200.0,11200.0,11200.0,102500.0
2020-03-02,10200.0,10200.0,10200.0,10200.0,1000.0
2020-02-26,9300.0,9300.0,9300.0,9300.0,1000.0
2020-02-13,10300.0,10300.0,10300.0,10300.0,58500.0
2020-02-06,11400.0,10300.0,12500.0,10300.0,1600.0
2020-02-05,11400.0,12600.0,12600.0,11400.0,11100.0
2020-01-22,12600.0,12500.0,12600.0,12500.0,10200.0
2020-01-17,11500.0,11500.0,11500.0,11500.0,100.0
2020-01-16,10500.0,10500.0,10500.0,10500.0,100.0
2020-01-14,9600.0,9600.0,9600.0,9600.0,10000.0
2020-01-09,10600.0,10600.0,10600.0,10600.0,900.0
2020-01-07,9700.0,9700.0,9700.0,9700.0,23800.0
2020-01-06,8900.0,8900.0,8900.0,8900.0,10000.0
2020-01-03,8100.0,8100.0,8100.0,8100.0,1000.0
2020-01-02,8700.0,8700.0,8700.0,8700.0,1000.0
2019-12-31,9600.0,9600.0,9600.0,9600.0,1000.0
2019-12-30,10400.0,12600.0,12600.0,10400.0,2000.0
2019-12-26,11500.0,11500.0,11500.0,11500.0,1000.0
2019-12-24,12700.0,12700.0,12700.0,12700.0,110.0
2019-12-05,11600.0,11600.0,11600.0,11600.0,1000.0
2019-12-03,12700.0,12700.0,12700.0,12700.0,10000.0
2019-11-28,11600.0,12600.0,12600.0,11600.0,36000.0
2019-11-27,11500.0,11500.0,11500.0,11500.0,1000.0
2019-11-26,12500.0,12500.0,12500.0,12500.0,2000.0
2019-11-25,12500.0,12500.0,12500.0,12500.0,10000.0
2019-11-22,13800.0,13800.0,13800.0,13800.0,40000.0
2019-11-21,15300.0,15300.0,15300.0,15300.0,11000.0
2019-11-20,17000.0,17000.0,17000.0,17000.0,1000.0
2019-11-19,15500.0,15500.0,15500.0,15500.0,2000.0
2019-11-06,14500.0,14500.0,14500.0,14500.0,1600.0
2019-08-27,14900.0,14900.0,14900.0,14900.0,100.0
2019-08-16,16500.0,16500.0,16500.0,16500.0,200.0
2019-08-09,18300.0,18300.0,18300.0,18300.0,5000.0
2019-07-26,16700.0,16700.0,16700.0,16700.0,200.0
2019-07-24,18500.0,18500.0,18500.0,18500.0,1700.0
2019-07-12,18500.0,18500.0,18500.0,18500.0,1000.0
2019-07-11,20300.0,20300.0,20300.0,20300.0,1000.0
2019-07-10,18500.0,16700.0,18500.0,16700.0,1200.0
2019-06-27,18500.0,18500.0,18500.0,18500.0,1000.0
2019-06-24,16900.0,16900.0,16900.0,16900.0,1000.0
2019-06-21,15400.0,15400.0,15400.0,15400.0,1000.0
2019-06-13,14000.0,15400.0,15400.0,14000.0,10200.0
2019-06-07,14000.0,15400.0,15400.0,14000.0,1100.0
2019-05-30,14000.0,14000.0,14000.0,14000.0,300.0
2019-05-14,15000.0,15000.0,15000.0,15000.0,200.0
2019-05-13,16000.0,16000.0,16000.0,16000.0,200.0
2019-05-09,15900.0,15900.0,15900.0,15900.0,200.0
2019-05-08,16600.0,16600.0,16600.0,16600.0,400.0
2019-05-07,15100.0,15100.0,15100.0,15100.0,1000.0
2019-05-06,13800.0,13800.0,13800.0,13800.0,200.0
2019-04-05,12600.0,12600.0,12600.0,12600.0,1000.0
2019-03-28,14000.0,14000.0,14000.0,14000.0,1000.0
2019-03-25,14500.0,14500.0,14500.0,14500.0,1000.0
2019-03-22,15000.0,15000.0,15000.0,15000.0,1000.0
2019-03-21,15400.0,15000.0,15400.0,15000.0,300.0
2019-03-20,14000.0,14000.0,14000.0,14000.0,1000.0
2019-03-19,15100.0,15100.0,15100.0,15100.0,1050.0
2019-03-15,14000.0,14400.0,14400.0,14000.0,1100.0
2019-03-12,14400.0,14400.0,14400.0,14400.0,3000.0
2019-03-06,16000.0,16000.0,16000.0,16000.0,20800.0
2019-02-25,14600.0,14600.0,14600.0,14600.0,1000.0
2019-02-21,13300.0,13300.0,13300.0,13300.0,1000.0
2018-12-26,12100.0,12100.0,12100.0,12100.0,3000.0
2018-12-21,12100.0,12100.0,12100.0,12100.0,30000.0
2018-12-18,11000.0,11000.0,11000.0,11000.0,1000.0
2018-12-13,11400.0,11400.0,11400.0,11400.0,1000.0
2018-12-12,10400.0,10400.0,10400.0,10400.0,1000.0
2018-12-10,9500.0,9500.0,9500.0,9500.0,500.0
2018-11-19,8700.0,8700.0,8700.0,8700.0,900.0
2018-09-24,8600.0,8600.0,8600.0,8600.0,100.0
2018-09-04,9500.0,9500.0,9500.0,9500.0,1900.0
2018-07-31,9500.0,9500.0,9500.0,9500.0,700.0
2018-06-20,9500.0,9500.0,9500.0,9500.0,5020.0
2018-05-30,10515.0,10515.0,10515.0,10515.0,100.0
2018-05-29,11621.0,14204.0,14204.0,11621.0,90100.0
2018-05-24,12913.0,13835.0,13835.0,12913.0,1100.0
2018-05-22,14296.0,14296.0,14296.0,14296.0,500.0
2018-05-21,13005.0,13005.0,13005.0,13005.0,500.0
2018-05-17,11898.0,11898.0,11898.0,11898.0,5000.0
2018-05-16,10883.0,12636.0,12636.0,10883.0,10100.0
