Date,Close,Open,High,Low,Volume
2020-05-08,7300.0,7390.0,7600.0,7200.0,180600.0
2020-05-07,7390.0,7400.0,7660.0,7250.0,157130.0
2020-05-06,7380.0,7040.0,7450.0,7030.0,254930.0
2020-05-05,7000.0,6750.0,7090.0,6750.0,69790.0
2020-05-04,7000.0,7000.0,7070.0,6650.0,458250.0
2020-04-29,6610.0,6600.0,6610.0,6600.0,161870.0
2020-04-28,6180.0,6100.0,6180.0,6040.0,200640.0
2020-04-27,6010.0,6190.0,6190.0,5900.0,266200.0
2020-04-24,6010.0,5950.0,6170.0,5850.0,415120.0
2020-04-23,5950.0,6280.0,6280.0,5850.0,517900.0
2020-04-22,5900.0,5780.0,6000.0,5620.0,400510.0
2020-04-21,5780.0,5850.0,5950.0,5650.0,474840.0
2020-04-20,5950.0,5600.0,5990.0,5600.0,611300.0
2020-04-17,5600.0,6190.0,6190.0,5600.0,401960.0
2020-04-16,5950.0,5840.0,6200.0,5840.0,524990.0
2020-04-15,5840.0,5470.0,5840.0,5470.0,404660.0
2020-04-14,5460.0,5500.0,5550.0,5320.0,91840.0
2020-04-13,5400.0,5400.0,5550.0,5200.0,227580.0
2020-04-10,5400.0,5350.0,5500.0,5300.0,143530.0
2020-04-09,5550.0,5660.0,5660.0,5300.0,245320.0
2020-04-08,5350.0,5350.0,5350.0,5010.0,288490.0
2020-04-07,5000.0,5000.0,5000.0,5000.0,213650.0
2020-04-06,4680.0,4680.0,4680.0,4680.0,23240.0
2020-04-03,4380.0,4380.0,4380.0,4300.0,159290.0
2020-04-01,4100.0,3670.0,4150.0,3660.0,181480.0
2020-03-31,3930.0,3980.0,4150.0,3710.0,160570.0
2020-03-30,3980.0,4190.0,4200.0,3960.0,165780.0
2020-03-27,4250.0,4510.0,4510.0,4190.0,279420.0
2020-03-26,4500.0,4860.0,4860.0,4500.0,74060.0
2020-03-25,4800.0,4890.0,4890.0,4700.0,31770.0
2020-03-24,4700.0,4420.0,4740.0,4410.0,123660.0
2020-03-23,4740.0,5050.0,5050.0,4740.0,85810.0
2020-03-20,5090.0,5220.0,5220.0,5030.0,23650.0
2020-03-19,5090.0,5100.0,5150.0,5000.0,73640.0
2020-03-18,5190.0,5100.0,5260.0,5100.0,74330.0
2020-03-17,5050.0,5100.0,5430.0,5030.0,102310.0
2020-03-16,5100.0,4860.0,5200.0,4860.0,217640.0
2020-03-13,4860.0,4820.0,5100.0,4820.0,510690.0
2020-03-12,5180.0,5180.0,5180.0,5180.0,109350.0
2020-03-11,5560.0,5860.0,6050.0,5560.0,257820.0
2020-03-10,5970.0,5550.0,6200.0,5550.0,177840.0
2020-03-09,5960.0,5970.0,6100.0,5960.0,141410.0
2020-03-06,6400.0,6610.0,6610.0,6240.0,179870.0
2020-03-05,6310.0,6070.0,6480.0,6000.0,223730.0
2020-03-04,6070.0,5920.0,6100.0,5920.0,83270.0
2020-03-03,6090.0,6200.0,6200.0,5900.0,67420.0
2020-03-02,6030.0,5900.0,6200.0,5710.0,206490.0
2020-02-28,5800.0,5940.0,5940.0,5550.0,117560.0
2020-02-27,5940.0,5980.0,5980.0,5800.0,65340.0
2020-02-26,5840.0,5800.0,5970.0,5800.0,142430.0
2020-02-25,5980.0,5700.0,5990.0,5700.0,110110.0
2020-02-24,5880.0,6150.0,6230.0,5880.0,334550.0
2020-02-21,6320.0,6500.0,6860.0,6280.0,136210.0
2020-02-20,6540.0,6500.0,6540.0,6460.0,157320.0
2020-02-19,6120.0,5660.0,6120.0,5660.0,302050.0
2020-02-18,5720.0,5880.0,5880.0,5720.0,187410.0
2020-02-17,5890.0,5940.0,5940.0,5750.0,225930.0
2020-02-14,5940.0,5940.0,5940.0,5800.0,82440.0
2020-02-13,5940.0,5950.0,5990.0,5900.0,49660.0
2020-02-12,5950.0,5950.0,5990.0,5700.0,269470.0
2020-02-11,5950.0,6140.0,6140.0,5850.0,134460.0
2020-02-10,6000.0,6150.0,6150.0,5910.0,54490.0
2020-02-07,6190.0,6230.0,6230.0,6150.0,31280.0
2020-02-06,6170.0,6240.0,6250.0,6000.0,66180.0
2020-02-05,6090.0,6000.0,6240.0,5900.0,131520.0
2020-02-04,5900.0,6400.0,6500.0,5900.0,135250.0
2020-02-03,6150.0,6150.0,6290.0,6140.0,125040.0
2020-01-31,6600.0,6900.0,6900.0,6510.0,144430.0
2020-01-30,7000.0,7100.0,7120.0,6800.0,38300.0
2020-01-22,7100.0,7150.0,7150.0,6900.0,69040.0
2020-01-21,7100.0,7300.0,7300.0,7100.0,107940.0
2020-01-20,7300.0,7400.0,7400.0,7300.0,40220.0
2020-01-17,7400.0,7230.0,7400.0,7200.0,86780.0
2020-01-16,7230.0,7230.0,7280.0,7230.0,23570.0
2020-01-15,7230.0,7400.0,7400.0,7220.0,21430.0
2020-01-14,7300.0,7120.0,7390.0,7120.0,26920.0
2020-01-13,7120.0,7330.0,7450.0,7120.0,100610.0
2020-01-10,7330.0,7600.0,7600.0,7240.0,38950.0
2020-01-09,7360.0,7650.0,7650.0,7300.0,56000.0
2020-01-08,7500.0,7720.0,7720.0,7190.0,95610.0
2020-01-07,7720.0,7700.0,7990.0,7700.0,85120.0
2020-01-06,7700.0,8100.0,8150.0,7700.0,91210.0
2020-01-03,7940.0,7900.0,8100.0,7770.0,37020.0
2020-01-02,7950.0,7800.0,8150.0,7600.0,82710.0
2019-12-31,8100.0,7810.0,8150.0,7600.0,160580.0
2019-12-30,8150.0,8200.0,8350.0,8000.0,171800.0
2019-12-27,8150.0,8000.0,8200.0,8000.0,89750.0
2019-12-26,7710.0,7400.0,7710.0,7360.0,389090.0
2019-12-25,7210.0,7220.0,7380.0,7150.0,99160.0
2019-12-24,7230.0,7350.0,7350.0,7100.0,35260.0
2019-12-23,7160.0,7350.0,7400.0,7120.0,35970.0
2019-12-20,7150.0,7230.0,7370.0,7070.0,58360.0
2019-12-19,7210.0,7200.0,7390.0,7200.0,39860.0
2019-12-18,7200.0,7300.0,7400.0,7150.0,68150.0
2019-12-17,7200.0,7400.0,7400.0,7200.0,72370.0
2019-12-16,7300.0,7500.0,7590.0,7220.0,40770.0
2019-12-13,7590.0,7750.0,7750.0,7510.0,68440.0
2019-12-12,7600.0,7390.0,7600.0,7270.0,46470.0
