Date,Close,Open,High,Low,Volume
2020-05-06,100.0,100.0,100.0,100.0,0.0
2020-05-05,100.0,100.0,100.0,100.0,0.0
2020-05-04,100.0,100.0,100.0,100.0,0.0
2020-04-29,100.0,100.0,100.0,100.0,0.0
2020-04-28,100.0,100.0,100.0,100.0,0.0
2020-04-27,100.0,100.0,100.0,100.0,0.0
2020-04-24,100.0,100.0,100.0,100.0,100.0
2020-04-23,200.0,200.0,200.0,200.0,0.0
2020-04-22,200.0,200.0,200.0,200.0,0.0
2020-04-21,200.0,200.0,200.0,200.0,0.0
2020-04-20,200.0,200.0,200.0,200.0,0.0
2020-04-17,200.0,200.0,200.0,200.0,0.0
2020-04-16,200.0,200.0,200.0,200.0,0.0
2020-04-15,200.0,200.0,200.0,200.0,0.0
2020-04-14,200.0,200.0,200.0,200.0,0.0
2020-04-13,200.0,200.0,200.0,200.0,0.0
2020-04-10,200.0,200.0,200.0,200.0,0.0
2020-04-09,200.0,200.0,200.0,200.0,0.0
2020-04-08,200.0,200.0,200.0,200.0,0.0
2020-04-07,200.0,200.0,200.0,200.0,0.0
2018-06-15,500.0,500.0,500.0,500.0,500.0
2018-06-01,600.0,600.0,600.0,600.0,500.0
2018-03-30,500.0,500.0,500.0,500.0,10000.0
2018-03-23,500.0,500.0,500.0,500.0,3000.0
2018-03-16,600.0,600.0,600.0,600.0,500.0
2018-03-09,700.0,700.0,700.0,700.0,100.0
2018-02-23,700.0,700.0,700.0,700.0,100.0
2018-02-09,800.0,1000.0,1000.0,800.0,300.0
2018-02-02,900.0,900.0,900.0,900.0,8400.0
2018-01-19,1000.0,900.0,1000.0,900.0,1300.0
2018-01-12,1000.0,1100.0,1100.0,1000.0,18900.0
2017-12-29,1100.0,1100.0,1200.0,1100.0,700.0
2017-12-15,1200.0,1000.0,1200.0,1000.0,20800.0
2017-12-08,1100.0,1100.0,1100.0,1100.0,13260.0
2017-12-01,1200.0,1200.0,1200.0,1200.0,1700.0
2017-11-03,1300.0,1300.0,1300.0,1300.0,7300.0
2017-10-27,1400.0,1400.0,1400.0,1400.0,200.0
2017-10-26,1400.0,1400.0,1500.0,1400.0,900.0
2017-10-25,1500.0,1400.0,1500.0,1400.0,800.0
2017-10-24,1400.0,1400.0,1400.0,1400.0,4400.0
2017-10-23,1500.0,1500.0,1500.0,1500.0,350.0
2017-10-20,1600.0,1600.0,1700.0,1600.0,4420.0
2017-10-16,1700.0,1700.0,1700.0,1700.0,170.0
2017-10-12,1700.0,1500.0,1700.0,1500.0,3100.0
2017-10-11,1600.0,1600.0,1600.0,1600.0,1400.0
2017-10-02,1700.0,1600.0,1700.0,1600.0,3100.0
2017-09-29,1700.0,1700.0,1700.0,1700.0,240.0
2017-09-28,1600.0,1600.0,1600.0,1600.0,800.0
2017-09-26,1700.0,1700.0,1700.0,1700.0,300.0
2017-09-22,1700.0,1700.0,1700.0,1700.0,100.0
2017-09-21,1600.0,1600.0,1600.0,1600.0,100.0
2017-09-19,1700.0,1700.0,1700.0,1700.0,5000.0
2017-09-18,1700.0,1700.0,1700.0,1700.0,100.0
2017-09-13,1700.0,1700.0,1700.0,1700.0,20000.0
2017-09-08,1600.0,1600.0,1600.0,1600.0,100.0
2017-09-07,1700.0,1700.0,1700.0,1700.0,29100.0
2017-09-05,1600.0,1500.0,1600.0,1500.0,2000.0
2017-09-01,1600.0,1600.0,1600.0,1600.0,100.0
2017-08-30,1600.0,1600.0,1600.0,1600.0,100.0
2017-08-29,1700.0,1700.0,1700.0,1700.0,20000.0
2017-08-28,1600.0,1600.0,1600.0,1600.0,2160.0
2017-08-24,1700.0,1700.0,1700.0,1700.0,100.0
2017-08-23,1700.0,1600.0,1700.0,1600.0,4700.0
2017-08-22,1700.0,1700.0,1700.0,1700.0,110.0
2017-08-21,1600.0,1600.0,1600.0,1600.0,110.0
2017-08-17,1600.0,1600.0,1600.0,1600.0,6820.0
2017-08-16,1700.0,1600.0,1700.0,1600.0,300.0
2017-08-14,1600.0,1500.0,1600.0,1500.0,200.0
2017-08-11,1600.0,1600.0,1600.0,1600.0,300.0
2017-08-10,1700.0,1800.0,1800.0,1700.0,2400.0
2017-08-09,1800.0,1800.0,1800.0,1800.0,20000.0
2017-08-08,1700.0,1700.0,1700.0,1700.0,20050.0
2017-08-07,1600.0,1600.0,1600.0,1500.0,6210.0
2017-08-04,1600.0,1600.0,1600.0,1600.0,900.0
2017-08-03,1600.0,1600.0,1600.0,1600.0,8620.0
2017-08-02,1700.0,1600.0,1700.0,1600.0,10410.0
2017-07-31,1700.0,1700.0,1700.0,1700.0,100.0
2017-07-28,1800.0,1800.0,1800.0,1800.0,21300.0
2017-07-27,1800.0,1900.0,1900.0,1800.0,210.0
2017-07-26,1800.0,1800.0,1800.0,1800.0,210.0
2017-07-25,1700.0,1500.0,1700.0,1500.0,61500.0
2017-07-24,1600.0,1600.0,1600.0,1600.0,6000.0
2017-07-21,1700.0,1700.0,1700.0,1700.0,1800.0
2017-07-19,1800.0,1700.0,1800.0,1700.0,750.0
2017-07-18,1800.0,1700.0,1800.0,1700.0,3600.0
2017-07-17,1800.0,1700.0,1800.0,1700.0,11600.0
2017-07-14,1700.0,1600.0,1700.0,1600.0,4530.0
2017-07-13,1600.0,1600.0,1600.0,1600.0,1920.0
2017-07-12,1600.0,1600.0,1600.0,1600.0,8300.0
2017-07-11,1500.0,1500.0,1500.0,1500.0,9600.0
2017-07-10,1600.0,1600.0,1600.0,1600.0,200.0
2017-07-07,1600.0,1600.0,1600.0,1600.0,4100.0
2017-07-06,1600.0,1600.0,1700.0,1600.0,14800.0
2017-07-05,1600.0,1600.0,1600.0,1600.0,2520.0
2017-07-03,1600.0,1500.0,1600.0,1500.0,4500.0
2017-06-30,1500.0,1500.0,1500.0,1500.0,200.0
2017-06-29,1600.0,1500.0,1600.0,1500.0,200.0
2017-06-28,1600.0,1600.0,1600.0,1500.0,700.0
2017-06-23,1500.0,1500.0,1500.0,1500.0,5100.0
2017-06-21,1500.0,1500.0,1500.0,1500.0,200.0
2017-06-20,1400.0,1400.0,1400.0,1400.0,40000.0
2017-06-19,1500.0,1500.0,1500.0,1500.0,700.0
2017-06-14,1500.0,1500.0,1500.0,1500.0,2300.0
2017-06-13,1400.0,1400.0,1400.0,1400.0,24900.0
2017-06-12,1500.0,1500.0,1500.0,1500.0,100.0
2017-06-09,1500.0,1500.0,1500.0,1500.0,1900.0
2017-06-08,1600.0,1500.0,1600.0,1500.0,900.0
2017-06-07,1500.0,1400.0,1500.0,1400.0,4600.0
2017-06-06,1500.0,1500.0,1600.0,1500.0,10500.0
2017-06-05,1600.0,1500.0,1600.0,1500.0,600.0
2017-06-02,1600.0,1600.0,1600.0,1600.0,3600.0
2017-05-31,1600.0,1600.0,1600.0,1600.0,100.0
2017-05-30,1600.0,1600.0,1600.0,1600.0,5200.0
2017-05-29,1700.0,1500.0,1700.0,1500.0,1200.0
2017-05-26,1600.0,1400.0,1600.0,1400.0,400.0
2017-05-25,1500.0,1400.0,1500.0,1300.0,13100.0
2017-05-24,1400.0,1400.0,1400.0,1400.0,1200.0
2017-05-23,1500.0,1500.0,1500.0,1500.0,5000.0
2017-05-18,1600.0,1700.0,1700.0,1600.0,10900.0
2017-05-17,1600.0,1600.0,1600.0,1600.0,100.0
2017-05-16,1500.0,1600.0,1600.0,1500.0,400.0
2017-05-11,1500.0,1500.0,1500.0,1500.0,100.0
2017-05-10,1400.0,1400.0,1400.0,1400.0,1200.0
2017-05-05,1300.0,1300.0,1400.0,1300.0,700.0
2017-05-04,1300.0,1300.0,1300.0,1300.0,100.0
2017-05-03,1400.0,1300.0,1400.0,1300.0,200.0
2017-04-27,1300.0,1400.0,1400.0,1300.0,300.0
2017-04-26,1300.0,1400.0,1400.0,1300.0,500.0
2017-04-25,1400.0,1400.0,1400.0,1300.0,1330.0
2017-04-19,1400.0,1400.0,1400.0,1400.0,11900.0
2017-04-14,1500.0,1500.0,1500.0,1500.0,100.0
2017-04-13,1500.0,1500.0,1500.0,1500.0,1500.0
2017-04-12,1500.0,1500.0,1500.0,1500.0,100.0
2017-04-11,1400.0,1400.0,1400.0,1400.0,100.0
2017-04-10,1500.0,1500.0,1500.0,1500.0,100.0
2017-04-05,1600.0,1500.0,1600.0,1500.0,5100.0
2017-04-04,1600.0,1600.0,1600.0,1600.0,100.0
2017-04-03,1500.0,1500.0,1500.0,1500.0,10280.0
2017-03-31,1600.0,1600.0,1600.0,1600.0,100.0
2017-03-27,1700.0,1600.0,1700.0,1600.0,1300.0
2017-03-23,1700.0,1700.0,1700.0,1700.0,1100.0
2017-03-15,1600.0,1600.0,1600.0,1600.0,2600.0
2017-03-06,1700.0,1700.0,1700.0,1700.0,7800.0
2017-03-03,1600.0,1600.0,1600.0,1600.0,7600.0
2017-03-02,1600.0,1600.0,1600.0,1600.0,400.0
2017-02-27,1500.0,1600.0,1600.0,1500.0,800.0
2017-02-24,1600.0,1700.0,1700.0,1600.0,20100.0
2017-02-23,1700.0,1700.0,1700.0,1700.0,100.0
2017-02-22,1800.0,1800.0,1800.0,1800.0,600.0
2017-02-20,1700.0,1800.0,1800.0,1700.0,200.0
2017-02-17,1700.0,1700.0,1700.0,1700.0,100.0
2017-02-09,1700.0,1700.0,1700.0,1700.0,49900.0
2017-02-08,1700.0,1700.0,1700.0,1700.0,5000.0
2017-01-24,1700.0,1700.0,1700.0,1700.0,400.0
2017-01-17,1700.0,1700.0,1700.0,1700.0,10000.0
2017-01-11,1700.0,1700.0,1700.0,1700.0,57400.0
2017-01-10,1700.0,1600.0,1700.0,1600.0,5400.0
2017-01-05,1600.0,1600.0,1600.0,1600.0,100.0
2016-12-21,1600.0,1600.0,1600.0,1600.0,100.0
2016-12-20,1700.0,1700.0,1700.0,1700.0,4500.0
2016-12-19,1700.0,1700.0,1700.0,1700.0,100.0
2016-12-02,1600.0,1600.0,1600.0,1600.0,100.0
2016-11-30,1700.0,1700.0,1700.0,1700.0,39800.0
2016-11-23,1700.0,1700.0,1700.0,1700.0,105000.0
2016-11-21,1800.0,1800.0,1800.0,1800.0,100.0
2016-11-18,1700.0,1700.0,1700.0,1700.0,392300.0
2016-11-17,1700.0,1700.0,1700.0,1700.0,132000.0
2016-11-15,1700.0,1700.0,1700.0,1700.0,20000.0
2016-11-14,1600.0,1600.0,1600.0,1600.0,15010.0
2016-11-11,1500.0,1600.0,1700.0,1500.0,5300.0
2016-11-10,1600.0,1700.0,1700.0,1600.0,52200.0
2016-11-09,1700.0,1600.0,1700.0,1600.0,35350.0
2016-11-07,1700.0,1600.0,1700.0,1600.0,18700.0
2016-11-04,1600.0,1500.0,1600.0,1500.0,5500.0
2016-11-02,1500.0,1600.0,1600.0,1500.0,59500.0
2016-11-01,1600.0,1500.0,1600.0,1500.0,12800.0
2016-10-31,1600.0,1600.0,1600.0,1600.0,8000.0
2016-10-27,1700.0,1700.0,1700.0,1700.0,100.0
2016-10-26,1600.0,1500.0,1600.0,1500.0,200.0
2016-10-25,1600.0,1600.0,1600.0,1600.0,10200.0
2016-10-24,1700.0,1600.0,1700.0,1600.0,1700.0
2016-10-21,1700.0,1600.0,1700.0,1600.0,15100.0
2016-10-20,1700.0,1700.0,1700.0,1700.0,10170.0
2016-10-19,1800.0,1800.0,1800.0,1800.0,20500.0
2016-10-17,1900.0,1700.0,1900.0,1700.0,5700.0
2016-10-14,1800.0,1800.0,1800.0,1800.0,15500.0
2016-10-12,1900.0,1800.0,1900.0,1800.0,23700.0
2016-10-11,2000.0,1800.0,2000.0,1800.0,7100.0
2016-10-10,2000.0,1800.0,2000.0,1800.0,35700.0
2016-10-07,1900.0,1800.0,1900.0,1800.0,70000.0
2016-10-06,1900.0,1900.0,1900.0,1900.0,100.0
2016-09-30,2100.0,2100.0,2100.0,2100.0,1200.0
2016-09-29,2000.0,2000.0,2000.0,2000.0,900.0
2016-09-26,1900.0,1900.0,1900.0,1900.0,200.0
2016-09-23,1800.0,1800.0,1800.0,1800.0,10000.0
2016-09-22,1900.0,1800.0,1900.0,1800.0,3100.0
2016-09-20,2000.0,2000.0,2000.0,2000.0,0.0
2016-09-19,2000.0,2000.0,2000.0,2000.0,100.0
2016-09-15,1900.0,1900.0,1900.0,1900.0,5700.0
2016-09-12,1800.0,1800.0,1800.0,1800.0,800.0
2016-09-08,1900.0,1900.0,1900.0,1900.0,10800.0
2016-09-07,2100.0,2000.0,2100.0,2000.0,300.0
2016-09-06,2100.0,2100.0,2100.0,2000.0,18800.0
2016-09-05,2100.0,2100.0,2100.0,2100.0,100.0
2016-08-30,2200.0,1900.0,2200.0,1900.0,700.0
2016-08-29,2000.0,2000.0,2000.0,2000.0,200.0
2016-08-26,1900.0,1800.0,1900.0,1800.0,15800.0
2016-08-25,1800.0,1800.0,1800.0,1800.0,40000.0
2016-08-24,1900.0,1900.0,1900.0,1900.0,10000.0
2016-08-23,2100.0,1900.0,2100.0,1900.0,4900.0
2016-08-22,2000.0,1800.0,2000.0,1800.0,45800.0
2016-08-19,1900.0,2000.0,2000.0,1900.0,243900.0
2016-08-18,2100.0,2200.0,2200.0,2100.0,38700.0
2016-08-16,2300.0,2400.0,2400.0,2300.0,30900.0
2016-08-15,2500.0,2500.0,2500.0,2500.0,800.0
2016-08-12,2500.0,2500.0,2500.0,2500.0,26000.0
