Date,Close,Open,High,Low,Volume
2020-05-06,5570.0,5420.0,5570.0,5360.0,159330.0
2020-05-05,5380.0,5300.0,5450.0,5300.0,79450.0
2020-05-04,5450.0,5550.0,5550.0,5300.0,187510.0
2020-04-29,5680.0,5690.0,5700.0,5590.0,119200.0
2020-04-28,5690.0,5740.0,5740.0,5500.0,188640.0
2020-04-27,5690.0,5900.0,5900.0,5650.0,87730.0
2020-04-24,5800.0,5790.0,5800.0,5720.0,288060.0
2020-04-23,5790.0,5850.0,5940.0,5770.0,121190.0
2020-04-22,5910.0,5850.0,5980.0,5750.0,198710.0
2020-04-21,5910.0,6050.0,6180.0,5800.0,243680.0
2020-04-20,6200.0,6160.0,6250.0,6100.0,232650.0
2020-04-17,6250.0,6200.0,6250.0,6130.0,417300.0
2020-04-16,6290.0,6250.0,6300.0,6120.0,191000.0
2020-04-15,6340.0,6100.0,6340.0,6100.0,92460.0
2020-04-14,6130.0,6140.0,6140.0,5900.0,72690.0
2020-04-13,6150.0,6140.0,6150.0,5900.0,47780.0
2020-04-10,6140.0,6140.0,6170.0,5800.0,90160.0
2020-04-09,6140.0,5950.0,6150.0,5940.0,69350.0
2020-04-08,5940.0,5980.0,5980.0,5660.0,130180.0
2020-04-07,5980.0,6290.0,6290.0,5700.0,64160.0
2020-04-06,6020.0,5870.0,6040.0,5870.0,86030.0
2020-04-03,5750.0,5500.0,5760.0,5490.0,73880.0
2020-04-01,5660.0,5100.0,5660.0,5100.0,26770.0
2020-03-31,5300.0,4960.0,5300.0,4940.0,30370.0
2020-03-30,5200.0,5500.0,5500.0,5130.0,461400.0
2020-03-27,5510.0,5500.0,5800.0,5500.0,142480.0
2020-03-26,5830.0,5890.0,5890.0,5620.0,87010.0
2020-03-25,5890.0,5800.0,5930.0,5700.0,141660.0
2020-03-24,5800.0,5710.0,6000.0,5610.0,72070.0
2020-03-23,6030.0,6150.0,6160.0,6030.0,116890.0
2020-03-20,6480.0,6700.0,6700.0,6220.0,205160.0
2020-03-19,6680.0,6400.0,6700.0,6270.0,97660.0
2020-03-18,6740.0,6300.0,6740.0,6300.0,218480.0
2020-03-17,6300.0,6010.0,6300.0,5860.0,145800.0
2020-03-16,6300.0,6100.0,6300.0,6100.0,42130.0
2020-03-13,6390.0,6100.0,6390.0,6030.0,102010.0
2020-03-12,6480.0,6500.0,6500.0,6240.0,143060.0
2020-03-11,6700.0,6800.0,6800.0,6470.0,202240.0
2020-03-10,6860.0,6600.0,6860.0,6400.0,61490.0
2020-03-09,6700.0,6900.0,6900.0,6500.0,147880.0
2020-03-06,6980.0,6910.0,6980.0,6820.0,62600.0
2020-03-05,7000.0,6900.0,7090.0,6900.0,104920.0
2020-03-04,6900.0,6940.0,6950.0,6810.0,27630.0
2020-03-03,6900.0,7010.0,7010.0,6750.0,29320.0
2020-03-02,6800.0,6720.0,6800.0,6720.0,37260.0
2020-02-28,6800.0,6800.0,6800.0,6700.0,27990.0
2020-02-27,6840.0,6850.0,6850.0,6640.0,19660.0
2020-02-26,6790.0,6700.0,6790.0,6600.0,21990.0
2020-02-25,6790.0,6560.0,6790.0,6560.0,6010.0
2020-02-24,6750.0,6830.0,6900.0,6700.0,70080.0
2020-02-21,6970.0,6880.0,6970.0,6850.0,34200.0
2020-02-20,6990.0,7000.0,7000.0,6850.0,64870.00000000001
2020-02-19,7000.0,6980.0,7000.0,6800.0,162820.0
2020-02-18,6980.0,6910.0,7000.0,6780.0,64560.0
2020-02-17,7000.0,7040.0,7040.0,6700.0,111570.0
2020-02-14,7040.0,7050.0,7050.0,6900.0,6490.0
2020-02-13,7050.0,7000.0,7050.0,6950.0,11510.0
2020-02-12,7050.0,6990.0,7050.0,6900.0,13340.0
2020-02-11,7010.0,7000.0,7050.0,6940.0,26600.0
2020-02-10,7070.0,6940.0,7090.0,6900.0,10260.0
2020-02-07,6940.0,7190.0,7190.0,6940.0,35820.0
2020-02-06,7190.0,7000.0,7190.0,6900.0,44540.0
2020-02-05,7050.0,7000.0,7050.0,7000.0,11070.0
2020-02-04,7100.0,7000.0,7100.0,6730.0,45670.0
2020-02-03,7150.0,7000.0,7150.0,6890.0,112910.0
2020-01-31,7400.0,7000.0,7400.0,7000.0,120040.0
