Date,Close,Open,High,Low,Volume
2020-05-08,18400.0,18400.0,18400.0,18400.0,100.0
2020-05-07,18500.0,18500.0,18500.0,18500.0,300.0
2020-05-06,18700.0,18700.0,18700.0,18700.0,100.0
2020-05-05,18000.0,18500.0,18900.0,17500.0,900.0
2020-05-04,18900.0,18900.0,18900.0,18900.0,100.0
2020-04-29,17600.0,18300.0,18300.0,17600.0,5300.0
2020-04-28,16700.0,18500.0,18900.0,16700.0,3300.0
2020-04-27,17500.0,18000.0,18000.0,17500.0,4700.0
2020-04-24,19000.0,18800.0,19000.0,18800.0,1400.0
2020-04-23,19000.0,19700.0,19700.0,18900.0,1810.0
2020-04-22,18600.0,19200.0,19200.0,18600.0,1020.0
2020-04-21,18400.0,16800.0,18400.0,16800.0,14600.0
2020-04-20,16800.0,16400.0,16800.0,16400.0,2210.0
2020-04-17,15300.0,17300.0,17300.0,15300.0,200.0
2020-04-16,16000.0,16000.0,16000.0,16000.0,300.0
2020-04-15,14600.0,15600.0,15700.0,14600.0,2200.0
2020-04-14,14300.0,14300.0,14300.0,14300.0,600.0
2020-04-13,14300.0,16400.0,16400.0,14300.0,200.0
2020-04-10,15300.0,15200.0,15300.0,15200.0,500.0
2020-04-09,15300.0,15300.0,15300.0,15300.0,0.0
2020-04-08,15300.0,15300.0,15300.0,15300.0,0.0
2020-04-07,15300.0,15300.0,15300.0,15300.0,100.0
2020-04-03,14000.0,14000.0,14000.0,14000.0,1000.0
2020-04-01,15500.0,15500.0,15500.0,15500.0,100.0
2020-03-31,15000.0,15100.0,15100.0,14000.0,5200.0
2020-03-30,13800.0,14900.0,14900.0,13800.0,1200.0
2020-03-25,14500.0,14500.0,15900.0,14500.0,2810.0
2020-03-24,14500.0,17100.0,17100.0,14500.0,3200.0
2020-03-23,15800.0,14100.0,15800.0,14000.0,10800.0
2020-03-19,15400.0,15000.0,15400.0,15000.0,1300.0
2020-03-18,14200.0,14000.0,14200.0,14000.0,1500.0
2020-03-16,14600.0,14500.0,16200.0,14400.0,3200.0
2020-03-13,15600.0,15600.0,15600.0,15600.0,110.0
2020-03-12,14700.0,15100.0,15100.0,14700.0,36900.0
2020-03-11,16300.0,15600.0,16300.0,15000.0,4600.0
2020-03-10,15500.0,15600.0,15600.0,15400.0,1400.0
2020-03-09,15500.0,16000.0,17100.0,15500.0,7010.0
2020-03-06,17000.0,17600.0,17600.0,17000.0,2400.0
2020-03-05,17700.0,17700.0,17700.0,17700.0,1800.0
