Date,Close,Open,High,Low,Volume
2020-05-08,18050.0,16900.0,18050.0,16400.0,88150.0
2020-05-07,16900.0,17400.0,17400.0,16400.0,3730.0
2020-05-06,16500.0,16950.0,17100.0,16500.0,31680.0
2020-05-05,16850.0,16200.0,16900.0,16200.0,330.0
2020-05-04,16100.0,16000.0,17000.0,15200.0,71460.0
2020-04-29,16300.0,16400.0,16700.0,16300.0,6090.0
2020-04-28,16700.0,16350.0,16750.0,16350.0,4610.0
2020-04-27,16800.0,17000.0,17000.0,16250.0,8290.0
2020-04-24,16350.0,16800.0,16800.0,16100.0,9990.0
2020-04-23,16300.0,16400.0,16500.0,16300.0,14790.0
2020-04-22,16400.0,15800.0,17000.0,15800.0,28500.0
2020-04-21,16350.0,17200.0,17800.0,16000.0,50760.0
2020-04-20,17200.0,18400.0,18400.0,17000.0,40900.0
2020-04-17,18250.0,17050.0,18250.0,17050.0,126970.0
2020-04-16,17100.0,16900.0,17600.0,16900.0,42980.0
2020-04-15,17000.0,17400.0,17400.0,17000.0,10730.0
2020-04-14,17050.0,17000.0,17550.0,17000.0,84280.0
2020-04-13,17050.0,17450.0,17600.0,17000.0,43800.0
2020-04-10,17450.0,17000.0,17800.0,16900.0,90130.0
2020-04-09,17000.0,17150.0,17600.0,17000.0,29840.0
2020-04-08,17600.0,17450.0,17600.0,16700.0,57180.0
2020-04-07,17450.0,17400.0,17450.0,16200.0,28580.0
2020-04-06,16900.0,17500.0,17700.0,16750.0,57060.0
2020-04-03,16750.0,15800.0,16750.0,15650.0,146260.0
2020-04-01,15700.0,15650.0,16650.0,15150.0,44970.0
2020-03-31,15650.0,16150.0,16350.0,15550.0,69910.0
2020-03-30,16150.0,16150.0,16200.0,15050.0,76490.0
2020-03-27,16150.0,15900.0,16150.0,15400.0,58540.0
2020-03-26,15100.0,14700.0,15700.0,14700.0,135130.0
2020-03-25,14700.0,14500.0,15300.0,14300.0,60930.0
2020-03-24,15300.0,15050.0,16000.0,15000.0,74020.0
2020-03-23,15050.0,16000.0,16500.0,15000.0,295240.0
2020-03-20,16000.0,16900.0,16900.0,15900.0,114090.0
2020-03-19,16200.0,16000.0,17000.0,15850.0,47670.0
2020-03-18,17000.0,17100.0,17500.0,16150.0,118300.0
2020-03-17,16850.0,16400.0,16850.0,15000.0,76490.0
2020-03-16,15750.0,15500.0,15750.0,14700.0,138680.0
2020-03-13,14750.0,13800.0,14750.0,13200.0,106370.0
2020-03-12,13800.0,13950.0,13950.0,13500.0,124760.0
2020-03-11,13950.0,13750.0,13950.0,13500.0,199520.0
