"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/05/2020","4,000","4,500","4,500","4,000","56.60K","-9.09%"
"29/04/2020","4,400","4,500","4,600","4,400","32.66K","-2.22%"
"28/04/2020","4,500","4,100","4,600","4,100","36.80K","4.65%"
"27/04/2020","4,300","4,500","4,500","4,000","84.54K","-4.44%"
"24/04/2020","4,500","4,600","4,700","4,500","39.11K","-2.17%"
"23/04/2020","4,600","4,800","4,800","4,500","55.00K","0.00%"
"22/04/2020","4,600","4,600","4,800","4,400","99.10K","0.00%"
"21/04/2020","4,600","5,200","5,200","4,500","162.55K","-9.80%"
"20/04/2020","5,100","5,300","5,500","4,800","176.41K","6.25%"
"17/04/2020","4,800","4,300","4,800","4,300","128.00K","9.09%"
"16/04/2020","4,400","4,000","4,400","4,000","82.43K","10.00%"
"15/04/2020","4,000","4,500","4,500","4,000","155.70K","-11.11%"
"14/04/2020","4,500","5,000","5,200","4,400","175.01K","-4.26%"
"13/04/2020","4,700","4,600","4,700","4,300","111.98K","14.63%"
"10/04/2020","4,100","4,100","4,100","3,800","105.20K","13.89%"
"09/04/2020","3,600","3,200","3,600","3,200","50.00K","9.09%"
"08/04/2020","3,300","3,100","3,300","3,100","20.00K","6.45%"
"07/04/2020","3,100","3,000","3,100","3,000","10.31K","0.00%"
"06/04/2020","3,100","3,000","3,100","3,000","0.50K","6.90%"
"03/04/2020","2,900","2,900","2,900","2,900","0.10K","3.57%"
"01/04/2020","2,800","2,800","2,800","2,800","0.50K","-6.67%"
"31/03/2020","3,000","2,900","3,000","2,800","3.10K","3.45%"
"27/03/2020","2,900","2,900","3,100","2,900","3.71K","0.00%"
"26/03/2020","2,900","3,000","3,000","2,900","24.60K","-3.33%"
"25/03/2020","3,000","3,000","3,000","3,000","12.20K","-3.23%"
"24/03/2020","3,100","3,100","3,100","3,100","2.50K","3.33%"
"23/03/2020","3,000","3,200","3,200","3,000","6.71K","-6.25%"
"20/03/2020","3,200","3,000","3,200","3,000","7.40K","6.67%"
"19/03/2020","3,000","3,000","3,100","3,000","46.30K","0.00%"
"18/03/2020","3,000","2,900","3,000","2,900","15.50K","3.45%"
"17/03/2020","2,900","2,800","3,000","2,800","9.50K","3.57%"
"16/03/2020","2,800","2,800","2,800","2,800","3.30K","-3.45%"
"13/03/2020","2,900","2,800","3,000","2,800","13.40K","0.00%"
"12/03/2020","2,900","3,000","3,100","2,800","24.10K","-6.45%"
"11/03/2020","3,100","3,100","3,100","3,000","4.30K","0.00%"
"10/03/2020","3,100","2,800","3,300","2,800","9.50K","3.33%"
"09/03/2020","3,000","3,200","3,300","2,900","44.80K","-6.25%"
