"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"27/04/2020","18,000.0","18,000.0","18,000.0","18,000.0","0.30K","0.00%"
"15/04/2020","18,000.0","18,000.0","18,000.0","18,000.0","0.30K","0.56%"
"09/04/2020","17,900.0","17,900.0","17,900.0","17,900.0","1.40K","0.00%"
"06/04/2020","17,900.0","17,900.0","17,900.0","17,900.0","10.00K","2.29%"
"19/03/2020","17,500.0","17,800.0","17,800.0","17,500.0","3.30K","-1.69%"
"18/03/2020","17,800.0","17,900.0","17,900.0","17,800.0","7.40K","9.20%"
"11/03/2020","16,300.0","16,300.0","16,300.0","16,300.0","-","-9.94%"
"06/03/2020","18,100.0","18,100.0","18,100.0","18,100.0","4.00K","0.00%"
"24/02/2020","18,100.0","18,100.0","18,100.0","18,100.0","2.60K","-2.16%"
"18/02/2020","18,500.0","18,500.0","18,500.0","18,500.0","3.50K","0.00%"
"14/02/2020","18,500.0","18,500.0","18,500.0","18,500.0","1.70K","-2.63%"
"13/02/2020","19,000.0","19,000.0","19,000.0","19,000.0","2.00K","0.00%"
"11/02/2020","19,000.0","19,000.0","19,000.0","19,000.0","0.50K","0.00%"
"10/02/2020","19,000.0","19,000.0","19,000.0","19,000.0","2.00K","0.00%"
"16/01/2020","19,000.0","19,000.0","19,000.0","19,000.0","0.40K","5.56%"
"15/01/2020","18,000.0","18,000.0","18,000.0","18,000.0","0.10K","0.00%"
"09/01/2020","18,000.0","18,000.0","18,000.0","18,000.0","0.60K","0.00%"
"26/12/2019","18,000.0","18,000.0","18,000.0","18,000.0","0.40K","2.86%"
"18/12/2019","17,500.0","17,500.0","17,500.0","17,500.0","0.70K","0.00%"
"27/11/2019","17,500.0","17,500.0","17,500.0","17,500.0","5.00K","0.00%"
"11/11/2019","17,500.0","17,500.0","17,500.0","17,500.0","0.40K","0.00%"
"07/11/2019","17,500.0","17,500.0","17,700.0","17,500.0","5.20K","-2.78%"
"06/11/2019","18,000.0","18,000.0","18,000.0","18,000.0","0.80K","-5.26%"
"05/11/2019","19,000.0","19,000.0","19,000.0","19,000.0","0.10K","1.06%"
"31/10/2019","18,800.0","18,800.0","18,800.0","18,800.0","5.40K","-1.05%"
"16/10/2019","19,000.0","19,000.0","19,000.0","19,000.0","1.40K","0.00%"
"15/10/2019","19,000.0","19,000.0","19,000.0","19,000.0","2.20K","0.00%"
"04/10/2019","19,000.0","19,000.0","19,000.0","19,000.0","0.20K","-4.04%"
"27/09/2019","19,800.0","20,000.0","20,000.0","19,800.0","0.50K","-2.46%"
"24/09/2019","20,300.0","20,200.0","20,300.0","20,200.0","0.20K","-0.98%"
"18/09/2019","20,500.0","20,500.0","20,500.0","20,500.0","0.10K","-0.49%"
"30/07/2019","20,600.0","20,400.0","20,600.0","20,400.0","6.20K","9.57%"
"22/07/2019","18,800.0","20,500.0","20,500.0","18,800.0","5.20K","0.53%"
"19/07/2019","18,700.0","18,700.0","20,300.0","18,700.0","7.40K","1.08%"
"15/07/2019","18,500.0","19,900.0","20,300.0","18,500.0","1.40K","0.00%"
"02/07/2019","18,500.0","19,300.0","20,000.0","18,500.0","7.10K","-2.63%"
"01/07/2019","19,000.0","20,000.0","20,000.0","19,000.0","6.70K","-2.56%"
"27/06/2019","19,500.0","19,900.0","19,900.0","19,500.0","5.20K","-2.01%"
"12/06/2019","19,900.0","19,355.0","19,900.0","19,355.0","0.50K","6.83%"
"05/06/2019","18,628.0","17,719.0","18,628.0","17,719.0","0.20K","-4.65%"
"04/06/2019","19,537.0","19,537.0","19,537.0","19,537.0","0.70K","-5.16%"
"29/05/2019","20,600.0","20,600.0","20,600.0","20,600.0","0.10K","0.00%"
"21/05/2019","20,600.0","20,600.0","20,600.0","20,600.0","0.20K","0.49%"
"14/05/2019","20,500.0","20,500.0","20,500.0","20,500.0","0.10K","2.50%"
"10/05/2019","20,000.0","20,000.0","20,000.0","20,000.0","0.50K","1.01%"
"09/05/2019","19,800.0","19,800.0","19,800.0","19,800.0","0.90K","-10.00%"
"24/04/2019","22,000.0","22,000.0","22,000.0","22,000.0","7.30K","0.46%"
"23/04/2019","21,900.0","21,900.0","21,900.0","21,900.0","0.50K","9.50%"
"22/04/2019","20,000.0","21,500.0","22,500.0","20,000.0","11.10K","-6.98%"
"19/04/2019","21,500.0","21,500.0","21,500.0","21,500.0","3.50K","0.00%"
"18/04/2019","21,500.0","21,500.0","21,500.0","21,500.0","3.50K","3.86%"
"16/04/2019","20,700.0","20,700.0","20,700.0","20,700.0","0.40K","-1.43%"
"11/04/2019","21,000.0","21,000.0","21,000.0","21,000.0","0.20K","-2.78%"
"04/04/2019","21,600.0","21,400.0","21,600.0","21,400.0","2.20K","0.47%"
"01/04/2019","21,500.0","21,500.0","21,500.0","21,500.0","0.40K","0.47%"
"29/03/2019","21,400.0","21,400.0","21,400.0","21,400.0","1.40K","0.00%"
"27/03/2019","21,400.0","21,500.0","21,500.0","21,400.0","0.50K","-0.93%"
"22/03/2019","21,600.0","22,900.0","22,900.0","21,600.0","1.20K","-1.82%"
"21/03/2019","22,000.0","22,000.0","22,000.0","22,000.0","0.10K","-4.35%"
"20/03/2019","23,000.0","22,000.0","23,000.0","22,000.0","8.70K","4.55%"
"19/03/2019","22,000.0","22,000.0","22,000.0","22,000.0","0.20K","-1.79%"
"18/03/2019","22,400.0","22,000.0","22,400.0","22,000.0","4.50K","4.19%"
"12/03/2019","21,500.0","21,500.0","21,500.0","21,500.0","0.30K","0.00%"
"11/03/2019","21,500.0","21,500.0","21,500.0","21,500.0","0.40K","2.38%"
"08/03/2019","21,000.0","21,000.0","21,000.0","21,000.0","0.20K","0.00%"
"07/03/2019","21,000.0","20,000.0","21,000.0","20,000.0","6.10K","7.69%"
"06/03/2019","19,500.0","20,000.0","20,000.0","19,500.0","5.30K","1.56%"
"01/03/2019","19,200.0","19,700.0","19,700.0","19,200.0","0.40K","-9.43%"
"28/02/2019","21,200.0","21,400.0","21,400.0","21,200.0","0.70K","-9.79%"
"19/02/2019","23,500.0","23,500.0","23,500.0","23,500.0","2.10K","9.30%"
"24/01/2019","21,500.0","21,500.0","21,500.0","21,500.0","0.20K","1.90%"
"23/01/2019","21,100.0","21,100.0","21,100.0","21,100.0","0.10K","9.90%"
"15/01/2019","19,200.0","19,200.0","19,200.0","19,200.0","0.90K","9.09%"
"10/01/2019","17,600.0","19,000.0","19,000.0","17,600.0","1.20K","-8.33%"
"26/12/2018","19,200.0","19,100.0","19,200.0","19,100.0","0.50K","9.71%"
"24/12/2018","17,500.0","17,500.0","17,500.0","17,500.0","0.10K","-8.38%"
"21/12/2018","19,100.0","21,500.0","21,700.0","19,100.0","0.30K","-8.17%"
"11/12/2018","20,800.0","20,800.0","20,800.0","20,800.0","0.50K","-0.95%"
"06/12/2018","21,000.0","21,000.0","21,000.0","21,000.0","0.40K","0.00%"
"04/12/2018","21,000.0","21,000.0","21,000.0","21,000.0","0.10K","0.00%"
"03/12/2018","21,000.0","21,500.0","21,500.0","21,000.0","0.20K","0.00%"
"30/11/2018","21,000.0","21,500.0","21,500.0","21,000.0","1.40K","-2.33%"
"29/11/2018","21,500.0","21,500.0","21,500.0","21,500.0","0.10K","0.00%"
"27/11/2018","21,500.0","21,500.0","21,500.0","21,500.0","0.90K","9.69%"
"22/11/2018","19,600.0","19,600.0","19,600.0","19,600.0","0.10K","-1.51%"
"16/11/2018","19,900.0","19,300.0","21,300.0","19,300.0","14.10K","2.58%"
"14/11/2018","19,400.0","19,400.0","19,400.0","19,400.0","0.10K","-2.02%"
"06/11/2018","19,800.0","20,900.0","21,300.0","19,800.0","17.40K","2.06%"
