"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"27/03/2020","10,200","10,200","10,200","10,200","-","0.00%"
"17/01/2020","10,200","10,200","10,200","10,200","-","0.00%"
"10/01/2020","10,200","10,200","10,200","10,200","-","0.00%"
"03/01/2020","10,200","10,200","10,200","10,200","0.10K","-14.29%"
"27/12/2019","11,900","11,900","11,900","11,900","0.10K","-15.00%"
"16/10/2019","14,000","14,000","14,000","14,000","-","0.00%"
"16/08/2019","14,000","14,000","14,000","14,000","0.30K","0.00%"
"05/07/2019","14,000","14,000","14,000","14,000","0.10K","1.45%"
"28/06/2019","13,800","13,800","13,800","13,800","0.10K","-14.81%"
"22/02/2019","16,200","16,200","16,200","16,200","0.10K","-14.74%"
"21/12/2018","19,000","19,000","19,000","19,000","2.00K","-13.24%"
"14/12/2018","21,900","21,900","21,900","21,900","0.10K","1.86%"
"23/11/2018","21,500","21,500","21,500","21,500","0.10K","14.97%"
"16/11/2018","18,700","18,700","18,700","18,700","0.10K","-15.00%"
"26/10/2018","22,000","22,000","22,000","22,000","-","0.00%"
"12/10/2018","22,000","22,000","22,000","22,000","0.10K","-14.73%"
"05/10/2018","25,800","25,900","25,900","25,800","1.28M","39.46%"
"25/06/2018","18,500","18,500","18,500","18,500","0.10K","14.20%"
"30/05/2018","16,200","16,200","16,200","16,200","-","0.00%"
"17/05/2018","16,200","16,200","16,200","16,200","2.30K","0.00%"
"10/05/2018","16,200","16,200","16,200","16,200","0.30K","0.00%"
"09/05/2018","16,200","16,200","16,200","16,200","3.30K","0.00%"
"27/04/2018","16,200","16,200","16,200","16,200","-","0.00%"
"24/04/2018","16,200","16,200","16,200","16,200","-","0.00%"
"23/04/2018","16,200","16,200","16,200","16,200","-","0.00%"
"10/04/2018","16,200","16,200","16,200","16,200","6.10K","0.00%"
"03/04/2018","16,200","16,200","16,200","16,200","1.10K","-12.90%"
"15/03/2018","18,600","18,600","18,600","18,600","0.20K","14.81%"
"14/03/2018","16,200","16,200","16,200","16,200","2.40K","0.00%"
"13/03/2018","16,200","16,200","16,200","16,200","27.40K","0.00%"
"16/01/2018","16,200","16,200","16,200","16,200","4.50K","-14.74%"
"25/12/2017","19,000","19,000","19,000","19,000","0.10K","11.76%"
"21/12/2017","17,000","17,000","17,000","17,000","10.00K","-10.53%"
"19/12/2017","19,000","19,000","19,000","19,000","4.40K","-5.00%"
"18/12/2017","20,000","20,000","20,000","20,000","10.00K","-4.76%"
"14/12/2017","21,000","21,000","21,000","21,000","50.00K","40.00%"
"19/10/2017","15,000","15,000","15,000","15,000","0.10K","-10.71%"
"26/09/2017","16,800","16,800","16,800","16,800","0.30K","0.60%"
"30/08/2017","16,700","16,700","16,700","16,700","0.20K","-14.80%"
"16/08/2017","19,600","19,600","19,600","19,600","1.00K","-18.33%"
"27/07/2017","24,000","24,000","24,000","24,000","0.40K","0.00%"
"23/06/2017","24,000","24,000","24,000","24,000","0.10K","-4.00%"
"14/06/2017","25,000","25,000","25,000","25,000","2.00K","0.00%"
"12/06/2017","25,000","25,000","25,000","25,000","0.10K","0.00%"
"09/06/2017","25,000","25,800","25,800","25,000","4.70K","11.11%"
"08/06/2017","22,500","22,500","22,500","22,500","1.40K","14.80%"
"07/06/2017","19,600","19,600","19,600","19,600","0.60K","14.62%"
"02/06/2017","17,100","17,000","17,100","17,000","0.30K","14.77%"
"29/05/2017","14,900","14,900","14,900","14,900","0.30K","14.62%"
"24/04/2017","13,000","13,000","13,000","13,000","0.10K","-14.47%"
"19/04/2017","15,200","15,200","15,200","15,200","0.10K","-15.08%"
"13/04/2017","17,900","17,800","17,900","17,800","0.30K","14.74%"
"12/04/2017","15,600","15,600","15,600","15,600","0.10K","0.65%"
"11/04/2017","15,500","15,000","15,500","15,000","0.20K","3.33%"
"07/04/2017","15,000","15,000","15,000","15,000","0.10K","7.91%"
"05/04/2017","13,900","13,900","13,900","13,900","0.20K","-14.72%"
"04/04/2017","16,300","16,300","16,300","16,300","0.10K","14.79%"
"31/03/2017","14,200","14,200","14,200","14,200","0.10K","14.52%"
"30/03/2017","12,400","12,400","12,400","12,400","0.10K","14.81%"
"29/03/2017","10,800","10,800","10,800","10,800","0.10K","14.89%"
"28/03/2017","9,400","9,400","9,400","9,400","0.10K","-12.96%"
"27/03/2017","10,800","10,800","10,800","10,800","0.10K","14.89%"
"24/03/2017","9,400","9,400","9,400","9,400","0.10K","-14.55%"
"23/03/2017","11,000","11,000","11,000","11,000","0.10K","-12.70%"
"21/03/2017","12,600","12,600","12,600","12,600","0.30K","14.55%"
"20/03/2017","11,000","11,000","11,000","11,000","0.10K","-2.65%"
"17/03/2017","11,300","11,300","11,300","11,300","0.10K","-13.74%"
"14/03/2017","13,100","13,100","13,100","13,100","0.10K","-14.94%"
"08/03/2017","15,400","15,400","15,400","15,400","0.10K","14.93%"
"07/03/2017","13,400","13,400","13,400","13,400","0.10K","14.53%"
"02/03/2017","11,700","11,700","11,700","11,700","0.10K","-14.60%"
"24/02/2017","13,700","13,700","13,700","13,700","0.20K","-11.61%"
"21/02/2017","15,500","15,500","15,500","15,500","0.10K","-14.36%"
"16/02/2017","18,100","18,100","18,100","18,100","5.20K","-14.62%"
"14/02/2017","21,200","21,200","21,200","21,200","0.10K","14.59%"
"10/02/2017","18,500","18,600","18,600","18,500","5.00K","-26.00%"
"09/02/2017","25,000","21,400","25,000","21,400","1.10K","-0.40%"
"08/02/2017","25,100","25,100","25,100","25,100","0.10K","14.61%"
"07/02/2017","21,900","21,900","21,900","21,900","1.00K","-14.79%"
"06/02/2017","25,700","25,700","25,700","25,700","0.10K","14.73%"
"25/01/2017","22,400","22,400","22,400","22,400","0.10K","14.87%"
"23/01/2017","19,500","19,500","19,500","19,500","0.10K","14.71%"
"19/01/2017","17,000","17,000","17,000","17,000","1.00K","-12.82%"
"18/01/2017","19,500","20,000","20,000","19,500","3.50K","-10.55%"
"17/01/2017","21,800","22,500","22,500","21,800","11.00K","-12.45%"
"16/01/2017","24,900","27,000","27,000","24,900","13.00K","-1.97%"
"13/01/2017","25,400","25,400","25,400","25,400","9.00K","14.93%"
