"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","43,200.0","43,200.0","43,200.0","43,200.0","-","0.00%"
"04/05/2020","43,200.0","43,200.0","43,200.0","43,200.0","0.59K","-1.37%"
"29/04/2020","43,800.0","41,150.0","43,900.0","41,150.0","0.77K","0.11%"
"28/04/2020","43,750.0","43,900.0","43,900.0","42,500.0","1.50K","-0.34%"
"27/04/2020","43,900.0","44,000.0","44,000.0","43,400.0","0.51K","-0.23%"
"24/04/2020","44,000.0","41,150.0","44,000.0","41,150.0","1.49K","0.00%"
"23/04/2020","44,000.0","44,500.0","45,000.0","44,000.0","4.25K","-0.68%"
"22/04/2020","44,300.0","44,000.0","44,300.0","44,000.0","0.23K","0.23%"
"21/04/2020","44,200.0","44,500.0","44,500.0","44,200.0","0.42K","-0.67%"
"20/04/2020","44,500.0","44,000.0","45,000.0","43,800.0","12.60K","1.14%"
"17/04/2020","44,000.0","45,000.0","45,500.0","43,700.0","16.34K","-2.00%"
"16/04/2020","44,900.0","44,200.0","45,100.0","44,000.0","5.29K","6.40%"
"15/04/2020","42,200.0","42,100.0","43,600.0","42,100.0","8.35K","-3.21%"
"14/04/2020","43,600.0","42,500.0","44,100.0","42,500.0","2.59K","-2.90%"
"13/04/2020","44,900.0","44,900.0","44,900.0","44,900.0","0.10K","-0.22%"
"10/04/2020","45,000.0","42,200.0","45,000.0","42,200.0","0.02K","-0.11%"
"09/04/2020","45,050.0","44,500.0","45,050.0","42,000.0","1.75K","0.11%"
"08/04/2020","45,000.0","45,000.0","45,000.0","45,000.0","0.34K","0.00%"
"07/04/2020","45,000.0","47,950.0","47,950.0","44,500.0","0.47K","-4.26%"
"06/04/2020","47,000.0","47,000.0","47,000.0","46,500.0","0.50K","1.08%"
"03/04/2020","46,500.0","48,000.0","48,000.0","46,000.0","0.06K","3.22%"
"01/04/2020","45,050.0","41,100.0","45,050.0","41,100.0","0.35K","2.39%"
"31/03/2020","44,000.0","44,900.0","44,900.0","40,500.0","0.18K","4.76%"
"30/03/2020","42,000.0","44,800.0","44,800.0","42,000.0","0.11K","-5.83%"
"27/03/2020","44,600.0","44,650.0","44,650.0","44,500.0","0.05K","6.06%"
"26/03/2020","42,050.0","46,950.0","46,950.0","41,500.0","3.68K","-4.43%"
"25/03/2020","44,000.0","44,500.0","44,500.0","44,000.0","1.12K","-5.98%"
"24/03/2020","46,800.0","46,000.0","46,800.0","45,000.0","0.64K","6.97%"
"23/03/2020","43,750.0","46,900.0","46,900.0","43,750.0","0.23K","-6.91%"
"20/03/2020","47,000.0","51,000.0","51,000.0","44,900.0","1.30K","-2.49%"
"19/03/2020","48,200.0","45,000.0","48,200.0","45,000.0","0.11K","-0.21%"
"18/03/2020","48,300.0","45,450.0","48,300.0","45,450.0","0.12K","6.15%"
"17/03/2020","45,500.0","45,000.0","48,000.0","45,000.0","0.53K","-0.66%"
"16/03/2020","45,800.0","45,800.0","45,800.0","45,800.0","0.12K","-3.58%"
"13/03/2020","47,500.0","47,600.0","47,600.0","44,300.0","0.69K","-0.21%"
"12/03/2020","47,600.0","48,100.0","48,100.0","44,750.0","0.58K","-1.04%"
"11/03/2020","48,100.0","45,050.0","48,200.0","45,050.0","0.09K","-0.21%"
"10/03/2020","48,200.0","47,000.0","48,500.0","45,200.0","0.85K","-0.62%"
"09/03/2020","48,500.0","49,800.0","49,800.0","48,500.0","0.43K","-0.61%"
"06/03/2020","48,800.0","49,500.0","50,400.0","48,800.0","0.25K","-4.13%"
"05/03/2020","50,900.0","48,800.0","50,900.0","48,800.0","0.05K","-0.20%"
"04/03/2020","51,000.0","52,500.0","52,500.0","50,000.0","4.53K","-2.86%"
"03/03/2020","52,500.0","57,300.0","57,300.0","51,500.0","0.50K","-2.42%"
"02/03/2020","53,800.0","53,800.0","53,800.0","53,800.0","0.01K","0.00%"
"28/02/2020","53,800.0","54,500.0","54,500.0","51,200.0","0.05K","-0.19%"
