"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"03/03/2020","10,800.0","10,800.0","10,800.0","10,800.0","1.00K","6.93%"
"26/02/2020","10,100.0","10,100.0","10,100.0","10,100.0","1.00K","2.02%"
"26/12/2018","9,900.0","9,900.0","9,900.0","9,900.0","0.10K","9.38%"
"25/12/2018","9,051.4","9,051.4","9,051.4","9,051.4","0.60K","-9.43%"
"24/12/2018","9,994.3","9,994.3","9,994.3","9,994.3","0.10K","3.03%"
"10/12/2018","9,700.0","9,700.0","9,700.0","9,700.0","0.10K","8.99%"
"12/11/2018","8,900.0","8,900.0","8,900.0","8,900.0","0.10K","9.88%"
"07/11/2018","8,100.0","8,100.0","8,100.0","8,100.0","0.10K","9.46%"
"02/11/2018","7,400.0","7,400.0","7,400.0","7,400.0","0.10K","8.82%"
"12/09/2018","6,800.0","6,800.0","6,800.0","6,800.0","0.10K","9.68%"
"30/08/2018","6,200.0","6,200.0","6,200.0","6,200.0","0.20K","8.77%"
"20/08/2018","5,700.0","5,700.0","5,700.0","5,700.0","0.10K","9.62%"
"09/08/2018","5,200.0","5,200.0","5,200.0","5,200.0","0.10K","8.33%"
"02/08/2018","4,800.0","4,800.0","4,800.0","4,800.0","0.10K","9.09%"
"25/07/2018","4,400.0","4,400.0","4,400.0","4,400.0","0.10K","10.00%"
"05/07/2018","4,000.0","4,000.0","4,000.0","4,000.0","0.10K","-2.44%"
"02/07/2018","4,100.0","4,100.0","4,100.0","4,100.0","0.10K","-4.65%"
"28/06/2018","4,300.0","4,300.0","4,300.0","4,300.0","0.10K","-8.51%"
"27/06/2018","4,700.0","4,700.0","4,700.0","4,700.0","0.10K","-9.62%"
"21/06/2018","5,200.0","5,200.0","5,200.0","5,200.0","0.10K","-8.77%"
"20/06/2018","5,700.0","5,700.0","5,700.0","5,700.0","0.10K","9.62%"
"19/06/2018","5,200.0","5,200.0","5,200.0","5,200.0","0.10K","8.33%"
"18/06/2018","4,800.0","5,800.0","5,800.0","4,800.0","0.20K","-9.43%"
"14/06/2018","5,300.0","5,300.0","5,300.0","5,300.0","0.10K","8.16%"
"13/06/2018","4,900.0","4,900.0","4,900.0","4,900.0","0.10K","8.89%"
"12/06/2018","4,500.0","4,500.0","4,500.0","4,500.0","0.10K","9.76%"
"11/06/2018","4,100.0","4,100.0","4,100.0","4,100.0","0.10K","7.89%"
"05/06/2018","3,800.0","3,800.0","3,800.0","3,800.0","0.10K","-9.52%"
"22/02/2018","4,200.0","4,200.0","4,200.0","4,200.0","0.10K","-6.67%"
"12/02/2018","4,500.0","4,500.0","4,500.0","4,500.0","0.10K","-8.16%"
"09/02/2018","4,900.0","4,900.0","4,900.0","4,900.0","0.10K","-7.55%"
"08/02/2018","5,300.0","5,300.0","5,300.0","5,300.0","0.10K","-7.02%"
"07/02/2018","5,700.0","5,700.0","5,700.0","5,700.0","0.10K","-8.06%"
"06/02/2018","6,200.0","6,200.0","6,200.0","6,200.0","0.10K","-8.82%"
"05/02/2018","6,800.0","6,800.0","6,800.0","6,800.0","0.10K","-9.33%"
"02/02/2018","7,500.0","7,500.0","7,500.0","7,500.0","0.10K","-8.54%"
"01/02/2018","8,200.0","8,200.0","8,200.0","8,200.0","0.10K","-9.89%"
"31/01/2018","9,100.0","9,100.0","9,100.0","9,100.0","0.10K","-9.00%"
"26/01/2018","10,000.0","10,000.0","10,000.0","10,000.0","3.30K","0.00%"
"03/10/2017","10,000.0","10,000.0","10,000.0","10,000.0","1.60K","0.00%"
"02/10/2017","10,000.0","10,000.0","10,000.0","10,000.0","7.50K","1.01%"
"26/07/2017","9,900.0","9,900.0","9,900.0","9,900.0","0.60K","10.00%"
"22/06/2017","9,000.0","9,000.0","9,000.0","9,000.0","0.10K","-10.00%"
"11/04/2017","10,000.0","10,000.0","10,000.0","10,000.0","0.50K","0.00%"
"03/04/2017","10,000.0","10,000.0","10,000.0","10,000.0","1.00K","-2.91%"
"14/03/2017","10,300.0","10,300.0","10,300.0","10,300.0","1.10K","4.04%"
"03/03/2017","9,900.0","9,900.0","9,900.0","9,900.0","0.30K","-1.98%"
"02/03/2017","10,100.0","10,100.0","10,100.0","10,100.0","0.10K","9.78%"
"21/02/2017","9,200.0","9,200.0","9,200.0","9,200.0","0.80K","0.00%"
"17/02/2017","9,200.0","9,200.0","9,200.0","9,200.0","0.20K","-2.91%"
"15/12/2016","9,476.0","9,476.0","9,476.0","9,476.0","3.80K","0.00%"
"14/12/2016","9,476.0","9,476.0","9,476.0","9,476.0","0.50K","8.42%"
"12/12/2016","8,740.0","8,740.0","8,740.0","8,740.0","0.30K","7.95%"
"09/12/2016","8,096.0","7,912.0","8,096.0","7,912.0","0.80K","8.64%"
"04/11/2016","7,452.0","7,452.0","7,452.0","7,452.0","0.20K","9.46%"
"03/11/2016","6,808.0","6,808.0","6,808.0","6,808.0","0.20K","8.82%"
"23/09/2016","6,256.0","6,256.0","6,256.0","6,256.0","1.00K","9.68%"
"26/05/2016","5,704.0","5,704.0","5,704.0","5,704.0","0.90K","6.90%"
"25/05/2016","5,336.0","5,336.0","5,336.0","5,336.0","0.20K","9.43%"
"18/05/2016","4,876.0","4,876.0","4,876.0","4,876.0","0.20K","8.16%"
"21/03/2016","4,508.0","4,508.0","4,508.0","4,508.0","0.10K","-9.26%"
"16/11/2015","4,968.0","4,968.0","4,968.0","4,968.0","0.10K","9.26%"
"04/11/2015","4,547.0","4,547.0","4,547.0","4,547.0","0.10K","-6.90%"
"15/09/2015","4,884.0","4,884.0","4,884.0","4,884.0","0.10K","1.75%"
"18/05/2015","4,800.0","4,800.0","4,800.0","4,800.0","0.30K","0.00%"
"12/05/2015","4,800.0","4,800.0","4,800.0","4,800.0","1.10K","7.55%"
