"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2020","7,000","7,000","7,000","7,000","0.10K","2.94%"
"28/04/2020","6,800","6,400","6,800","6,400","1.60K","-2.86%"
"24/04/2020","7,000","6,400","7,000","6,400","2.10K","9.38%"
"23/04/2020","6,400","6,300","6,400","6,300","5.40K","0.00%"
"22/04/2020","6,400","6,400","6,400","6,400","0.10K","-5.88%"
"20/04/2020","6,800","6,400","6,800","6,400","1.90K","6.25%"
"17/04/2020","6,400","6,400","6,400","6,400","1.40K","-4.48%"
"16/04/2020","6,700","6,700","6,700","6,700","0.10K","6.35%"
"14/04/2020","6,300","6,300","6,300","6,300","3.04K","-12.50%"
"10/04/2020","7,200","7,100","7,200","7,100","0.30K","5.88%"
"09/04/2020","6,800","6,800","6,800","6,800","0.90K","4.62%"
"08/04/2020","6,500","6,500","6,500","6,500","0.10K","0.00%"
"07/04/2020","6,500","6,200","6,500","6,100","10.50K","0.00%"
"06/04/2020","6,500","6,200","6,500","6,100","3.20K","0.00%"
"03/04/2020","6,500","6,500","6,500","6,500","0.50K","-10.96%"
"01/04/2020","7,300","6,400","7,300","6,400","3.50K","14.06%"
"31/03/2020","6,400","6,400","6,400","6,400","0.90K","-3.03%"
"30/03/2020","6,600","6,300","6,600","6,200","4.50K","1.54%"
"27/03/2020","6,500","6,500","6,500","6,500","1.80K","0.00%"
"26/03/2020","6,500","6,500","6,500","6,500","2.00K","-2.99%"
"25/03/2020","6,700","6,200","6,700","6,200","0.40K","-1.47%"
"24/03/2020","6,800","6,500","6,800","6,000","10.20K","4.62%"
"23/03/2020","6,500","6,600","6,600","6,500","8.00K","-13.33%"
"19/03/2020","7,500","6,700","7,600","6,700","10.10K","10.29%"
"17/03/2020","6,800","6,800","6,800","6,800","1.60K","-1.45%"
"16/03/2020","6,900","6,500","6,900","6,500","3.10K","0.00%"
"13/03/2020","6,900","6,500","6,900","6,500","7.70K","0.00%"
"12/03/2020","6,900","7,100","7,100","6,400","9.50K","0.00%"
"11/03/2020","6,900","7,100","7,900","6,900","9.70K","-2.82%"
"10/03/2020","7,100","7,100","7,100","7,100","-","0.00%"
"09/03/2020","7,100","7,100","7,100","6,700","34.30K","0.00%"
"06/03/2020","7,100","7,000","7,100","7,000","4.00K","-2.74%"
"05/03/2020","7,300","7,100","7,300","7,000","4.80K","2.82%"
"04/03/2020","7,100","7,100","7,100","7,100","3.50K","0.00%"
"03/03/2020","7,100","7,100","7,100","7,000","10.01K","0.00%"
"02/03/2020","7,100","7,100","7,100","7,100","1.00K","2.90%"
"28/02/2020","6,900","7,900","7,900","6,900","2.20K","-2.82%"
"27/02/2020","7,100","7,100","7,100","7,100","2.00K","0.00%"
"26/02/2020","7,100","7,000","7,100","7,000","13.70K","0.00%"
"25/02/2020","7,100","7,100","7,100","7,000","4.00K","-1.39%"
"24/02/2020","7,200","7,200","7,200","7,000","5.50K","1.41%"
"21/02/2020","7,100","7,100","7,100","7,100","1.90K","-1.39%"
"20/02/2020","7,200","7,000","7,200","7,000","5.40K","2.86%"
"19/02/2020","7,000","7,300","7,300","7,000","3.05K","-7.89%"
"18/02/2020","7,600","7,600","7,600","7,600","2.09K","4.11%"
"17/02/2020","7,300","7,300","7,300","7,300","0.50K","4.29%"
"14/02/2020","7,000","7,000","7,000","7,000","2.50K","2.94%"
"13/02/2020","6,800","6,800","6,800","6,800","0.10K","-8.11%"
"11/02/2020","7,400","7,400","7,400","7,400","0.50K","1.37%"
"10/02/2020","7,300","7,400","7,400","7,300","2.10K","-3.95%"
"07/02/2020","7,600","7,600","7,600","7,600","2.00K","10.14%"
"06/02/2020","6,900","6,900","6,900","6,900","3.31K","1.47%"
"05/02/2020","6,800","8,400","8,400","6,800","6.00K","-4.23%"
"31/01/2020","7,100","8,000","8,000","7,100","2.60K","0.00%"
"30/01/2020","7,100","7,100","7,100","7,100","0.30K","-5.33%"
"22/01/2020","7,500","7,500","7,600","7,500","0.80K","-8.54%"
"21/01/2020","8,200","8,200","8,200","8,200","2.50K","3.80%"
"16/01/2020","7,900","7,900","7,900","7,900","3.40K","5.33%"
"15/01/2020","7,500","7,500","7,500","7,500","2.00K","4.17%"
"13/01/2020","7,200","7,200","7,200","7,200","2.70K","2.86%"
"10/01/2020","7,000","7,000","7,000","7,000","0.31K","-9.09%"
"08/01/2020","7,700","7,700","7,700","7,700","2.21K","4.05%"
"07/01/2020","7,400","7,100","7,400","7,100","7.90K","2.78%"
"06/01/2020","7,200","7,400","7,400","7,200","1.64K","0.00%"
"03/01/2020","7,200","7,700","7,700","7,200","27.60K","0.00%"
