"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","11,100.0","11,000.0","11,200.0","10,900.0","23.45K","0.91%"
"04/05/2020","11,000.0","11,050.0","11,050.0","10,900.0","27.26K","-0.90%"
"29/04/2020","11,100.0","11,200.0","11,200.0","11,000.0","9.45K","-0.89%"
"28/04/2020","11,200.0","11,000.0","11,300.0","11,000.0","11.56K","1.82%"
"27/04/2020","11,000.0","11,000.0","11,400.0","11,000.0","11.40K","0.00%"
"24/04/2020","11,000.0","11,000.0","11,050.0","11,000.0","11.67K","-2.65%"
"23/04/2020","11,300.0","11,000.0","11,300.0","10,950.0","12.90K","3.20%"
"22/04/2020","10,950.0","11,100.0","11,100.0","10,900.0","21.33K","-1.35%"
"21/04/2020","11,100.0","11,000.0","11,300.0","10,900.0","20.32K","-1.77%"
"20/04/2020","11,300.0","11,400.0","11,400.0","10,900.0","38.03K","3.67%"
"17/04/2020","10,900.0","10,900.0","11,600.0","10,750.0","39.55K","0.00%"
"16/04/2020","10,900.0","10,700.0","10,950.0","10,600.0","16.60K","1.40%"
"15/04/2020","10,750.0","10,900.0","11,000.0","10,600.0","20.41K","-1.38%"
"14/04/2020","10,900.0","10,800.0","11,200.0","10,600.0","17.55K","1.87%"
"13/04/2020","10,700.0","11,000.0","11,000.0","10,700.0","6.79K","1.90%"
"10/04/2020","10,500.0","11,200.0","11,300.0","10,200.0","19.91K","-4.11%"
"09/04/2020","10,950.0","10,750.0","11,000.0","10,550.0","8.60K","4.29%"
"08/04/2020","10,500.0","10,200.0","10,500.0","10,000.0","17.56K","0.96%"
"07/04/2020","10,400.0","10,800.0","10,800.0","9,900.0","10.67K","1.96%"
"06/04/2020","10,200.0","9,500.0","10,250.0","9,500.0","16.46K","6.25%"
"03/04/2020","9,600.0","9,300.0","9,600.0","9,300.0","7.86K","6.67%"
"01/04/2020","9,000.0","9,200.0","9,600.0","9,000.0","25.72K","-3.23%"
"31/03/2020","9,300.0","9,850.0","9,850.0","8,850.0","25.44K","-2.00%"
"30/03/2020","9,490.0","9,850.0","9,850.0","9,490.0","27.53K","-6.96%"
"27/03/2020","10,200.0","10,300.0","10,300.0","9,850.0","32.32K","-1.92%"
"26/03/2020","10,400.0","10,500.0","10,500.0","10,150.0","46.78K","-3.70%"
"25/03/2020","10,800.0","11,300.0","11,300.0","10,350.0","39.71K","-1.82%"
"24/03/2020","11,000.0","10,550.0","11,000.0","10,300.0","17.55K","2.33%"
"23/03/2020","10,750.0","10,800.0","10,800.0","10,550.0","18.49K","-4.87%"
"20/03/2020","11,300.0","10,900.0","11,300.0","10,700.0","17.17K","0.00%"
"19/03/2020","11,300.0","10,700.0","11,300.0","10,650.0","6.57K","-0.44%"
