"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"10/04/2020","10,000","10,000","10,000","10,000","-","0.00%"
"16/03/2020","10,000","10,000","10,000","10,000","25.10K","-3.85%"
"18/12/2019","10,400","10,000","10,400","10,000","0.90K","4.00%"
"09/12/2019","10,000","10,000","10,000","10,000","0.20K","-0.99%"
"28/11/2019","10,100","10,100","10,100","10,100","0.10K","6.32%"
"27/11/2019","9,500","9,500","9,500","9,500","0.50K","11.76%"
"26/11/2019","8,500","8,500","8,500","8,500","0.90K","16.44%"
"25/11/2019","7,300","8,500","8,500","7,300","2.20K","-14.12%"
"22/11/2019","8,500","8,500","8,500","8,500","10.00K","0.00%"
"21/11/2019","8,500","8,500","8,500","8,500","0.20K","-2.30%"
"15/11/2019","8,700","8,700","8,700","8,700","0.30K","-11.22%"
"14/11/2019","9,800","9,800","9,800","9,800","0.10K","12.64%"
"13/11/2019","8,700","8,700","8,700","8,700","0.50K","-14.71%"
"12/11/2019","10,200","10,200","10,200","10,200","0.10K","13.33%"
"11/11/2019","9,000","9,000","9,000","9,000","0.50K","0.00%"
"08/11/2019","9,000","9,000","9,000","9,000","1.30K","0.00%"
"07/11/2019","9,000","10,100","10,100","8,800","1.90K","2.27%"
"06/11/2019","8,800","10,300","10,300","8,800","1.10K","-4.35%"
"04/11/2019","9,200","8,900","9,200","8,900","0.70K","2.22%"
"01/11/2019","9,000","8,900","9,000","8,900","0.90K","-12.62%"
"28/10/2019","10,300","10,300","10,300","10,300","0.10K","14.44%"
"25/10/2019","9,000","9,000","9,000","9,000","0.40K","-13.46%"
"24/10/2019","10,400","10,400","10,400","10,400","0.30K","8.33%"
"23/10/2019","9,600","9,600","9,600","9,600","0.10K","12.94%"
"22/10/2019","8,500","10,000","10,000","8,100","2.90K","-5.56%"
"21/10/2019","9,000","9,100","11,900","9,000","0.90K","-14.29%"
"18/10/2019","10,500","10,500","10,500","10,500","0.10K","2.94%"
"17/10/2019","10,200","10,200","10,200","10,200","0.20K","13.33%"
"16/10/2019","9,000","9,000","9,000","9,000","0.60K","-13.46%"
"14/10/2019","10,400","10,400","10,400","10,400","0.30K","1.96%"
"11/10/2019","10,200","10,200","10,200","10,200","0.80K","9.68%"
"10/10/2019","9,300","9,300","9,300","9,300","0.90K","-7.00%"
"09/10/2019","10,000","8,000","10,000","8,000","1.10K","13.64%"
"08/10/2019","8,800","8,800","8,800","8,800","2.00K","-2.22%"
"07/10/2019","9,000","9,000","9,000","9,000","0.10K","-8.16%"
"04/10/2019","9,800","9,800","9,800","9,800","0.10K","2.08%"
"03/10/2019","9,600","9,600","9,600","8,500","5.80K","1.05%"
"02/10/2019","9,500","9,600","9,600","9,500","1.30K","0.00%"
"01/10/2019","9,500","9,500","9,500","9,500","1.70K","4.40%"
"27/09/2019","9,100","9,100","9,100","9,100","0.10K","13.75%"
"25/09/2019","8,000","8,000","8,000","8,000","0.40K","14.29%"
"28/08/2019","7,000","7,000","7,000","7,000","0.20K","0.00%"
"07/08/2019","7,000","7,000","7,000","7,000","0.30K","0.00%"
"29/07/2019","7,000","7,000","7,000","7,000","0.10K","-6.67%"
"17/06/2019","7,500","7,500","7,500","7,500","1.00K","-8.54%"
"13/06/2019","8,200","8,200","8,200","8,200","-","0.00%"
"15/05/2019","8,200","8,100","8,200","8,100","3.00K","30.16%"
"14/05/2019","6,300","7,800","8,200","6,300","1.30K","-4.55%"
"10/05/2019","6,600","8,800","8,800","6,600","1.80K","-21.43%"
"09/05/2019","8,400","7,300","8,400","7,300","1.60K","-4.55%"
"26/04/2019","8,800","8,800","8,800","8,800","-","0.00%"
"12/04/2019","8,800","6,900","8,800","6,900","0.70K","8.64%"
"09/04/2019","8,100","8,100","8,100","8,100","-","0.00%"
"04/04/2019","8,100","8,100","8,100","8,100","-","0.00%"
"27/03/2019","8,100","8,100","8,100","8,100","-","0.00%"
"20/03/2019","8,100","8,100","8,100","8,100","0.00K","0.00%"
"18/03/2019","8,100","8,100","8,100","8,100","-","0.00%"
"13/03/2019","8,100","8,100","8,100","8,100","-","0.00%"
"12/03/2019","8,100","8,100","8,100","8,100","-","0.00%"
"05/03/2019","8,100","8,100","8,100","8,100","0.40K","-1.22%"
"25/02/2019","8,200","8,200","8,200","8,200","1.00K","-16.33%"
"11/02/2019","9,800","9,000","9,800","9,000","2.50K","7.69%"
"01/02/2019","9,100","8,000","9,100","8,000","0.50K","13.75%"
"31/01/2019","8,000","8,000","8,000","8,000","1.00K","14.29%"
"30/01/2019","7,000","7,000","7,000","7,000","1.20K","14.75%"
"18/01/2019","6,100","6,100","6,100","6,100","0.20K","0.00%"
"17/01/2019","6,100","6,100","6,100","6,100","0.10K","-12.86%"
"15/01/2019","7,000","7,000","7,000","7,000","1.00K","6.06%"
"14/01/2019","6,600","6,600","6,600","6,600","0.10K","-12.00%"
"10/01/2019","7,500","7,500","7,500","7,500","1.60K","0.00%"
