"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","31,200.0","31,300.0","31,300.0","31,200.0","3.35K","-0.64%"
"04/05/2020","31,400.0","30,300.0","31,500.0","30,300.0","8.40K","2.28%"
"29/04/2020","30,700.0","30,300.0","30,700.0","30,300.0","11.60K","0.99%"
"28/04/2020","30,400.0","30,500.0","30,500.0","30,300.0","2.60K","-0.33%"
"27/04/2020","30,500.0","30,500.0","30,500.0","30,300.0","5.12K","-1.29%"
"24/04/2020","30,900.0","31,600.0","32,400.0","30,100.0","5.21K","-0.32%"
"23/04/2020","31,000.0","31,000.0","31,100.0","30,100.0","5.21K","2.31%"
"22/04/2020","30,300.0","29,300.0","30,500.0","29,000.0","54.41K","1.00%"
"21/04/2020","30,000.0","31,200.0","31,200.0","29,700.0","11.00K","-5.66%"
"20/04/2020","31,800.0","32,000.0","32,200.0","31,500.0","16.61K","-2.15%"
"17/04/2020","32,500.0","32,500.0","32,500.0","32,300.0","18.47K","0.31%"
"16/04/2020","32,400.0","31,000.0","32,900.0","31,000.0","25.66K","4.52%"
"15/04/2020","31,000.0","30,100.0","31,000.0","30,100.0","34.52K","3.33%"
"14/04/2020","30,000.0","30,100.0","30,300.0","29,800.0","19.60K","-0.33%"
"13/04/2020","30,100.0","29,900.0","30,100.0","29,900.0","14.10K","0.67%"
"10/04/2020","29,900.0","29,900.0","30,000.0","29,600.0","23.32K","0.00%"
"09/04/2020","29,900.0","29,900.0","29,900.0","29,700.0","7.51K","0.67%"
"08/04/2020","29,700.0","29,600.0","29,800.0","29,500.0","7.42K","0.34%"
"07/04/2020","29,600.0","30,000.0","30,000.0","29,600.0","2.36K","-1.33%"
"06/04/2020","30,000.0","29,600.0","30,100.0","29,600.0","9.01K","1.35%"
"03/04/2020","29,600.0","29,500.0","30,700.0","29,400.0","16.64K","3.50%"
"01/04/2020","28,600.0","28,400.0","28,600.0","28,300.0","11.70K","0.00%"
"31/03/2020","28,600.0","28,600.0","28,800.0","28,500.0","5.30K","-1.04%"
"30/03/2020","28,900.0","29,200.0","29,200.0","28,600.0","4.61K","-1.03%"
"27/03/2020","29,200.0","29,100.0","29,200.0","29,000.0","4.44K","-0.68%"
"26/03/2020","29,400.0","29,300.0","29,400.0","29,300.0","1.50K","1.03%"
