"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/05/2020","900","900","900","900","18.80K","12.50%"
"29/04/2020","800","900","900","800","25.67K","-11.11%"
"28/04/2020","900","900","900","800","11.93K","0.00%"
"27/04/2020","900","900","900","900","3.44K","0.00%"
"24/04/2020","900","800","900","800","0.33K","12.50%"
"23/04/2020","800","800","800","800","85.37K","-11.11%"
"22/04/2020","900","700","900","700","0.95K","12.50%"
"21/04/2020","800","800","800","800","52.61K","0.00%"
"20/04/2020","800","900","900","800","11.30K","0.00%"
"17/04/2020","800","800","800","800","53.88K","0.00%"
"16/04/2020","800","900","900","800","6.43K","0.00%"
"15/04/2020","800","700","800","700","1.72K","0.00%"
"14/04/2020","800","800","800","800","16.84K","0.00%"
"13/04/2020","800","900","900","800","6.70K","-11.11%"
"10/04/2020","900","900","900","800","31.91K","0.00%"
"09/04/2020","900","900","900","900","1.60K","12.50%"
"08/04/2020","800","800","800","800","21.80K","0.00%"
"07/04/2020","800","800","800","800","75.62K","0.00%"
"06/04/2020","800","800","800","700","65.40K","14.29%"
"03/04/2020","700","800","800","700","5.61K","-12.50%"
"01/04/2020","800","700","800","700","98.60K","14.29%"
"31/03/2020","700","700","700","700","37.51K","0.00%"
"30/03/2020","700","700","700","700","118.90K","-12.50%"
"27/03/2020","800","800","800","700","70.60K","0.00%"
"26/03/2020","800","800","800","700","24.79K","0.00%"
"25/03/2020","800","900","900","700","47.30K","0.00%"
"24/03/2020","800","900","900","800","10.10K","0.00%"
"23/03/2020","800","900","900","800","68.53K","-11.11%"
"20/03/2020","900","900","900","800","21.10K","0.00%"
"19/03/2020","900","800","900","800","18.65K","0.00%"
"18/03/2020","900","900","900","800","20.01K","0.00%"
"17/03/2020","900","900","900","900","10.14K","12.50%"
"16/03/2020","800","800","800","800","4.52K","0.00%"
"13/03/2020","800","900","900","800","35.60K","-11.11%"
"12/03/2020","900","900","900","800","108.50K","0.00%"
"11/03/2020","900","1,000","1,000","800","24.60K","-10.00%"
"10/03/2020","1,000","900","1,000","800","53.00K","11.11%"
"09/03/2020","900","900","900","900","150.32K","-10.00%"
"06/03/2020","1,000","1,000","1,000","900","34.65K","0.00%"
"05/03/2020","1,000","1,000","1,000","1,000","1.52K","0.00%"
"04/03/2020","1,000","1,000","1,000","900","16.10K","0.00%"
"03/03/2020","1,000","1,000","1,000","1,000","61.05K","0.00%"
"02/03/2020","1,000","900","1,000","900","90.15K","0.00%"
"28/02/2020","1,000","1,000","1,000","900","18.23K","0.00%"
"27/02/2020","1,000","1,000","1,000","1,000","0.10K","0.00%"
"26/02/2020","1,000","1,000","1,000","1,000","10.27K","0.00%"
"25/02/2020","1,000","1,000","1,000","900","17.11K","11.11%"
"24/02/2020","900","900","900","900","116.26K","-10.00%"
"21/02/2020","1,000","900","1,000","900","87.60K","11.11%"
"20/02/2020","900","900","900","900","12.81K","-10.00%"
"19/02/2020","1,000","900","1,000","900","33.20K","0.00%"
"18/02/2020","1,000","1,000","1,000","900","62.00K","0.00%"
"17/02/2020","1,000","1,000","1,000","1,000","21.20K","11.11%"
"14/02/2020","900","1,000","1,100","900","60.42K","-18.18%"
"13/02/2020","1,100","1,000","1,100","1,000","69.39K","10.00%"
"12/02/2020","1,000","1,000","1,100","1,000","32.41K","0.00%"
"11/02/2020","1,000","1,000","1,000","1,000","28.30K","0.00%"
"10/02/2020","1,000","900","1,100","900","34.49K","0.00%"
"07/02/2020","1,000","1,000","1,000","900","23.50K","0.00%"
"06/02/2020","1,000","1,000","1,000","900","28.00K","0.00%"
"05/02/2020","1,000","1,000","1,000","1,000","25.20K","0.00%"
"04/02/2020","1,000","1,000","1,000","900","1.60K","11.11%"
"03/02/2020","900","900","1,000","900","87.30K","-10.00%"
"31/01/2020","1,000","1,000","1,000","1,000","27.02K","11.11%"
"30/01/2020","900","1,000","1,000","900","26.00K","-10.00%"
"22/01/2020","1,000","1,100","1,100","1,000","32.20K","-9.09%"
"21/01/2020","1,100","1,000","1,100","1,000","9.01K","10.00%"
"20/01/2020","1,000","1,000","1,000","1,000","10.00K","0.00%"
"17/01/2020","1,000","1,000","1,100","1,000","85.60K","0.00%"
"16/01/2020","1,000","900","1,000","900","31.02K","0.00%"
"15/01/2020","1,000","1,000","1,000","1,000","15.10K","0.00%"
"14/01/2020","1,000","900","1,000","900","23.90K","0.00%"
"13/01/2020","1,000","1,000","1,000","900","24.40K","0.00%"
"10/01/2020","1,000","1,000","1,000","900","71.30K","0.00%"
"09/01/2020","1,000","1,000","1,100","1,000","48.90K","-9.09%"
"08/01/2020","1,100","1,100","1,100","1,000","51.33K","0.00%"
"07/01/2020","1,100","1,100","1,100","1,000","165.05K","10.00%"
"06/01/2020","1,000","1,000","1,000","1,000","169.87K","0.00%"
"03/01/2020","1,000","1,000","1,000","900","108.00K","0.00%"
"02/01/2020","1,000","1,000","1,000","1,000","43.00K","11.11%"
"31/12/2019","900","900","1,000","900","31.90K","-10.00%"
"30/12/2019","1,000","1,000","1,000","900","15.10K","0.00%"
"27/12/2019","1,000","900","1,000","900","22.80K","0.00%"
"26/12/2019","1,000","1,000","1,000","1,000","25.00K","0.00%"
"25/12/2019","1,000","1,000","1,000","1,000","20.12K","11.11%"
"24/12/2019","900","900","1,000","900","34.50K","0.00%"
"23/12/2019","900","1,000","1,000","900","47.85K","-10.00%"
"20/12/2019","1,000","1,000","1,000","900","25.60K","0.00%"
"19/12/2019","1,000","1,000","1,000","1,000","18.32K","0.00%"
"18/12/2019","1,000","1,000","1,000","1,000","69.42K","11.11%"
"17/12/2019","900","900","900","900","240.04K","-10.00%"
"16/12/2019","1,000","1,000","1,000","1,000","0.90K","0.00%"
"13/12/2019","1,000","1,000","1,000","1,000","41.00K","0.00%"
"12/12/2019","1,000","1,000","1,000","1,000","4.10K","0.00%"
"11/12/2019","1,000","1,000","1,000","900","16.80K","11.11%"
"10/12/2019","900","900","1,000","900","30.50K","0.00%"
"09/12/2019","900","900","1,000","900","30.20K","0.00%"
"06/12/2019","900","900","900","900","7.50K","-10.00%"
"05/12/2019","1,000","1,000","1,000","1,000","18.11K","0.00%"
"04/12/2019","1,000","1,000","1,000","1,000","0.10K","11.11%"
"03/12/2019","900","900","900","900","4.72K","0.00%"
"02/12/2019","900","900","1,000","900","25.10K","-10.00%"
"29/11/2019","1,000","900","1,000","900","11.90K","11.11%"
"28/11/2019","900","1,000","1,000","900","35.31K","-10.00%"
"27/11/2019","1,000","1,000","1,000","900","11.00K","11.11%"
"26/11/2019","900","1,000","1,000","900","34.60K","0.00%"
"25/11/2019","900","900","1,000","900","27.80K","0.00%"
"22/11/2019","900","1,000","1,000","900","25.07K","0.00%"
"21/11/2019","900","1,000","1,000","900","33.70K","0.00%"
"20/11/2019","900","900","1,000","900","3.20K","0.00%"
"19/11/2019","900","1,000","1,000","900","70.80K","0.00%"
"18/11/2019","900","900","1,000","800","34.90K","0.00%"
"15/11/2019","900","900","900","900","36.22K","0.00%"
"14/11/2019","900","900","900","900","21.60K","0.00%"
"13/11/2019","900","900","900","800","59.00K","0.00%"
"12/11/2019","900","900","900","900","25.12K","0.00%"
"11/11/2019","900","900","900","900","20.90K","0.00%"
"08/11/2019","900","900","900","900","35.00K","0.00%"
"07/11/2019","900","800","900","800","14.70K","12.50%"
"06/11/2019","800","800","900","800","17.89K","-11.11%"
"05/11/2019","900","900","900","900","0.15K","0.00%"
"04/11/2019","900","900","1,000","900","33.30K","0.00%"
"01/11/2019","900","900","900","800","27.91K","0.00%"
"31/10/2019","900","900","900","900","32.50K","0.00%"
"30/10/2019","900","900","1,000","800","41.91K","0.00%"
"29/10/2019","900","900","900","900","33.64K","-10.00%"
