"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"24/04/2020","1,500","1,700","1,700","1,500","12.10K","0.00%"
"17/04/2020","1,500","1,500","1,500","1,500","21.20K","-11.76%"
"10/04/2020","1,700","1,700","1,700","1,700","23.60K","-10.53%"
"03/04/2020","1,900","1,900","1,900","1,900","0.10K","11.76%"
"20/03/2020","1,700","1,700","1,700","1,700","0.10K","13.33%"
"13/03/2020","1,500","1,500","1,500","1,500","0.10K","-11.76%"
"06/03/2020","1,700","1,700","1,700","1,700","6.90K","-10.53%"
"21/02/2020","1,900","2,000","2,000","1,900","50.10K","0.00%"
"14/02/2020","1,900","1,900","1,900","1,900","0.10K","5.56%"
"07/02/2020","1,800","1,800","1,800","1,800","11.00K","-10.00%"
"31/01/2020","2,000","2,000","2,000","2,000","23.70K","0.00%"
"17/01/2020","2,000","2,000","2,400","2,000","23.10K","-4.76%"
"10/01/2020","2,100","2,100","2,100","2,100","54.40K","-8.70%"
"03/01/2020","2,300","2,100","2,400","1,800","127.60K","9.52%"
"27/12/2019","2,100","2,100","2,200","2,100","82.80K","-8.70%"
"20/12/2019","2,300","2,500","2,500","2,200","90.40K","-8.00%"
"13/12/2019","2,500","2,500","2,500","2,500","3.50K","4.17%"
"06/12/2019","2,400","2,000","2,400","1,800","113.30K","9.09%"
"29/11/2019","2,200","2,600","2,600","2,000","44.70K","-4.35%"
"22/11/2019","2,300","2,100","2,300","2,000","158.50K","9.52%"
"15/11/2019","2,100","2,000","2,100","2,000","52.20K","5.00%"
"08/11/2019","2,000","2,200","2,200","1,900","19.90K","0.00%"
"01/11/2019","2,000","1,900","2,200","1,900","23.30K","-16.67%"
"25/10/2019","2,400","2,000","2,400","1,900","85.40K","14.29%"
"18/10/2019","2,100","2,100","2,100","2,100","0.20K","5.00%"
"11/10/2019","2,000","1,900","2,000","1,800","76.80K","5.26%"
"04/10/2019","1,900","1,800","1,900","1,700","15.50K","0.00%"
"27/09/2019","1,900","1,900","2,000","1,900","105.20K","-13.64%"
"20/09/2019","2,200","2,200","2,200","2,200","11.60K","-8.33%"
"13/09/2019","2,400","2,500","2,500","2,400","17.10K","-4.00%"
"06/09/2019","2,500","2,900","2,900","2,300","195.80K","-3.85%"
"30/08/2019","2,600","2,600","2,600","2,600","24.00K","13.04%"
"23/08/2019","2,300","2,300","2,300","2,300","74.90K","15.00%"
"16/08/2019","2,000","2,000","2,000","1,900","106.30K","11.11%"
"09/08/2019","1,800","1,800","1,800","1,800","89.70K","12.50%"
"02/08/2019","1,600","1,600","1,600","1,600","133.00K","14.29%"
"26/07/2019","1,400","1,400","1,400","1,300","17.80K","7.69%"
"19/07/2019","1,300","1,300","1,300","1,200","28.30K","8.33%"
"12/07/2019","1,200","1,000","1,200","1,000","27.70K","9.09%"
"05/07/2019","1,100","1,000","1,100","1,000","74.40K","10.00%"
"28/06/2019","1,000","1,000","1,000","1,000","1.00K","11.11%"
"21/06/2019","900","900","900","900","50.90K","12.50%"
"14/06/2019","800","700","800","700","12.70K","33.33%"
"31/05/2019","600","600","700","600","3.80K","0.00%"
"24/05/2019","600","600","600","600","24.40K","0.00%"
