"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","15,500.0","16,500.0","16,500.0","15,500.0","4.70K","-6.06%"
"29/04/2020","16,500.0","16,900.0","16,900.0","15,800.0","2.30K","-0.60%"
"28/04/2020","16,600.0","17,400.0","17,400.0","16,600.0","2.30K","0.00%"
"27/04/2020","16,600.0","16,600.0","16,600.0","16,600.0","0.10K","-0.60%"
"24/04/2020","16,700.0","16,700.0","16,700.0","15,800.0","1.20K","0.60%"
"23/04/2020","16,600.0","17,000.0","17,000.0","16,600.0","6.70K","0.61%"
"21/04/2020","16,500.0","16,500.0","16,500.0","16,500.0","1.05K","0.00%"
"20/04/2020","16,500.0","16,500.0","16,500.0","16,500.0","1.25K","0.00%"
"17/04/2020","16,500.0","16,700.0","16,700.0","16,500.0","14.70K","-1.79%"
"16/04/2020","16,800.0","16,500.0","16,800.0","16,500.0","0.90K","0.60%"
"15/04/2020","16,700.0","16,700.0","16,700.0","16,700.0","0.10K","-0.60%"
"14/04/2020","16,800.0","16,700.0","16,800.0","16,700.0","2.00K","0.00%"
"13/04/2020","16,800.0","16,200.0","16,800.0","16,100.0","1.91K","2.44%"
"10/04/2020","16,400.0","16,700.0","16,700.0","16,300.0","2.80K","-8.89%"
"07/04/2020","18,000.0","16,600.0","18,000.0","16,500.0","11.80K","0.00%"
"06/04/2020","18,000.0","17,300.0","18,000.0","17,200.0","1.05K","-5.76%"
"03/04/2020","19,100.0","18,900.0","19,100.0","18,900.0","1.00K","0.53%"
"26/03/2020","19,000.0","17,700.0","19,000.0","17,700.0","1.20K","-2.56%"
"18/03/2020","19,500.0","19,900.0","19,900.0","19,500.0","0.20K","4.84%"
"17/03/2020","18,600.0","17,900.0","18,600.0","17,900.0","0.50K","-6.06%"
"16/03/2020","19,800.0","19,800.0","19,800.0","19,800.0","0.10K","3.66%"
"13/03/2020","19,100.0","19,100.0","19,100.0","19,100.0","0.10K","9.77%"
"12/03/2020","17,400.0","17,200.0","17,400.0","17,100.0","1.10K","-8.42%"
"11/03/2020","19,000.0","19,000.0","19,000.0","19,000.0","0.20K","-8.65%"
"09/03/2020","20,800.0","19,400.0","20,800.0","19,400.0","0.20K","9.47%"
"06/03/2020","19,000.0","19,000.0","19,000.0","19,000.0","0.20K","0.00%"
"05/03/2020","19,000.0","19,000.0","19,000.0","19,000.0","0.60K","0.00%"
"03/03/2020","19,000.0","19,000.0","19,000.0","19,000.0","0.30K","-3.55%"
"02/03/2020","19,700.0","19,000.0","19,700.0","19,000.0","0.60K","-1.01%"
"28/02/2020","19,900.0","21,000.0","21,000.0","19,900.0","0.60K","-3.86%"
"26/02/2020","20,700.0","19,100.0","20,700.0","19,100.0","0.90K","-1.43%"
"21/02/2020","21,000.0","21,000.0","21,000.0","21,000.0","0.10K","7.69%"
"20/02/2020","19,500.0","19,500.0","19,500.0","19,500.0","0.90K","-4.41%"
"19/02/2020","20,400.0","20,400.0","20,400.0","20,400.0","0.50K","-1.45%"
"18/02/2020","20,700.0","20,700.0","20,700.0","20,700.0","0.30K","-0.48%"
"13/02/2020","20,800.0","20,800.0","20,800.0","20,800.0","0.30K","-1.42%"
"12/02/2020","21,100.0","19,700.0","21,100.0","19,700.0","1.70K","-2.31%"
"10/02/2020","21,600.0","20,100.0","21,600.0","20,100.0","0.35K","-2.70%"
"06/02/2020","22,200.0","20,800.0","22,200.0","20,800.0","1.00K","-3.90%"
"05/02/2020","23,100.0","23,800.0","23,800.0","21,000.0","1.00K","-0.86%"
"04/02/2020","23,300.0","23,200.0","24,900.0","21,000.0","1.20K","0.00%"
"31/01/2020","23,300.0","23,900.0","23,900.0","23,300.0","0.60K","2.19%"
"30/01/2020","22,800.0","23,300.0","23,300.0","20,000.0","1.20K","2.70%"
"22/01/2020","22,200.0","22,200.0","22,200.0","22,200.0","0.50K","1.37%"
"21/01/2020","21,900.0","23,143.0","23,143.0","19,222.0","1.35K","4.09%"
"20/01/2020","21,039.0","21,039.0","21,039.0","21,039.0","0.20K","3.77%"
"17/01/2020","20,274.0","19,127.0","20,274.0","19,127.0","0.51K","0.47%"
"16/01/2020","20,179.0","20,848.0","20,848.0","20,179.0","0.40K","0.48%"
"15/01/2020","20,083.0","20,083.0","20,083.0","20,083.0","0.41K","-0.48%"
"14/01/2020","20,179.0","20,179.0","20,179.0","20,179.0","0.30K","5.50%"
"13/01/2020","19,127.0","19,127.0","19,127.0","19,127.0","0.20K","-4.84%"
"10/01/2020","20,100.0","20,100.0","20,100.0","20,100.0","0.50K","-1.47%"
"09/01/2020","20,400.0","20,400.0","20,400.0","20,400.0","0.70K","1.49%"
"08/01/2020","20,100.0","20,100.0","20,100.0","20,100.0","0.30K","-0.99%"
"07/01/2020","20,300.0","20,300.0","20,300.0","20,300.0","0.24K","-1.46%"
"06/01/2020","20,600.0","21,700.0","21,700.0","19,000.0","1.40K","-0.48%"
"03/01/2020","20,700.0","20,700.0","20,700.0","20,700.0","0.60K","-3.27%"
"02/01/2020","21,400.0","20,000.0","21,400.0","20,000.0","0.40K","-3.60%"
"31/12/2019","22,200.0","22,600.0","22,600.0","22,200.0","1.20K","4.23%"
"30/12/2019","21,300.0","21,500.0","21,500.0","19,100.0","1.00K","1.91%"
"27/12/2019","20,900.0","18,300.0","21,500.0","18,200.0","2.60K","6.63%"
"26/12/2019","19,600.0","19,600.0","19,600.0","19,600.0","1.10K","-1.51%"
"24/12/2019","19,900.0","19,900.0","19,900.0","19,900.0","0.10K","3.11%"
"23/12/2019","19,300.0","18,700.0","19,400.0","18,700.0","1.85K","3.21%"
"19/12/2019","18,700.0","19,000.0","19,000.0","18,000.0","1.40K","5.06%"
"18/12/2019","17,800.0","19,300.0","19,300.0","17,800.0","1.40K","-4.30%"
"17/12/2019","18,600.0","18,600.0","18,600.0","18,600.0","0.30K","-4.12%"
"12/12/2019","19,400.0","19,100.0","19,700.0","19,100.0","0.50K","1.57%"
"11/12/2019","19,100.0","19,200.0","19,200.0","19,100.0","1.14K","-5.91%"
"10/12/2019","20,300.0","19,200.0","20,300.0","19,200.0","0.53K","-1.46%"
"09/12/2019","20,600.0","20,600.0","20,600.0","20,600.0","0.20K","3.00%"
"06/12/2019","20,000.0","19,200.0","20,000.0","19,100.0","3.20K","-4.31%"
"04/12/2019","20,900.0","20,900.0","20,900.0","20,900.0","0.10K","3.47%"
"03/12/2019","20,200.0","20,700.0","20,700.0","20,200.0","0.30K","0.00%"
"02/12/2019","20,200.0","19,300.0","20,400.0","19,300.0","0.40K","-1.94%"
"29/11/2019","20,600.0","19,900.0","21,500.0","19,500.0","1.80K","4.57%"
"28/11/2019","19,700.0","19,800.0","19,800.0","19,700.0","0.30K","2.07%"
"27/11/2019","19,300.0","20,400.0","20,400.0","19,300.0","0.20K","-4.93%"
"26/11/2019","20,300.0","20,300.0","20,300.0","20,300.0","0.10K","3.05%"
"25/11/2019","19,700.0","19,900.0","20,400.0","19,200.0","1.00K","-0.51%"
"22/11/2019","19,800.0","19,900.0","19,900.0","19,200.0","2.20K","1.54%"
"21/11/2019","19,500.0","19,500.0","19,500.0","19,500.0","0.30K","-2.50%"
"18/11/2019","20,000.0","20,800.0","20,800.0","19,100.0","1.60K","-3.38%"
"15/11/2019","20,700.0","20,700.0","20,700.0","20,700.0","0.10K","2.99%"
"14/11/2019","20,100.0","20,100.0","20,100.0","20,100.0","1.00K","2.03%"
"13/11/2019","19,700.0","19,700.0","19,700.0","19,700.0","0.20K","-0.51%"
"12/11/2019","19,800.0","19,800.0","19,800.0","19,800.0","0.30K","-0.50%"
"11/11/2019","19,900.0","19,900.0","19,900.0","19,900.0","0.10K","3.11%"
"08/11/2019","19,300.0","19,000.0","19,300.0","19,000.0","0.90K","-3.02%"
"07/11/2019","19,900.0","20,700.0","20,700.0","19,000.0","1.60K","-1.97%"
"06/11/2019","20,300.0","20,300.0","20,300.0","20,300.0","0.10K","2.53%"
"05/11/2019","19,800.0","20,400.0","20,400.0","19,800.0","0.37K","-0.50%"
"04/11/2019","19,900.0","19,900.0","19,900.0","19,900.0","0.10K","1.02%"
"01/11/2019","19,700.0","18,200.0","19,700.0","18,200.0","0.20K","0.51%"
"31/10/2019","19,600.0","19,600.0","19,600.0","19,600.0","0.70K","-2.00%"
"29/10/2019","20,000.0","20,000.0","20,000.0","20,000.0","0.20K","-0.99%"
"28/10/2019","20,200.0","19,600.0","20,400.0","19,400.0","1.40K","2.54%"
"25/10/2019","19,700.0","19,700.0","19,700.0","19,700.0","0.15K","0.51%"
"24/10/2019","19,600.0","19,100.0","19,800.0","19,000.0","1.30K","-6.22%"
"22/10/2019","20,900.0","20,500.0","20,900.0","20,500.0","0.20K","4.50%"
"21/10/2019","20,000.0","19,600.0","20,000.0","19,600.0","0.40K","-0.50%"
"18/10/2019","20,100.0","19,000.0","20,100.0","19,000.0","0.20K","-0.50%"
"16/10/2019","20,200.0","19,400.0","20,200.0","19,300.0","0.80K","-3.35%"
"15/10/2019","20,900.0","21,800.0","21,800.0","19,500.0","0.30K","-2.34%"
"14/10/2019","21,400.0","21,400.0","21,400.0","21,400.0","0.10K","5.42%"
"11/10/2019","20,300.0","19,600.0","20,500.0","19,600.0","1.30K","3.57%"
"10/10/2019","19,600.0","19,800.0","19,800.0","18,200.0","3.44K","0.00%"
"09/10/2019","19,600.0","21,200.0","21,200.0","18,700.0","0.80K","-0.51%"
"08/10/2019","19,700.0","19,500.0","19,800.0","19,100.0","4.45K","-7.08%"
"07/10/2019","21,200.0","21,200.0","21,200.0","21,200.0","0.10K","-1.40%"
"04/10/2019","21,500.0","21,500.0","21,500.0","21,500.0","0.13K","2.87%"
"03/10/2019","20,900.0","21,600.0","21,600.0","20,900.0","3.76K","-9.13%"
"02/10/2019","23,000.0","23,000.0","23,000.0","23,000.0","0.20K","-7.26%"
"01/10/2019","24,800.0","24,800.0","24,800.0","24,800.0","0.10K","2.90%"
"30/09/2019","24,100.0","23,000.0","24,100.0","23,000.0","2.00K","-2.03%"
"26/09/2019","24,600.0","24,600.0","24,600.0","24,600.0","0.20K","0.00%"
