"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","16,750.0","17,200.0","17,200.0","16,400.0","144.10K","-1.47%"
"04/05/2020","17,000.0","15,900.0","17,000.0","15,750.0","413.03K","6.92%"
"29/04/2020","15,900.0","15,450.0","16,200.0","15,450.0","204.09K","0.63%"
"28/04/2020","15,800.0","15,950.0","16,100.0","15,150.0","368.58K","-2.47%"
"27/04/2020","16,200.0","16,300.0","16,300.0","15,900.0","101.93K","-0.92%"
"24/04/2020","16,350.0","16,700.0","16,800.0","16,350.0","182.10K","0.31%"
"23/04/2020","16,300.0","15,350.0","16,300.0","15,350.0","979.07K","6.89%"
"22/04/2020","15,250.0","15,000.0","15,250.0","14,800.0","37.46K","1.67%"
"21/04/2020","15,000.0","15,700.0","15,700.0","14,700.0","228.27K","-3.23%"
"20/04/2020","15,500.0","15,000.0","15,500.0","14,850.0","177.30K","4.38%"
"17/04/2020","14,850.0","14,900.0","14,950.0","14,650.0","30.03K","0.34%"
"16/04/2020","14,800.0","14,500.0","14,800.0","14,500.0","86.08K","2.07%"
"15/04/2020","14,500.0","14,100.0","15,000.0","13,700.0","80.93K","2.84%"
"14/04/2020","14,100.0","14,050.0","14,250.0","14,050.0","3.00K","-0.70%"
"13/04/2020","14,200.0","14,300.0","14,300.0","14,200.0","1.43K","-1.05%"
"10/04/2020","14,350.0","14,400.0","14,400.0","14,000.0","21.05K","0.00%"
"09/04/2020","14,350.0","14,250.0","14,350.0","13,900.0","75.87K","0.35%"
"08/04/2020","14,300.0","14,000.0","14,300.0","14,000.0","25.97K","0.00%"
"07/04/2020","14,300.0","14,200.0","14,300.0","13,900.0","52.81K","0.00%"
"06/04/2020","14,300.0","14,100.0","14,300.0","13,800.0","18.49K","0.70%"
"03/04/2020","14,200.0","14,100.0","14,200.0","13,900.0","29.46K","0.00%"
"01/04/2020","14,200.0","14,100.0","14,200.0","13,900.0","12.19K","2.16%"
"31/03/2020","13,900.0","13,500.0","13,900.0","13,400.0","17.39K","2.21%"
"30/03/2020","13,600.0","14,000.0","14,000.0","13,500.0","55.81K","-4.90%"
"27/03/2020","14,300.0","14,050.0","14,300.0","13,900.0","7.07K","0.70%"
"26/03/2020","14,200.0","14,300.0","14,500.0","14,200.0","29.95K","-2.41%"
"25/03/2020","14,550.0","13,600.0","14,550.0","13,450.0","134.59K","6.99%"
"24/03/2020","13,600.0","13,300.0","13,600.0","13,300.0","66.13K","0.00%"
"23/03/2020","13,600.0","14,350.0","14,350.0","13,500.0","87.91K","-5.23%"
"20/03/2020","14,350.0","14,600.0","14,600.0","13,900.0","46.46K","2.50%"
"19/03/2020","14,000.0","14,400.0","14,750.0","14,000.0","328.62K","-5.08%"
"18/03/2020","14,750.0","14,750.0","14,750.0","14,400.0","13.48K","0.00%"
"17/03/2020","14,750.0","14,350.0","14,800.0","14,350.0","53.84K","-0.34%"
"16/03/2020","14,800.0","14,300.0","14,950.0","14,200.0","73.20K","3.14%"
"13/03/2020","14,350.0","14,150.0","14,600.0","13,850.0","394.85K","-3.04%"
"12/03/2020","14,800.0","14,200.0","14,950.0","14,000.0","139.42K","0.00%"
"11/03/2020","14,800.0","15,150.0","15,150.0","14,700.0","113.03K","-1.00%"
"10/03/2020","14,950.0","14,000.0","14,950.0","14,000.0","266.41K","6.79%"
"09/03/2020","14,000.0","14,850.0","14,850.0","14,000.0","250.82K","-6.98%"
"06/03/2020","15,050.0","15,100.0","15,200.0","15,000.0","104.99K","0.33%"
"05/03/2020","15,000.0","14,950.0","15,150.0","14,900.0","66.30K","-0.66%"
"04/03/2020","15,100.0","15,000.0","15,100.0","14,900.0","72.74K","0.67%"
"03/03/2020","15,000.0","15,000.0","15,100.0","14,750.0","73.40K","1.35%"
"02/03/2020","14,800.0","14,900.0","15,050.0","14,800.0","50.81K","-1.33%"
"28/02/2020","15,000.0","15,000.0","15,000.0","14,750.0","108.65K","-0.33%"
"27/02/2020","15,050.0","15,150.0","15,200.0","14,950.0","98.70K","-0.33%"
"26/02/2020","15,100.0","14,800.0","15,100.0","14,750.0","132.97K","1.68%"
"25/02/2020","14,850.0","14,950.0","15,050.0","14,800.0","92.98K","-0.67%"
"24/02/2020","14,950.0","14,950.0","15,000.0","14,600.0","222.36K","1.70%"
"21/02/2020","14,700.0","14,500.0","14,850.0","14,400.0","161.48K","2.08%"
"20/02/2020","14,400.0","13,800.0","14,500.0","13,800.0","222.67K","4.35%"
