"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","19,000.0","19,100.0","19,150.0","19,000.0","502.56K","0.00%"
"04/05/2020","19,000.0","18,900.0","19,150.0","17,900.0","33.35K","0.00%"
"29/04/2020","19,000.0","19,000.0","19,000.0","18,650.0","63.94K","0.00%"
"28/04/2020","19,000.0","19,000.0","19,150.0","18,900.0","11.50K","0.00%"
"27/04/2020","19,000.0","19,100.0","19,300.0","18,600.0","58.64K","-1.55%"
"24/04/2020","19,300.0","19,300.0","19,400.0","19,100.0","91.91K","0.00%"
"23/04/2020","19,300.0","19,300.0","19,550.0","19,000.0","27.49K","0.00%"
"22/04/2020","19,300.0","19,350.0","19,400.0","19,000.0","24.82K","-0.52%"
"21/04/2020","19,400.0","19,500.0","19,700.0","19,100.0","841.82K","-0.51%"
"20/04/2020","19,500.0","19,500.0","19,800.0","19,000.0","100.69K","0.00%"
"17/04/2020","19,500.0","19,500.0","19,700.0","19,500.0","553.73K","-1.02%"
"16/04/2020","19,700.0","19,100.0","20,200.0","18,900.0","45.21K","3.14%"
"15/04/2020","19,100.0","19,000.0","19,400.0","18,950.0","47.45K","0.00%"
"14/04/2020","19,100.0","18,700.0","19,200.0","18,300.0","52.98K","-1.04%"
"13/04/2020","19,300.0","19,100.0","20,400.0","18,000.0","22.22K","0.52%"
"10/04/2020","19,200.0","19,800.0","19,800.0","19,000.0","62.18K","-3.52%"
"09/04/2020","19,900.0","19,650.0","20,100.0","18,500.0","28.75K","1.27%"
"08/04/2020","19,650.0","21,100.0","21,100.0","19,650.0","214.76K","-6.87%"
"07/04/2020","21,100.0","20,950.0","21,200.0","20,600.0","1.00M","-0.94%"
"06/04/2020","21,300.0","21,100.0","21,300.0","19,850.0","729.11K","0.00%"
"03/04/2020","21,300.0","21,300.0","21,350.0","19,950.0","26.06K","-0.70%"
"01/04/2020","21,450.0","21,000.0","21,500.0","19,750.0","53.47K","1.18%"
"31/03/2020","21,200.0","21,300.0","21,300.0","19,800.0","12.74K","0.95%"
"30/03/2020","21,000.0","21,400.0","21,450.0","20,100.0","19.66K","-2.10%"
"27/03/2020","21,450.0","21,100.0","21,450.0","20,000.0","16.37K","-0.23%"
"26/03/2020","21,500.0","21,300.0","21,750.0","21,300.0","24.44K","-1.15%"
"25/03/2020","21,750.0","21,300.0","22,000.0","21,000.0","32.48K","2.11%"
"24/03/2020","21,300.0","20,150.0","21,500.0","20,150.0","12.13K","-0.93%"
