"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","2,800.0","2,900.0","2,900.0","2,700.0","7.32K","-3.45%"
"04/05/2020","2,900.0","2,900.0","2,900.0","2,900.0","1.00K","-3.33%"
"27/04/2020","3,000.0","2,900.0","3,000.0","2,900.0","2.70K","0.00%"
"23/04/2020","3,000.0","3,000.0","3,000.0","3,000.0","0.10K","3.45%"
"22/04/2020","2,900.0","2,900.0","2,900.0","2,800.0","1.80K","-3.33%"
"21/04/2020","3,000.0","3,000.0","3,000.0","3,000.0","0.50K","0.00%"
"20/04/2020","3,000.0","2,900.0","3,000.0","2,800.0","4.70K","3.45%"
"17/04/2020","2,900.0","3,000.0","3,000.0","2,900.0","19.70K","-3.33%"
"16/04/2020","3,000.0","2,900.0","3,000.0","2,900.0","3.10K","3.45%"
"15/04/2020","2,900.0","2,700.0","2,900.0","2,700.0","5.10K","-3.33%"
"13/04/2020","3,000.0","2,900.0","3,000.0","2,900.0","3.60K","0.00%"
"10/04/2020","3,000.0","3,100.0","3,100.0","3,000.0","0.20K","-3.23%"
"09/04/2020","3,100.0","3,100.0","3,100.0","3,100.0","0.10K","-3.13%"
"08/04/2020","3,200.0","3,200.0","3,200.0","3,200.0","0.12K","6.67%"
"07/04/2020","3,000.0","2,900.0","3,000.0","2,700.0","1.80K","0.00%"
"06/04/2020","3,000.0","2,800.0","3,100.0","2,800.0","3.50K","0.00%"
"03/04/2020","3,000.0","3,100.0","3,100.0","3,000.0","25.50K","-3.23%"
"01/04/2020","3,100.0","3,100.0","3,100.0","3,100.0","0.80K","0.00%"
"31/03/2020","3,100.0","3,100.0","3,100.0","3,100.0","0.11K","-3.13%"
"27/03/2020","3,200.0","3,200.0","3,200.0","3,200.0","0.20K","6.67%"
"26/03/2020","3,000.0","3,200.0","3,300.0","3,000.0","37.50K","-9.09%"
"25/03/2020","3,300.0","3,300.0","3,300.0","3,200.0","2.50K","0.00%"
"20/03/2020","3,300.0","3,300.0","3,400.0","3,300.0","2.80K","0.00%"
"19/03/2020","3,300.0","3,700.0","3,700.0","3,100.0","2.80K","-2.94%"
"18/03/2020","3,400.0","3,400.0","3,400.0","3,400.0","1.60K","3.03%"
"17/03/2020","3,300.0","3,300.0","3,300.0","3,300.0","0.90K","-2.94%"
"16/03/2020","3,400.0","2,800.0","3,400.0","2,800.0","0.47K","9.68%"
"13/03/2020","3,100.0","3,100.0","3,100.0","3,100.0","8.73K","-8.82%"
"12/03/2020","3,400.0","3,200.0","3,400.0","3,200.0","0.60K","-2.86%"
"11/03/2020","3,500.0","3,600.0","3,600.0","3,500.0","0.20K","0.00%"
"10/03/2020","3,500.0","3,200.0","3,500.0","3,200.0","1.10K","0.00%"
"09/03/2020","3,500.0","3,400.0","3,500.0","3,400.0","9.70K","-5.41%"
"06/03/2020","3,700.0","3,700.0","3,700.0","3,700.0","0.14K","5.71%"
"05/03/2020","3,500.0","3,700.0","3,700.0","3,500.0","6.60K","0.00%"
"04/03/2020","3,500.0","3,600.0","3,600.0","3,300.0","11.67K","-2.78%"
"03/03/2020","3,600.0","3,500.0","3,600.0","3,500.0","2.90K","0.00%"
"02/03/2020","3,600.0","3,600.0","3,600.0","3,600.0","0.10K","2.86%"
"28/02/2020","3,500.0","3,500.0","3,500.0","3,500.0","3.00K","-5.41%"
"27/02/2020","3,700.0","3,400.0","3,800.0","3,400.0","45.20K","5.71%"
"26/02/2020","3,500.0","3,500.0","3,500.0","3,500.0","3.09K","-2.78%"
"25/02/2020","3,600.0","3,500.0","3,600.0","3,500.0","0.80K","2.86%"
"24/02/2020","3,500.0","3,500.0","3,500.0","3,500.0","0.20K","0.00%"
"21/02/2020","3,500.0","3,500.0","3,500.0","3,500.0","0.90K","-2.78%"
"20/02/2020","3,600.0","3,800.0","3,800.0","3,300.0","12.10K","0.00%"
"19/02/2020","3,600.0","3,600.0","3,600.0","3,600.0","0.70K","-2.70%"
"18/02/2020","3,700.0","3,700.0","3,900.0","3,500.0","10.40K","0.00%"
