"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/12/2019","30,000","30,000","30,000","30,000","0.20K","-27.71%"
"16/10/2019","41,500","41,500","41,500","41,500","-","0.00%"
"01/08/2019","41,500","41,500","41,500","41,500","0.20K","-39.94%"
"25/03/2019","69,100","69,100","69,100","69,100","0.10K","14.92%"
"22/03/2019","60,130","60,130","60,130","60,130","0.10K","14.88%"
"20/03/2019","52,343","52,343","52,343","52,343","0.10K","14.94%"
"18/03/2019","45,541","45,541","45,541","45,541","0.10K","38.00%"
"04/01/2019","33,000","33,000","33,000","33,000","0.10K","0.00%"
"28/12/2018","33,000","33,000","33,000","33,000","0.10K","0.00%"
"27/12/2018","33,000","33,000","33,000","33,000","0.10K","14.58%"
"25/12/2018","28,800","28,800","28,800","28,800","0.10K","39.81%"
"16/11/2018","20,600","20,600","20,600","20,600","0.10K","-13.45%"
"30/10/2018","23,800","23,800","23,800","23,800","-","0.00%"
"26/10/2018","23,800","23,800","23,800","23,800","0.10K","-14.70%"
"23/10/2018","27,900","27,900","27,900","27,900","0.10K","-17.94%"
"17/09/2018","34,000","31,600","34,000","31,600","0.20K","-8.11%"
"14/09/2018","37,000","37,000","37,000","37,000","0.20K","12.12%"
"24/08/2018","33,000","33,000","33,000","33,000","0.10K","3.77%"
"20/08/2018","31,800","31,800","31,800","31,800","0.10K","0.00%"
"17/08/2018","31,800","31,900","31,900","31,800","0.70K","-9.40%"
"15/08/2018","35,100","30,600","35,100","30,600","0.20K","14.71%"
"14/08/2018","30,600","30,600","30,600","30,600","0.10K","-9.73%"
"13/08/2018","33,900","33,900","33,900","33,900","0.10K","11.51%"
"09/08/2018","30,400","30,400","30,400","30,400","0.20K","14.72%"
"08/08/2018","26,500","26,500","26,500","26,500","0.10K","14.72%"
"07/08/2018","23,100","23,100","23,100","23,100","0.10K","35.09%"
"02/08/2018","17,100","17,100","17,100","17,100","-","0.00%"
"23/07/2018","17,100","17,100","17,100","17,100","-","-14.93%"
"16/07/2018","20,100","20,100","20,100","20,100","0.10K","-10.67%"
"13/07/2018","22,500","22,500","22,500","22,500","0.10K","-10.36%"
"12/07/2018","25,100","25,100","25,100","25,100","0.10K","-14.92%"
"09/07/2018","29,500","29,500","29,500","29,500","0.10K","-14.49%"
"06/07/2018","34,500","34,500","34,500","34,500","0.10K","1.17%"
"05/07/2018","34,100","25,800","34,100","25,800","0.20K","14.81%"
"04/07/2018","29,700","29,700","29,700","29,700","0.10K","14.67%"
"03/07/2018","25,900","25,900","25,900","25,900","0.10K","-13.09%"
"02/07/2018","29,800","29,800","29,800","29,800","0.10K","-14.86%"
"29/06/2018","35,000","35,000","35,000","35,000","0.10K","13.27%"
"27/06/2018","30,900","30,900","30,900","30,000","7.10K","14.87%"
"26/06/2018","26,900","26,900","26,900","26,900","0.10K","-14.60%"
"25/06/2018","31,500","31,500","31,500","31,500","0.10K","25.50%"
"22/06/2018","25,100","25,100","25,100","25,100","-","-14.92%"
"18/06/2018","29,500","29,500","29,500","29,500","0.10K","-14.49%"
"14/06/2018","34,500","34,500","34,500","34,500","0.80K","0.00%"
"13/06/2018","34,500","32,200","34,500","32,200","1.60K","15.77%"
"07/06/2018","29,800","33,000","33,000","29,800","1.68K","-14.86%"
"06/06/2018","35,000","35,000","35,000","35,000","0.10K","8.36%"
"04/06/2018","32,300","32,300","32,300","32,300","0.10K","17.88%"
"31/05/2018","27,400","27,400","27,400","27,400","-","-14.91%"
"30/05/2018","32,200","32,200","32,200","32,200","0.10K","0.63%"
"29/05/2018","32,000","23,900","32,000","23,900","0.20K","13.88%"
"24/05/2018","28,100","28,100","28,100","28,100","0.10K","-14.85%"
"22/05/2018","33,000","33,000","33,000","33,000","0.10K","3.13%"
"18/05/2018","32,000","26,500","32,000","26,500","0.60K","4.23%"
"17/05/2018","30,700","30,700","30,700","30,700","0.10K","14.98%"
"16/05/2018","26,700","26,700","26,700","26,700","0.10K","4.30%"
"15/05/2018","25,600","21,000","25,600","21,000","0.20K","26.11%"
"11/05/2018","20,300","20,300","20,300","20,300","-","-14.71%"
"10/05/2018","23,800","23,800","23,800","23,800","0.10K","40.00%"
"21/02/2018","17,000","17,000","17,000","17,000","0.10K","-38.18%"
"03/01/2018","27,500","27,500","27,500","27,500","0.10K","-14.86%"
"29/12/2017","32,300","32,300","32,300","32,300","0.10K","-19.25%"
"25/12/2017","40,000","38,000","40,000","35,100","0.70K","7.24%"
"21/12/2017","37,300","37,300","37,300","37,300","0.10K","14.77%"
"20/12/2017","32,500","32,500","32,500","32,500","6.00K","14.84%"
"16/11/2017","28,300","28,300","28,300","28,300","0.10K","-14.76%"
"10/11/2017","33,200","33,200","33,200","33,200","0.10K","-14.87%"
"08/11/2017","39,000","39,000","39,000","39,000","0.50K","-8.24%"
"01/11/2017","42,500","42,500","42,500","42,500","0.10K","6.25%"
"27/10/2017","40,000","41,000","41,000","40,000","0.30K","2.56%"
"26/10/2017","39,000","39,000","39,000","39,000","0.20K","2.63%"
"24/10/2017","38,000","38,000","38,000","38,000","0.10K","0.00%"
"23/10/2017","38,000","38,000","38,000","38,000","0.20K","0.26%"
"20/10/2017","37,900","37,900","37,900","37,900","0.10K","14.85%"
"19/10/2017","33,000","33,000","33,000","33,000","0.10K","-7.04%"
"18/10/2017","35,500","35,500","35,500","35,500","0.25K","14.89%"
"13/10/2017","30,900","30,900","30,900","30,900","0.10K","-14.88%"
"11/10/2017","36,300","36,300","36,300","36,300","0.10K","14.87%"
"18/09/2017","31,600","31,600","31,600","31,600","0.10K","-14.82%"
"13/09/2017","37,100","37,100","37,100","37,100","0.10K","14.86%"
"05/09/2017","32,300","32,300","32,300","32,300","0.10K","-15.00%"
"24/08/2017","38,000","38,000","38,000","38,000","0.10K","0.00%"
"23/08/2017","38,000","38,000","38,000","38,000","0.10K","0.00%"
"21/08/2017","38,000","38,000","38,000","38,000","0.10K","-13.04%"
"17/08/2017","43,700","43,700","43,700","43,700","0.10K","15.00%"
"09/08/2017","38,000","38,000","38,000","38,000","1.30K","0.00%"
"07/08/2017","38,000","38,000","38,000","38,000","0.10K","0.00%"
"02/08/2017","38,000","38,000","38,000","38,000","1.60K","0.00%"
"24/07/2017","38,000","38,000","38,000","38,000","3.80K","0.00%"
"21/07/2017","38,000","38,000","38,000","38,000","0.70K","17.65%"
"06/07/2017","32,300","32,300","32,300","32,300","-","-15.00%"
"04/07/2017","38,000","38,000","38,000","38,000","0.60K","1.33%"
"29/06/2017","37,500","37,500","37,500","37,500","1.50K","0.00%"
"28/06/2017","37,500","37,500","37,500","37,500","1.00K","0.00%"
"23/06/2017","37,500","37,500","37,500","37,500","0.10K","-1.32%"
"16/06/2017","38,000","38,000","38,000","38,000","0.20K","2.70%"
"13/06/2017","37,000","37,000","37,000","37,000","2.00K","0.00%"
"06/06/2017","37,000","37,000","37,000","37,000","2.20K","2.78%"
"05/06/2017","36,000","36,000","36,000","36,000","0.10K","-2.70%"
"02/06/2017","37,000","37,000","37,000","37,000","0.50K","0.00%"
"30/05/2017","37,000","37,000","37,000","37,000","1.80K","0.00%"
"25/05/2017","37,000","37,000","37,000","37,000","1.00K","0.00%"
"22/05/2017","37,000","37,000","37,000","37,000","0.10K","0.00%"
"18/05/2017","37,000","37,000","37,000","37,000","2.50K","-5.13%"
"12/05/2017","39,000","37,200","39,000","37,200","2.20K","2.63%"
"11/05/2017","38,000","32,200","38,000","32,200","0.60K","0.53%"
"09/05/2017","37,800","37,800","37,800","37,800","1.00K","3.56%"
"08/05/2017","36,500","36,500","36,500","36,500","0.70K","1.39%"
"27/04/2017","36,000","36,000","36,000","36,000","0.20K","2.86%"
"14/04/2017","35,000","35,000","35,000","35,000","1.00K","0.00%"
"13/04/2017","35,000","35,000","35,000","35,000","1.00K","0.00%"
"01/03/2017","35,000","35,000","35,000","35,000","1.10K","-0.28%"
"28/02/2017","35,100","35,100","35,100","35,100","0.10K","-11.36%"
"16/02/2017","39,600","39,600","39,600","39,600","0.10K","13.14%"
"07/02/2017","35,000","35,000","35,000","35,000","0.20K","-0.28%"
"03/02/2017","35,100","35,100","35,100","35,100","0.30K","-0.28%"
"30/12/2016","35,200","35,200","35,200","35,200","0.30K","0.57%"
"29/12/2016","35,000","35,000","35,000","35,000","0.70K","-12.50%"
"28/12/2016","40,000","40,000","40,000","40,000","0.30K","4.17%"
"30/11/2016","38,400","38,400","38,400","38,400","0.10K","14.97%"
"28/11/2016","33,400","33,400","33,400","33,400","1.00K","-15.44%"
"23/11/2016","39,500","29,800","39,500","29,800","1.34K","12.86%"
"17/11/2016","35,000","35,000","35,000","35,000","0.10K","0.00%"
"29/09/2016","35,000","35,000","35,000","35,000","0.40K","-11.62%"
"23/09/2016","39,600","39,600","39,600","39,600","1.00K","-14.84%"
"19/09/2016","46,500","46,500","46,500","46,500","1.00K","18.93%"
"15/09/2016","39,100","44,900","44,900","39,100","0.40K","0.00%"
"12/09/2016","39,100","39,100","39,100","39,100","0.10K","12.03%"
"09/09/2016","34,900","25,900","34,900","25,900","1.00K","14.80%"
"08/09/2016","30,400","30,400","30,400","30,400","0.20K","14.72%"
"05/09/2016","26,500","26,500","26,500","26,500","1.40K","-11.96%"
"01/09/2016","30,100","30,100","30,100","30,100","0.50K","-14.73%"
"29/08/2016","35,300","35,300","35,300","35,300","0.50K","14.98%"
"24/08/2016","30,700","30,700","30,700","30,700","0.50K","14.98%"
"18/08/2016","26,700","26,700","26,700","26,700","1.00K","0.00%"
"22/07/2016","26,700","26,700","26,700","26,700","1.70K","26.54%"
"22/03/2016","21,100","21,100","21,100","21,100","0.10K","-27.74%"
"21/10/2015","29,200","29,200","29,200","29,200","0.20K","0.00%"
"18/06/2015","29,200","29,200","29,200","29,200","0.40K","0.34%"
"12/06/2015","29,100","29,100","29,100","29,100","0.10K","0.34%"
"10/06/2015","29,000","29,000","29,000","29,000","0.10K","-0.34%"
"09/06/2015","29,100","26,200","29,100","26,200","2.90K","0.00%"
"05/06/2015","29,100","29,100","29,100","29,100","0.10K","9.81%"
"25/05/2015","26,500","26,500","26,500","26,500","0.10K","-9.86%"
"21/05/2015","29,400","29,400","29,400","29,400","0.50K","0.00%"
"19/05/2015","29,400","29,500","29,500","29,400","9.40K","-1.01%"
"18/05/2015","29,700","32,800","32,800","29,700","3.00K","-1.00%"
"15/05/2015","30,000","30,000","30,000","30,000","2.10K","0.00%"
"07/05/2015","30,000","30,000","30,000","30,000","0.20K","-9.09%"
"31/03/2015","33,000","33,000","33,000","33,000","0.10K","9.63%"
"14/01/2015","30,100","32,000","32,000","30,100","2.00K","-5.94%"
"05/01/2015","32,000","32,000","32,000","32,000","0.10K","3.23%"
