"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","7,890.0","7,890.0","7,890.0","7,890.0","-","-6.85%"
"28/04/2020","8,470.0","8,470.0","8,470.0","8,470.0","0.01K","-6.82%"
"24/04/2020","9,090.0","9,090.0","9,090.0","9,090.0","0.01K","-6.96%"
"16/04/2020","9,770.0","9,770.0","9,770.0","9,770.0","0.01K","-6.95%"
"15/04/2020","10,500.0","10,500.0","10,500.0","10,500.0","0.01K","-6.67%"
"14/04/2020","11,250.0","11,250.0","11,250.0","11,250.0","0.01K","-6.64%"
"09/04/2020","12,050.0","12,050.0","12,050.0","12,050.0","0.03K","-6.95%"
"08/04/2020","12,950.0","12,950.0","12,950.0","12,950.0","0.04K","-6.83%"
"31/03/2020","13,900.0","13,900.0","13,900.0","13,900.0","0.01K","-6.71%"
"16/03/2020","14,900.0","14,900.0","14,900.0","14,900.0","0.01K","-6.88%"
"05/03/2020","16,000.0","16,000.0","16,000.0","16,000.0","0.03K","0.95%"
"04/03/2020","15,850.0","15,850.0","15,850.0","15,850.0","0.01K","-6.76%"
"03/03/2020","17,000.0","19,200.0","19,200.0","17,000.0","0.02K","-6.59%"
"02/03/2020","18,200.0","18,200.0","18,200.0","18,200.0","0.33K","-6.67%"
"28/02/2020","19,500.0","17,300.0","19,500.0","17,300.0","0.02K","5.12%"
"27/02/2020","18,550.0","18,550.0","18,550.0","18,550.0","0.01K","5.70%"
"25/02/2020","17,550.0","17,600.0","17,600.0","17,500.0","0.03K","-6.65%"
"24/02/2020","18,800.0","18,700.0","18,800.0","18,700.0","0.05K","6.52%"
"21/02/2020","17,650.0","17,650.0","17,650.0","17,650.0","0.01K","-6.86%"
"20/02/2020","18,950.0","18,950.0","18,950.0","18,950.0","0.01K","4.70%"
"19/02/2020","18,100.0","18,100.0","18,100.0","15,900.0","0.03K","6.16%"
"18/02/2020","17,050.0","17,050.0","17,050.0","17,050.0","0.04K","0.00%"
"17/02/2020","17,050.0","17,050.0","17,050.0","17,050.0","0.01K","-6.83%"
"14/02/2020","18,300.0","18,300.0","18,300.0","18,300.0","0.02K","-6.87%"
"10/02/2020","19,650.0","19,650.0","19,650.0","19,650.0","0.01K","5.93%"
"31/01/2020","18,550.0","18,550.0","18,550.0","18,550.0","0.01K","6.92%"
"22/01/2020","17,350.0","17,350.0","17,350.0","17,350.0","0.04K","0.00%"
"18/12/2019","17,350.0","17,350.0","17,350.0","17,350.0","0.01K","6.44%"
"04/12/2019","16,300.0","16,300.0","16,300.0","16,300.0","0.02K","-6.86%"
"27/11/2019","17,500.0","17,500.0","17,500.0","17,500.0","0.01K","4.48%"
"30/10/2019","16,750.0","16,750.0","16,750.0","16,750.0","2.36K","0.00%"
"19/09/2019","16,750.0","16,750.0","16,750.0","16,750.0","0.01K","-6.94%"
"09/09/2019","18,000.0","18,000.0","18,000.0","18,000.0","0.04K","0.00%"
"15/08/2019","18,000.0","18,000.0","18,000.0","18,000.0","0.22K","-2.70%"
"09/08/2019","18,500.0","18,500.0","18,500.0","18,500.0","0.01K","6.63%"
"26/07/2019","17,350.0","17,350.0","17,350.0","17,350.0","0.15K","6.44%"
"12/07/2019","16,300.0","16,300.0","16,300.0","16,300.0","0.01K","6.97%"
"17/06/2019","15,238.0","15,238.0","15,238.0","15,238.0","0.04K","1.59%"
"10/06/2019","15,000.0","15,000.0","15,000.0","15,000.0","0.04K","-6.80%"
"22/05/2019","16,095.0","16,095.0","16,095.0","16,095.0","0.01K","0.00%"
"21/05/2019","16,095.0","16,095.0","16,095.0","16,095.0","0.11K","-6.89%"
"18/04/2019","17,286.0","17,286.0","17,286.0","17,286.0","0.08K","-6.92%"
"17/04/2019","18,571.0","18,571.0","18,571.0","18,571.0","0.11K","2.63%"
"04/04/2019","18,095.0","16,667.0","18,095.0","16,667.0","0.04K","3.82%"
"22/03/2019","17,429.0","17,429.0","17,429.0","17,429.0","0.03K","1.11%"
"19/03/2019","17,238.0","17,238.0","17,238.0","17,238.0","0.04K","0.00%"
"18/03/2019","17,238.0","17,238.0","17,238.0","17,238.0","0.01K","0.00%"
"15/03/2019","17,238.0","17,238.0","17,238.0","17,238.0","0.06K","0.00%"
"14/03/2019","17,238.0","17,238.0","17,238.0","17,238.0","0.01K","6.78%"
"13/03/2019","16,143.0","16,143.0","16,143.0","16,143.0","0.11K","6.94%"
"12/03/2019","15,095.0","15,143.0","15,143.0","15,095.0","0.02K","-6.76%"
"07/03/2019","16,190.0","16,190.0","16,190.0","16,190.0","0.11K","-1.45%"
"06/03/2019","16,429.0","17,619.0","17,619.0","16,429.0","0.05K","-6.75%"
"05/03/2019","17,619.0","17,619.0","17,619.0","17,619.0","0.12K","-4.89%"
"04/03/2019","18,524.0","19,905.0","19,905.0","18,524.0","0.16K","-6.94%"
"01/03/2019","19,905.0","17,333.0","19,905.0","17,333.0","0.29K","6.91%"
"28/02/2019","18,619.0","18,619.0","18,619.0","18,619.0","0.05K","0.00%"
"27/02/2019","18,619.0","17,476.0","18,619.0","17,143.0","0.16K","6.54%"
"26/02/2019","17,476.0","15,238.0","17,476.0","15,238.0","0.23K","7.00%"
"25/02/2019","16,333.0","15,286.0","16,333.0","15,286.0","0.08K","6.85%"
"22/02/2019","15,286.0","15,286.0","15,286.0","15,286.0","0.01K","7.00%"
"21/02/2019","14,286.0","12,476.0","14,286.0","12,476.0","0.02K","6.76%"
"20/02/2019","13,381.0","13,381.0","13,381.0","13,381.0","0.01K","6.84%"
"19/02/2019","12,524.0","10,905.0","12,524.0","10,905.0","0.02K","6.91%"
"18/02/2019","11,714.0","11,714.0","11,714.0","10,190.0","0.03K","6.96%"
"15/02/2019","10,952.0","10,952.0","10,952.0","10,952.0","0.01K","-6.89%"
"14/02/2019","11,762.0","10,238.0","11,762.0","10,238.0","0.02K","6.93%"
"13/02/2019","11,000.0","9,571.0","11,000.0","9,571.0","0.02K","6.94%"
"12/02/2019","10,286.0","10,286.0","10,286.0","10,286.0","0.01K","6.93%"
"01/02/2019","9,619.0","11,048.0","11,048.0","9,619.0","0.02K","-6.91%"
"31/01/2019","10,333.0","10,333.0","10,333.0","10,333.0","0.01K","6.89%"
"30/01/2019","9,667.0","9,667.0","9,667.0","9,667.0","0.01K","-6.88%"
"28/01/2019","10,381.0","10,381.0","10,381.0","10,381.0","0.01K","-6.84%"
"25/01/2019","11,143.0","9,714.0","11,143.0","9,714.0","0.02K","6.85%"
"24/01/2019","10,429.0","9,095.0","10,429.0","9,095.0","0.02K","6.83%"
"23/01/2019","9,762.0","8,514.0","9,762.0","8,514.0","0.02K","6.67%"
"22/01/2019","9,152.0","7,971.0","9,152.0","7,971.0","0.02K","6.89%"
"21/01/2019","8,562.0","7,457.0","8,562.0","7,457.0","0.02K","6.89%"
"18/01/2019","8,010.0","8,010.0","8,010.0","8,010.0","0.01K","-6.97%"
"17/01/2019","8,610.0","8,610.0","8,610.0","8,610.0","0.01K","-6.99%"
"16/01/2019","9,257.0","8,057.0","9,257.0","8,057.0","0.02K","6.93%"
"15/01/2019","8,657.0","7,543.0","8,657.0","7,543.0","0.02K","6.94%"
"14/01/2019","8,095.0","8,067.0","9,267.0","8,067.0","0.03K","-6.60%"
"11/01/2019","8,667.0","8,667.0","8,667.0","8,667.0","0.01K","-6.86%"
"10/01/2019","9,305.0","9,305.0","9,305.0","9,305.0","0.01K","-6.95%"
"09/01/2019","10,000.0","9,362.0","10,000.0","8,714.0","0.04K","6.81%"
"08/01/2019","9,362.0","9,362.0","9,362.0","9,362.0","0.01K","-6.83%"
"07/01/2019","10,048.0","9,810.0","11,238.0","9,810.0","0.03K","-4.52%"
"04/01/2019","10,524.0","10,524.0","10,524.0","10,524.0","0.01K","-6.75%"
"03/01/2019","11,286.0","11,286.0","11,286.0","11,286.0","0.14K","-6.69%"
"02/01/2019","12,095.0","12,095.0","13,905.0","12,095.0","0.05K","-6.96%"
"28/12/2018","13,000.0","13,000.0","13,000.0","13,000.0","0.01K","-6.82%"
"25/12/2018","13,952.0","13,952.0","13,952.0","13,952.0","0.23K","-6.69%"
"20/12/2018","14,952.0","14,952.0","14,952.0","14,952.0","0.02K","-6.83%"
"12/12/2018","16,048.0","15,905.0","16,048.0","15,905.0","0.02K","5.98%"
"11/12/2018","15,143.0","15,143.0","15,143.0","15,143.0","0.01K","-6.74%"
"07/12/2018","16,238.0","16,238.0","16,238.0","16,238.0","0.13K","0.00%"
"05/12/2018","16,238.0","16,238.0","16,238.0","16,238.0","0.01K","4.92%"
"04/12/2018","15,476.0","15,476.0","15,476.0","15,476.0","0.30K","-6.88%"
"28/11/2018","16,619.0","16,429.0","16,619.0","16,429.0","0.03K","5.76%"
"27/11/2018","15,714.0","16,571.0","16,667.0","15,714.0","0.08K","0.00%"
"22/11/2018","15,714.0","15,714.0","15,714.0","15,714.0","0.01K","3.12%"
"21/11/2018","15,238.0","15,238.0","15,238.0","15,238.0","0.01K","1.59%"
"16/11/2018","15,000.0","15,000.0","15,000.0","15,000.0","0.06K","-6.80%"
"15/11/2018","16,095.0","16,095.0","16,095.0","16,095.0","0.07K","-6.89%"
"30/10/2018","17,286.0","17,286.0","17,286.0","17,286.0","0.01K","-6.92%"
"25/10/2018","18,571.0","18,571.0","18,571.0","18,571.0","0.01K","-6.92%"
"23/10/2018","19,952.0","19,952.0","19,952.0","19,952.0","0.02K","-6.89%"
"19/10/2018","21,429.0","21,429.0","21,429.0","21,429.0","0.01K","6.89%"
