"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/05/2020","20,000","20,000","20,000","20,000","0.10K","-4.31%"
"23/04/2020","20,900","20,900","20,900","20,900","0.10K","-0.48%"
"20/04/2020","21,000","21,000","21,000","21,000","0.40K","-4.11%"
"17/04/2020","21,900","19,000","21,900","19,000","0.20K","4.29%"
"13/04/2020","21,000","21,000","21,000","18,200","0.90K","-1.41%"
"25/03/2020","21,300","21,300","21,300","21,300","0.10K","14.52%"
"24/03/2020","18,600","18,600","18,600","18,600","0.20K","-13.49%"
"23/03/2020","21,500","22,000","22,000","21,500","0.20K","-14.00%"
"18/03/2020","25,000","25,000","25,000","25,000","0.10K","-1.96%"
"10/03/2020","25,500","25,500","25,500","25,500","0.10K","-15.00%"
"06/03/2020","30,000","30,000","30,000","30,000","0.10K","-6.25%"
"24/02/2020","32,000","32,000","32,000","32,000","0.10K","-8.57%"
"20/02/2020","35,000","35,000","35,000","35,000","-","0.00%"
"18/02/2020","35,000","35,000","35,000","35,000","0.10K","-13.58%"
"07/01/2020","40,500","40,500","40,500","40,500","0.10K","-14.92%"
"30/12/2019","47,600","47,600","47,600","47,600","0.10K","-13.30%"
"27/12/2019","54,900","43,200","54,900","43,200","1.90K","8.07%"
"26/12/2019","50,800","50,800","50,800","50,800","0.30K","1.20%"
"25/12/2019","50,200","37,200","50,200","37,200","2.80K","14.87%"
"20/12/2019","43,700","43,700","43,700","43,700","0.10K","15.00%"
"19/12/2019","38,000","38,000","38,000","38,000","0.10K","14.80%"
"18/12/2019","33,100","33,100","33,100","33,100","0.10K","-2.93%"
"14/11/2019","34,100","27,000","34,100","27,000","0.40K","14.81%"
"13/11/2019","29,700","29,700","29,700","29,700","10.00K","-20.16%"
"31/10/2019","37,200","28,000","37,200","28,000","0.70K","14.46%"
"25/10/2019","32,500","32,500","32,500","32,500","0.30K","-13.56%"
"16/10/2019","37,600","37,600","37,600","37,600","-","0.00%"
"25/09/2019","37,600","37,600","37,600","37,600","0.10K","-14.93%"
"17/09/2019","44,200","44,200","44,200","44,200","0.10K","-4.74%"
"13/09/2019","46,400","34,600","46,400","34,600","0.30K","14.57%"
"06/09/2019","40,500","40,500","40,500","40,500","0.10K","13.13%"
"04/09/2019","35,800","35,800","35,800","35,800","0.10K","-14.76%"
"30/08/2019","42,000","42,000","42,000","42,000","0.10K","8.53%"
"26/08/2019","38,700","38,700","38,700","38,700","-","0.00%"
"23/08/2019","38,700","50,000","50,000","38,700","1.10K","-14.95%"
"22/08/2019","45,500","45,500","45,500","45,500","1.00K","14.90%"
"21/08/2019","39,600","39,600","39,600","39,600","1.02K","14.78%"
"20/08/2019","34,500","34,500","34,500","34,500","0.18K","15.00%"
"19/08/2019","30,000","30,000","30,000","30,000","1.00K","-12.79%"
"09/08/2019","34,400","34,400","34,400","34,400","0.10K","-14.43%"
"01/08/2019","40,200","40,200","40,200","40,200","0.10K","14.86%"
"29/07/2019","35,000","35,000","35,000","35,000","0.10K","7.69%"
"22/07/2019","32,500","32,500","32,500","32,500","0.10K","4.84%"
"19/07/2019","31,000","31,000","31,000","31,000","0.10K","1.64%"
"18/07/2019","30,500","30,500","30,500","30,500","0.10K","5.17%"
"10/07/2019","29,000","29,000","29,000","29,000","0.10K","13.73%"
"09/07/2019","25,500","25,500","25,500","25,500","3.20K","-12.97%"
"08/07/2019","29,300","29,300","29,300","29,300","0.14K","14.90%"
"05/07/2019","25,500","25,500","25,500","25,500","2.50K","-22.26%"
"18/06/2019","32,800","33,300","33,300","25,000","1.20K","13.10%"
"17/06/2019","29,000","29,000","29,000","29,000","0.50K","-11.85%"
"14/06/2019","32,900","32,900","32,900","32,900","0.30K","-17.54%"
"21/05/2019","39,900","39,900","39,900","39,900","0.10K","2.57%"
"20/05/2019","38,900","31,600","38,900","31,600","0.30K","20.43%"
"15/05/2019","32,300","41,800","41,800","32,300","0.20K","-14.78%"
"10/05/2019","37,900","37,900","37,900","37,900","0.10K","6.46%"
"25/04/2019","35,600","35,600","35,600","35,600","0.10K","-0.84%"
"24/04/2019","35,900","36,500","36,500","27,200","0.90K","12.54%"
"23/04/2019","31,900","31,900","31,900","31,900","0.10K","13.52%"
"09/04/2019","28,100","28,100","28,100","28,100","0.10K","-14.85%"
"27/03/2019","33,000","33,000","33,000","33,000","0.10K","0.00%"
"22/03/2019","33,000","33,000","33,000","33,000","0.10K","13.79%"
"21/03/2019","29,000","29,000","29,000","29,000","0.10K","14.62%"
"20/03/2019","25,300","25,300","25,300","25,300","2.20K","15.00%"
"18/03/2019","22,000","22,000","22,000","22,000","1.00K","-14.73%"
"15/03/2019","25,800","22,000","25,900","22,000","1.20K","3.20%"
"12/03/2019","25,000","25,000","25,000","25,000","0.30K","0.00%"
"11/03/2019","25,000","25,000","25,000","25,000","0.50K","0.00%"
"07/03/2019","25,000","25,100","25,100","25,000","1.00K","0.00%"
"05/03/2019","25,000","25,000","25,000","25,000","2.00K","0.00%"
"04/03/2019","25,000","25,000","25,000","25,000","2.00K","0.00%"
"28/02/2019","25,000","25,000","25,000","25,000","1.60K","0.00%"
"27/02/2019","25,000","25,000","25,000","25,000","1.00K","-15.25%"
"25/02/2019","29,500","22,100","29,500","22,100","0.20K","4.98%"
"01/02/2019","28,100","25,000","28,100","25,000","0.40K","14.69%"
"31/01/2019","24,500","24,500","24,500","24,500","0.95K","-5.77%"
"30/01/2019","26,000","26,000","26,000","26,000","0.10K","-3.70%"
"28/01/2019","27,000","27,000","27,000","27,000","1.10K","0.00%"
"22/01/2019","27,000","27,000","27,000","27,000","0.90K","0.00%"
"21/01/2019","27,000","27,000","27,000","27,000","1.00K","0.00%"
"14/01/2019","27,000","27,000","27,000","27,000","16.70K","0.37%"
"11/01/2019","26,900","24,000","26,900","24,000","0.20K","-3.58%"
"10/01/2019","27,900","23,800","27,900","23,800","0.60K","-0.36%"
"09/01/2019","28,000","28,000","28,000","28,000","0.50K","0.00%"
"07/01/2019","28,000","28,000","28,000","28,000","0.30K","-4.76%"
"03/01/2019","29,400","25,000","29,400","25,000","0.43K","-6.67%"
"25/12/2018","31,500","25,000","31,500","25,000","0.30K","8.62%"
"24/12/2018","29,000","29,000","29,000","29,000","0.10K","16.00%"
"21/12/2018","25,000","26,000","26,000","25,000","3.60K","-5.30%"
"18/12/2018","26,400","21,600","26,400","21,600","0.30K","5.60%"
"13/12/2018","25,000","25,000","25,000","25,000","1.00K","0.00%"
"12/12/2018","25,000","25,000","25,000","25,000","2.00K","0.00%"
