"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"24/04/2020","300.00","200.00","300.00","200.00","234.37K","50.00%"
"17/04/2020","200.00","200.00","300.00","200.00","429.31K","0.00%"
"10/04/2020","200.00","200.00","300.00","100.00","484.50K","0.00%"
"03/04/2020","200.00","200.00","300.00","200.00","471.00K","0.00%"
"27/03/2020","200.00","300.00","300.00","200.00","106.90K","-33.33%"
"20/03/2020","300.00","300.00","300.00","200.00","254.20K","0.00%"
"13/03/2020","300.00","200.00","300.00","100.00","1.87M","50.00%"
"06/03/2020","200.00","300.00","300.00","200.00","358.50K","0.00%"
"28/02/2020","200.00","300.00","300.00","200.00","273.70K","0.00%"
"21/02/2020","200.00","200.00","300.00","200.00","81.71K","-33.33%"
"14/02/2020","300.00","200.00","300.00","200.00","432.52K","0.00%"
"07/02/2020","300.00","300.00","300.00","200.00","213.01K","0.00%"
"31/01/2020","300.00","200.00","300.00","200.00","134.99K","0.00%"
"17/01/2020","300.00","300.00","300.00","300.00","51.70K","0.00%"
"10/01/2020","300.00","300.00","300.00","300.00","9.50K","50.00%"
"03/01/2020","200.00","300.00","300.00","200.00","46.45K","0.00%"
"27/12/2019","200.00","300.00","300.00","200.00","74.16K","-33.33%"
"20/12/2019","300.00","300.00","400.00","200.00","670.08K","0.00%"
"13/12/2019","300.00","300.00","300.00","300.00","312.95K","-25.00%"
"06/12/2019","400.00","300.00","400.00","300.00","189.52K","33.33%"
"29/11/2019","300.00","300.00","300.00","300.00","119.63K","0.00%"
"22/11/2019","300.00","300.00","300.00","300.00","237.22K","0.00%"
"15/11/2019","300.00","400.00","400.00","300.00","184.80K","0.00%"
"08/11/2019","300.00","200.00","300.00","200.00","991.56K","50.00%"
"01/11/2019","200.00","300.00","400.00","200.00","112.05K","-33.33%"
"25/10/2019","300.00","300.00","400.00","200.00","591.30K","0.00%"
"18/10/2019","300.00","300.00","400.00","200.00","513.20K","0.00%"
"11/10/2019","300.00","300.00","400.00","300.00","1.04M","-25.00%"
"04/10/2019","400.00","500.00","500.00","400.00","260.20K","0.00%"
"03/10/2019","400.00","400.00","500.00","400.00","103.41K","0.00%"
"02/10/2019","400.00","500.00","500.00","400.00","21.36K","-20.00%"
"01/10/2019","500.00","500.00","500.00","400.00","263.60K","0.00%"
"30/09/2019","500.00","400.00","500.00","400.00","391.20K","25.00%"
"27/09/2019","400.00","500.00","500.00","400.00","325.80K","-20.00%"
"26/09/2019","500.00","500.00","500.00","400.00","159.30K","25.00%"
"25/09/2019","400.00","500.00","500.00","400.00","156.30K","0.00%"
"24/09/2019","400.00","500.00","500.00","400.00","322.00K","0.00%"
"23/09/2019","400.00","500.00","500.00","400.00","7.24K","0.00%"
"20/09/2019","400.00","500.00","500.00","400.00","3.68K","0.00%"
"19/09/2019","400.00","500.00","500.00","400.00","8.10K","0.00%"
"18/09/2019","400.00","500.00","500.00","400.00","3.70K","-20.00%"
"17/09/2019","500.00","400.00","500.00","400.00","32.30K","25.00%"
"16/09/2019","400.00","400.00","500.00","400.00","140.20K","-20.00%"
"13/09/2019","500.00","500.00","500.00","400.00","3.50K","25.00%"
"12/09/2019","400.00","500.00","500.00","400.00","4.73K","-20.00%"
"11/09/2019","500.00","500.00","500.00","400.00","6.40K","0.00%"
"10/09/2019","500.00","400.00","500.00","400.00","17.30K","25.00%"
"09/09/2019","400.00","400.00","500.00","400.00","27.41K","-20.00%"
"06/09/2019","500.00","500.00","500.00","400.00","91.50K","25.00%"
"05/09/2019","400.00","400.00","500.00","400.00","313.40K","0.00%"
"04/09/2019","400.00","400.00","500.00","400.00","914.70K","-20.00%"
"03/09/2019","500.00","400.00","500.00","400.00","45.30K","0.00%"
"30/08/2019","500.00","500.00","500.00","400.00","75.10K","0.00%"
"29/08/2019","500.00","500.00","500.00","400.00","32.40K","0.00%"
"28/08/2019","500.00","400.00","500.00","400.00","49.70K","0.00%"
"27/08/2019","500.00","400.00","500.00","400.00","68.23K","0.00%"
"26/08/2019","500.00","500.00","500.00","500.00","6.11K","0.00%"
"23/08/2019","500.00","500.00","500.00","400.00","41.90K","25.00%"
"22/08/2019","400.00","500.00","500.00","400.00","27.05K","0.00%"
"21/08/2019","400.00","400.00","500.00","400.00","0.50K","-20.00%"
"20/08/2019","500.00","500.00","500.00","400.00","56.75K","0.00%"
"19/08/2019","500.00","500.00","500.00","400.00","1.60K","0.00%"
"16/08/2019","500.00","400.00","500.00","400.00","7.20K","0.00%"
"15/08/2019","500.00","500.00","500.00","400.00","1.20K","0.00%"
"14/08/2019","500.00","400.00","500.00","400.00","1.10K","0.00%"
"13/08/2019","500.00","400.00","600.00","400.00","62.10K","0.00%"
"12/08/2019","500.00","400.00","500.00","400.00","27.05K","25.00%"
"09/08/2019","400.00","500.00","600.00","400.00","52.00K","-20.00%"
"08/08/2019","500.00","500.00","600.00","500.00","238.90K","-16.67%"
"07/08/2019","600.00","500.00","600.00","500.00","36.40K","20.00%"
"06/08/2019","500.00","500.00","500.00","400.00","43.01K","0.00%"
"05/08/2019","500.00","400.00","500.00","400.00","10.60K","25.00%"
"02/08/2019","400.00","500.00","600.00","400.00","69.60K","-20.00%"
"01/08/2019","500.00","400.00","600.00","400.00","21.50K","0.00%"
"31/07/2019","500.00","500.00","600.00","400.00","107.73K","0.00%"
"30/07/2019","500.00","500.00","600.00","400.00","25.80K","0.00%"
"29/07/2019","500.00","500.00","600.00","400.00","37.71K","0.00%"
"26/07/2019","500.00","600.00","600.00","500.00","75.89K","-16.67%"
"25/07/2019","600.00","500.00","600.00","400.00","193.50K","20.00%"
"24/07/2019","500.00","500.00","600.00","500.00","23.90K","0.00%"
"23/07/2019","500.00","600.00","600.00","500.00","99.00K","0.00%"
"22/07/2019","500.00","400.00","600.00","400.00","227.10K","0.00%"
"19/07/2019","500.00","500.00","500.00","400.00","173.60K","25.00%"
"18/07/2019","400.00","600.00","600.00","400.00","146.80K","-20.00%"
"17/07/2019","500.00","500.00","600.00","400.00","151.87K","0.00%"
"16/07/2019","500.00","500.00","600.00","500.00","341.20K","0.00%"
"15/07/2019","500.00","500.00","600.00","400.00","350.20K","0.00%"
"12/07/2019","500.00","500.00","600.00","500.00","116.26K","0.00%"
"11/07/2019","500.00","600.00","600.00","500.00","129.10K","0.00%"
"10/07/2019","500.00","500.00","600.00","400.00","114.94K","0.00%"
"09/07/2019","500.00","600.00","600.00","500.00","229.31K","-16.67%"
"08/07/2019","600.00","500.00","600.00","500.00","180.10K","20.00%"
"05/07/2019","500.00","600.00","600.00","400.00","153.40K","0.00%"
"04/07/2019","500.00","600.00","600.00","500.00","113.81K","0.00%"
"03/07/2019","500.00","500.00","600.00","500.00","74.30K","0.00%"
"02/07/2019","500.00","600.00","600.00","500.00","663.25K","-16.67%"
"01/07/2019","600.00","600.00","600.00","500.00","79.55K","0.00%"
"28/06/2019","600.00","500.00","600.00","500.00","233.50K","20.00%"
"27/06/2019","500.00","500.00","600.00","500.00","91.84K","-16.67%"
"26/06/2019","600.00","600.00","600.00","600.00","44.47K","20.00%"
"25/06/2019","500.00","600.00","600.00","500.00","52.48K","0.00%"
"24/06/2019","500.00","600.00","600.00","500.00","99.60K","0.00%"
"21/06/2019","500.00","600.00","600.00","500.00","57.30K","0.00%"
"20/06/2019","500.00","600.00","600.00","500.00","51.20K","0.00%"
"19/06/2019","500.00","600.00","600.00","500.00","46.97K","-16.67%"
"18/06/2019","600.00","600.00","600.00","600.00","16.30K","0.00%"
"17/06/2019","600.00","600.00","600.00","500.00","3.21K","0.00%"
"14/06/2019","600.00","600.00","600.00","500.00","67.31K","20.00%"
"13/06/2019","500.00","600.00","600.00","500.00","92.50K","-16.67%"
"12/06/2019","600.00","600.00","600.00","500.00","50.60K","0.00%"
"11/06/2019","600.00","600.00","600.00","500.00","205.62K","0.00%"
"10/06/2019","600.00","600.00","600.00","500.00","8.60K","0.00%"
"07/06/2019","600.00","600.00","600.00","500.00","289.33K","0.00%"
"06/06/2019","600.00","600.00","600.00","500.00","45.74K","0.00%"
"05/06/2019","600.00","500.00","600.00","500.00","99.70K","0.00%"
"04/06/2019","600.00","500.00","600.00","500.00","7.60K","20.00%"
"03/06/2019","500.00","600.00","700.00","500.00","68.60K","-16.67%"
"31/05/2019","600.00","600.00","600.00","500.00","170.17K","20.00%"
"30/05/2019","500.00","600.00","600.00","500.00","75.51K","-16.67%"
"29/05/2019","600.00","500.00","600.00","500.00","194.02K","0.00%"
"28/05/2019","600.00","600.00","700.00","500.00","277.11K","0.00%"
"27/05/2019","600.00","700.00","700.00","600.00","476.01K","0.00%"
"24/05/2019","600.00","700.00","700.00","600.00","107.50K","-14.29%"
"23/05/2019","700.00","600.00","700.00","600.00","68.22K","16.67%"
"22/05/2019","600.00","600.00","700.00","600.00","32.40K","0.00%"
"21/05/2019","600.00","600.00","700.00","500.00","1.11M","0.00%"
"20/05/2019","600.00","600.00","700.00","600.00","772.62K","0.00%"
"17/05/2019","600.00","700.00","700.00","600.00","126.80K","0.00%"
"16/05/2019","600.00","600.00","700.00","600.00","172.40K","-14.29%"
"15/05/2019","700.00","700.00","700.00","600.00","193.17K","16.67%"
"14/05/2019","600.00","700.00","700.00","600.00","649.89K","0.00%"
"13/05/2019","600.00","600.00","700.00","600.00","187.90K","0.00%"
"10/05/2019","600.00","700.00","700.00","600.00","658.31K","0.00%"
"09/05/2019","600.00","600.00","700.00","600.00","217.80K","-14.29%"
"08/05/2019","700.00","700.00","700.00","600.00","210.30K","0.00%"
"07/05/2019","700.00","700.00","700.00","600.00","368.10K","16.67%"
"06/05/2019","600.00","700.00","700.00","600.00","367.01K","-14.29%"
"03/05/2019","700.00","800.00","800.00","600.00","696.92K","0.00%"
"02/05/2019","700.00","700.00","800.00","700.00","868.40K","0.00%"
"26/04/2019","700.00","800.00","800.00","700.00","429.11K","-12.50%"
"25/04/2019","800.00","800.00","900.00","700.00","1.36M","0.00%"
"24/04/2019","800.00","900.00","900.00","700.00","1.02M","0.00%"
"23/04/2019","800.00","800.00","800.00","700.00","2.58M","14.29%"
"22/04/2019","700.00","600.00","700.00","600.00","1.53M","16.67%"
"19/04/2019","600.00","600.00","700.00","500.00","37.50K","0.00%"
"18/04/2019","600.00","700.00","700.00","500.00","290.85K","0.00%"
"17/04/2019","600.00","600.00","700.00","600.00","42.25K","0.00%"
"16/04/2019","600.00","600.00","700.00","500.00","343.80K","0.00%"
"12/04/2019","600.00","600.00","700.00","500.00","907.57K","0.00%"
"11/04/2019","600.00","700.00","700.00","600.00","360.20K","0.00%"
"10/04/2019","600.00","700.00","700.00","600.00","99.71K","-14.29%"
"09/04/2019","700.00","600.00","700.00","600.00","43.02K","16.67%"
"08/04/2019","600.00","600.00","700.00","600.00","73.88K","-14.29%"
"05/04/2019","700.00","600.00","700.00","600.00","169.53K","16.67%"
"04/04/2019","600.00","700.00","700.00","600.00","240.10K","0.00%"
"03/04/2019","600.00","700.00","700.00","600.00","63.23K","-14.29%"
"02/04/2019","700.00","600.00","700.00","600.00","198.30K","0.00%"
"01/04/2019","700.00","600.00","700.00","600.00","41.90K","0.00%"
"29/03/2019","700.00","700.00","700.00","600.00","41.61K","16.67%"
"28/03/2019","600.00","600.00","700.00","600.00","106.30K","-14.29%"
"27/03/2019","700.00","600.00","700.00","600.00","53.60K","0.00%"
"26/03/2019","700.00","700.00","700.00","600.00","88.18K","16.67%"
"25/03/2019","600.00","700.00","700.00","600.00","99.29K","-14.29%"
"22/03/2019","700.00","700.00","700.00","600.00","25.80K","16.67%"
"21/03/2019","600.00","700.00","800.00","600.00","189.00K","-14.29%"
"20/03/2019","700.00","700.00","800.00","600.00","90.86K","0.00%"
"19/03/2019","700.00","800.00","800.00","600.00","986.42K","0.00%"
"18/03/2019","700.00","700.00","700.00","700.00","251.42K","16.67%"
"15/03/2019","600.00","800.00","800.00","600.00","291.08K","-14.29%"
"14/03/2019","700.00","800.00","800.00","600.00","351.83K","0.00%"
"13/03/2019","700.00","700.00","800.00","700.00","242.70K","0.00%"
"12/03/2019","700.00","700.00","800.00","600.00","380.07K","0.00%"
"11/03/2019","700.00","800.00","800.00","700.00","721.17K","-12.50%"
"08/03/2019","800.00","900.00","900.00","700.00","89.42K","0.00%"
"07/03/2019","800.00","800.00","800.00","700.00","2.70M","14.29%"
"06/03/2019","700.00","700.00","800.00","700.00","118.83K","0.00%"
"05/03/2019","700.00","600.00","800.00","600.00","314.13K","0.00%"
"04/03/2019","700.00","700.00","700.00","700.00","279.11K","-12.50%"
"01/03/2019","800.00","700.00","800.00","600.00","191.80K","14.29%"
"28/02/2019","700.00","700.00","800.00","600.00","364.95K","0.00%"
