"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","16,850.0","16,200.0","16,900.0","16,200.0","0.33K","4.66%"
"04/05/2020","16,100.0","16,000.0","17,000.0","15,200.0","71.46K","-1.23%"
"29/04/2020","16,300.0","16,400.0","16,700.0","16,300.0","6.09K","-2.40%"
"28/04/2020","16,700.0","16,350.0","16,750.0","16,350.0","4.61K","-0.60%"
"27/04/2020","16,800.0","17,000.0","17,000.0","16,250.0","8.29K","2.75%"
"24/04/2020","16,350.0","16,800.0","16,800.0","16,100.0","9.99K","0.31%"
"23/04/2020","16,300.0","16,400.0","16,500.0","16,300.0","14.79K","-0.61%"
"22/04/2020","16,400.0","15,800.0","17,000.0","15,800.0","28.50K","0.31%"
"21/04/2020","16,350.0","17,200.0","17,800.0","16,000.0","50.76K","-4.94%"
"20/04/2020","17,200.0","18,400.0","18,400.0","17,000.0","40.90K","-5.75%"
"17/04/2020","18,250.0","17,050.0","18,250.0","17,050.0","126.97K","6.73%"
"16/04/2020","17,100.0","16,900.0","17,600.0","16,900.0","42.98K","0.59%"
"15/04/2020","17,000.0","17,400.0","17,400.0","17,000.0","10.73K","-0.29%"
"14/04/2020","17,050.0","17,000.0","17,550.0","17,000.0","84.28K","0.00%"
"13/04/2020","17,050.0","17,450.0","17,600.0","17,000.0","43.80K","-2.29%"
"10/04/2020","17,450.0","17,000.0","17,800.0","16,900.0","90.13K","2.65%"
"09/04/2020","17,000.0","17,150.0","17,600.0","17,000.0","29.84K","-3.41%"
"08/04/2020","17,600.0","17,450.0","17,600.0","16,700.0","57.18K","0.86%"
"07/04/2020","17,450.0","17,400.0","17,450.0","16,200.0","28.58K","3.25%"
"06/04/2020","16,900.0","17,500.0","17,700.0","16,750.0","57.06K","0.90%"
"03/04/2020","16,750.0","15,800.0","16,750.0","15,650.0","146.26K","6.69%"
"01/04/2020","15,700.0","15,650.0","16,650.0","15,150.0","44.97K","0.32%"
"31/03/2020","15,650.0","16,150.0","16,350.0","15,550.0","69.91K","-3.10%"
"30/03/2020","16,150.0","16,150.0","16,200.0","15,050.0","76.49K","0.00%"
"27/03/2020","16,150.0","15,900.0","16,150.0","15,400.0","58.54K","6.95%"
"26/03/2020","15,100.0","14,700.0","15,700.0","14,700.0","135.13K","2.72%"
"25/03/2020","14,700.0","14,500.0","15,300.0","14,300.0","60.93K","-3.92%"
"24/03/2020","15,300.0","15,050.0","16,000.0","15,000.0","74.02K","1.66%"
"23/03/2020","15,050.0","16,000.0","16,500.0","15,000.0","295.24K","-5.94%"
"20/03/2020","16,000.0","16,900.0","16,900.0","15,900.0","114.09K","-1.23%"
"19/03/2020","16,200.0","16,000.0","17,000.0","15,850.0","47.67K","-4.71%"
"18/03/2020","17,000.0","17,100.0","17,500.0","16,150.0","118.30K","0.89%"
"17/03/2020","16,850.0","16,400.0","16,850.0","15,000.0","76.49K","6.98%"
"16/03/2020","15,750.0","15,500.0","15,750.0","14,700.0","138.68K","6.78%"
"13/03/2020","14,750.0","13,800.0","14,750.0","13,200.0","106.37K","6.88%"
"12/03/2020","13,800.0","13,950.0","13,950.0","13,500.0","124.76K","-1.08%"
"11/03/2020","13,950.0","13,750.0","13,950.0","13,500.0","199.52K","6.90%"
"10/03/2020","13,050.0","12,500.0","13,350.0","12,500.0","19.06K","-0.38%"
"09/03/2020","13,100.0","13,700.0","13,900.0","13,050.0","54.13K","-6.43%"
"06/03/2020","14,000.0","14,350.0","14,350.0","13,750.0","8.57K","1.45%"
"05/03/2020","13,800.0","14,100.0","14,500.0","13,800.0","27.46K","0.00%"
"04/03/2020","13,800.0","13,750.0","13,900.0","13,700.0","5.94K","0.00%"
"03/03/2020","13,800.0","13,900.0","13,950.0","13,750.0","7.47K","-1.43%"
"02/03/2020","14,000.0","13,900.0","14,000.0","13,900.0","3.52K","1.45%"
"28/02/2020","13,800.0","13,900.0","13,900.0","13,800.0","2.42K","-4.83%"
"27/02/2020","14,500.0","13,600.0","14,500.0","13,600.0","11.74K","4.32%"
"26/02/2020","13,900.0","13,950.0","13,950.0","13,700.0","4.17K","-0.71%"
"25/02/2020","14,000.0","13,800.0","14,000.0","13,700.0","10.70K","1.45%"
"24/02/2020","13,800.0","14,100.0","14,100.0","13,800.0","7.93K","-2.13%"
"21/02/2020","14,100.0","14,100.0","14,100.0","14,050.0","10.61K","0.00%"
"20/02/2020","14,100.0","14,100.0","14,100.0","13,900.0","9.22K","-0.35%"
"19/02/2020","14,150.0","14,000.0","14,150.0","14,000.0","3.69K","0.00%"
"18/02/2020","14,150.0","14,000.0","14,150.0","13,950.0","8.30K","1.07%"
"17/02/2020","14,000.0","14,000.0","14,100.0","14,000.0","11.03K","0.00%"
"14/02/2020","14,000.0","14,000.0","14,000.0","14,000.0","7.55K","0.00%"
"13/02/2020","14,000.0","14,000.0","14,500.0","13,750.0","18.96K","0.00%"
"12/02/2020","14,000.0","14,450.0","14,500.0","13,900.0","10.81K","0.00%"
"11/02/2020","14,000.0","14,200.0","14,200.0","13,950.0","10.33K","1.45%"
"10/02/2020","13,800.0","14,750.0","14,750.0","13,800.0","69.22K","-6.12%"
"07/02/2020","14,700.0","14,500.0","14,800.0","14,500.0","3.77K","1.38%"
"06/02/2020","14,500.0","14,000.0","14,600.0","14,000.0","9.00K","1.75%"
"05/02/2020","14,250.0","14,300.0","14,400.0","14,000.0","5.42K","1.79%"
