"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","5,300.0","5,560.0","5,560.0","5,200.0","12.18K","0.00%"
"04/05/2020","5,300.0","5,300.0","5,490.0","5,250.0","81.63K","0.76%"
"29/04/2020","5,260.0","5,280.0","5,280.0","5,050.0","17.41K","1.35%"
"28/04/2020","5,190.0","5,300.0","5,300.0","5,100.0","44.10K","-0.19%"
"27/04/2020","5,200.0","5,180.0","5,280.0","5,180.0","27.68K","0.39%"
"24/04/2020","5,180.0","5,160.0","5,250.0","5,160.0","16.50K","-1.33%"
"23/04/2020","5,250.0","5,300.0","5,300.0","5,230.0","21.55K","0.77%"
"22/04/2020","5,210.0","5,350.0","5,350.0","4,980.0","50.57K","-2.62%"
"21/04/2020","5,350.0","5,240.0","5,480.0","5,240.0","132.01K","2.10%"
"20/04/2020","5,240.0","5,060.0","5,240.0","5,060.0","73.18K","6.94%"
"17/04/2020","4,900.0","4,720.0","4,940.0","4,700.0","47.06K","4.26%"
"16/04/2020","4,700.0","4,620.0","4,710.0","4,610.0","28.36K","0.21%"
"15/04/2020","4,690.0","4,500.0","4,690.0","4,500.0","45.67K","4.22%"
"14/04/2020","4,500.0","4,500.0","4,700.0","4,500.0","10.67K","0.00%"
"13/04/2020","4,500.0","4,570.0","4,600.0","4,500.0","15.03K","-1.53%"
"10/04/2020","4,570.0","4,650.0","4,680.0","4,550.0","9.77K","-1.72%"
"09/04/2020","4,650.0","4,700.0","4,700.0","4,600.0","9.37K","2.42%"
"08/04/2020","4,540.0","4,450.0","4,540.0","4,220.0","24.29K","3.18%"
"07/04/2020","4,400.0","4,340.0","4,440.0","4,200.0","30.72K","1.38%"
"06/04/2020","4,340.0","4,390.0","4,450.0","4,180.0","95.01K","-1.14%"
"03/04/2020","4,390.0","4,180.0","4,400.0","4,180.0","18.27K","5.02%"
"01/04/2020","4,180.0","4,300.0","4,300.0","4,160.0","7.60K","0.48%"
"31/03/2020","4,160.0","4,390.0","4,390.0","3,890.0","49.24K","-0.48%"
"30/03/2020","4,180.0","4,180.0","4,280.0","4,180.0","71.41K","-6.90%"
