"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","11,200.0","11,350.0","11,350.0","11,100.0","8.90K","-1.32%"
"04/05/2020","11,350.0","11,450.0","11,450.0","11,000.0","28.30K","-0.87%"
"29/04/2020","11,450.0","11,400.0","11,450.0","11,300.0","23.30K","1.33%"
"28/04/2020","11,300.0","11,150.0","11,450.0","11,150.0","9.24K","-0.88%"
"27/04/2020","11,400.0","11,150.0","11,400.0","11,150.0","23.58K","-0.44%"
"24/04/2020","11,450.0","11,300.0","11,450.0","11,100.0","7.09K","0.00%"
"23/04/2020","11,450.0","11,050.0","11,550.0","11,050.0","22.64K","4.09%"
"22/04/2020","11,000.0","10,800.0","11,000.0","10,450.0","30.48K","1.85%"
"21/04/2020","10,800.0","11,100.0","11,250.0","10,800.0","86.54K","-6.09%"
"20/04/2020","11,500.0","11,650.0","11,750.0","11,350.0","69.49K","-1.29%"
"17/04/2020","11,650.0","11,350.0","11,800.0","11,350.0","54.19K","1.75%"
"16/04/2020","11,450.0","11,900.0","11,900.0","11,450.0","39.05K","-1.72%"
"15/04/2020","11,650.0","10,900.0","11,650.0","10,900.0","183.90K","6.88%"
"14/04/2020","10,900.0","10,800.0","10,900.0","10,700.0","51.76K","1.87%"
"13/04/2020","10,700.0","10,600.0","10,700.0","10,600.0","33.86K","1.90%"
"10/04/2020","10,500.0","10,600.0","10,600.0","10,400.0","60.60K","0.00%"
"09/04/2020","10,500.0","10,550.0","10,750.0","10,500.0","102.46K","0.00%"
"08/04/2020","10,500.0","10,500.0","10,650.0","10,300.0","37.02K","1.94%"
"07/04/2020","10,300.0","10,550.0","10,850.0","10,300.0","105.74K","-2.83%"
"06/04/2020","10,600.0","10,300.0","10,800.0","10,200.0","94.90K","2.91%"
"03/04/2020","10,300.0","10,100.0","10,350.0","10,000.0","22.95K","0.98%"
"01/04/2020","10,200.0","10,250.0","10,250.0","10,100.0","19.91K","0.99%"
"31/03/2020","10,100.0","9,400.0","10,300.0","9,400.0","44.52K","0.00%"
"30/03/2020","10,100.0","10,500.0","10,500.0","10,100.0","70.75K","-6.91%"
"27/03/2020","10,850.0","11,000.0","11,000.0","10,500.0","41.00K","0.00%"
"26/03/2020","10,850.0","11,050.0","11,600.0","10,850.0","38.86K","-6.87%"
"25/03/2020","11,650.0","11,300.0","11,750.0","11,300.0","40.61K","4.02%"
"24/03/2020","11,200.0","10,500.0","11,450.0","10,500.0","5.76K","0.00%"
"23/03/2020","11,200.0","11,500.0","11,500.0","11,200.0","88.19K","-6.67%"
"20/03/2020","12,000.0","11,900.0","12,000.0","11,800.0","14.44K","1.69%"
"19/03/2020","11,800.0","11,800.0","12,300.0","11,800.0","34.97K","-4.07%"
"18/03/2020","12,300.0","12,900.0","12,900.0","12,300.0","40.53K","0.00%"
"17/03/2020","12,300.0","12,000.0","12,300.0","11,500.0","159.13K","-0.40%"
"16/03/2020","12,350.0","12,650.0","12,700.0","12,350.0","31.72K","0.00%"
"13/03/2020","12,350.0","12,350.0","13,000.0","12,250.0","156.54K","-6.08%"
"12/03/2020","13,150.0","12,750.0","13,400.0","12,000.0","150.56K","1.94%"
"11/03/2020","12,900.0","12,800.0","13,450.0","12,700.0","518.02K","2.38%"
"10/03/2020","12,600.0","11,800.0","12,700.0","11,800.0","30.62K","0.80%"
"09/03/2020","12,500.0","12,700.0","13,000.0","12,500.0","194.28K","-6.72%"
"06/03/2020","13,400.0","13,700.0","13,700.0","13,300.0","60.83K","-1.47%"
"05/03/2020","13,600.0","13,300.0","14,050.0","13,300.0","120.26K","0.74%"
"04/03/2020","13,500.0","13,400.0","13,600.0","13,200.0","99.69K","0.75%"
"03/03/2020","13,400.0","12,850.0","13,600.0","12,850.0","273.60K","5.10%"
"02/03/2020","12,750.0","12,700.0","13,100.0","12,600.0","31.13K","1.19%"
"28/02/2020","12,600.0","12,600.0","12,600.0","12,350.0","62.83K","0.00%"
"27/02/2020","12,600.0","12,750.0","12,850.0","12,600.0","29.71K","-1.18%"
"26/02/2020","12,750.0","12,750.0","12,900.0","12,750.0","0.78K","0.00%"
"25/02/2020","12,750.0","12,500.0","12,800.0","12,400.0","22.67K","2.00%"
"24/02/2020","12,500.0","12,600.0","12,650.0","12,350.0","52.02K","-2.72%"
"21/02/2020","12,850.0","12,750.0","13,100.0","12,750.0","46.69K","-0.77%"
"20/02/2020","12,950.0","13,000.0","13,200.0","12,700.0","48.15K","0.39%"
"19/02/2020","12,900.0","12,550.0","13,100.0","12,550.0","47.74K","2.79%"
"18/02/2020","12,550.0","13,200.0","13,300.0","12,550.0","111.60K","-5.64%"
"17/02/2020","13,300.0","13,800.0","13,800.0","13,300.0","64.41K","-1.48%"
"14/02/2020","13,500.0","13,300.0","13,800.0","13,300.0","144.90K","0.75%"
"13/02/2020","13,400.0","12,900.0","13,400.0","12,900.0","158.50K","3.88%"
"12/02/2020","12,900.0","12,700.0","13,150.0","12,600.0","141.24K","3.20%"
"11/02/2020","12,500.0","12,400.0","12,850.0","12,400.0","204.44K","1.63%"
"10/02/2020","12,300.0","12,100.0","12,450.0","11,950.0","184.53K","1.65%"
"07/02/2020","12,100.0","12,100.0","12,100.0","11,800.0","78.76K","0.00%"
"06/02/2020","12,100.0","12,350.0","12,350.0","11,900.0","46.00K","0.00%"
"05/02/2020","12,100.0","12,000.0","12,100.0","11,900.0","69.78K","0.00%"
"04/02/2020","12,100.0","11,750.0","12,400.0","11,750.0","99.35K","-2.02%"
"03/02/2020","12,350.0","11,900.0","12,500.0","11,300.0","81.90K","2.07%"
"31/01/2020","12,100.0","12,900.0","13,000.0","12,100.0","69.61K","-6.20%"
"30/01/2020","12,900.0","12,400.0","13,250.0","12,400.0","265.13K","4.03%"
"22/01/2020","12,400.0","12,650.0","12,750.0","12,150.0","296.14K","3.77%"
"21/01/2020","11,950.0","11,200.0","11,950.0","11,200.0","347.86K","6.70%"
"20/01/2020","11,200.0","11,000.0","11,500.0","11,000.0","156.16K","1.82%"
"17/01/2020","11,000.0","11,100.0","11,100.0","11,000.0","3.60K","0.00%"
"16/01/2020","11,000.0","11,100.0","11,100.0","10,950.0","22.88K","-0.45%"
"15/01/2020","11,050.0","11,100.0","11,100.0","11,000.0","42.12K","0.00%"
"14/01/2020","11,050.0","11,200.0","11,250.0","11,050.0","39.67K","-0.90%"
"13/01/2020","11,150.0","11,300.0","11,300.0","11,150.0","6.29K","-1.33%"
