"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"24/04/2020","1,700","1,700","1,700","1,700","0.10K","-10.53%"
"21/02/2020","1,900","1,900","1,900","1,900","0.10K","5.56%"
"17/01/2020","1,800","1,700","1,800","1,700","11.70K","-5.26%"
"10/01/2020","1,900","1,900","1,900","1,900","15.12K","-5.00%"
"03/01/2020","2,000","1,700","2,000","1,700","1.00K","0.00%"
"13/12/2019","2,000","2,000","2,000","2,000","0.10K","5.26%"
"06/12/2019","1,900","1,900","1,900","1,900","42.60K","0.00%"
"29/11/2019","1,900","1,900","1,900","1,900","15.20K","0.00%"
"15/11/2019","1,900","1,900","1,900","1,900","0.55K","0.00%"
"08/11/2019","1,900","1,900","1,900","1,900","0.10K","11.76%"
"01/11/2019","1,700","1,700","1,700","1,700","8.02K","0.00%"
"25/10/2019","1,700","1,800","1,800","1,700","39.10K","6.25%"
"18/10/2019","1,600","1,500","1,600","1,500","17.64K","14.29%"
"16/10/2019","1,400","1,400","1,400","1,400","-","0.00%"
"11/10/2019","1,400","1,400","1,400","1,400","9.41K","7.69%"
"04/10/2019","1,300","1,300","1,300","1,200","0.44K","18.18%"
"27/09/2019","1,100","1,200","1,200","1,100","19.38K","-8.33%"
"20/09/2019","1,200","1,100","1,200","1,100","53.60K","0.00%"
"13/09/2019","1,200","1,400","1,400","1,200","0.99K","-7.69%"
"06/09/2019","1,300","1,300","1,300","1,300","0.65K","8.33%"
"30/08/2019","1,200","1,200","1,200","1,200","15.23K","-14.29%"
"23/08/2019","1,400","1,400","1,400","1,400","15.11K","-12.50%"
"16/08/2019","1,600","1,600","1,600","1,600","21.10K","-11.11%"
"09/08/2019","1,800","1,800","1,800","1,800","0.22K","5.88%"
"02/08/2019","1,700","1,500","1,700","1,500","14.12K","0.00%"
"26/07/2019","1,700","1,700","1,700","1,700","82.90K","-22.73%"
"19/07/2019","2,200","1,900","2,200","1,900","70.61K","0.00%"
"12/07/2019","2,200","2,200","2,200","2,200","43.10K","-4.35%"
"05/07/2019","2,300","2,600","2,600","2,300","83.22K","0.00%"
"28/06/2019","2,300","2,600","2,600","2,000","221.50K","0.00%"
"21/06/2019","2,300","2,300","2,300","2,300","4.90K","15.00%"
"14/06/2019","2,000","2,000","2,000","2,000","117.22K","11.11%"
"07/06/2019","1,800","1,800","1,800","1,800","110.01K","12.50%"
"31/05/2019","1,600","1,600","1,600","1,600","78.00K","14.29%"
"24/05/2019","1,400","1,400","1,400","1,400","52.70K","7.69%"
"17/05/2019","1,300","1,300","1,300","1,300","51.70K","8.33%"
"10/05/2019","1,200","1,100","1,200","1,100","87.80K","9.09%"
"03/05/2019","1,100","1,100","1,100","1,100","111.20K","-8.33%"
"26/04/2019","1,200","1,100","1,200","1,000","43.90K","9.09%"
"19/04/2019","1,100","1,100","1,100","1,100","18.20K","10.00%"
"12/04/2019","1,000","900","1,000","900","7.40K","11.11%"
"05/04/2019","900","800","900","800","132.96K","0.00%"
"29/03/2019","900","900","900","900","219.45K","12.50%"
"22/03/2019","800","800","800","800","115.20K","-11.11%"
"15/03/2019","900","900","900","900","100.70K","0.00%"
"08/03/2019","900","900","900","800","234.60K","12.50%"
"01/03/2019","800","600","800","600","95.92K","14.29%"
"22/02/2019","700","600","700","600","18.38K","16.67%"
"15/02/2019","600","600","600","600","1.50K","0.00%"
"01/02/2019","600","500","600","500","0.30K","0.00%"
"25/01/2019","600","600","600","600","0.20K","0.00%"
"18/01/2019","600","600","600","600","0.20K","-14.29%"
"04/01/2019","700","800","800","700","76.03K","-12.50%"
"28/12/2018","800","800","800","700","23.50K","0.00%"
"21/12/2018","800","800","800","800","105.02K","-11.11%"
"14/12/2018","900","900","900","900","9.00K","-10.00%"
"07/12/2018","1,000","900","1,000","900","0.70K","11.11%"
"30/11/2018","900","800","900","800","59.62K","12.50%"
"23/11/2018","800","900","900","800","10.30K","0.00%"
"16/11/2018","800","800","800","800","32.90K","0.00%"
"09/11/2018","800","800","800","800","58.52K","0.00%"
"02/11/2018","800","700","800","700","48.70K","0.00%"
"26/10/2018","800","700","800","600","100.40K","14.29%"
"19/10/2018","700","700","700","700","81.70K","0.00%"
"12/10/2018","700","700","700","700","45.00K","0.00%"
"05/10/2018","700","600","700","600","39.11K","16.67%"
"28/09/2018","600","600","600","600","11.01K","-14.29%"
"21/09/2018","700","700","700","700","0.10K","0.00%"
"14/09/2018","700","600","700","600","46.74K","0.00%"
"07/09/2018","700","600","700","500","50.90K","16.67%"
"31/08/2018","600","600","600","500","13.70K","20.00%"
"24/08/2018","500","500","500","500","15.06K","25.00%"
"10/08/2018","400","400","400","400","2.90K","-20.00%"
"27/07/2018","500","400","500","400","11.21K","0.00%"
"29/06/2018","500","500","600","500","37.62K","-16.67%"
"22/06/2018","600","600","600","600","5.10K","20.00%"
"15/06/2018","500","500","500","500","34.30K","25.00%"
"08/06/2018","400","400","400","400","2.85K","-20.00%"
"01/06/2018","500","500","500","500","2.60K","0.00%"
"25/05/2018","500","600","600","500","35.40K","0.00%"
"18/05/2018","500","500","600","500","42.03K","0.00%"
"11/05/2018","500","600","600","500","12.24K","-16.67%"
"04/05/2018","600","600","600","600","19.80K","20.00%"
"27/04/2018","500","600","600","500","50.20K","-16.67%"
"20/04/2018","600","500","600","500","11.90K","20.00%"
"13/04/2018","500","600","600","500","37.60K","-16.67%"
"06/04/2018","600","600","600","600","12.40K","0.00%"
"30/03/2018","600","600","600","600","10.38K","0.00%"
"23/03/2018","600","600","600","600","1.07K","20.00%"
"16/03/2018","500","500","500","500","0.60K","-16.67%"
"09/03/2018","600","700","700","600","60.81K","0.00%"
"02/03/2018","600","700","700","600","13.82K","-14.29%"
"23/02/2018","700","700","700","600","2.68K","16.67%"
"09/02/2018","600","500","600","500","82.53K","20.00%"
"02/02/2018","500","500","600","500","28.09K","0.00%"
"26/01/2018","500","500","500","500","30.73K","-16.67%"
"19/01/2018","600","600","600","600","51.45K","0.00%"
"12/01/2018","600","600","600","500","76.10K","0.00%"
"05/01/2018","600","600","700","600","41.95K","-14.29%"
"29/12/2017","700","600","700","600","10.34K","0.00%"
"22/12/2017","700","700","700","700","10.05K","0.00%"
"15/12/2017","700","700","700","700","20.61K","-12.50%"
"08/12/2017","800","700","800","600","17.90K","0.00%"
"01/12/2017","800","600","800","600","17.66K","14.29%"
"24/11/2017","700","700","700","700","5.00K","0.00%"
"17/11/2017","700","600","700","600","57.20K","0.00%"
"10/11/2017","700","700","700","600","50.10K","0.00%"
"03/11/2017","700","700","700","700","33.00K","0.00%"
"27/10/2017","700","700","700","700","35.00K","0.00%"
"20/10/2017","700","700","700","700","0.14K","0.00%"
"13/10/2017","700","600","700","600","1.80K","16.67%"
"06/10/2017","600","700","700","600","13.60K","-14.29%"
"29/09/2017","700","700","700","600","12.95K","0.00%"
"22/09/2017","700","800","800","700","11.70K","-12.50%"
"15/09/2017","800","700","800","700","1.50K","14.29%"
"08/09/2017","700","700","700","700","51.40K","0.00%"
"06/09/2017","700","700","700","700","-","0.00%"
"05/09/2017","700","700","700","700","-","0.00%"
"01/09/2017","700","700","800","700","111.86K","-12.50%"
"25/08/2017","800","800","800","800","125.36K","14.29%"
"18/08/2017","700","800","800","700","73.41K","-12.50%"
"11/08/2017","800","800","900","700","198.24K","0.00%"
"04/08/2017","800","800","800","700","178.30K","14.29%"
"28/07/2017","700","700","700","600","21.60K","-12.50%"
"21/07/2017","800","700","800","600","103.38K","14.29%"
"14/07/2017","700","700","700","600","116.51K","16.67%"
