"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/04/2020","25,200.0","25,200.0","25,200.0","25,200.0","3.00K","9.57%"
"21/04/2020","23,000.0","23,000.0","23,000.0","23,000.0","4.00K","4.55%"
"13/04/2020","22,000.0","22,000.0","22,000.0","22,000.0","0.50K","4.76%"
"24/03/2020","21,000.0","21,000.0","21,000.0","21,000.0","2.50K","0.00%"
"13/03/2020","21,000.0","21,000.0","21,000.0","21,000.0","1.11K","-8.70%"
"03/02/2020","23,000.0","23,000.0","23,000.0","23,000.0","1.00K","3.14%"
"26/12/2019","22,300.0","22,300.0","22,300.0","22,300.0","-","-9.72%"
"03/12/2019","24,700.0","24,700.0","24,700.0","24,700.0","0.10K","9.78%"
"20/11/2019","22,500.0","22,500.0","22,500.0","22,500.0","1.80K","-10.00%"
"18/11/2019","25,000.0","25,000.0","25,000.0","25,000.0","0.20K","-5.66%"
"06/11/2019","26,500.0","26,500.0","26,500.0","26,500.0","0.20K","7.69%"
"28/10/2019","24,607.0","24,607.0","24,607.0","24,607.0","0.60K","-5.36%"
"30/09/2019","26,000.0","26,000.0","26,000.0","26,000.0","0.50K","-5.45%"
"04/09/2019","27,500.0","27,500.0","27,500.0","27,500.0","0.40K","10.00%"
"27/08/2019","25,000.0","25,000.0","25,000.0","25,000.0","0.50K","8.70%"
"30/07/2019","23,000.0","23,000.0","23,000.0","23,000.0","1.10K","4.55%"
"22/07/2019","22,000.0","24,700.0","24,700.0","22,000.0","0.20K","-2.22%"
"17/07/2019","22,500.0","22,500.0","22,500.0","22,500.0","0.30K","-9.64%"
"28/06/2019","24,900.0","24,900.0","24,900.0","24,900.0","1.70K","9.69%"
"14/06/2019","22,700.0","22,700.0","22,700.0","22,700.0","0.60K","-9.92%"
"13/06/2019","25,200.0","25,200.0","25,200.0","25,200.0","0.30K","-10.00%"
"04/06/2019","28,000.0","27,517.0","28,000.0","27,517.0","9.60K","9.85%"
"29/05/2019","25,490.0","23,172.0","25,490.0","23,172.0","1.70K","6.21%"
"02/05/2019","24,000.0","23,500.0","24,000.0","23,500.0","0.30K","9.09%"
"24/04/2019","22,000.0","22,000.0","22,000.0","22,000.0","2.80K","-0.45%"
"23/04/2019","22,100.0","22,300.0","22,300.0","22,100.0","0.90K","-1.78%"
"22/04/2019","22,500.0","23,500.0","23,700.0","22,500.0","2.70K","-5.06%"
"01/04/2019","23,700.0","23,700.0","23,700.0","23,700.0","1.00K","0.00%"
"28/03/2019","23,700.0","23,700.0","23,700.0","23,700.0","0.20K","-0.84%"
"27/03/2019","23,900.0","23,900.0","23,900.0","23,900.0","0.10K","8.64%"
"26/03/2019","22,000.0","22,000.0","22,000.0","22,000.0","0.87K","0.00%"
"22/03/2019","22,000.0","22,100.0","22,100.0","22,000.0","3.60K","-9.09%"
"15/03/2019","24,200.0","24,200.0","24,200.0","24,200.0","0.10K","10.00%"
"13/03/2019","22,000.0","22,000.0","22,000.0","22,000.0","4.10K","-0.90%"
"06/03/2019","22,200.0","22,200.0","22,200.0","22,200.0","0.10K","-1.33%"
"04/03/2019","22,500.0","22,500.0","22,500.0","22,500.0","0.10K","2.27%"
"27/02/2019","22,000.0","22,000.0","22,100.0","22,000.0","1.20K","-8.33%"
"13/02/2019","24,000.0","24,000.0","24,000.0","24,000.0","0.50K","0.00%"
"28/01/2019","24,000.0","24,000.0","24,000.0","24,000.0","0.50K","4.35%"
"25/01/2019","23,000.0","22,500.0","23,000.0","22,500.0","0.96K","0.00%"
"21/01/2019","23,000.0","23,000.0","23,000.0","23,000.0","6.30K","-3.77%"
