"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","11,300.0","11,150.0","11,300.0","11,000.0","7.63K","0.89%"
"04/05/2020","11,200.0","11,200.0","11,200.0","11,200.0","0.15K","5.66%"
"28/04/2020","10,600.0","10,800.0","10,900.0","10,550.0","0.20K","-2.75%"
"24/04/2020","10,900.0","11,100.0","11,100.0","10,900.0","0.17K","-3.11%"
"23/04/2020","11,250.0","11,300.0","11,300.0","11,050.0","1.25K","0.45%"
"22/04/2020","11,200.0","11,200.0","11,200.0","11,200.0","0.41K","-0.88%"
"20/04/2020","11,300.0","11,300.0","11,300.0","11,300.0","0.20K","-1.74%"
"17/04/2020","11,500.0","11,550.0","11,550.0","11,000.0","17.43K","1.77%"
"16/04/2020","11,300.0","11,000.0","11,600.0","11,000.0","3.98K","2.73%"
"15/04/2020","11,000.0","11,950.0","12,000.0","11,000.0","0.44K","-2.65%"
"14/04/2020","11,300.0","11,300.0","11,300.0","11,300.0","0.32K","-1.74%"
"13/04/2020","11,500.0","11,500.0","11,500.0","11,500.0","0.50K","-4.17%"
"10/04/2020","12,000.0","11,600.0","12,000.0","11,600.0","0.43K","3.90%"
"09/04/2020","11,550.0","11,550.0","12,350.0","11,550.0","0.38K","0.00%"
"08/04/2020","11,550.0","11,550.0","11,550.0","11,550.0","0.01K","0.00%"
"07/04/2020","11,550.0","11,550.0","11,550.0","11,550.0","0.34K","-0.43%"
"06/04/2020","11,600.0","10,950.0","11,600.0","10,950.0","0.29K","5.94%"
"03/04/2020","10,950.0","10,100.0","10,950.0","10,100.0","1.19K","3.79%"
"01/04/2020","10,550.0","10,500.0","10,550.0","10,500.0","0.12K","0.96%"
"31/03/2020","10,450.0","11,000.0","11,000.0","10,400.0","0.47K","-2.79%"
"30/03/2020","10,750.0","11,100.0","11,100.0","10,700.0","0.41K","-6.11%"
"27/03/2020","11,450.0","10,800.0","11,450.0","10,800.0","0.31K","6.02%"
"25/03/2020","10,800.0","10,800.0","11,550.0","10,800.0","0.56K","0.00%"
"24/03/2020","10,800.0","11,500.0","11,500.0","10,700.0","0.08K","-6.09%"
"23/03/2020","11,500.0","11,500.0","11,500.0","11,500.0","0.01K","-3.36%"
"19/03/2020","11,900.0","11,900.0","11,900.0","11,900.0","0.20K","-0.42%"
"18/03/2020","11,950.0","11,300.0","11,950.0","11,300.0","13.65K","-1.24%"
"17/03/2020","12,100.0","11,500.0","12,100.0","11,500.0","0.02K","-1.63%"
"16/03/2020","12,300.0","12,300.0","12,300.0","12,300.0","0.05K","0.00%"
"13/03/2020","12,300.0","11,300.0","12,400.0","11,200.0","1.22K","2.50%"
"12/03/2020","12,000.0","12,000.0","12,000.0","12,000.0","0.03K","-6.98%"
"06/03/2020","12,900.0","11,400.0","12,900.0","11,400.0","0.10K","5.74%"
"05/03/2020","12,200.0","12,900.0","12,900.0","12,200.0","0.42K","-6.15%"
"03/03/2020","13,000.0","13,000.0","13,000.0","13,000.0","0.01K","-1.14%"
"28/02/2020","13,150.0","13,150.0","13,150.0","13,150.0","0.01K","1.94%"
"27/02/2020","12,900.0","12,000.0","13,600.0","12,000.0","0.16K","0.39%"
"25/02/2020","12,850.0","12,000.0","12,850.0","12,000.0","0.02K","2.80%"
"24/02/2020","12,500.0","13,300.0","13,300.0","11,600.0","0.07K","0.40%"
"21/02/2020","12,450.0","12,400.0","12,450.0","12,400.0","0.07K","0.40%"
"20/02/2020","12,400.0","12,000.0","12,400.0","12,000.0","1.11K","3.33%"
"19/02/2020","12,000.0","11,500.0","12,000.0","11,500.0","0.52K","4.35%"
"18/02/2020","11,500.0","11,500.0","11,500.0","11,500.0","0.52K","-3.36%"
"14/02/2020","11,900.0","11,900.0","11,900.0","11,400.0","0.14K","0.42%"
"13/02/2020","11,850.0","11,850.0","11,850.0","11,850.0","0.01K","0.42%"
"12/02/2020","11,800.0","11,800.0","11,800.0","11,800.0","0.17K","0.00%"
"11/02/2020","11,800.0","11,750.0","11,800.0","11,750.0","0.11K","0.43%"
"07/02/2020","11,750.0","11,750.0","11,750.0","11,750.0","0.01K","2.62%"
"05/02/2020","11,450.0","11,450.0","11,450.0","11,450.0","0.01K","2.69%"
"04/02/2020","11,150.0","11,150.0","11,750.0","11,150.0","0.24K","0.00%"
"03/02/2020","11,150.0","11,200.0","11,200.0","11,150.0","0.03K","-6.30%"
"31/01/2020","11,900.0","11,900.0","11,900.0","11,900.0","0.01K","3.48%"
"30/01/2020","11,500.0","11,500.0","11,500.0","11,500.0","0.04K","-6.88%"
"20/01/2020","12,350.0","11,250.0","12,350.0","11,250.0","1.25K","2.92%"
"17/01/2020","12,000.0","12,150.0","12,200.0","12,000.0","0.31K","3.45%"
"16/01/2020","11,600.0","12,200.0","12,950.0","11,350.0","1.15K","-4.92%"
"15/01/2020","12,200.0","11,500.0","12,200.0","11,350.0","7.42K","0.00%"
"14/01/2020","12,200.0","11,650.0","12,200.0","11,650.0","0.11K","5.17%"
"13/01/2020","11,600.0","11,100.0","11,600.0","10,750.0","0.34K","0.43%"
"10/01/2020","11,550.0","12,300.0","12,300.0","11,550.0","0.70K","-6.85%"
"08/01/2020","12,400.0","12,450.0","12,450.0","12,400.0","0.04K","5.53%"
"07/01/2020","11,750.0","11,750.0","11,750.0","11,750.0","0.03K","-5.24%"
"06/01/2020","12,400.0","11,600.0","12,400.0","11,600.0","0.29K","6.90%"
"03/01/2020","11,600.0","11,600.0","11,600.0","11,600.0","0.01K","-6.45%"
"02/01/2020","12,400.0","12,400.0","12,400.0","12,400.0","0.14K","2.06%"
"27/12/2019","12,150.0","12,200.0","12,200.0","12,150.0","0.13K","4.29%"
"26/12/2019","11,650.0","12,050.0","12,500.0","11,650.0","0.14K","-3.72%"
"25/12/2019","12,100.0","12,700.0","12,800.0","12,100.0","0.05K","-6.56%"
"24/12/2019","12,950.0","12,950.0","12,950.0","12,950.0","0.02K","4.86%"
"20/12/2019","12,350.0","12,000.0","12,350.0","11,600.0","0.67K","3.78%"
"19/12/2019","11,900.0","12,350.0","12,350.0","11,850.0","0.09K","0.42%"
"18/12/2019","11,850.0","12,400.0","12,400.0","11,850.0","0.07K","1.28%"
"17/12/2019","11,700.0","11,600.0","12,350.0","11,600.0","1.51K","-6.02%"
"16/12/2019","12,450.0","12,450.0","12,450.0","12,450.0","0.01K","2.89%"
"12/12/2019","12,100.0","11,100.0","12,100.0","11,100.0","2.04K","5.22%"
"11/12/2019","11,500.0","11,500.0","11,500.0","11,500.0","0.63K","0.00%"
"09/12/2019","11,500.0","11,500.0","11,500.0","11,500.0","0.01K","0.00%"
"06/12/2019","11,500.0","11,500.0","11,500.0","11,500.0","0.05K","-2.54%"
"05/12/2019","11,800.0","11,800.0","11,850.0","11,800.0","1.78K","-6.72%"
"04/12/2019","12,650.0","12,650.0","12,650.0","12,650.0","0.01K","1.20%"
"02/12/2019","12,500.0","12,500.0","12,500.0","12,500.0","0.01K","0.81%"
