"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"27/04/2020","16,500","16,500","16,500","16,500","0.22K","2.48%"
"14/04/2020","16,100","17,600","17,600","16,100","0.20K","7.33%"
"13/04/2020","15,000","15,400","15,500","15,000","0.80K","11.11%"
"10/04/2020","13,500","18,000","18,000","13,500","66.64K","-11.76%"
"09/04/2020","15,300","20,400","20,400","15,300","1.10K","-14.53%"
"08/04/2020","17,900","17,900","17,900","17,900","0.20K","-14.76%"
"26/03/2020","21,000","21,000","21,000","21,000","0.10K","1.45%"
"25/03/2020","20,700","20,700","20,700","20,700","0.10K","15.00%"
"23/03/2020","18,000","18,000","18,000","18,000","0.50K","-4.26%"
"20/03/2020","18,800","18,800","18,800","18,800","-","0.00%"
"05/03/2020","18,800","18,800","18,800","18,800","0.10K","14.63%"
"04/03/2020","16,400","16,400","16,400","16,400","0.10K","2.50%"
"02/03/2020","16,000","17,700","17,700","13,200","0.90K","3.90%"
"28/02/2020","15,400","15,400","15,400","15,400","0.10K","14.93%"
"27/02/2020","13,400","13,400","13,400","13,400","0.30K","14.53%"
"26/02/2020","11,700","11,700","11,700","11,700","10.60K","-42.36%"
"13/01/2020","20,300","18,400","20,300","18,400","1.00K","-6.02%"
"11/12/2019","21,600","21,600","21,600","21,600","0.10K","14.29%"
"05/12/2019","18,900","18,900","18,900","18,900","0.10K","5.00%"
"02/12/2019","18,000","18,000","18,000","18,000","0.10K","14.65%"
"29/11/2019","15,700","15,700","15,700","15,700","0.10K","14.60%"
"27/11/2019","13,700","13,700","13,700","13,700","0.40K","-14.91%"
"21/11/2019","16,100","16,100","16,100","16,100","0.40K","0.00%"
"18/11/2019","16,100","16,100","16,100","16,100","0.21K","15.00%"
"13/11/2019","14,000","14,000","14,000","14,000","0.10K","-14.63%"
"11/11/2019","16,400","16,400","16,400","16,400","0.30K","0.00%"
"07/11/2019","16,400","16,400","16,400","16,400","0.30K","12.33%"
"06/11/2019","14,600","13,900","14,600","13,900","0.20K","14.96%"
"05/11/2019","12,700","12,700","12,700","12,700","0.10K","14.41%"
"01/11/2019","11,100","11,100","11,100","11,100","0.60K","14.43%"
"28/10/2019","9,700","9,700","9,700","9,700","0.10K","-13.39%"
"18/10/2019","11,200","11,200","11,200","11,200","0.10K","-13.85%"
"16/10/2019","13,000","13,000","13,000","13,000","0.10K","13.04%"
"08/10/2019","11,500","11,500","11,500","11,500","0.11K","-10.85%"
"30/09/2019","12,900","12,900","12,900","12,900","0.10K","14.16%"
"26/09/2019","11,300","11,300","11,300","11,300","0.11K","-11.02%"
"20/09/2019","12,700","12,700","12,700","12,700","0.10K","-14.77%"
"03/09/2019","14,900","14,900","14,900","14,900","0.10K","-14.86%"
"01/08/2019","17,500","17,500","17,500","17,500","0.10K","-14.22%"
"29/07/2019","20,400","20,400","20,400","20,400","0.10K","-15.00%"
"25/07/2019","24,000","24,000","24,000","24,000","0.10K","-2.83%"
"24/07/2019","24,700","24,700","24,700","24,700","0.10K","14.88%"
"23/07/2019","21,500","21,500","21,500","21,500","0.10K","22.86%"
"22/07/2019","17,500","23,500","23,500","17,500","0.50K","-14.63%"
"16/07/2019","20,500","20,500","20,500","20,500","0.10K","-13.14%"
"15/07/2019","23,600","25,500","25,500","23,600","1.40K","-14.80%"
"03/07/2019","27,700","27,700","27,700","27,700","0.10K","14.94%"
"28/06/2019","24,100","24,100","24,100","24,100","0.10K","33.89%"
"19/06/2019","18,000","24,200","24,200","18,000","0.20K","0.00%"
"17/06/2019","18,000","24,200","24,200","18,000","0.20K","-14.69%"
"04/06/2019","21,100","21,100","21,100","21,100","0.10K","14.67%"
"21/05/2019","18,400","18,400","18,400","18,400","0.10K","15.00%"
"20/05/2019","16,000","16,000","16,000","16,000","0.20K","-11.60%"
"16/05/2019","18,100","18,100","18,100","18,100","0.10K","14.56%"
"15/05/2019","15,800","15,800","15,800","15,800","0.10K","-11.73%"
"16/04/2019","17,900","17,900","17,900","17,900","0.10K","-2.72%"
"11/04/2019","18,400","18,400","18,400","18,400","0.10K","15.00%"
"10/04/2019","16,000","16,000","16,000","16,000","0.10K","-11.60%"
"08/04/2019","18,100","18,100","18,100","18,100","0.10K","14.56%"
"05/04/2019","15,800","15,800","15,800","15,800","0.20K","-14.59%"
"04/04/2019","18,500","18,500","18,500","18,500","0.10K","15.63%"
"03/04/2019","16,000","16,100","16,100","16,000","0.50K","-13.98%"
"01/04/2019","18,600","18,600","18,600","18,600","0.10K","14.81%"
"29/03/2019","16,200","16,200","16,200","16,200","0.20K","-14.29%"
"26/03/2019","18,900","18,900","18,900","18,900","0.10K","14.55%"
"22/03/2019","16,500","16,500","16,500","16,500","0.10K","14.58%"
"21/03/2019","14,400","14,400","14,400","14,400","0.15K","-21.74%"
"07/03/2019","18,400","18,400","18,400","18,400","0.20K","-0.54%"
"27/02/2019","18,500","18,500","18,500","18,500","0.10K","14.91%"
"20/02/2019","16,100","16,100","16,100","16,100","0.10K","15.00%"
"19/02/2019","14,000","14,000","14,000","14,000","0.20K","-11.39%"
"14/02/2019","15,800","15,800","15,800","15,800","0.10K","14.49%"
"13/02/2019","13,800","13,800","13,800","13,800","0.30K","-8.61%"
"11/02/2019","15,100","15,200","15,200","15,100","0.20K","13.53%"
"01/02/2019","13,300","13,300","13,300","13,300","0.10K","-14.19%"
"21/01/2019","15,500","15,500","15,500","15,500","0.10K","14.81%"
"18/01/2019","13,500","13,500","13,500","13,500","0.20K","-2.17%"
"08/01/2019","13,800","15,700","15,700","13,800","0.20K","0.00%"
"07/01/2019","13,800","13,700","13,800","13,700","4.30K","15.00%"
"04/01/2019","12,000","12,000","12,000","12,000","0.40K","-12.41%"
"03/01/2019","13,700","13,700","13,700","13,700","0.10K","-14.91%"
"28/12/2018","16,100","16,100","16,100","16,100","0.10K","15.00%"
"26/12/2018","14,000","14,000","14,000","14,000","0.50K","-2.78%"
"24/12/2018","14,400","14,400","14,400","14,400","0.10K","14.29%"
"17/12/2018","12,600","12,600","12,600","12,600","0.30K","5.00%"
"12/12/2018","12,000","10,700","12,000","10,700","0.30K","-4.00%"
"07/12/2018","12,500","12,500","12,500","12,500","0.10K","1.63%"
"06/12/2018","12,300","12,300","12,300","12,300","0.10K","14.95%"
"04/12/2018","10,700","10,700","10,700","10,700","0.10K","-14.40%"
"26/11/2018","12,500","12,500","12,500","12,500","0.10K","-3.85%"
"15/11/2018","13,000","13,000","13,000","13,000","0.10K","0.00%"
"05/11/2018","13,000","13,000","13,000","13,000","0.20K","0.00%"
"01/11/2018","13,000","13,000","13,000","13,000","0.10K","4.00%"
"31/10/2018","12,500","12,500","12,500","12,500","0.10K","0.00%"
"30/10/2018","12,500","12,000","12,500","12,000","0.30K","0.00%"
"26/10/2018","12,500","12,000","12,500","12,000","0.40K","4.17%"
"25/10/2018","12,000","12,000","12,000","12,000","0.20K","0.00%"
"23/10/2018","12,000","12,000","12,000","12,000","0.30K","-7.69%"
"09/10/2018","13,000","11,100","13,000","11,100","0.40K","0.00%"
"25/09/2018","13,000","12,500","13,000","12,500","1.20K","8.33%"
"21/09/2018","12,000","12,000","12,000","12,000","0.10K","5.26%"
