"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","6,200","6,200","6,200","6,200","0.20K","0.00%"
"22/04/2020","6,200","6,200","6,200","6,200","0.10K","14.81%"
"21/04/2020","5,400","5,400","5,400","5,400","1.50K","-14.29%"
"15/04/2020","6,300","6,300","6,300","6,300","0.10K","12.50%"
"10/04/2020","5,600","6,500","6,500","5,600","2.50K","-13.85%"
"09/04/2020","6,500","6,500","6,500","6,500","1.90K","0.00%"
"07/04/2020","6,500","6,500","6,500","6,500","0.10K","-2.99%"
"03/04/2020","6,700","6,700","6,700","6,700","0.20K","-1.47%"
"01/04/2020","6,800","6,800","6,800","6,800","1.10K","-13.92%"
"19/03/2020","7,900","7,900","7,900","7,900","1.70K","0.00%"
"10/03/2020","7,900","7,900","7,900","7,900","1.50K","14.49%"
"04/03/2020","6,900","6,900","6,900","6,900","0.10K","21.05%"
"28/02/2020","5,700","6,500","6,500","5,700","2.00K","-12.31%"
"26/02/2020","6,500","6,500","6,500","6,500","0.30K","-14.47%"
"31/01/2020","7,600","7,600","7,600","7,600","0.10K","-3.80%"
"30/01/2020","7,900","7,900","7,900","7,900","0.10K","14.49%"
"21/01/2020","6,900","6,900","6,900","6,900","0.10K","9.52%"
"20/01/2020","6,300","6,300","6,400","6,300","2.10K","0.00%"
"17/01/2020","6,300","6,300","6,300","6,300","0.50K","0.00%"
"16/01/2020","6,300","6,300","6,300","6,300","0.30K","-11.27%"
"07/01/2020","7,100","7,100","7,100","7,100","0.10K","1.43%"
"03/01/2020","7,000","7,300","7,300","7,000","1.50K","-5.41%"
"20/12/2019","7,400","7,400","7,400","7,400","0.10K","10.45%"
"18/12/2019","6,700","6,700","6,700","6,700","0.30K","-1.47%"
"17/12/2019","6,800","7,000","7,000","6,800","2.40K","-2.86%"
"16/12/2019","7,000","6,800","7,000","6,800","3.30K","1.45%"
"12/12/2019","6,900","6,500","7,400","6,500","0.50K","6.15%"
"11/12/2019","6,500","6,500","6,500","6,400","0.90K","-13.33%"
"13/11/2019","7,500","7,500","7,500","7,500","8.90K","0.00%"
"30/10/2019","7,500","7,500","7,500","7,500","25.00K","-7.41%"
"25/10/2019","8,100","10,900","10,900","8,100","0.90K","-14.74%"
"24/10/2019","9,500","9,500","9,500","9,500","0.11K","14.46%"
"16/10/2019","8,300","8,300","8,300","8,300","-","0.00%"
"14/10/2019","8,300","8,300","8,300","8,300","0.10K","3.75%"
"11/10/2019","8,000","8,000","8,000","8,000","0.10K","-3.61%"
"09/10/2019","8,300","8,400","8,400","8,300","3.50K","-1.19%"
"08/10/2019","8,400","8,400","8,400","8,400","0.10K","5.00%"
"07/10/2019","8,000","8,000","8,000","8,000","2.50K","0.00%"
"04/10/2019","8,000","7,700","8,000","7,700","0.20K","2.56%"
"03/10/2019","7,800","7,600","7,800","7,600","3.70K","0.00%"
"02/10/2019","7,800","7,800","7,800","7,800","0.10K","9.86%"
"01/10/2019","7,100","7,100","7,100","7,100","0.10K","-10.13%"
"30/09/2019","7,900","7,900","7,900","7,900","0.10K","0.00%"
"27/09/2019","7,900","6,800","7,900","6,800","4.90K","-1.25%"
"20/09/2019","8,000","7,000","8,000","7,000","25.80K","11.11%"
"13/09/2019","7,200","6,600","7,200","6,600","4.20K","0.00%"
"06/09/2019","7,200","6,600","7,200","6,600","2.20K","0.00%"
"30/08/2019","7,200","7,200","7,200","7,200","3.10K","2.86%"
"23/08/2019","7,000","7,800","7,800","7,000","15.80K","-10.26%"
"09/08/2019","7,800","7,800","7,800","7,800","0.10K","4.00%"
"05/08/2019","7,500","7,500","7,500","7,200","5.00K","-9.64%"
"02/08/2019","8,300","7,000","8,300","7,000","0.30K","1.22%"
"01/08/2019","8,200","8,200","8,200","8,200","0.10K","10.81%"
"30/07/2019","7,400","7,400","7,400","7,400","0.10K","-7.50%"
"24/07/2019","8,000","8,000","8,000","8,000","1.00K","5.26%"
"23/07/2019","7,600","7,300","7,600","7,300","1.10K","-7.32%"
"19/07/2019","8,200","8,200","8,200","8,200","3.50K","0.00%"
"18/07/2019","8,200","8,200","8,200","8,200","0.40K","1.23%"
"17/07/2019","8,100","8,000","8,100","8,000","2.40K","2.53%"
"16/07/2019","7,900","7,900","7,900","7,900","0.30K","0.00%"
"15/07/2019","7,900","7,900","7,900","7,900","2.00K","-2.47%"
"12/07/2019","8,100","8,100","8,100","8,100","0.10K","3.85%"
