"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","16,550.0","16,600.0","16,850.0","16,500.0","76.73K","-0.30%"
"04/05/2020","16,600.0","16,700.0","16,900.0","16,500.0","363.05K","-1.78%"
"29/04/2020","16,900.0","16,950.0","17,050.0","16,650.0","553.73K","0.30%"
"28/04/2020","16,850.0","16,950.0","16,950.0","16,550.0","202.71K","0.30%"
"27/04/2020","16,800.0","16,900.0","17,250.0","16,650.0","877.34K","3.07%"
"24/04/2020","16,300.0","16,250.0","16,450.0","16,100.0","185.03K","0.31%"
"23/04/2020","16,250.0","16,750.0","16,750.0","16,150.0","320.99K","-2.11%"
"22/04/2020","16,600.0","15,550.0","16,600.0","15,550.0","264.74K","3.43%"
"21/04/2020","16,050.0","16,350.0","16,500.0","15,600.0","1.03M","-4.18%"
"20/04/2020","16,750.0","17,050.0","17,400.0","16,750.0","771.47K","-2.62%"
"17/04/2020","17,200.0","17,600.0","17,900.0","17,200.0","795.30K","-0.86%"
"16/04/2020","17,350.0","16,700.0","17,800.0","16,700.0","820.82K","2.66%"
"15/04/2020","16,900.0","16,400.0","16,900.0","16,250.0","650.42K","2.42%"
"14/04/2020","16,500.0","16,500.0","16,650.0","16,050.0","518.13K","0.00%"
"13/04/2020","16,500.0","16,050.0","16,550.0","16,050.0","470.18K","0.92%"
"10/04/2020","16,350.0","16,300.0","16,650.0","16,050.0","405.74K","-0.30%"
"09/04/2020","16,400.0","16,000.0","16,850.0","15,850.0","498.75K","2.50%"
"08/04/2020","16,000.0","15,850.0","16,200.0","15,850.0","261.30K","-1.84%"
"07/04/2020","16,300.0","16,300.0","16,350.0","15,900.0","366.99K","0.00%"
"06/04/2020","16,300.0","16,000.0","16,350.0","15,700.0","508.26K","4.15%"
"03/04/2020","15,650.0","15,750.0","15,750.0","15,500.0","323.39K","0.97%"
"01/04/2020","15,500.0","15,200.0","15,550.0","15,200.0","195.14K","2.31%"
