"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","23,400.0","23,000.0","23,600.0","23,000.0","105.61K","0.00%"
"04/05/2020","23,400.0","24,100.0","24,100.0","23,400.0","191.09K","-3.51%"
"29/04/2020","24,250.0","24,200.0","24,350.0","24,000.0","307.32K","0.21%"
"28/04/2020","24,200.0","23,750.0","24,350.0","23,700.0","633.28K","1.89%"
"27/04/2020","23,750.0","24,100.0","24,100.0","23,050.0","629.13K","2.37%"
"24/04/2020","23,200.0","23,000.0","23,500.0","22,650.0","487.61K","0.43%"
"23/04/2020","23,100.0","24,000.0","24,300.0","22,900.0","375.23K","-2.74%"
"22/04/2020","23,750.0","21,600.0","23,800.0","21,600.0","335.69K","4.63%"
"21/04/2020","22,700.0","24,000.0","24,200.0","22,700.0","903.10K","-6.97%"
"20/04/2020","24,400.0","25,400.0","25,500.0","24,000.0","794.14K","-4.87%"
"17/04/2020","25,650.0","25,450.0","26,100.0","25,400.0","1.29M","5.12%"
"16/04/2020","24,400.0","23,200.0","24,400.0","23,200.0","921.01K","6.78%"
"15/04/2020","22,850.0","21,850.0","22,850.0","21,600.0","620.64K","6.78%"
"14/04/2020","21,400.0","21,000.0","21,500.0","20,700.0","634.76K","2.88%"
"13/04/2020","20,800.0","20,200.0","20,900.0","20,150.0","224.14K","4.00%"
"10/04/2020","20,000.0","19,700.0","20,550.0","19,700.0","230.19K","-0.74%"
"09/04/2020","20,150.0","19,700.0","20,500.0","19,700.0","318.69K","2.03%"
"08/04/2020","19,750.0","20,000.0","20,200.0","19,100.0","299.93K","-1.74%"
"07/04/2020","20,100.0","19,700.0","20,250.0","19,100.0","564.65K","6.07%"
"06/04/2020","18,950.0","18,100.0","18,950.0","18,100.0","494.07K","6.76%"
"03/04/2020","17,750.0","17,250.0","18,000.0","17,250.0","355.51K","4.72%"
"01/04/2020","16,950.0","16,400.0","17,300.0","16,300.0","174.43K","3.35%"
"31/03/2020","16,400.0","16,200.0","17,300.0","16,000.0","267.72K","1.23%"
"30/03/2020","16,200.0","16,450.0","16,750.0","16,200.0","524.68K","-6.90%"
"27/03/2020","17,400.0","17,600.0","17,700.0","17,100.0","339.55K","0.58%"
