"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/04/2020","36,900.0","33,000.0","36,900.0","33,000.0","0.90K","2.50%"
"15/04/2020","36,000.0","32,400.0","32,400.0","32,400.0","-","0.00%"
"17/02/2020","36,000.0","36,000.0","36,000.0","36,000.0","0.10K","0.00%"
"15/01/2020","36,000.0","37,000.0","37,000.0","36,000.0","47.50K","-7.69%"
"26/12/2019","39,000.0","39,000.0","39,000.0","39,000.0","0.10K","-13.33%"
"24/12/2019","45,000.0","45,000.0","45,000.0","45,000.0","-","9.76%"
"15/10/2019","41,000.0","41,000.0","41,000.0","41,000.0","0.50K","4.33%"
"25/06/2019","39,300.0","39,300.0","39,300.0","39,300.0","0.10K","-1.75%"
"20/06/2019","40,000.0","40,000.0","40,000.0","40,000.0","0.10K","-4.76%"
"19/06/2019","42,000.0","42,000.0","42,000.0","42,000.0","0.20K","5.00%"
"13/06/2019","40,000.0","40,000.0","40,000.0","40,000.0","0.10K","-7.19%"
"12/06/2019","43,100.0","43,100.0","43,100.0","43,100.0","0.10K","-9.83%"
"06/06/2019","47,800.0","44,100.0","47,800.0","44,100.0","21.00K","9.89%"
"05/06/2019","43,500.0","39,416.0","47,850.0","39,150.0","19.40K","0.00%"
"04/06/2019","43,500.0","43,500.0","43,500.0","43,500.0","0.10K","9.13%"
"03/06/2019","39,860.0","39,860.0","39,860.0","39,860.0","0.10K","-3.49%"
"08/05/2019","41,300.0","41,300.0","41,300.0","41,300.0","0.10K","-9.23%"
"24/04/2019","45,500.0","45,000.0","45,500.0","45,000.0","0.20K","9.64%"
"23/04/2019","41,500.0","41,500.0","41,500.0","41,500.0","0.10K","-7.78%"
"19/04/2019","45,000.0","45,000.0","45,000.0","45,000.0","0.60K","4.65%"
"11/04/2019","43,000.0","43,000.0","43,000.0","43,000.0","0.50K","4.88%"
"05/04/2019","41,000.0","41,000.0","41,000.0","41,000.0","0.10K","-6.82%"
"03/04/2019","44,000.0","43,800.0","44,000.0","43,800.0","0.80K","10.00%"
