"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","1,000.00","1,100.00","1,100.00","1,000.00","10.20K","-9.09%"
"04/05/2020","1,100.00","1,100.00","1,200.00","1,100.00","115.11K","0.00%"
"29/04/2020","1,100.00","1,000.00","1,100.00","1,000.00","258.90K","10.00%"
"28/04/2020","1,000.00","1,100.00","1,100.00","1,000.00","8.50K","-9.09%"
"27/04/2020","1,100.00","1,000.00","1,100.00","1,000.00","175.57K","10.00%"
"24/04/2020","1,000.00","1,000.00","1,100.00","900.00","63.18K","0.00%"
"23/04/2020","1,000.00","1,000.00","1,100.00","1,000.00","81.10K","-9.09%"
"22/04/2020","1,100.00","900.00","1,100.00","900.00","58.74K","10.00%"
"21/04/2020","1,000.00","1,100.00","1,100.00","1,000.00","109.53K","-9.09%"
"20/04/2020","1,100.00","1,000.00","1,100.00","1,000.00","5.31K","0.00%"
"17/04/2020","1,100.00","1,100.00","1,100.00","1,000.00","9.20K","0.00%"
"16/04/2020","1,100.00","1,100.00","1,100.00","1,000.00","60.12K","0.00%"
"15/04/2020","1,100.00","1,000.00","1,100.00","1,000.00","24.42K","10.00%"
"14/04/2020","1,000.00","1,000.00","1,000.00","900.00","26.36K","0.00%"
"13/04/2020","1,000.00","1,000.00","1,000.00","1,000.00","0.70K","0.00%"
"10/04/2020","1,000.00","1,000.00","1,000.00","900.00","17.40K","0.00%"
"09/04/2020","1,000.00","1,000.00","1,100.00","1,000.00","27.20K","-9.09%"
"08/04/2020","1,100.00","1,000.00","1,100.00","900.00","8.92K","10.00%"
"07/04/2020","1,000.00","1,000.00","1,100.00","1,000.00","47.51K","-9.09%"
"06/04/2020","1,100.00","900.00","1,100.00","900.00","69.62K","10.00%"
"03/04/2020","1,000.00","1,000.00","1,000.00","900.00","12.70K","0.00%"
"01/04/2020","1,000.00","1,000.00","1,000.00","1,000.00","12.12K","11.11%"
"31/03/2020","900.00","900.00","1,100.00","900.00","31.73K","-10.00%"
"30/03/2020","1,000.00","1,000.00","1,100.00","1,000.00","35.80K","-9.09%"
"27/03/2020","1,100.00","1,100.00","1,100.00","1,000.00","64.10K","0.00%"
"26/03/2020","1,100.00","1,100.00","1,200.00","1,100.00","29.00K","-8.33%"
"25/03/2020","1,200.00","1,100.00","1,200.00","1,100.00","27.82K","9.09%"
"24/03/2020","1,100.00","1,200.00","1,200.00","1,000.00","55.00K","0.00%"
