"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"26/03/2020","23,500","23,500","23,500","23,500","0.10K","32.77%"
"07/11/2019","17,700","17,700","17,700","17,700","0.50K","-40.20%"
"16/10/2019","29,600","29,600","29,600","29,600","-","0.00%"
"26/08/2019","29,600","29,500","29,600","29,500","0.80K","2.78%"
"23/08/2019","28,800","28,800","28,800","28,800","0.10K","8.27%"
"22/08/2019","26,600","26,600","26,600","26,600","0.10K","14.16%"
"21/08/2019","23,300","23,300","23,300","23,300","0.10K","14.22%"
"20/08/2019","20,400","20,400","20,400","20,400","0.10K","4.62%"
"19/08/2019","19,500","19,500","19,500","19,500","0.10K","9.55%"
"16/08/2019","17,800","17,800","17,800","17,800","0.10K","14.84%"
"06/08/2019","15,500","15,500","15,500","15,500","0.10K","14.81%"
"31/07/2019","13,500","13,500","13,500","13,500","0.10K","14.41%"
"30/07/2019","11,800","11,800","11,800","11,800","0.10K","14.56%"
"16/07/2019","10,300","10,300","10,300","10,300","0.10K","14.44%"
"05/07/2019","9,000","9,000","9,000","9,000","0.10K","13.92%"
"21/06/2019","7,900","7,900","7,900","7,900","0.20K","38.60%"
"10/04/2019","5,700","5,700","5,700","5,700","5.00K","-3.39%"
"08/04/2019","5,900","7,500","7,500","5,900","0.20K","-14.49%"
"04/04/2019","6,900","6,900","6,900","6,900","0.10K","-14.81%"
"14/03/2019","8,100","8,100","8,100","8,100","0.10K","0.00%"
"13/02/2019","8,100","8,100","8,100","8,100","0.10K","0.00%"
"11/02/2019","8,100","8,100","8,100","8,100","1.00K","0.00%"
"24/08/2018","8,100","7,000","8,100","7,000","16.50K","8.00%"
"27/06/2018","7,500","7,500","7,500","7,500","1.00K","7.14%"
"06/06/2018","7,000","7,000","7,000","7,000","-","0.00%"
"24/05/2018","7,000","7,000","7,000","7,000","0.20K","-2.78%"
"12/01/2018","7,200","7,200","7,200","7,200","-","0.00%"
"20/12/2017","7,200","7,200","7,200","7,200","7.20K","0.00%"
"06/09/2017","7,200","7,200","7,200","7,200","-","0.00%"
"05/09/2017","7,200","7,200","7,200","7,200","-","0.00%"
"18/07/2017","7,200","7,200","7,200","7,200","5.00K","14.29%"
"17/07/2017","6,300","6,300","6,300","6,300","0.10K","-14.86%"
"14/07/2017","7,400","7,400","7,400","7,400","0.10K","-13.95%"
"06/07/2017","8,600","8,600","8,600","8,600","0.10K","7.50%"
"05/07/2017","8,000","7,000","8,000","7,000","0.20K","14.29%"
"30/06/2017","7,000","7,000","7,000","7,000","1.60K","-1.41%"
"12/06/2017","7,100","7,000","7,100","7,000","10.00K","-11.25%"
"02/06/2017","8,000","8,000","8,000","8,000","-","0.00%"
"24/05/2017","8,000","8,000","8,000","8,000","5.20K","6.67%"
"11/05/2017","7,500","7,000","7,500","7,000","2.40K","7.14%"
"20/03/2017","7,000","7,000","7,000","7,000","1.00K","0.00%"
"08/03/2017","7,000","7,000","7,000","7,000","0.50K","9.38%"
"20/02/2017","6,400","6,400","6,400","6,400","0.10K","6.67%"
"23/12/2016","6,000","6,000","6,000","6,000","16.20K","-20.00%"
"06/10/2016","7,500","7,500","7,500","7,500","0.40K","-6.25%"
"05/10/2016","8,000","8,000","8,000","8,000","0.20K","-11.11%"
"04/10/2016","9,000","9,000","9,000","9,000","0.20K","-18.18%"
