"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2020","39,000","39,000","39,000","39,000","0.10K","6.85%"
"22/01/2020","36,500","36,500","36,500","36,500","0.10K","14.42%"
"10/01/2020","31,900","31,900","31,900","31,900","0.10K","34.03%"
"09/01/2020","23,800","32,000","32,000","23,800","0.20K","-15.00%"
"06/01/2020","28,000","28,000","28,000","28,000","0.10K","14.29%"
"03/01/2020","24,500","24,500","24,500","24,500","0.10K","14.49%"
"02/01/2020","21,400","21,400","21,400","21,400","0.10K","1.90%"
"23/12/2019","21,000","21,000","21,000","21,000","0.10K","-14.98%"
"18/12/2019","24,700","24,700","24,700","24,700","0.10K","-14.83%"
"09/12/2019","29,000","29,000","29,000","29,000","0.10K","13.73%"
"12/11/2019","25,500","25,500","25,500","25,500","0.10K","14.35%"
"21/10/2019","22,300","22,300","22,300","22,300","0.10K","14.36%"
"18/10/2019","19,500","19,500","19,500","19,500","0.10K","14.04%"
"16/10/2019","17,100","17,100","17,100","17,100","0.70K","-20.47%"
"15/10/2019","21,500","16,000","21,500","16,000","0.40K","22.86%"
"14/10/2019","17,500","20,000","20,000","17,500","0.20K","0.00%"
"09/10/2019","17,500","17,500","17,500","17,500","0.70K","-1.69%"
"08/10/2019","17,800","17,800","17,800","17,800","0.13K","-14.83%"
"04/10/2019","20,900","20,900","20,900","20,900","0.11K","12.97%"
"03/10/2019","18,500","18,500","18,500","18,500","0.10K","13.50%"
"02/10/2019","16,300","16,300","16,300","16,300","0.10K","14.79%"
"30/09/2019","14,200","14,200","14,200","14,200","0.10K","14.52%"
"09/09/2019","12,400","12,400","12,400","12,400","0.10K","-12.06%"
"05/09/2019","14,100","14,100","14,100","14,100","0.10K","-8.44%"
"04/09/2019","15,400","15,400","15,400","15,400","0.10K","14.93%"
"30/08/2019","13,400","13,400","13,400","13,400","0.10K","-8.22%"
"27/08/2019","14,600","14,600","14,600","14,600","0.10K","-8.18%"
"26/08/2019","15,900","15,900","15,900","15,900","0.10K","-14.97%"
"22/08/2019","18,700","18,700","18,700","18,700","0.10K","-5.56%"
"20/08/2019","19,800","15,200","19,800","15,200","0.40K","14.45%"
"15/08/2019","17,300","17,300","17,300","17,300","0.20K","-0.57%"
"14/08/2019","17,400","23,200","23,200","17,400","0.20K","-14.71%"
"13/08/2019","20,400","20,400","20,400","20,400","0.10K","6.25%"
"12/08/2019","19,200","15,400","19,200","15,400","0.34K","14.97%"
"09/08/2019","16,700","16,700","16,700","16,700","0.10K","14.38%"
"07/08/2019","14,600","14,600","14,600","14,600","0.10K","-3.95%"
"06/08/2019","15,200","15,200","15,200","15,200","1.10K","14.29%"
"16/07/2019","13,300","13,300","13,300","13,300","0.10K","-8.90%"
"15/07/2019","14,600","14,600","14,600","14,600","0.10K","-7.01%"
"12/07/2019","15,700","12,900","15,800","12,900","2.10K","4.67%"
"11/07/2019","15,000","15,000","15,000","15,000","0.10K","-14.29%"
"10/07/2019","17,500","17,500","17,500","17,500","1.00K","-10.26%"
"04/07/2019","19,500","19,500","19,500","19,500","0.40K","-2.01%"
"02/07/2019","19,900","19,900","19,900","19,900","1.60K","-14.96%"
"14/06/2019","23,400","23,400","23,400","23,400","0.10K","14.15%"
"10/06/2019","20,500","20,500","20,500","20,500","0.10K","13.89%"
"05/06/2019","18,000","18,000","18,000","18,000","0.20K","14.65%"
"03/06/2019","15,700","15,700","15,700","15,700","3.80K","14.60%"
"31/05/2019","13,700","13,700","13,700","13,700","0.10K","-13.84%"
"27/05/2019","15,900","15,900","15,900","15,900","0.50K","6.00%"
"24/05/2019","15,000","15,000","15,000","15,000","0.20K","-0.66%"
"23/05/2019","15,100","15,100","15,100","15,100","0.10K","-5.63%"
"22/05/2019","16,000","16,000","16,000","16,000","0.10K","-14.44%"
"20/05/2019","18,700","18,700","18,700","18,700","0.20K","14.72%"
"17/05/2019","16,300","16,300","16,300","16,300","0.10K","14.79%"
"16/05/2019","14,200","14,200","14,200","14,200","0.10K","14.52%"
"10/05/2019","12,400","12,400","12,400","12,400","0.10K","-17.33%"
"07/05/2019","15,000","14,000","15,000","14,000","0.60K","12.78%"
"03/05/2019","13,300","13,300","13,300","13,300","0.10K","-13.64%"
"25/04/2019","15,400","15,400","15,400","15,400","0.20K","0.00%"
"22/04/2019","15,400","15,400","15,400","15,400","1.00K","0.00%"
"19/04/2019","15,400","15,400","15,400","15,400","0.10K","-9.41%"
"17/04/2019","17,000","17,000","17,000","17,000","0.10K","7.59%"
"12/04/2019","15,800","17,000","17,000","15,800","1.40K","-10.73%"
"02/04/2019","17,700","17,700","17,700","17,700","0.10K","10.63%"
"01/04/2019","16,000","16,000","16,000","16,000","2.20K","0.00%"
"27/03/2019","16,000","16,000","16,000","16,000","1.50K","-3.03%"
"20/03/2019","16,500","17,000","17,000","16,500","4.00K","-5.71%"
