"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2020","13,500.0","13,500.0","13,500.0","13,500.0","0.34K","-1.10%"
"28/04/2020","13,650.0","13,650.0","13,650.0","13,650.0","0.11K","6.64%"
"24/04/2020","12,800.0","12,800.0","12,800.0","12,800.0","0.01K","-5.19%"
"23/04/2020","13,500.0","13,500.0","13,500.0","13,500.0","0.02K","0.00%"
"22/04/2020","13,500.0","13,500.0","13,500.0","13,500.0","0.50K","0.00%"
"21/04/2020","13,500.0","13,500.0","13,500.0","13,500.0","0.40K","-1.46%"
"20/04/2020","13,700.0","13,000.0","13,700.0","13,000.0","0.41K","5.38%"
"16/04/2020","13,000.0","13,000.0","13,000.0","13,000.0","0.70K","0.00%"
"15/04/2020","13,000.0","13,000.0","13,000.0","13,000.0","0.40K","5.26%"
"14/04/2020","12,350.0","11,600.0","12,350.0","11,600.0","0.32K","6.47%"
"13/04/2020","11,600.0","11,600.0","11,950.0","11,600.0","0.81K","-5.31%"
"10/04/2020","12,250.0","12,250.0","12,250.0","12,250.0","0.01K","-5.41%"
"09/04/2020","12,950.0","12,950.0","12,950.0","12,950.0","0.01K","0.00%"
"08/04/2020","12,950.0","12,950.0","12,950.0","12,950.0","0.01K","-6.83%"
"07/04/2020","13,900.0","13,900.0","13,900.0","13,900.0","0.05K","0.00%"
"06/04/2020","13,900.0","13,850.0","13,900.0","13,850.0","0.06K","0.72%"
"01/04/2020","13,800.0","13,800.0","13,800.0","13,800.0","0.01K","2.99%"
"31/03/2020","13,400.0","13,400.0","13,400.0","13,400.0","0.01K","5.93%"
"30/03/2020","12,650.0","13,350.0","13,350.0","12,650.0","0.37K","-2.69%"
"27/03/2020","13,000.0","12,600.0","13,350.0","12,600.0","1.78K","2.36%"
"26/03/2020","12,700.0","12,600.0","13,600.0","12,600.0","1.35K","-5.93%"
"25/03/2020","13,500.0","13,850.0","13,850.0","13,500.0","0.31K","0.75%"
"24/03/2020","13,400.0","12,700.0","13,400.0","12,600.0","0.58K","5.10%"
"23/03/2020","12,750.0","12,100.0","12,750.0","11,550.0","0.87K","2.82%"
"20/03/2020","12,400.0","13,000.0","13,000.0","12,400.0","0.58K","-4.62%"
"19/03/2020","13,000.0","13,850.0","13,850.0","13,000.0","0.26K","-6.14%"
"18/03/2020","13,850.0","12,850.0","13,850.0","12,850.0","1.01K","0.36%"
"17/03/2020","13,800.0","13,450.0","14,300.0","12,550.0","0.67K","2.60%"
"16/03/2020","13,450.0","12,850.0","13,450.0","12,850.0","0.59K","-2.54%"
