"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","8,000.0","8,100.0","8,100.0","8,000.0","2.10K","-1.23%"
"21/04/2020","8,100.0","8,100.0","8,100.0","8,100.0","4.90K","-10.00%"
"08/04/2020","9,000.0","9,000.0","9,000.0","9,000.0","0.10K","-10.00%"
"25/03/2020","10,000.0","10,000.0","10,000.0","10,000.0","0.10K","-9.09%"
"12/03/2020","11,000.0","9,500.0","11,000.0","9,500.0","0.20K","10.00%"
"09/03/2020","10,000.0","10,000.0","10,000.0","10,000.0","0.10K","-9.09%"
"06/03/2020","11,000.0","11,000.0","11,000.0","11,000.0","0.20K","3.77%"
"04/03/2020","10,600.0","10,600.0","10,600.0","10,600.0","0.20K","-1.85%"
"03/03/2020","10,800.0","10,800.0","10,800.0","10,800.0","0.20K","-13.60%"
"24/02/2020","12,500.0","12,500.0","12,500.0","12,500.0","-","0.00%"
"21/02/2020","12,500.0","12,500.0","12,500.0","12,500.0","-","5.93%"
"10/01/2020","11,800.0","11,800.0","11,800.0","11,800.0","0.10K","9.26%"
"09/01/2020","10,800.0","10,800.0","10,800.0","10,800.0","0.20K","9.09%"
"02/01/2020","9,900.0","10,000.0","10,000.0","9,900.0","3.60K","-10.00%"
"31/12/2019","11,000.0","11,000.0","11,000.0","11,000.0","2.40K","10.00%"
"27/12/2019","10,000.0","10,000.0","10,000.0","10,000.0","0.10K","2.04%"
"26/12/2019","9,800.0","9,800.0","9,800.0","9,800.0","0.50K","-9.26%"
"25/12/2019","10,800.0","10,000.0","10,800.0","10,000.0","0.70K","9.09%"
"24/12/2019","9,900.0","9,900.0","9,900.0","9,900.0","0.10K","10.00%"
"23/12/2019","9,000.0","9,000.0","9,000.0","9,000.0","0.10K","9.76%"
"20/12/2019","8,200.0","8,200.0","8,200.0","8,200.0","0.20K","9.33%"
"11/10/2019","7,500.0","7,500.0","7,500.0","7,500.0","0.10K","8.70%"
"10/10/2019","6,900.0","6,900.0","6,900.0","6,900.0","0.10K","9.52%"
"08/10/2019","6,300.0","6,300.0","6,300.0","6,300.0","0.80K","8.62%"
"07/10/2019","5,800.0","5,800.0","5,800.0","5,800.0","0.10K","9.43%"
"04/10/2019","5,300.0","5,300.0","5,300.0","5,300.0","0.30K","8.16%"
"03/10/2019","4,900.0","4,900.0","4,900.0","4,900.0","0.10K","8.89%"
"02/10/2019","4,500.0","4,500.0","4,500.0","4,500.0","0.10K","9.76%"
"01/10/2019","4,100.0","4,100.0","4,100.0","4,100.0","0.10K","7.89%"
"27/09/2019","3,800.0","3,800.0","3,800.0","3,800.0","1.00K","8.57%"
"12/08/2019","3,500.0","3,500.0","3,500.0","3,500.0","0.10K","-7.89%"
"07/08/2019","3,800.0","3,800.0","3,800.0","3,800.0","0.10K","-7.32%"
"06/08/2019","4,100.0","4,100.0","4,100.0","4,100.0","0.10K","-8.89%"
"01/08/2019","4,500.0","4,500.0","4,500.0","4,500.0","0.10K","-8.16%"
"30/07/2019","4,900.0","4,900.0","4,900.0","4,900.0","0.10K","-9.26%"
"29/07/2019","5,400.0","5,400.0","5,400.0","5,400.0","0.12K","-8.47%"
"26/07/2019","5,900.0","5,900.0","5,900.0","5,900.0","0.10K","-7.81%"
"25/07/2019","6,400.0","6,400.0","6,400.0","6,400.0","0.10K","-9.86%"
"23/07/2019","7,100.0","7,100.0","7,100.0","7,100.0","0.20K","9.23%"
"15/07/2019","6,500.0","6,500.0","6,500.0","6,500.0","0.10K","-9.72%"
"10/05/2019","7,200.0","7,200.0","7,200.0","7,200.0","0.10K","-8.86%"
"26/04/2019","7,900.0","7,900.0","7,900.0","7,900.0","0.10K","9.72%"
"25/04/2019","7,200.0","7,000.0","7,200.0","7,000.0","0.70K","9.09%"
"17/04/2019","6,600.0","8,000.0","8,000.0","6,600.0","0.30K","-9.59%"
"09/04/2019","7,300.0","6,100.0","7,300.0","6,100.0","0.20K","8.96%"
"03/04/2019","6,700.0","6,700.0","6,700.0","6,700.0","0.10K","0.00%"
"02/04/2019","6,700.0","6,700.0","6,700.0","6,700.0","0.60K","9.84%"
"01/04/2019","6,100.0","6,100.0","6,100.0","6,100.0","0.10K","8.93%"
"29/03/2019","5,600.0","5,600.0","5,600.0","5,600.0","0.10K","9.80%"
"28/03/2019","5,100.0","5,100.0","5,100.0","5,100.0","0.10K","8.51%"
"15/03/2019","4,700.0","4,400.0","4,700.0","4,400.0","7.80K","-2.08%"
"23/01/2019","4,800.0","5,800.0","5,800.0","4,800.0","0.90K","-9.43%"
"21/01/2019","5,300.0","5,300.0","5,300.0","5,300.0","0.20K","8.16%"
"16/01/2019","4,900.0","4,900.0","4,900.0","4,900.0","0.10K","8.89%"
"11/01/2019","4,500.0","4,500.0","4,500.0","4,500.0","0.90K","-10.00%"
"27/12/2018","5,000.0","5,000.0","5,000.0","5,000.0","2.60K","-3.85%"
"25/12/2018","5,200.0","5,200.0","5,200.0","5,200.0","0.10K","-8.77%"
"24/12/2018","5,700.0","5,700.0","5,700.0","5,700.0","1.00K","-9.52%"
"24/08/2018","6,300.0","6,300.0","6,300.0","6,300.0","1.10K","8.62%"
"23/08/2018","5,800.0","5,800.0","5,800.0","5,800.0","0.94K","9.43%"
"22/08/2018","5,300.0","5,300.0","5,300.0","5,300.0","1.20K","8.16%"
"21/08/2018","4,900.0","4,900.0","4,900.0","4,900.0","1.00K","8.89%"
"20/08/2018","4,500.0","4,500.0","4,500.0","4,500.0","1.00K","9.76%"
"25/07/2018","4,100.0","4,100.0","4,100.0","4,100.0","0.20K","0.00%"
"21/06/2018","4,100.0","4,100.0","4,100.0","4,100.0","0.10K","-19.61%"
"26/02/2018","5,100.0","5,100.0","5,100.0","5,100.0","0.10K","-7.27%"
"08/02/2018","5,500.0","5,500.0","5,500.0","5,500.0","0.18K","-8.33%"
"07/02/2018","6,000.0","6,000.0","6,000.0","6,000.0","0.10K","-9.09%"
"06/02/2018","6,600.0","6,600.0","6,600.0","6,600.0","0.10K","-9.59%"
"05/02/2018","7,300.0","7,300.0","7,300.0","7,300.0","0.10K","-9.88%"
"31/01/2018","8,100.0","8,100.0","8,100.0","8,100.0","0.10K","-10.00%"
"26/01/2018","9,000.0","9,000.0","9,000.0","9,000.0","0.10K","-10.00%"
"25/01/2018","10,000.0","10,000.0","10,000.0","10,000.0","0.70K","-7.41%"
"20/12/2017","10,800.0","10,800.0","10,800.0","10,800.0","0.27K","9.09%"
"15/12/2017","9,900.0","9,900.0","9,900.0","9,900.0","0.27K","10.00%"
"14/12/2017","9,000.0","9,000.0","9,000.0","9,000.0","0.20K","5.88%"
"12/12/2017","8,500.0","8,500.0","8,500.0","8,500.0","3.30K","0.00%"
"04/12/2017","8,500.0","8,500.0","8,500.0","8,500.0","0.20K","0.00%"
"20/11/2017","8,500.0","8,500.0","8,500.0","8,500.0","0.10K","-4.49%"
"10/11/2017","8,900.0","8,900.0","8,900.0","8,900.0","0.20K","9.88%"
"08/11/2017","8,100.0","8,100.0","8,100.0","8,100.0","0.10K","9.46%"
"06/11/2017","7,400.0","7,400.0","7,400.0","7,400.0","1.60K","2.78%"
"11/10/2017","7,200.0","7,200.0","7,200.0","7,200.0","0.20K","9.09%"
"10/10/2017","6,600.0","6,600.0","6,600.0","6,600.0","0.10K","10.00%"
"09/10/2017","6,000.0","6,000.0","6,000.0","6,000.0","0.10K","9.09%"
"03/10/2017","5,500.0","5,500.0","5,500.0","5,500.0","0.10K","10.00%"
"19/09/2017","5,000.0","5,200.0","5,200.0","5,000.0","0.30K","-3.85%"
"15/09/2017","5,200.0","5,200.0","5,200.0","5,200.0","0.10K","0.00%"
"14/09/2017","5,200.0","5,200.0","5,200.0","5,200.0","0.10K","-7.14%"
"13/09/2017","5,600.0","5,600.0","5,600.0","5,600.0","0.10K","-9.68%"
"12/09/2017","6,200.0","6,200.0","6,200.0","6,200.0","0.10K","-8.82%"
"07/09/2017","6,800.0","6,800.0","6,800.0","6,800.0","0.10K","-9.33%"
