"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2020","4,900","4,700","5,000","4,700","9.50K","-5.77%"
"24/04/2020","5,200","5,100","5,200","5,100","0.30K","-3.70%"
"23/04/2020","5,400","5,400","5,400","5,400","0.10K","12.50%"
"22/04/2020","4,800","4,700","4,900","4,700","10.10K","-5.88%"
"21/04/2020","5,100","5,100","5,100","5,100","50.00K","-10.53%"
"17/04/2020","5,700","7,400","7,400","5,700","0.70K","-1.72%"
"16/04/2020","5,800","7,400","7,400","5,800","0.20K","-4.92%"
"15/04/2020","6,100","7,400","7,400","6,100","0.20K","-17.57%"
"14/04/2020","7,400","6,400","7,400","6,400","0.30K","-1.33%"
"07/04/2020","7,500","7,500","7,500","7,500","0.10K","8.70%"
"06/04/2020","6,900","6,900","6,900","6,900","0.10K","9.52%"
"03/04/2020","6,300","6,300","6,300","6,300","0.10K","10.53%"
"01/04/2020","5,700","5,700","5,700","5,700","0.10K","14.00%"
"31/03/2020","5,000","6,300","6,300","4,900","7.60K","-12.28%"
"30/03/2020","5,700","5,700","5,700","5,700","0.20K","-14.93%"
"27/03/2020","6,700","6,700","6,700","6,700","0.10K","4.69%"
"26/03/2020","6,400","5,500","6,400","5,500","0.20K","0.00%"
"25/03/2020","6,400","6,400","6,400","6,400","0.10K","10.34%"
"24/03/2020","5,800","5,800","5,800","5,800","0.10K","13.73%"
"23/03/2020","5,100","6,300","6,300","5,100","10.20K","-15.00%"
"20/03/2020","6,000","6,000","6,000","6,000","0.10K","11.11%"
"18/03/2020","5,400","5,400","5,600","5,400","23.50K","-14.29%"
"17/03/2020","6,300","6,300","6,300","6,300","0.10K","26.00%"
"13/03/2020","5,000","5,700","5,800","5,000","6.10K","-13.79%"
"12/03/2020","5,800","6,200","6,200","5,700","14.60K","16.00%"
"11/03/2020","5,000","5,800","5,800","5,000","11.10K","-13.79%"
"10/03/2020","5,800","5,800","5,800","5,800","14.20K","-14.71%"
"09/03/2020","6,800","6,800","6,800","6,800","0.10K","11.48%"
"06/03/2020","6,100","6,100","6,200","6,000","4.40K","10.91%"
"05/03/2020","5,500","6,000","6,000","5,400","2.10K","3.77%"
"04/03/2020","5,300","5,300","5,600","5,300","3.50K","8.16%"
"03/03/2020","4,900","4,900","4,900","4,900","0.10K","0.00%"
"02/03/2020","4,900","4,900","4,900","4,900","1.50K","0.00%"
"28/02/2020","4,900","4,900","4,900","4,900","0.50K","4.26%"
"24/02/2020","4,700","4,800","4,800","4,700","0.20K","-4.08%"
"17/02/2020","4,900","4,900","4,900","4,900","0.40K","0.00%"
"14/02/2020","4,900","4,900","4,900","4,900","0.10K","0.00%"
"13/02/2020","4,900","5,900","5,900","4,900","0.20K","2.08%"
"12/02/2020","4,800","6,100","6,100","4,800","0.30K","-11.11%"
"10/02/2020","5,400","5,400","5,400","5,400","0.10K","10.20%"
"07/02/2020","4,900","4,900","4,900","4,900","2.00K","-3.92%"
"06/02/2020","5,100","5,100","5,100","5,100","2.30K","-15.00%"
"05/02/2020","6,000","6,000","6,000","6,000","0.10K","-3.23%"
"03/02/2020","6,200","7,000","7,000","5,400","1.20K","-1.59%"
"31/01/2020","6,300","6,300","6,300","6,300","0.10K","12.50%"
"22/01/2020","5,600","5,600","5,600","5,600","0.10K","14.29%"
"17/01/2020","4,900","5,600","5,600","4,800","1.80K","-2.00%"
"13/01/2020","5,000","5,000","5,000","5,000","0.10K","4.17%"
"08/01/2020","4,800","4,800","4,800","4,800","0.20K","0.00%"
"06/01/2020","4,800","4,900","4,900","4,800","4.20K","-2.04%"
