"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","5,400.0","5,200.0","5,490.0","5,100.0","50.43K","3.65%"
"04/05/2020","5,210.0","5,620.0","5,620.0","5,210.0","149.32K","-5.62%"
"29/04/2020","5,520.0","5,750.0","5,750.0","5,510.0","120.64K","-4.00%"
"28/04/2020","5,750.0","6,000.0","6,100.0","5,750.0","155.32K","-0.69%"
"27/04/2020","5,790.0","5,700.0","5,840.0","5,610.0","431.00K","6.04%"
"24/04/2020","5,460.0","5,800.0","5,830.0","5,460.0","192.86K","-4.21%"
"23/04/2020","5,700.0","5,470.0","5,760.0","5,470.0","89.40K","0.00%"
"22/04/2020","5,700.0","5,500.0","5,780.0","5,500.0","35.64K","3.64%"
"21/04/2020","5,500.0","5,600.0","5,750.0","5,430.0","144.07K","-5.66%"
"20/04/2020","5,830.0","5,450.0","5,830.0","5,200.0","355.62K","6.97%"
"17/04/2020","5,450.0","5,190.0","5,480.0","5,190.0","320.24K","5.01%"
"16/04/2020","5,190.0","5,500.0","5,500.0","5,120.0","254.81K","-5.46%"
"15/04/2020","5,490.0","5,150.0","5,590.0","5,150.0","99.61K","1.67%"
"14/04/2020","5,400.0","5,700.0","5,700.0","5,400.0","214.70K","-6.90%"
"13/04/2020","5,800.0","5,500.0","6,000.0","5,400.0","59.01K","1.93%"
"10/04/2020","5,690.0","5,600.0","5,800.0","5,400.0","232.55K","-1.90%"
"09/04/2020","5,800.0","6,000.0","6,000.0","5,800.0","180.06K","-6.90%"
"08/04/2020","6,230.0","6,300.0","6,300.0","6,230.0","176.69K","-6.88%"
"07/04/2020","6,690.0","7,230.0","7,230.0","6,310.0","194.49K","-1.33%"
"06/04/2020","6,780.0","6,500.0","6,880.0","6,500.0","251.57K","5.44%"
"03/04/2020","6,430.0","6,430.0","6,430.0","6,390.0","506.92K","6.99%"
"01/04/2020","6,010.0","6,010.0","6,010.0","6,010.0","2.04K","6.94%"
"31/03/2020","5,620.0","5,620.0","5,620.0","5,620.0","21.08K","6.84%"
"30/03/2020","5,260.0","5,260.0","5,260.0","5,260.0","7.16K","6.91%"
"27/03/2020","4,920.0","4,920.0","4,920.0","4,900.0","5.57K","6.96%"
"26/03/2020","4,600.0","4,800.0","4,860.0","4,430.0","954.49K","1.10%"
"25/03/2020","4,550.0","5,200.0","5,200.0","4,550.0","521.45K","-6.38%"
"24/03/2020","4,860.0","4,880.0","5,210.0","4,860.0","330.46K","-6.90%"
"23/03/2020","5,220.0","5,600.0","5,600.0","5,220.0","37.91K","-6.95%"
"20/03/2020","5,610.0","5,700.0","5,700.0","5,610.0","9.36K","-5.40%"
"19/03/2020","5,930.0","5,700.0","6,000.0","5,580.0","35.79K","-1.17%"
"18/03/2020","6,000.0","5,900.0","6,000.0","5,900.0","4.08K","1.69%"
"17/03/2020","5,900.0","5,890.0","5,900.0","5,640.0","7.55K","2.97%"
"16/03/2020","5,730.0","6,000.0","6,000.0","5,730.0","12.10K","-2.88%"
"13/03/2020","5,900.0","6,000.0","6,000.0","5,660.0","6.02K","1.72%"
"12/03/2020","5,800.0","6,000.0","6,300.0","5,800.0","58.61K","-3.33%"
"11/03/2020","6,000.0","6,100.0","6,250.0","5,700.0","31.16K","-1.48%"
"10/03/2020","6,090.0","6,000.0","6,100.0","5,560.0","13.52K","5.91%"
"09/03/2020","5,750.0","5,800.0","5,800.0","5,700.0","67.13K","-6.05%"
"06/03/2020","6,120.0","6,690.0","6,690.0","6,110.0","58.80K","-5.99%"
"05/03/2020","6,510.0","6,530.0","7,200.0","6,510.0","48.73K","-7.00%"
"04/03/2020","7,000.0","6,690.0","7,000.0","6,510.0","81.90K","4.48%"
"03/03/2020","6,700.0","6,770.0","6,790.0","6,500.0","41.73K","5.51%"
"02/03/2020","6,350.0","6,900.0","6,900.0","6,330.0","125.72K","-6.62%"
"28/02/2020","6,800.0","6,900.0","6,900.0","6,780.0","76.37K","-5.56%"
"27/02/2020","7,200.0","7,190.0","7,200.0","6,830.0","22.28K","-0.14%"
"26/02/2020","7,210.0","7,100.0","7,210.0","6,700.0","27.41K","1.55%"
"25/02/2020","7,100.0","6,700.0","7,100.0","6,330.0","253.06K","4.41%"
"24/02/2020","6,800.0","6,900.0","7,000.0","6,570.0","48.69K","-3.68%"
"21/02/2020","7,060.0","7,310.0","7,500.0","7,060.0","83.79K","-6.98%"
"20/02/2020","7,590.0","7,450.0","7,640.0","7,400.0","17.81K","0.00%"
"19/02/2020","7,590.0","7,600.0","7,600.0","7,410.0","7.42K","-0.13%"
"18/02/2020","7,600.0","8,000.0","8,000.0","7,570.0","33.36K","0.26%"
"17/02/2020","7,580.0","7,450.0","7,980.0","7,450.0","1.89K","-4.05%"
"14/02/2020","7,900.0","8,220.0","8,220.0","7,550.0","56.19K","0.64%"
"13/02/2020","7,850.0","7,700.0","8,100.0","7,600.0","21.36K","-3.09%"
"12/02/2020","8,100.0","7,750.0","8,200.0","7,750.0","70.45K","-1.82%"
"11/02/2020","8,250.0","8,340.0","8,340.0","7,800.0","18.12K","3.90%"
"10/02/2020","7,940.0","7,500.0","8,000.0","7,480.0","63.93K","5.87%"
"07/02/2020","7,500.0","8,420.0","8,420.0","7,500.0","40.40K","-5.06%"
"06/02/2020","7,900.0","8,000.0","8,000.0","7,900.0","367.91K","-0.63%"
"05/02/2020","7,950.0","8,000.0","8,000.0","7,900.0","123.90K","-0.63%"
"04/02/2020","8,000.0","7,700.0","8,000.0","7,700.0","64.65K","0.00%"
"03/02/2020","8,000.0","8,150.0","8,150.0","7,900.0","88.56K","-3.61%"
"31/01/2020","8,300.0","8,100.0","8,300.0","8,000.0","104.20K","-3.04%"
"30/01/2020","8,560.0","8,600.0","8,600.0","8,000.0","42.68K","-0.47%"
"22/01/2020","8,600.0","8,580.0","8,600.0","8,580.0","70.35K","1.06%"
"21/01/2020","8,510.0","8,330.0","8,510.0","8,200.0","79.48K","-1.05%"
"20/01/2020","8,600.0","8,080.0","8,600.0","8,080.0","63.34K","2.38%"
"17/01/2020","8,400.0","8,400.0","8,400.0","8,300.0","31.98K","0.00%"
"16/01/2020","8,400.0","8,200.0","8,400.0","8,000.0","671.09K","1.82%"
"15/01/2020","8,250.0","7,730.0","8,300.0","7,720.0","289.69K","-0.60%"
"14/01/2020","8,300.0","8,700.0","8,790.0","8,300.0","43.45K","-5.68%"
"13/01/2020","8,800.0","8,850.0","8,850.0","8,240.0","342.02K","-0.56%"
"10/01/2020","8,850.0","8,600.0","8,990.0","8,500.0","193.14K","2.91%"
"09/01/2020","8,600.0","8,600.0","8,690.0","8,560.0","200.89K","0.00%"
"08/01/2020","8,600.0","8,800.0","8,800.0","8,220.0","105.15K","0.47%"
"07/01/2020","8,560.0","8,300.0","8,560.0","8,300.0","70.30K","7.00%"
"06/01/2020","8,000.0","8,510.0","9,100.0","8,000.0","661.33K","-5.99%"
"03/01/2020","8,510.0","8,520.0","8,700.0","8,460.0","160.02K","0.00%"
"02/01/2020","8,510.0","8,600.0","8,890.0","8,490.0","275.37K","1.31%"
"31/12/2019","8,400.0","8,600.0","8,600.0","8,080.0","184.27K","2.82%"
"30/12/2019","8,170.0","8,200.0","8,300.0","8,150.0","287.76K","-0.24%"
"27/12/2019","8,190.0","8,390.0","8,390.0","8,110.0","305.11K","0.24%"
"26/12/2019","8,170.0","7,700.0","8,470.0","7,690.0","350.16K","-0.97%"
"25/12/2019","8,250.0","8,200.0","8,500.0","8,160.0","851.61K","0.86%"
"24/12/2019","8,180.0","8,480.0","8,480.0","8,170.0","387.09K","-3.54%"
