"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"19/12/2019","10,200","10,200","10,200","10,200","-","0.00%"
"18/12/2019","10,200","10,200","10,200","10,200","0.10K","-15.00%"
"20/11/2019","12,000","12,000","12,000","12,000","0.10K","0.00%"
"06/11/2019","12,000","12,000","12,000","12,000","0.10K","-13.04%"
"30/09/2019","13,800","13,800","13,800","13,800","0.10K","-12.66%"
"18/09/2019","15,800","15,800","15,800","15,800","0.10K","-14.59%"
"17/09/2019","18,500","18,500","18,500","18,500","0.10K","-39.74%"
"03/07/2019","30,700","30,700","30,700","30,700","0.20K","14.98%"
"02/07/2019","26,700","26,700","26,700","26,700","0.10K","14.59%"
"28/06/2019","23,300","23,300","23,300","23,300","0.10K","14.78%"
"26/06/2019","20,300","20,300","20,300","20,300","0.11K","14.69%"
"21/06/2019","17,700","17,700","17,700","17,700","0.10K","14.94%"
"19/06/2019","15,400","15,400","15,400","15,400","0.10K","-1.28%"
"07/05/2019","15,600","15,600","15,600","15,600","0.10K","10.64%"
"06/05/2019","14,100","14,100","14,100","14,100","0.10K","-14.02%"
"03/05/2019","16,400","16,400","16,400","16,400","0.10K","14.69%"
"05/04/2019","14,300","14,300","14,300","14,300","0.10K","14.40%"
"04/04/2019","12,500","12,500","12,500","12,500","0.30K","-14.97%"
"03/04/2019","14,700","14,700","14,700","14,700","0.14K","13.95%"
"01/04/2019","12,900","12,900","12,900","12,900","0.10K","-14.57%"
"29/03/2019","15,100","15,100","15,100","15,100","0.10K","2.03%"
"27/03/2019","14,800","20,000","20,000","14,800","0.20K","-14.94%"
"22/03/2019","17,400","17,400","17,400","17,400","0.10K","14.47%"
"21/03/2019","15,200","15,200","15,200","15,200","-","0.00%"
"19/03/2019","15,200","15,200","15,200","15,200","0.10K","0.00%"
"18/03/2019","15,200","12,100","15,200","12,100","0.20K","14.29%"
"15/03/2019","13,300","13,300","13,300","13,300","0.10K","14.66%"
"14/03/2019","11,600","11,600","11,600","11,600","0.10K","-7.20%"
"07/03/2019","12,500","12,500","12,500","12,500","0.10K","-7.41%"
"06/03/2019","13,500","13,500","13,500","13,500","0.10K","2.27%"
"05/03/2019","13,200","13,200","13,200","13,200","0.20K","0.00%"
"01/03/2019","13,200","11,400","13,200","11,400","0.30K","14.78%"
"28/02/2019","11,500","11,500","11,500","11,500","0.10K","-9.45%"
"26/02/2019","12,700","12,700","12,700","12,700","0.10K","14.41%"
"25/02/2019","11,100","11,100","11,100","11,100","0.10K","-7.50%"
"19/02/2019","12,000","12,000","12,000","12,000","0.10K","-6.98%"
"14/02/2019","12,900","12,900","12,900","12,900","-","0.00%"
"11/02/2019","12,900","12,900","12,900","12,900","0.10K","11.21%"
"29/01/2019","11,600","11,600","11,600","11,600","0.10K","-12.12%"
"28/01/2019","13,200","13,200","13,200","13,200","-","0.00%"
"25/01/2019","13,200","13,200","13,200","13,200","-","0.00%"
"24/01/2019","13,200","13,200","13,200","13,200","0.10K","3.13%"
"23/01/2019","12,800","12,800","12,800","12,800","0.10K","14.29%"
"21/01/2019","11,200","11,200","11,200","11,200","0.10K","-9.68%"
"18/01/2019","12,400","11,200","12,400","11,200","0.20K","-2.36%"
"16/01/2019","12,700","12,700","12,700","12,700","0.10K","14.41%"
"15/01/2019","11,100","11,100","11,100","11,100","0.10K","-11.90%"
"11/01/2019","12,600","12,600","12,600","12,600","0.10K","14.55%"
"10/01/2019","11,000","11,000","11,000","11,000","0.10K","-12.70%"
"08/01/2019","12,600","12,600","12,600","12,600","0.10K","14.55%"
"07/01/2019","11,000","11,000","11,000","11,000","0.10K","-11.29%"
"03/01/2019","12,400","12,400","12,400","12,400","0.10K","14.81%"
"02/01/2019","10,800","10,800","10,800","10,800","0.10K","-12.90%"
"25/12/2018","12,400","12,400","12,400","12,400","-","0.00%"
"24/12/2018","12,400","12,400","12,400","12,400","0.10K","0.00%"
"20/12/2018","12,400","12,400","12,400","12,400","0.20K","14.81%"
"19/12/2018","10,800","10,800","10,800","10,800","0.10K","-10.74%"
"18/12/2018","12,100","12,100","12,100","12,100","0.10K","14.15%"
"17/12/2018","10,600","10,600","10,600","10,600","0.10K","-18.46%"
"14/12/2018","13,000","11,100","13,000","11,100","0.20K","1.56%"
"12/12/2018","12,800","12,800","12,800","12,800","0.10K","14.29%"
"11/12/2018","11,200","11,200","11,200","11,200","0.10K","-22.22%"
"10/12/2018","14,400","11,000","14,400","11,000","0.20K","2.13%"
"07/12/2018","14,100","11,000","14,100","11,000","0.20K","2.17%"
"06/12/2018","13,800","10,700","13,800","10,700","0.20K","3.76%"
"05/12/2018","13,300","10,700","13,300","10,700","0.20K","-1.48%"
"04/12/2018","13,500","10,700","13,500","10,700","0.20K","-5.59%"
