"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","52,900.0","52,500.0","53,000.0","52,500.0","16.58K","1.54%"
"04/05/2020","52,100.0","53,500.0","53,500.0","51,600.0","21.28K","-2.62%"
"29/04/2020","53,500.0","53,700.0","54,400.0","53,500.0","22.05K","-0.19%"
"28/04/2020","53,600.0","54,200.0","54,200.0","53,100.0","15.71K","1.13%"
"27/04/2020","53,000.0","53,000.0","54,000.0","53,000.0","26.42K","-0.93%"
"24/04/2020","53,500.0","53,800.0","54,000.0","53,200.0","24.34K","-0.56%"
"23/04/2020","53,800.0","53,900.0","54,900.0","53,600.0","23.23K","1.51%"
"22/04/2020","53,000.0","53,500.0","53,500.0","52,000.0","46.02K","0.00%"
"21/04/2020","53,000.0","55,000.0","55,100.0","52,000.0","67.15K","-3.64%"
"20/04/2020","55,000.0","55,000.0","57,000.0","55,000.0","164.07K","2.61%"
"17/04/2020","53,600.0","51,700.0","53,900.0","51,000.0","72.16K","5.51%"
"16/04/2020","50,800.0","50,600.0","51,000.0","50,000.0","49.52K","0.20%"
"15/04/2020","50,700.0","50,500.0","51,000.0","50,200.0","29.77K","0.40%"
"14/04/2020","50,500.0","50,500.0","50,500.0","49,300.0","63.77K","0.00%"
"13/04/2020","50,500.0","49,000.0","51,000.0","49,000.0","103.91K","3.48%"
"10/04/2020","48,800.0","48,800.0","49,000.0","48,000.0","56.60K","0.00%"
"09/04/2020","48,800.0","48,000.0","49,400.0","48,000.0","36.60K","1.67%"
"08/04/2020","48,000.0","47,400.0","48,200.0","46,500.0","41.45K","1.27%"
"07/04/2020","47,400.0","47,500.0","47,500.0","46,000.0","58.66K","0.96%"
"06/04/2020","46,950.0","44,500.0","46,950.0","44,500.0","76.05K","5.98%"
"03/04/2020","44,300.0","43,050.0","44,300.0","43,050.0","36.73K","2.90%"
"01/04/2020","43,050.0","42,400.0","43,800.0","40,000.0","14.15K","1.53%"
"31/03/2020","42,400.0","40,500.0","44,500.0","39,500.0","74.83K","0.83%"
"30/03/2020","42,050.0","42,050.0","42,050.0","39,150.0","154.74K","0.00%"
"27/03/2020","42,050.0","43,600.0","44,300.0","42,000.0","129.45K","-3.56%"
"26/03/2020","43,600.0","45,900.0","45,900.0","43,600.0","114.63K","-5.01%"
"25/03/2020","45,900.0","45,000.0","45,900.0","43,100.0","132.06K","3.49%"
"24/03/2020","44,350.0","45,050.0","47,000.0","44,350.0","194.71K","-6.93%"
"23/03/2020","47,650.0","50,000.0","50,000.0","47,650.0","156.47K","-6.93%"
"20/03/2020","51,200.0","51,000.0","52,000.0","51,000.0","34.84K","0.39%"
"19/03/2020","51,000.0","52,000.0","52,000.0","50,500.0","72.44K","-2.49%"
"18/03/2020","52,300.0","54,000.0","54,800.0","52,300.0","53.74K","-1.51%"
"17/03/2020","53,100.0","51,800.0","53,900.0","51,800.0","54.81K","2.51%"
"16/03/2020","51,800.0","55,500.0","56,000.0","51,800.0","72.47K","-6.67%"
"13/03/2020","55,500.0","51,100.0","55,900.0","51,100.0","82.69K","1.09%"
"12/03/2020","54,900.0","58,000.0","58,000.0","54,900.0","183.08K","-6.95%"
"11/03/2020","59,000.0","59,200.0","59,500.0","56,500.0","146.55K","1.37%"
"10/03/2020","58,200.0","56,500.0","60,400.0","56,000.0","84.32K","2.11%"
"09/03/2020","57,000.0","59,900.0","60,500.0","57,000.0","132.12K","-6.86%"
"06/03/2020","61,200.0","60,200.0","62,500.0","60,200.0","98.96K","0.82%"
"05/03/2020","60,700.0","59,600.0","61,900.0","59,600.0","157.98K","4.12%"
"04/03/2020","58,300.0","58,700.0","58,700.0","57,900.0","53.90K","-0.68%"
"03/03/2020","58,700.0","59,600.0","59,600.0","57,900.0","72.15K","1.21%"
"02/03/2020","58,000.0","57,800.0","59,200.0","57,800.0","44.05K","-0.51%"
"28/02/2020","58,300.0","58,500.0","59,600.0","57,400.0","80.55K","-0.34%"
"27/02/2020","58,500.0","59,100.0","60,100.0","58,000.0","163.12K","-2.66%"
"26/02/2020","60,100.0","60,600.0","62,000.0","60,100.0","113.30K","-0.83%"
"25/02/2020","60,600.0","62,000.0","62,000.0","60,600.0","125.70K","-2.26%"
"24/02/2020","62,000.0","62,000.0","63,500.0","60,000.0","212.14K","0.16%"
"21/02/2020","61,900.0","60,500.0","62,600.0","59,800.0","238.99K","2.31%"
"20/02/2020","60,500.0","61,000.0","62,000.0","59,500.0","101.90K","-1.47%"
"19/02/2020","61,400.0","64,900.0","64,900.0","60,800.0","258.56K","0.99%"
"18/02/2020","60,800.0","56,900.0","60,800.0","56,900.0","388.49K","6.85%"
"17/02/2020","56,900.0","58,600.0","58,600.0","56,200.0","58.58K","-1.56%"
"14/02/2020","57,800.0","57,500.0","58,000.0","57,300.0","118.14K","0.52%"
"13/02/2020","57,500.0","58,000.0","60,000.0","57,500.0","162.66K","0.17%"
"12/02/2020","57,400.0","56,100.0","57,800.0","56,100.0","152.50K","2.32%"
"11/02/2020","56,100.0","55,600.0","57,000.0","54,000.0","146.19K","2.37%"
"10/02/2020","54,800.0","54,500.0","56,100.0","54,300.0","125.56K","2.43%"
"07/02/2020","53,500.0","51,500.0","54,000.0","51,500.0","44.40K","3.48%"
"06/02/2020","51,700.0","52,200.0","52,500.0","51,200.0","149.49K","-2.45%"
"05/02/2020","53,000.0","53,100.0","53,100.0","50,600.0","91.67K","-2.39%"
"04/02/2020","54,300.0","54,100.0","55,000.0","53,000.0","59.52K","-3.04%"
"03/02/2020","56,000.0","56,900.0","58,600.0","56,000.0","339.63K","2.19%"
"31/01/2020","54,800.0","52,400.0","54,800.0","52,200.0","188.86K","6.82%"
"30/01/2020","51,300.0","51,800.0","51,900.0","50,200.0","27.83K","2.60%"
"22/01/2020","50,000.0","50,800.0","50,800.0","49,050.0","20.85K","1.01%"
"21/01/2020","49,500.0","49,000.0","49,700.0","49,000.0","8.82K","1.02%"
"20/01/2020","49,000.0","49,850.0","50,000.0","49,000.0","12.47K","-0.31%"
"17/01/2020","49,150.0","49,000.0","49,150.0","48,350.0","6.57K","0.31%"
"16/01/2020","49,000.0","48,950.0","49,000.0","48,500.0","3.53K","0.00%"
"15/01/2020","49,000.0","49,500.0","49,500.0","49,000.0","1.15K","-1.01%"
"14/01/2020","49,500.0","49,050.0","49,550.0","49,000.0","7.83K","0.20%"
"13/01/2020","49,400.0","48,750.0","49,400.0","48,150.0","1.34K","-0.30%"
"10/01/2020","49,550.0","49,800.0","49,850.0","49,400.0","11.70K","1.23%"
"09/01/2020","48,950.0","48,500.0","48,950.0","48,050.0","7.91K","1.14%"
"08/01/2020","48,400.0","48,500.0","48,850.0","48,300.0","8.08K","-0.21%"
"07/01/2020","48,500.0","48,550.0","48,550.0","48,400.0","4.45K","-1.02%"
"06/01/2020","49,000.0","48,200.0","49,000.0","48,000.0","6.09K","2.08%"
"03/01/2020","48,000.0","50,400.0","50,400.0","48,000.0","7.12K","-0.41%"
"02/01/2020","48,200.0","49,750.0","49,750.0","48,200.0","1.01K","0.42%"
"31/12/2019","48,000.0","48,000.0","48,700.0","48,000.0","19.29K","-0.62%"
"30/12/2019","48,300.0","48,900.0","49,100.0","48,300.0","12.09K","-1.02%"
"27/12/2019","48,800.0","48,250.0","49,000.0","47,500.0","10.73K","-0.41%"
"26/12/2019","49,000.0","50,700.0","50,700.0","48,800.0","1.58K","0.62%"
"25/12/2019","48,700.0","49,950.0","49,950.0","48,000.0","8.11K","-2.60%"
"24/12/2019","50,000.0","50,000.0","50,000.0","49,000.0","4.11K","0.00%"
"23/12/2019","50,000.0","51,000.0","51,000.0","50,000.0","8.85K","-1.96%"
"20/12/2019","51,000.0","51,700.0","52,000.0","51,000.0","9.37K","-2.67%"
"19/12/2019","52,400.0","52,400.0","52,400.0","52,400.0","0.64K","0.00%"
"18/12/2019","52,400.0","52,400.0","52,800.0","51,500.0","6.57K","0.00%"
"17/12/2019","52,400.0","51,800.0","53,000.0","51,500.0","15.11K","0.38%"
"16/12/2019","52,200.0","52,500.0","52,500.0","52,200.0","2.90K","0.00%"
"13/12/2019","52,200.0","53,000.0","53,000.0","52,200.0","2.36K","-1.51%"
"12/12/2019","53,000.0","53,000.0","53,000.0","52,000.0","12.38K","0.00%"
