"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","2,640.0","2,760.0","2,760.0","2,600.0","5.10M","2.33%"
"04/05/2020","2,580.0","2,460.0","2,580.0","2,420.0","15.56M","6.61%"
"29/04/2020","2,420.0","2,460.0","2,530.0","2,380.0","7.73M","-1.63%"
"28/04/2020","2,460.0","2,500.0","2,530.0","2,440.0","7.12M","1.65%"
"27/04/2020","2,420.0","2,300.0","2,420.0","2,280.0","11.72M","6.61%"
"24/04/2020","2,270.0","2,210.0","2,310.0","2,150.0","7.77M","1.79%"
"23/04/2020","2,230.0","2,350.0","2,360.0","2,220.0","7.81M","-4.70%"
"22/04/2020","2,340.0","2,300.0","2,390.0","2,290.0","4.68M","-0.43%"
"21/04/2020","2,350.0","2,250.0","2,450.0","2,250.0","12.55M","0.00%"
"20/04/2020","2,350.0","2,350.0","2,350.0","2,250.0","22.43M","6.82%"
"17/04/2020","2,200.0","2,200.0","2,200.0","2,200.0","3.07M","6.80%"
"16/04/2020","2,060.0","1,930.0","2,060.0","1,920.0","10.04M","6.74%"
"15/04/2020","1,930.0","1,900.0","1,940.0","1,900.0","7.16M","1.05%"
"14/04/2020","1,910.0","1,930.0","1,930.0","1,880.0","1.58M","0.00%"
"13/04/2020","1,910.0","1,880.0","1,950.0","1,880.0","2.43M","0.00%"
"10/04/2020","1,910.0","1,940.0","1,950.0","1,880.0","3.52M","-1.04%"
"09/04/2020","1,930.0","1,940.0","1,970.0","1,900.0","4.82M","0.00%"
"08/04/2020","1,930.0","1,940.0","1,970.0","1,910.0","2.32M","-2.53%"
"07/04/2020","1,980.0","2,020.0","2,020.0","1,930.0","2.08M","0.00%"
"06/04/2020","1,980.0","1,950.0","2,000.0","1,920.0","3.03M","3.13%"
"03/04/2020","1,920.0","1,900.0","1,950.0","1,900.0","1.86M","1.05%"
"01/04/2020","1,900.0","1,830.0","1,900.0","1,830.0","1.47M","3.83%"
"31/03/2020","1,830.0","1,790.0","1,870.0","1,730.0","1.56M","0.00%"
"30/03/2020","1,830.0","1,890.0","1,930.0","1,830.0","4.78M","-6.63%"
"27/03/2020","1,960.0","1,970.0","2,000.0","1,940.0","1.83M","-0.51%"
"26/03/2020","1,970.0","2,050.0","2,090.0","1,970.0","1.76M","-5.29%"
"25/03/2020","2,080.0","2,030.0","2,090.0","2,010.0","2.39M","4.00%"
"24/03/2020","2,000.0","1,910.0","2,020.0","1,900.0","1.42M","2.04%"
"23/03/2020","1,960.0","2,040.0","2,070.0","1,960.0","4.62M","-6.67%"
"20/03/2020","2,100.0","2,100.0","2,140.0","2,080.0","1.19M","-0.47%"
"19/03/2020","2,110.0","2,200.0","2,200.0","2,100.0","2.50M","-4.09%"
"18/03/2020","2,200.0","2,180.0","2,220.0","2,150.0","6.99M","2.80%"
"17/03/2020","2,140.0","2,050.0","2,160.0","2,040.0","2.98M","2.88%"
"16/03/2020","2,080.0","2,050.0","2,160.0","2,010.0","3.39M","1.96%"
"13/03/2020","2,040.0","1,900.0","2,070.0","1,880.0","4.74M","3.03%"
"12/03/2020","1,980.0","2,040.0","2,050.0","1,960.0","8.79M","-5.71%"
"11/03/2020","2,100.0","2,190.0","2,220.0","2,070.0","3.65M","-3.23%"
"10/03/2020","2,170.0","2,070.0","2,190.0","2,060.0","2.65M","0.93%"
"09/03/2020","2,150.0","2,170.0","2,200.0","2,150.0","8.06M","-6.93%"
"06/03/2020","2,310.0","2,310.0","2,340.0","2,270.0","1.96M","-1.28%"
"05/03/2020","2,340.0","2,400.0","2,400.0","2,320.0","2.43M","-1.27%"
"04/03/2020","2,370.0","2,310.0","2,410.0","2,260.0","3.92M","3.04%"
"03/03/2020","2,300.0","2,250.0","2,310.0","2,250.0","3.00M","3.14%"
"02/03/2020","2,230.0","2,210.0","2,240.0","2,190.0","1.71M","0.45%"
"28/02/2020","2,220.0","2,210.0","2,230.0","2,200.0","2.59M","-2.20%"
"27/02/2020","2,270.0","2,220.0","2,290.0","2,220.0","1.44M","2.25%"
"26/02/2020","2,220.0","2,190.0","2,260.0","2,190.0","1.52M","-1.77%"
"25/02/2020","2,260.0","2,150.0","2,270.0","2,150.0","3.06M","0.89%"
"24/02/2020","2,240.0","2,330.0","2,340.0","2,240.0","6.33M","-6.67%"
"21/02/2020","2,400.0","2,430.0","2,460.0","2,360.0","2.37M","-2.04%"
"20/02/2020","2,450.0","2,540.0","2,570.0","2,450.0","3.83M","-1.61%"
"19/02/2020","2,490.0","2,330.0","2,490.0","2,320.0","7.55M","6.87%"
"18/02/2020","2,330.0","2,260.0","2,360.0","2,230.0","5.54M","3.10%"
"17/02/2020","2,260.0","2,280.0","2,300.0","2,260.0","1.60M","-1.74%"
"14/02/2020","2,300.0","2,360.0","2,360.0","2,290.0","1.56M","-2.13%"
"13/02/2020","2,350.0","2,270.0","2,410.0","2,270.0","5.69M","3.98%"
"12/02/2020","2,260.0","2,230.0","2,270.0","2,220.0","1.71M","1.80%"
"11/02/2020","2,220.0","2,210.0","2,230.0","2,190.0","1.61M","0.00%"
"10/02/2020","2,220.0","2,250.0","2,250.0","2,200.0","1.55M","-1.33%"
"07/02/2020","2,250.0","2,290.0","2,290.0","2,220.0","1.49M","-1.75%"
"06/02/2020","2,290.0","2,200.0","2,290.0","2,190.0","2.89M","3.15%"
"05/02/2020","2,220.0","2,200.0","2,240.0","2,180.0","1.79M","1.37%"
"04/02/2020","2,190.0","2,230.0","2,270.0","2,180.0","2.41M","-1.79%"
"03/02/2020","2,230.0","2,250.0","2,290.0","2,230.0","5.29M","-6.69%"
"31/01/2020","2,390.0","2,500.0","2,500.0","2,390.0","4.27M","-6.64%"
"30/01/2020","2,560.0","2,620.0","2,620.0","2,530.0","2.42M","-3.03%"
"22/01/2020","2,640.0","2,640.0","2,640.0","2,620.0","372.57K","0.00%"
"21/01/2020","2,640.0","2,600.0","2,640.0","2,590.0","1.36M","1.54%"
"20/01/2020","2,600.0","2,650.0","2,650.0","2,580.0","1.65M","-1.14%"
"17/01/2020","2,630.0","2,640.0","2,650.0","2,630.0","1.96M","-0.75%"
"16/01/2020","2,650.0","2,650.0","2,670.0","2,630.0","888.71K","0.00%"
"15/01/2020","2,650.0","2,680.0","2,680.0","2,640.0","1.09M","-1.12%"
"14/01/2020","2,680.0","2,640.0","2,690.0","2,620.0","1.85M","1.52%"
"13/01/2020","2,640.0","2,690.0","2,690.0","2,640.0","1.36M","-0.75%"
"10/01/2020","2,660.0","2,670.0","2,690.0","2,650.0","1.14M","-1.48%"
"09/01/2020","2,700.0","2,660.0","2,700.0","2,650.0","1.59M","0.00%"
"08/01/2020","2,700.0","2,720.0","2,720.0","2,640.0","5.62M","-1.10%"
"07/01/2020","2,730.0","2,710.0","2,750.0","2,710.0","710.29K","0.37%"
"06/01/2020","2,720.0","2,770.0","2,780.0","2,720.0","1.43M","-2.86%"
"03/01/2020","2,800.0","2,800.0","2,830.0","2,770.0","2.53M","0.00%"
"02/01/2020","2,800.0","2,820.0","2,840.0","2,780.0","2.60M","-2.78%"
"31/12/2019","2,880.0","2,730.0","2,880.0","2,700.0","6.07M","4.73%"
"30/12/2019","2,750.0","2,810.0","2,810.0","2,740.0","3.19M","-4.18%"
"27/12/2019","2,870.0","2,770.0","2,870.0","2,740.0","4.07M","2.14%"
"26/12/2019","2,810.0","2,810.0","2,830.0","2,760.0","2.84M","0.00%"
"25/12/2019","2,810.0","2,720.0","2,820.0","2,720.0","8.13M","3.31%"
"24/12/2019","2,720.0","2,690.0","2,720.0","2,670.0","2.60M","0.74%"
"23/12/2019","2,700.0","2,720.0","2,730.0","2,690.0","3.36M","-0.37%"
"20/12/2019","2,710.0","2,670.0","2,720.0","2,660.0","2.53M","1.88%"
