"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","12,600.0","12,350.0","12,800.0","12,000.0","1.67M","2.02%"
"04/05/2020","12,350.0","12,450.0","12,550.0","12,300.0","3.11M","-2.76%"
"29/04/2020","12,700.0","12,900.0","13,100.0","12,700.0","4.86M","-2.68%"
"28/04/2020","13,050.0","13,100.0","13,550.0","12,850.0","4.02M","1.95%"
"27/04/2020","12,800.0","12,150.0","12,800.0","12,150.0","5.72M","6.67%"
"24/04/2020","12,000.0","12,150.0","12,150.0","11,800.0","2.63M","0.00%"
"23/04/2020","12,000.0","12,000.0","12,150.0","11,900.0","3.07M","1.27%"
"22/04/2020","11,850.0","11,500.0","12,150.0","11,350.0","2.98M","0.00%"
"21/04/2020","11,850.0","12,300.0","12,500.0","11,850.0","2.35M","-6.69%"
"20/04/2020","12,700.0","12,200.0","12,800.0","12,100.0","2.77M","4.96%"
"17/04/2020","12,100.0","12,000.0","12,550.0","11,900.0","5.25M","1.68%"
"16/04/2020","11,900.0","11,900.0","11,950.0","11,650.0","2.64M","-0.42%"
"15/04/2020","11,950.0","11,500.0","12,050.0","11,500.0","3.25M","3.91%"
"14/04/2020","11,500.0","11,850.0","11,850.0","11,200.0","3.12M","-2.95%"
"13/04/2020","11,850.0","11,800.0","12,000.0","11,700.0","1.87M","-0.84%"
"10/04/2020","11,950.0","11,900.0","12,050.0","11,700.0","1.84M","0.42%"
"09/04/2020","11,900.0","11,850.0","12,050.0","11,650.0","1.31M","-0.42%"
"08/04/2020","11,950.0","11,800.0","11,950.0","11,700.0","1.25M","-1.65%"
"07/04/2020","12,150.0","12,400.0","12,400.0","11,800.0","1.66M","-2.02%"
"06/04/2020","12,400.0","12,200.0","12,450.0","11,700.0","1.34M","5.08%"
"03/04/2020","11,800.0","11,650.0","11,800.0","11,600.0","881.34K","0.43%"
"01/04/2020","11,750.0","10,650.0","11,750.0","10,650.0","1.13M","5.86%"
"31/03/2020","11,100.0","11,050.0","11,150.0","10,550.0","989.39K","0.45%"
"30/03/2020","11,050.0","10,850.0","11,100.0","10,350.0","1.64M","-0.45%"
"27/03/2020","11,100.0","11,000.0","11,200.0","10,850.0","1.16M","0.00%"
"26/03/2020","11,100.0","11,300.0","11,400.0","11,000.0","1.12M","-0.45%"
"25/03/2020","11,150.0","10,600.0","11,150.0","10,550.0","1.57M","6.70%"
"24/03/2020","10,450.0","10,100.0","10,450.0","10,000.0","2.24M","0.97%"
"23/03/2020","10,350.0","10,600.0","10,900.0","10,350.0","1.55M","-6.76%"
"20/03/2020","11,100.0","11,000.0","11,300.0","10,600.0","2.54M","-1.77%"
"19/03/2020","11,300.0","11,500.0","11,500.0","10,800.0","5.89M","-2.59%"
"18/03/2020","11,600.0","12,000.0","12,150.0","11,600.0","1.61M","-3.33%"
"17/03/2020","12,000.0","11,600.0","12,200.0","11,550.0","3.24M","0.00%"
"16/03/2020","12,000.0","12,200.0","12,450.0","11,550.0","2.55M","-3.23%"
"13/03/2020","12,400.0","11,700.0","12,600.0","11,700.0","3.41M","-1.20%"
"12/03/2020","12,550.0","12,850.0","12,850.0","12,550.0","1.35M","-6.69%"
"11/03/2020","13,450.0","13,500.0","13,900.0","12,600.0","1.05M","0.00%"
"10/03/2020","13,450.0","13,100.0","14,400.0","13,100.0","1.61M","-1.82%"
"09/03/2020","13,700.0","13,900.0","14,100.0","13,700.0","2.50M","-6.80%"
"06/03/2020","14,700.0","14,800.0","14,900.0","14,550.0","2.57M","-1.34%"
"05/03/2020","14,900.0","14,850.0","15,000.0","14,600.0","3.40M","0.34%"
"04/03/2020","14,850.0","14,750.0","14,950.0","14,500.0","3.22M","-0.34%"
"03/03/2020","14,900.0","14,550.0","14,900.0","14,550.0","2.62M","2.41%"
"02/03/2020","14,550.0","14,250.0","14,550.0","14,050.0","3.31M","3.93%"
"28/02/2020","14,000.0","14,200.0","14,400.0","13,950.0","2.57M","-3.78%"
"27/02/2020","14,550.0","14,600.0","14,600.0","14,250.0","1.39M","-0.34%"
"26/02/2020","14,600.0","14,200.0","14,650.0","14,200.0","2.38M","-0.34%"
"25/02/2020","14,650.0","14,000.0","14,650.0","14,000.0","2.81M","1.03%"
"24/02/2020","14,500.0","14,750.0","14,850.0","14,250.0","3.63M","-3.33%"
"21/02/2020","15,000.0","14,850.0","15,000.0","14,700.0","2.90M","0.33%"
"20/02/2020","14,950.0","14,900.0","15,000.0","14,700.0","3.77M","-0.33%"
"19/02/2020","15,000.0","14,800.0","15,150.0","14,600.0","4.46M","2.74%"
"18/02/2020","14,600.0","14,800.0","14,850.0","14,600.0","2.13M","0.00%"
"17/02/2020","14,600.0","14,650.0","14,950.0","14,600.0","2.15M","-2.01%"
"14/02/2020","14,900.0","15,000.0","15,000.0","14,700.0","1.46M","-0.67%"
"13/02/2020","15,000.0","14,850.0","15,000.0","14,650.0","1.60M","0.33%"
"12/02/2020","14,950.0","14,900.0","15,000.0","14,650.0","5.33M","0.67%"
"11/02/2020","14,850.0","14,800.0","15,000.0","14,800.0","1.25M","-0.34%"
