"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/04/2020","2,000","1,800","2,000","1,800","0.40K","-33.33%"
"20/12/2019","3,000","3,000","3,000","3,000","0.10K","11.11%"
"17/12/2019","2,700","2,700","2,700","2,700","0.10K","12.50%"
"13/12/2019","2,400","2,400","2,400","2,400","0.10K","14.29%"
"11/12/2019","2,100","2,100","2,100","2,100","0.20K","10.53%"
"10/12/2019","1,900","1,900","1,900","1,900","0.10K","11.76%"
"20/11/2019","1,700","1,700","1,700","1,700","0.10K","-37.04%"
"17/09/2019","2,700","2,700","2,700","2,700","0.10K","12.50%"
"16/09/2019","2,400","2,400","2,400","2,400","0.10K","-14.29%"
"11/09/2019","2,800","2,800","2,800","2,800","0.10K","7.69%"
"10/09/2019","2,600","2,600","2,600","2,600","5.50K","13.04%"
"06/09/2019","2,300","2,300","2,300","2,300","13.10K","15.00%"
"03/09/2019","2,000","1,900","2,000","1,900","16.90K","5.26%"
"30/08/2019","1,900","1,900","1,900","1,900","0.60K","-13.64%"
"28/08/2019","2,200","2,200","2,200","2,200","0.10K","-12.00%"
"27/08/2019","2,500","2,500","2,500","2,500","0.10K","-13.79%"
"22/08/2019","2,900","2,900","2,900","2,900","0.30K","-9.38%"
"19/08/2019","3,200","4,100","4,100","3,200","1.10K","-11.11%"
"16/08/2019","3,600","3,600","3,600","3,600","0.10K","12.50%"
"15/08/2019","3,200","3,200","3,200","3,200","0.10K","39.13%"
"14/08/2019","2,300","2,900","2,900","2,300","2.40K","-11.54%"
"13/08/2019","2,600","2,600","2,600","2,600","0.10K","13.04%"
"12/08/2019","2,300","2,400","2,400","1,800","3.50K","9.52%"
"09/08/2019","2,100","2,000","2,100","2,000","1.40K","10.53%"
"08/08/2019","1,900","1,900","1,900","1,900","0.10K","11.76%"
"07/08/2019","1,700","1,700","1,700","1,700","20.20K","-10.53%"
"25/07/2019","1,900","1,900","1,900","1,900","0.10K","0.00%"
"26/06/2019","1,900","1,900","1,900","1,900","0.50K","11.76%"
"20/06/2019","1,700","1,700","1,700","1,700","1.00K","0.00%"
"12/06/2019","1,700","1,700","1,700","1,700","0.20K","-5.56%"
"29/05/2019","1,800","1,800","1,800","1,800","1.00K","-5.26%"
"21/05/2019","1,900","1,900","1,900","1,900","1.40K","-9.52%"
"16/05/2019","2,100","2,100","2,100","2,100","0.10K","10.53%"
"15/05/2019","1,900","1,900","1,900","1,900","0.80K","0.00%"
"14/05/2019","1,900","1,900","1,900","1,900","0.30K","-9.52%"
"13/05/2019","2,100","2,100","2,100","2,100","3.10K","-8.70%"
"10/05/2019","2,300","3,100","3,100","2,300","1.20K","-14.81%"
"09/05/2019","2,700","2,700","2,700","2,700","0.10K","-3.57%"
"08/05/2019","2,800","3,600","3,600","2,800","0.50K","-3.45%"
"07/05/2019","2,900","3,700","3,700","2,900","0.30K","-12.12%"
"06/05/2019","3,300","3,300","3,300","3,300","0.20K","-2.94%"
"04/04/2019","3,400","3,400","3,400","3,400","1.00K","-12.82%"
"28/03/2019","3,900","3,900","3,900","3,900","0.20K","14.71%"
"25/03/2019","3,400","3,400","3,400","3,400","0.20K","17.24%"
"22/03/2019","2,900","3,700","3,700","2,900","1.80K","-9.38%"
"21/03/2019","3,200","3,300","3,300","3,200","0.60K","10.34%"
"06/03/2019","2,900","2,900","2,900","2,900","1.00K","-14.71%"
"19/02/2019","3,400","3,400","3,400","3,400","0.10K","6.25%"
"15/02/2019","3,200","3,400","3,400","3,200","1.40K","0.00%"
"01/02/2019","3,200","3,200","3,200","3,200","0.60K","6.67%"
"28/01/2019","3,000","3,000","3,000","3,000","0.30K","11.11%"
"15/01/2019","2,700","2,700","2,700","2,700","0.20K","3.85%"
"28/12/2018","2,600","2,600","2,600","2,600","0.20K","-13.33%"
"10/12/2018","3,000","3,000","3,000","3,000","0.10K","30.43%"
"07/12/2018","2,300","5,000","5,000","2,300","7.60K","-39.47%"
"30/10/2018","3,800","3,800","3,800","3,800","0.80K","8.57%"
"29/10/2018","3,500","3,500","3,500","3,500","0.90K","6.06%"
"15/10/2018","3,300","3,300","3,300","3,300","0.70K","3.13%"
"12/10/2018","3,200","3,200","3,200","3,200","0.80K","6.67%"
"08/10/2018","3,000","3,000","3,000","3,000","0.30K","3.45%"
"05/10/2018","2,900","2,900","2,900","2,900","0.20K","7.41%"
"03/10/2018","2,700","2,700","2,700","2,700","0.10K","-10.00%"
"01/10/2018","3,000","3,000","3,000","3,000","1.10K","11.11%"
"12/09/2018","2,700","2,700","2,700","2,700","0.50K","3.85%"
"05/09/2018","2,600","2,600","2,600","2,600","0.30K","4.00%"
"21/08/2018","2,500","2,500","2,500","2,500","0.50K","19.05%"
"16/08/2018","2,100","2,600","2,600","2,100","4.60K","0.00%"
"15/08/2018","2,100","2,600","2,600","2,100","2.10K","-16.00%"
"14/08/2018","2,500","2,000","2,500","2,000","2.90K","8.70%"
"10/08/2018","2,300","2,300","2,300","2,300","0.40K","-8.00%"
"24/07/2018","2,500","2,200","2,500","2,200","0.60K","0.00%"
"23/07/2018","2,500","2,200","2,500","2,200","0.80K","0.00%"
"20/07/2018","2,500","2,100","2,500","2,100","1.70K","0.00%"
"19/07/2018","2,500","2,000","2,500","2,000","0.80K","8.70%"
"18/07/2018","2,300","2,300","2,300","2,300","0.10K","-14.81%"
"17/07/2018","2,700","2,400","2,700","2,400","0.70K","-3.57%"
"16/07/2018","2,800","2,800","2,800","2,400","0.80K","0.00%"
"13/07/2018","2,800","2,800","2,800","2,800","0.70K","0.00%"
"12/07/2018","2,800","2,800","2,800","2,800","0.30K","0.00%"
"11/07/2018","2,800","2,700","2,800","2,700","0.70K","7.69%"
"10/07/2018","2,600","2,600","2,600","2,600","1.80K","8.33%"
"09/07/2018","2,400","2,400","2,400","2,400","1.00K","4.35%"
"06/07/2018","2,300","2,300","2,300","2,300","1.10K","9.52%"
"05/07/2018","2,100","2,100","2,100","2,100","0.10K","10.53%"
"04/07/2018","1,900","1,900","1,900","1,900","0.60K","11.76%"
"18/06/2018","1,700","1,700","1,700","1,700","0.10K","-5.56%"
"14/06/2018","1,800","1,800","1,800","1,800","1.60K","12.50%"
"06/06/2018","1,600","1,600","1,600","1,600","2.00K","-11.11%"
"05/06/2018","1,800","1,800","1,800","1,800","0.30K","12.50%"
"29/05/2018","1,600","1,600","1,600","1,600","1.30K","-11.11%"
"14/05/2018","1,800","1,800","1,800","1,800","0.30K","-5.26%"
"08/05/2018","1,900","1,900","1,900","1,900","0.50K","0.00%"
"07/05/2018","1,900","1,900","1,900","1,900","0.10K","11.76%"
"26/04/2018","1,700","1,700","1,700","1,700","1.20K","-15.00%"
"23/04/2018","2,000","2,000","2,000","2,000","0.10K","-4.76%"
"20/04/2018","2,100","2,000","2,100","2,000","4.70K","-8.70%"
"19/04/2018","2,300","2,300","2,300","2,300","2.40K","-14.81%"
"09/04/2018","2,700","2,700","2,700","2,700","1.00K","0.00%"
"06/04/2018","2,700","2,300","2,700","2,300","1.20K","0.00%"
"05/04/2018","2,700","2,700","2,700","2,700","0.10K","-12.90%"
"02/04/2018","3,100","3,100","3,100","3,100","3.00K","10.71%"
"29/03/2018","2,800","2,800","2,800","2,800","0.20K","-9.68%"
"19/03/2018","3,100","3,100","3,100","3,100","0.30K","0.00%"
"06/03/2018","3,100","3,100","3,100","3,100","1.50K","10.71%"
