"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/04/2020","15,900","15,900","15,900","15,900","0.10K","-1.24%"
"04/03/2020","16,100","16,100","16,100","16,100","0.10K","14.18%"
"03/03/2020","14,100","14,100","14,100","14,100","0.20K","13.71%"
"28/02/2020","12,400","12,400","12,400","12,400","0.10K","13.76%"
"25/02/2020","10,900","10,900","10,900","10,900","0.40K","14.74%"
"24/02/2020","9,500","9,500","9,500","9,500","0.10K","-14.41%"
"21/02/2020","11,100","11,100","11,100","11,100","0.10K","-5.93%"
"20/02/2020","11,800","11,800","11,800","11,800","0.50K","0.00%"
"19/02/2020","11,800","11,800","11,800","11,800","0.10K","14.56%"
"18/02/2020","10,300","10,300","10,300","10,300","0.10K","-14.88%"
"14/02/2020","12,100","12,100","12,100","12,100","0.10K","4.31%"
"13/02/2020","11,600","11,600","11,600","11,600","0.20K","14.85%"
"11/02/2020","10,100","10,100","10,100","10,100","2.00K","1.00%"
"14/11/2019","10,000","10,000","10,000","10,000","3.30K","0.00%"
"04/11/2019","10,000","10,000","10,000","10,000","0.10K","-16.67%"
"30/08/2019","12,000","12,000","12,000","12,000","1.40K","11.11%"
"12/08/2019","10,800","10,800","10,800","10,800","15.00K","-40.00%"
"21/06/2019","18,000","18,000","18,000","18,000","1.40K","2.86%"
"12/06/2019","17,500","17,500","17,500","17,500","5.00K","-7.89%"
"02/04/2019","19,000","19,000","19,000","19,000","20.90K","5.56%"
"09/01/2019","18,000","18,000","18,000","18,000","2.00K","2.86%"
"19/12/2018","17,500","17,500","17,500","17,500","1.00K","2.94%"
"13/12/2018","17,000","17,000","17,000","17,000","1.10K","0.00%"
"02/11/2018","17,000","17,000","17,000","17,000","1.00K","-1.16%"
"15/06/2018","17,200","17,016","17,200","17,016","1.70K","-0.53%"
"14/06/2018","17,292","17,016","17,292","17,016","4.90K","25.33%"
"04/06/2018","13,797","18,396","18,396","13,797","71.10K","-11.76%"
"15/03/2018","15,636","17,476","17,476","15,636","5.30K","0.00%"
"12/03/2018","15,636","15,636","15,636","15,636","0.90K","-19.05%"
"11/01/2018","19,316","19,316","19,316","19,316","0.10K","-31.82%"
"30/11/2017","28,329","28,329","28,329","28,329","0.10K","14.65%"
"22/11/2017","24,709","24,709","24,709","24,709","0.10K","14.22%"
"20/11/2017","21,632","21,632","21,632","21,632","0.10K","11.68%"
"17/11/2017","19,369","19,369","19,369","19,369","0.10K","14.44%"
"15/11/2017","16,925","16,925","16,925","16,925","0.10K","-10.95%"
"26/10/2017","19,007","14,300","19,007","14,300","1.10K","13.52%"
"17/10/2017","16,744","16,744","16,744","16,744","0.10K","0.00%"
"11/10/2017","16,744","16,744","16,744","16,744","0.70K","0.00%"
"19/09/2017","16,744","16,744","16,744","16,744","0.70K","0.00%"
"18/09/2017","16,744","16,744","16,744","16,744","1.00K","-11.91%"
"06/09/2017","19,007","19,007","19,007","19,007","-","0.00%"
"05/09/2017","19,007","19,007","19,007","19,007","0.30K","-9.48%"
"01/09/2017","20,998","20,998","20,998","20,998","0.30K","-10.77%"
"15/08/2017","23,532","24,709","24,709","23,532","3.70K","8.78%"
"14/08/2017","21,632","21,632","21,632","21,632","0.10K","13.81%"
"09/08/2017","19,007","25,524","25,524","19,007","1.10K","-12.50%"
"08/08/2017","21,722","23,532","23,532","21,722","0.30K","4.35%"
"03/08/2017","20,817","20,817","20,817","20,817","0.10K","14.43%"
"01/08/2017","18,192","18,192","18,192","18,192","0.50K","14.86%"
"31/07/2017","15,839","15,839","15,839","15,839","0.80K","2.94%"
"28/07/2017","15,387","15,387","15,387","15,387","0.10K","6.26%"
