"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"07/04/2020","21,400","21,400","21,400","21,400","0.10K","14.44%"
"31/03/2020","18,700","18,700","18,700","18,700","0.10K","14.72%"
"18/03/2020","16,300","16,300","16,300","16,300","0.10K","14.79%"
"13/03/2020","14,200","14,200","14,200","14,200","0.10K","13.60%"
"10/03/2020","12,500","12,500","12,500","12,500","0.10K","14.68%"
"09/03/2020","10,900","10,900","10,900","10,900","0.10K","9.00%"
"06/03/2020","10,000","10,000","10,000","10,000","0.10K","0.00%"
"04/03/2020","10,000","10,000","10,000","10,000","0.10K","3.09%"
"03/03/2020","9,700","9,700","9,700","9,700","0.20K","14.12%"
"02/03/2020","8,500","8,500","8,500","8,500","0.10K","-15.00%"
"28/02/2020","10,000","10,000","10,000","10,000","0.10K","11.11%"
"27/02/2020","9,000","9,000","9,000","9,000","0.20K","13.92%"
"17/02/2020","7,900","7,900","7,900","7,900","0.10K","-14.13%"
"12/02/2020","9,200","9,200","9,200","9,200","0.10K","-14.81%"
"31/01/2020","10,800","10,800","10,800","10,800","0.10K","-14.29%"
"09/01/2020","12,600","12,600","12,600","12,600","0.10K","-4.55%"
"06/01/2020","13,200","13,200","13,200","13,200","0.40K","14.51%"
"03/01/2020","11,527","11,527","11,527","11,527","0.10K","5.09%"
"02/01/2020","10,969","8,180","10,969","8,180","0.30K","6.50%"
"27/12/2019","10,300","10,300","10,300","10,300","0.10K","-14.17%"
"13/12/2019","12,000","12,100","12,100","12,000","0.20K","0.00%"
"14/11/2019","12,000","12,000","12,000","12,000","0.10K","-14.29%"
"13/11/2019","14,000","14,000","14,000","14,000","0.10K","-7.28%"
"25/10/2019","15,100","15,100","15,100","15,100","0.60K","0.67%"
"24/10/2019","15,000","15,000","15,000","15,000","0.10K","11.11%"
"23/10/2019","13,500","13,500","13,500","13,500","0.10K","11.57%"
"17/10/2019","12,100","12,100","12,100","12,100","0.30K","0.83%"
"16/10/2019","12,000","12,000","12,000","12,000","0.10K","-13.67%"
"04/10/2019","13,900","13,900","13,900","13,900","0.10K","14.88%"
"18/09/2019","12,100","12,100","12,100","12,100","0.20K","-14.18%"
"11/09/2019","14,100","14,100","14,100","14,100","0.10K","-14.55%"
"21/08/2019","16,500","16,500","16,500","16,500","0.10K","1.23%"
"14/08/2019","16,300","15,900","16,300","15,900","0.20K","14.79%"
"12/08/2019","14,200","14,200","14,200","14,200","0.10K","-10.69%"
"09/08/2019","15,900","21,500","21,500","15,900","0.70K","-14.97%"
"26/07/2019","18,700","18,700","18,700","18,700","0.10K","14.72%"
"25/07/2019","16,300","16,300","16,300","16,300","0.10K","13.99%"
"24/07/2019","14,300","14,300","14,300","14,300","0.10K","14.40%"
"23/07/2019","12,500","12,500","12,500","12,500","0.10K","14.68%"
"22/07/2019","10,900","10,900","10,900","10,900","0.10K","14.74%"
"17/07/2019","9,500","9,500","9,500","9,500","0.30K","-12.04%"
"16/07/2019","10,800","10,800","10,800","10,800","0.40K","-13.60%"
"08/07/2019","12,500","12,500","12,500","12,500","-","0.00%"
"25/06/2019","12,500","12,500","12,500","12,500","-","0.00%"
"21/06/2019","12,500","12,500","12,500","12,500","-","0.00%"
"07/06/2019","12,500","12,500","12,500","12,500","0.10K","-10.71%"
"20/05/2019","14,000","14,000","14,000","14,000","0.10K","-4.76%"
"09/05/2019","14,700","14,700","14,700","14,700","0.30K","13.95%"
"08/05/2019","12,900","13,000","13,000","12,900","0.31K","12.17%"
"07/05/2019","11,500","11,400","11,500","11,400","0.20K","15.00%"
"06/05/2019","10,000","10,000","10,000","10,000","0.10K","14.94%"
"03/05/2019","8,700","8,700","8,700","8,700","0.10K","14.47%"
"25/04/2019","7,600","7,600","7,600","7,600","0.10K","-14.61%"
"19/04/2019","8,900","8,900","8,900","8,900","0.10K","-14.42%"
"18/04/2019","10,400","10,400","10,400","10,400","0.10K","14.29%"
"12/04/2019","9,100","9,100","9,100","9,100","0.10K","-14.95%"
"09/04/2019","10,700","10,700","10,700","10,700","0.10K","-13.01%"
"13/03/2019","12,300","12,300","12,300","12,300","2.70K","-14.58%"
"12/03/2019","14,400","14,400","14,400","14,400","1.50K","-14.79%"
"11/03/2019","16,900","16,900","16,900","16,900","1.50K","-14.65%"
"07/03/2019","19,800","19,800","19,800","19,800","0.10K","-40.00%"
"17/01/2019","33,000","33,000","33,000","33,000","-","0.00%"
"16/01/2019","33,000","33,000","33,000","33,000","2.00K","-14.29%"
"15/01/2019","38,500","38,500","38,500","38,500","1.00K","-14.44%"
"20/12/2018","45,000","45,000","45,000","45,000","0.10K","7.14%"
"08/11/2018","42,000","42,000","42,000","42,000","-","0.00%"
"29/10/2018","42,000","42,000","42,000","42,000","-","0.00%"
"24/10/2018","42,000","37,000","42,000","37,000","0.80K","5.00%"
"31/08/2018","40,000","40,000","40,000","40,000","0.10K","1.27%"
"28/08/2018","39,500","39,500","39,500","39,500","0.10K","33.58%"
"24/08/2018","29,570","29,570","29,570","29,570","-","0.00%"
"23/08/2018","29,570","35,759","35,759","28,951","30.20K","2.38%"
