"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","2,080.0","2,020.0","2,090.0","2,020.0","14.21K","-0.95%"
"04/05/2020","2,100.0","2,030.0","2,100.0","2,030.0","27.54K","-0.94%"
"29/04/2020","2,120.0","2,080.0","2,120.0","2,080.0","15.51K","1.44%"
"28/04/2020","2,090.0","2,100.0","2,100.0","2,090.0","43.25K","-0.48%"
"27/04/2020","2,100.0","2,070.0","2,120.0","2,060.0","120.48K","0.96%"
"24/04/2020","2,080.0","2,130.0","2,130.0","2,080.0","15.99K","-1.89%"
"23/04/2020","2,120.0","2,150.0","2,150.0","2,100.0","18.83K","0.00%"
"22/04/2020","2,120.0","2,010.0","2,120.0","2,010.0","74.90K","6.00%"
"21/04/2020","2,000.0","2,150.0","2,150.0","2,000.0","59.32K","-6.10%"
"20/04/2020","2,130.0","2,120.0","2,130.0","2,080.0","24.43K","0.47%"
"17/04/2020","2,120.0","2,080.0","2,140.0","2,050.0","36.56K","0.47%"
"16/04/2020","2,110.0","2,110.0","2,110.0","2,060.0","6.71K","0.00%"
"15/04/2020","2,110.0","2,130.0","2,130.0","2,060.0","36.21K","-0.94%"
"14/04/2020","2,130.0","2,160.0","2,160.0","2,070.0","46.57K","-1.39%"
"13/04/2020","2,160.0","2,150.0","2,170.0","2,110.0","13.30K","0.00%"
"10/04/2020","2,160.0","2,130.0","2,170.0","2,100.0","64.10K","1.41%"
"09/04/2020","2,130.0","2,110.0","2,150.0","2,080.0","53.10K","1.43%"
"08/04/2020","2,100.0","2,090.0","2,100.0","2,060.0","22.60K","0.00%"
"07/04/2020","2,100.0","2,110.0","2,110.0","2,020.0","31.01K","-2.33%"
"06/04/2020","2,150.0","2,020.0","2,150.0","2,000.0","62.75K","6.44%"
"03/04/2020","2,020.0","2,030.0","2,030.0","2,000.0","41.60K","-0.98%"
"01/04/2020","2,040.0","2,050.0","2,050.0","2,000.0","27.08K","-0.49%"
"31/03/2020","2,050.0","1,960.0","2,050.0","1,960.0","32.04K","0.00%"
"30/03/2020","2,050.0","1,950.0","2,050.0","1,920.0","38.84K","0.49%"
"27/03/2020","2,040.0","2,000.0","2,040.0","1,950.0","58.61K","-0.49%"
"26/03/2020","2,050.0","2,000.0","2,050.0","2,000.0","0.22K","-0.97%"
"25/03/2020","2,070.0","2,080.0","2,080.0","2,070.0","19.64K","-0.48%"
"24/03/2020","2,080.0","2,080.0","2,080.0","1,970.0","79.57K","-0.95%"
"23/03/2020","2,100.0","2,230.0","2,230.0","2,080.0","82.42K","-5.83%"
"20/03/2020","2,230.0","2,250.0","2,250.0","2,190.0","16.13K","-0.89%"
"19/03/2020","2,250.0","2,210.0","2,270.0","2,140.0","254.77K","-2.17%"
"18/03/2020","2,300.0","2,300.0","2,340.0","2,250.0","19.09K","0.00%"
"17/03/2020","2,300.0","2,330.0","2,330.0","2,210.0","47.60K","-1.29%"
"16/03/2020","2,330.0","2,170.0","2,380.0","2,170.0","51.32K","2.19%"
"13/03/2020","2,280.0","2,020.0","2,300.0","2,020.0","46.16K","5.56%"
"12/03/2020","2,160.0","2,180.0","2,210.0","2,160.0","135.93K","-6.90%"
"11/03/2020","2,320.0","2,320.0","2,320.0","2,300.0","90.62K","0.87%"
"10/03/2020","2,300.0","2,450.0","2,450.0","2,300.0","360.90K","-6.88%"
"09/03/2020","2,470.0","2,550.0","2,550.0","2,380.0","144.60K","-3.14%"
"06/03/2020","2,550.0","2,570.0","2,580.0","2,540.0","7.72K","-1.16%"
"05/03/2020","2,580.0","2,580.0","2,580.0","2,540.0","38.65K","0.00%"
"04/03/2020","2,580.0","2,580.0","2,580.0","2,540.0","16.89K","-0.39%"
"03/03/2020","2,590.0","2,560.0","2,610.0","2,550.0","31.53K","0.00%"
"02/03/2020","2,590.0","2,590.0","2,590.0","2,550.0","7.10K","0.00%"
"28/02/2020","2,590.0","2,610.0","2,610.0","2,570.0","3.35K","-1.15%"
"27/02/2020","2,620.0","2,610.0","2,620.0","2,580.0","2.87K","0.00%"
"26/02/2020","2,620.0","2,600.0","2,620.0","2,530.0","9.47K","0.77%"
"25/02/2020","2,600.0","2,590.0","2,600.0","2,570.0","12.69K","0.00%"
"24/02/2020","2,600.0","2,610.0","2,610.0","2,530.0","8.02K","-0.76%"
"21/02/2020","2,620.0","2,630.0","2,630.0","2,620.0","10.07K","-0.38%"
"20/02/2020","2,630.0","2,630.0","2,630.0","2,600.0","6.10K","-0.38%"
"19/02/2020","2,640.0","2,610.0","2,640.0","2,600.0","28.93K","0.76%"
"18/02/2020","2,620.0","2,620.0","2,620.0","2,600.0","0.53K","-0.38%"
"17/02/2020","2,630.0","2,640.0","2,640.0","2,610.0","3.59K","-0.38%"
"14/02/2020","2,640.0","2,670.0","2,670.0","2,640.0","0.93K","-1.49%"
"13/02/2020","2,680.0","2,650.0","2,700.0","2,600.0","30.11K","1.13%"
"12/02/2020","2,650.0","2,610.0","2,650.0","2,600.0","8.11K","0.00%"
"11/02/2020","2,650.0","2,600.0","2,650.0","2,600.0","183.39K","0.00%"
"10/02/2020","2,650.0","2,560.0","2,650.0","2,530.0","11.75K","-1.85%"
"07/02/2020","2,700.0","2,600.0","2,700.0","2,600.0","14.81K","1.89%"
"06/02/2020","2,650.0","2,580.0","2,650.0","2,510.0","85.12K","2.71%"
"05/02/2020","2,580.0","2,550.0","2,580.0","2,550.0","2.53K","-0.39%"
"04/02/2020","2,590.0","2,590.0","2,590.0","2,500.0","16.53K","-0.38%"
"03/02/2020","2,600.0","2,650.0","2,650.0","2,480.0","101.11K","-1.89%"
"31/01/2020","2,650.0","2,680.0","2,680.0","2,560.0","5.55K","-1.12%"
"30/01/2020","2,680.0","2,700.0","2,700.0","2,650.0","8.25K","-0.74%"
"22/01/2020","2,700.0","2,640.0","2,700.0","2,610.0","14.38K","2.27%"
"21/01/2020","2,640.0","2,620.0","2,640.0","2,600.0","41.33K","1.54%"
"20/01/2020","2,600.0","2,600.0","2,600.0","2,600.0","90.87K","-4.06%"
"17/01/2020","2,710.0","2,660.0","2,710.0","2,650.0","20.93K","-0.73%"
"16/01/2020","2,730.0","2,740.0","2,740.0","2,670.0","4.85K","0.00%"
"15/01/2020","2,730.0","2,730.0","2,740.0","2,680.0","3.37K","-0.36%"
"14/01/2020","2,740.0","2,670.0","2,740.0","2,610.0","33.14K","1.48%"
"13/01/2020","2,700.0","2,740.0","2,740.0","2,700.0","11.40K","-1.82%"
"10/01/2020","2,750.0","2,730.0","2,750.0","2,640.0","25.73K","0.36%"
"09/01/2020","2,740.0","2,690.0","2,740.0","2,620.0","38.20K","1.48%"
"08/01/2020","2,700.0","2,700.0","2,700.0","2,630.0","2.40K","1.12%"
"07/01/2020","2,670.0","2,800.0","2,800.0","2,660.0","144.08K","-0.74%"
"06/01/2020","2,690.0","2,600.0","2,690.0","2,560.0","25.09K","-0.37%"
"03/01/2020","2,700.0","2,710.0","2,710.0","2,700.0","1.43K","-3.23%"
"02/01/2020","2,790.0","2,820.0","2,820.0","2,680.0","10.15K","-1.76%"
"31/12/2019","2,840.0","2,660.0","2,840.0","2,590.0","49.75K","6.77%"
"30/12/2019","2,660.0","2,700.0","2,700.0","2,620.0","19.02K","-1.48%"
"27/12/2019","2,700.0","2,600.0","2,700.0","2,590.0","25.14K","3.45%"
"26/12/2019","2,610.0","2,610.0","2,620.0","2,600.0","19.31K","-0.38%"
"25/12/2019","2,620.0","2,600.0","2,630.0","2,560.0","32.44K","-0.38%"
"24/12/2019","2,630.0","2,610.0","2,630.0","2,600.0","2.87K","0.00%"
"23/12/2019","2,630.0","2,640.0","2,640.0","2,600.0","30.56K","0.38%"
"20/12/2019","2,620.0","2,630.0","2,630.0","2,610.0","18.63K","-0.76%"
"19/12/2019","2,640.0","2,650.0","2,650.0","2,600.0","12.12K","0.76%"
"18/12/2019","2,620.0","2,630.0","2,630.0","2,600.0","2.25K","-0.76%"
"17/12/2019","2,640.0","2,640.0","2,650.0","2,570.0","37.80K","0.76%"
"16/12/2019","2,620.0","2,590.0","2,630.0","2,530.0","24.58K","1.16%"
"13/12/2019","2,590.0","2,550.0","2,590.0","2,510.0","19.55K","1.57%"
"12/12/2019","2,550.0","2,540.0","2,550.0","2,500.0","13.20K","0.39%"
"11/12/2019","2,540.0","2,540.0","2,540.0","2,500.0","25.76K","0.40%"
"10/12/2019","2,530.0","2,560.0","2,560.0","2,520.0","0.43K","-0.78%"
"09/12/2019","2,550.0","2,560.0","2,560.0","2,520.0","29.43K","0.00%"
"06/12/2019","2,550.0","2,500.0","2,550.0","2,500.0","4.14K","-0.78%"
"05/12/2019","2,570.0","2,600.0","2,600.0","2,540.0","10.71K","0.00%"
"04/12/2019","2,570.0","2,520.0","2,570.0","2,500.0","56.26K","-0.39%"
"03/12/2019","2,580.0","2,510.0","2,590.0","2,510.0","16.63K","-0.77%"
"02/12/2019","2,600.0","2,630.0","2,630.0","2,590.0","5.50K","-0.38%"
"29/11/2019","2,610.0","2,630.0","2,630.0","2,600.0","0.61K","0.00%"
"28/11/2019","2,610.0","2,610.0","2,620.0","2,580.0","25.29K","0.00%"
"27/11/2019","2,610.0","2,560.0","2,610.0","2,560.0","9.84K","0.00%"
"26/11/2019","2,610.0","2,610.0","2,610.0","2,600.0","15.03K","0.00%"
"25/11/2019","2,610.0","2,630.0","2,630.0","2,610.0","7.96K","0.00%"
"22/11/2019","2,610.0","2,640.0","2,660.0","2,600.0","94.81K","-0.76%"
"21/11/2019","2,630.0","2,630.0","2,680.0","2,630.0","67.98K","-1.87%"
"20/11/2019","2,680.0","2,620.0","2,680.0","2,620.0","7.70K","0.37%"
"19/11/2019","2,670.0","2,690.0","2,690.0","2,670.0","5.05K","-0.74%"
"18/11/2019","2,690.0","2,680.0","2,710.0","2,600.0","85.06K","-0.37%"
"15/11/2019","2,700.0","2,660.0","2,700.0","2,640.0","16.13K","1.50%"
"14/11/2019","2,660.0","2,670.0","2,700.0","2,660.0","67.18K","-0.37%"
