"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"24/04/2020","21,000.0","19,550.0","21,000.0","19,550.0","0.26K","0.00%"
"22/04/2020","21,000.0","20,000.0","21,000.0","20,000.0","0.03K","5.00%"
"21/04/2020","20,000.0","20,000.0","20,000.0","20,000.0","0.01K","-6.98%"
"20/04/2020","21,500.0","21,500.0","21,500.0","19,650.0","0.52K","2.14%"
"15/04/2020","21,050.0","21,050.0","21,050.0","21,050.0","0.01K","6.85%"
"14/04/2020","19,700.0","21,500.0","21,500.0","19,700.0","0.02K","-6.64%"
"13/04/2020","21,100.0","21,100.0","21,100.0","21,100.0","0.01K","0.00%"
"10/04/2020","21,100.0","21,100.0","21,100.0","21,100.0","0.01K","1.44%"
"09/04/2020","20,800.0","18,600.0","20,800.0","18,600.0","0.02K","4.00%"
"08/04/2020","20,000.0","20,000.0","20,000.0","20,000.0","0.20K","-6.98%"
"07/04/2020","21,500.0","20,000.0","21,500.0","19,900.0","0.34K","0.70%"
"06/04/2020","21,350.0","20,000.0","21,350.0","20,000.0","0.73K","0.00%"
"03/04/2020","21,350.0","21,350.0","21,350.0","21,350.0","0.01K","-6.77%"
"01/04/2020","22,900.0","21,150.0","22,900.0","21,000.0","0.31K","1.78%"
"31/03/2020","22,500.0","20,650.0","22,500.0","20,650.0","0.03K","1.35%"
"30/03/2020","22,200.0","22,150.0","22,200.0","22,150.0","0.02K","-6.72%"
"27/03/2020","23,800.0","23,800.0","23,800.0","21,000.0","0.35K","5.78%"
"26/03/2020","22,500.0","22,500.0","22,500.0","22,500.0","0.01K","5.14%"
"24/03/2020","21,400.0","21,400.0","21,400.0","21,400.0","0.01K","6.47%"
"23/03/2020","20,100.0","20,100.0","20,100.0","20,100.0","0.01K","5.79%"
"17/03/2020","19,000.0","19,000.0","19,000.0","19,000.0","0.01K","0.00%"
"13/03/2020","19,000.0","19,000.0","19,000.0","19,000.0","0.92K","-6.86%"
"12/03/2020","20,400.0","20,400.0","20,400.0","20,400.0","0.40K","-6.42%"
"11/03/2020","21,800.0","21,800.0","21,800.0","21,800.0","0.70K","-6.64%"
