"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","1,000.00","800.00","1,000.00","800.00","215.80K","11.11%"
"04/05/2020","900.00","900.00","900.00","800.00","377.70K","0.00%"
"29/04/2020","900.00","900.00","1,000.00","900.00","496.70K","0.00%"
"28/04/2020","900.00","1,000.00","1,000.00","800.00","585.20K","0.00%"
"27/04/2020","900.00","900.00","900.00","800.00","1.08M","12.50%"
"24/04/2020","800.00","700.00","800.00","700.00","366.05K","14.29%"
"23/04/2020","700.00","800.00","900.00","700.00","224.20K","-12.50%"
"22/04/2020","800.00","800.00","800.00","700.00","76.35K","14.29%"
"21/04/2020","700.00","800.00","800.00","700.00","242.10K","-12.50%"
"20/04/2020","800.00","800.00","900.00","700.00","416.50K","0.00%"
"17/04/2020","800.00","800.00","900.00","800.00","118.42K","0.00%"
"16/04/2020","800.00","800.00","800.00","700.00","578.43K","14.29%"
"15/04/2020","700.00","800.00","800.00","700.00","109.20K","-12.50%"
"14/04/2020","800.00","800.00","800.00","700.00","150.50K","14.29%"
"13/04/2020","700.00","700.00","800.00","700.00","237.35K","-12.50%"
"10/04/2020","800.00","700.00","800.00","700.00","48.05K","14.29%"
"09/04/2020","700.00","800.00","800.00","700.00","187.36K","-12.50%"
"08/04/2020","800.00","700.00","800.00","700.00","68.15K","14.29%"
"07/04/2020","700.00","700.00","800.00","700.00","184.90K","-12.50%"
"06/04/2020","800.00","700.00","800.00","700.00","164.80K","0.00%"
"03/04/2020","800.00","700.00","800.00","700.00","142.55K","14.29%"
"01/04/2020","700.00","700.00","800.00","600.00","385.10K","0.00%"
"31/03/2020","700.00","700.00","800.00","600.00","682.30K","0.00%"
"30/03/2020","700.00","700.00","800.00","700.00","437.90K","-12.50%"
"27/03/2020","800.00","900.00","900.00","700.00","326.50K","0.00%"
"26/03/2020","800.00","800.00","900.00","800.00","279.80K","0.00%"
"25/03/2020","800.00","800.00","900.00","800.00","40.10K","-11.11%"
"24/03/2020","900.00","800.00","900.00","800.00","391.10K","12.50%"
"23/03/2020","800.00","900.00","900.00","800.00","471.40K","-11.11%"
"20/03/2020","900.00","900.00","900.00","800.00","357.60K","0.00%"
"19/03/2020","900.00","900.00","1,000.00","800.00","739.40K","0.00%"
"18/03/2020","900.00","900.00","1,000.00","800.00","464.00K","0.00%"
"17/03/2020","900.00","1,000.00","1,000.00","800.00","459.70K","0.00%"
"16/03/2020","900.00","900.00","900.00","800.00","250.25K","12.50%"
"13/03/2020","800.00","900.00","1,000.00","800.00","1.24M","-11.11%"
"12/03/2020","900.00","900.00","1,000.00","900.00","142.01K","-10.00%"
"11/03/2020","1,000.00","1,000.00","1,100.00","900.00","127.10K","0.00%"
"10/03/2020","1,000.00","900.00","1,100.00","900.00","464.34K","0.00%"
"09/03/2020","1,000.00","1,000.00","1,000.00","900.00","355.80K","0.00%"
"06/03/2020","1,000.00","1,100.00","1,100.00","1,000.00","69.60K","0.00%"
"05/03/2020","1,000.00","1,000.00","1,100.00","1,000.00","40.80K","-9.09%"
"04/03/2020","1,100.00","1,100.00","1,100.00","1,100.00","69.30K","0.00%"
"03/03/2020","1,100.00","1,100.00","1,100.00","1,000.00","59.90K","10.00%"
"02/03/2020","1,000.00","1,100.00","1,100.00","1,000.00","34.80K","0.00%"
"28/02/2020","1,000.00","1,100.00","1,100.00","1,000.00","267.50K","-9.09%"
"27/02/2020","1,100.00","1,100.00","1,100.00","1,000.00","183.60K","0.00%"
"26/02/2020","1,100.00","1,000.00","1,100.00","1,000.00","3.10K","10.00%"
"25/02/2020","1,000.00","1,100.00","1,100.00","1,000.00","48.50K","-9.09%"
"24/02/2020","1,100.00","1,000.00","1,100.00","1,000.00","9.60K","10.00%"
"21/02/2020","1,000.00","1,100.00","1,100.00","1,000.00","37.70K","-9.09%"
"20/02/2020","1,100.00","1,100.00","1,200.00","1,000.00","337.10K","0.00%"
"19/02/2020","1,100.00","1,000.00","1,100.00","1,000.00","395.60K","10.00%"
"18/02/2020","1,000.00","1,100.00","1,100.00","1,000.00","28.20K","0.00%"
"17/02/2020","1,000.00","1,000.00","1,100.00","1,000.00","689.60K","0.00%"
"14/02/2020","1,000.00","1,100.00","1,100.00","1,000.00","88.80K","0.00%"
"13/02/2020","1,000.00","1,000.00","1,100.00","1,000.00","107.50K","0.00%"
"12/02/2020","1,000.00","1,000.00","1,100.00","1,000.00","8.60K","0.00%"
"11/02/2020","1,000.00","1,100.00","1,100.00","1,000.00","40.81K","-9.09%"
"10/02/2020","1,100.00","1,000.00","1,100.00","1,000.00","101.30K","10.00%"
"07/02/2020","1,000.00","1,100.00","1,100.00","1,000.00","177.19K","0.00%"
"06/02/2020","1,000.00","900.00","1,100.00","900.00","77.85K","0.00%"
"05/02/2020","1,000.00","1,100.00","1,100.00","900.00","90.33K","0.00%"
"04/02/2020","1,000.00","1,000.00","1,100.00","900.00","175.50K","0.00%"
"03/02/2020","1,000.00","1,100.00","1,100.00","1,000.00","784.70K","-9.09%"
"31/01/2020","1,100.00","1,100.00","1,100.00","1,000.00","145.70K","0.00%"
"30/01/2020","1,100.00","1,000.00","1,100.00","1,000.00","577.90K","0.00%"
