"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/04/2020","37,700.0","37,700.0","37,700.0","34,050.0","-","0.00%"
"20/04/2020","37,700.0","37,700.0","37,700.0","37,700.0","0.10K","9.91%"
"16/04/2020","34,300.0","34,300.0","34,300.0","34,300.0","0.10K","9.94%"
"15/04/2020","31,200.0","31,200.0","31,200.0","31,200.0","0.50K","0.00%"
"16/01/2020","31,200.0","31,200.0","31,200.0","31,200.0","2.80K","-4.00%"
"04/12/2019","32,500.0","32,500.0","32,500.0","32,500.0","-","-9.72%"
"03/12/2019","36,000.0","36,000.0","36,000.0","36,000.0","0.10K","-9.55%"
"02/12/2019","39,800.0","39,800.0","39,800.0","39,800.0","0.10K","-17.08%"
"29/11/2019","48,000.0","48,000.0","48,000.0","48,000.0","-","9.59%"
"28/11/2019","43,800.0","43,800.0","47,300.0","43,500.0","0.90K","1.86%"
"26/11/2019","43,000.0","43,000.0","43,000.0","43,000.0","0.20K","9.69%"
"25/11/2019","39,200.0","39,200.0","39,200.0","39,200.0","0.20K","9.50%"
"22/11/2019","35,800.0","35,800.0","35,800.0","35,800.0","0.10K","9.82%"
"21/11/2019","32,600.0","32,600.0","32,600.0","32,600.0","0.10K","8.67%"
"18/11/2019","30,000.0","30,000.0","30,000.0","30,000.0","0.10K","9.49%"
"14/11/2019","27,400.0","27,400.0","27,400.0","27,400.0","0.10K","-8.67%"
"16/07/2019","30,000.0","30,000.0","30,000.0","30,000.0","-","9.49%"
"11/07/2019","27,400.0","27,400.0","27,400.0","27,400.0","0.30K","0.00%"
"10/07/2019","27,400.0","25,000.0","27,400.0","25,000.0","1.90K","9.60%"
"09/07/2019","25,000.0","24,100.0","25,000.0","24,100.0","0.30K","3.73%"
"08/07/2019","24,100.0","24,100.0","24,100.0","24,100.0","0.10K","9.55%"
"05/07/2019","22,000.0","22,000.0","22,000.0","22,000.0","0.10K","8.91%"
"04/07/2019","20,200.0","20,200.0","20,200.0","20,200.0","0.10K","8.02%"
"03/07/2019","18,700.0","18,700.0","18,700.0","18,700.0","0.20K","8.72%"
"02/07/2019","17,200.0","17,200.0","17,200.0","17,200.0","0.10K","8.86%"
"28/06/2019","15,800.0","15,800.0","15,800.0","15,800.0","1.00K","-9.71%"
"20/06/2019","17,500.0","17,500.0","17,500.0","17,500.0","0.10K","9.38%"
"09/05/2019","16,000.0","16,000.0","16,000.0","16,000.0","1.40K","0.00%"
"08/05/2019","16,000.0","16,000.0","16,000.0","16,000.0","1.60K","0.00%"
"07/05/2019","16,000.0","16,000.0","16,000.0","16,000.0","1.00K","0.00%"
"03/05/2019","16,000.0","16,000.0","16,000.0","16,000.0","0.10K","5.96%"
"17/04/2019","15,100.0","15,100.0","15,100.0","15,100.0","0.10K","9.42%"
"11/04/2019","13,800.0","13,800.0","13,800.0","13,800.0","0.10K","9.52%"
"10/04/2019","12,600.0","12,600.0","12,600.0","12,600.0","0.10K","9.57%"
"09/04/2019","11,500.0","11,500.0","11,500.0","11,500.0","0.10K","9.52%"
"08/04/2019","10,500.0","10,500.0","10,500.0","10,500.0","0.10K","9.38%"
"01/03/2019","9,600.0","9,600.0","9,600.0","9,600.0","0.10K","-4.00%"
"18/01/2019","10,000.0","10,000.0","10,000.0","10,000.0","2.90K","-7.41%"
"17/01/2019","10,800.0","10,800.0","10,800.0","10,800.0","0.10K","-9.24%"
"08/01/2019","11,900.0","11,900.0","11,900.0","11,900.0","0.10K","-9.85%"
"31/10/2018","13,200.0","13,200.0","13,200.0","13,200.0","4.00K","-9.59%"
"30/10/2018","14,600.0","14,600.0","14,600.0","14,600.0","0.10K","-9.88%"
"29/10/2018","16,200.0","16,200.0","16,200.0","16,200.0","0.10K","-10.00%"
"23/10/2018","18,000.0","18,000.0","18,000.0","18,000.0","0.10K","-1.10%"
"28/06/2018","18,200.0","18,200.0","18,200.0","18,200.0","0.10K","0.00%"
"21/06/2018","18,200.0","18,200.0","18,200.0","18,200.0","0.10K","8.33%"
"20/06/2018","16,800.0","16,800.0","16,800.0","16,800.0","0.10K","8.39%"
"19/06/2018","15,500.0","15,500.0","15,500.0","15,500.0","0.10K","6.90%"
"18/06/2018","14,500.0","14,500.0","14,500.0","14,500.0","0.10K","7.41%"
"14/06/2018","13,500.0","13,500.0","13,500.0","13,500.0","0.10K","8.00%"
"12/06/2018","12,500.0","12,500.0","12,500.0","12,500.0","0.20K","0.00%"
"08/06/2018","12,500.0","12,500.0","12,500.0","12,500.0","0.60K","-7.41%"
"18/05/2018","13,500.0","13,500.0","13,500.0","13,500.0","0.20K","-10.00%"
"27/03/2018","15,000.0","15,000.0","15,000.0","15,000.0","1.00K","-13.79%"
"21/02/2018","17,400.0","17,400.0","17,400.0","17,400.0","0.10K","0.00%"
"22/01/2018","17,400.0","17,400.0","17,400.0","17,400.0","1.00K","0.00%"
"15/01/2018","17,400.0","17,400.0","17,400.0","17,400.0","0.10K","-0.57%"
"20/11/2017","17,500.0","17,500.0","17,500.0","17,500.0","0.10K","-6.91%"
"12/09/2017","18,800.0","18,800.0","18,800.0","18,800.0","0.10K","-8.29%"
"05/07/2017","20,500.0","21,000.0","21,400.0","20,500.0","478.30K","3.54%"
"30/06/2017","19,800.0","19,800.0","19,800.0","19,800.0","0.10K","7.03%"
"29/06/2017","18,500.0","18,500.0","18,500.0","18,500.0","0.10K","8.19%"
"02/06/2017","17,100.0","17,100.0","17,100.0","17,100.0","0.10K","-10.00%"
"26/05/2017","19,000.0","16,000.0","19,000.0","16,000.0","7.10K","7.95%"
"23/05/2017","17,600.0","17,600.0","17,600.0","17,600.0","0.70K","10.00%"
"26/04/2017","16,000.0","16,000.0","16,000.0","16,000.0","3.00K","3.23%"
"11/04/2017","15,500.0","15,500.0","15,500.0","15,500.0","0.20K","-8.82%"
"10/04/2017","17,000.0","17,000.0","17,000.0","17,000.0","1.10K","6.25%"
"31/03/2017","16,000.0","16,000.0","16,000.0","16,000.0","1.90K","9.59%"
"21/03/2017","14,600.0","14,600.0","14,600.0","14,600.0","0.10K","0.00%"
"24/02/2017","14,600.0","16,060.0","16,060.0","14,600.0","0.20K","0.00%"
"22/02/2017","14,600.0","14,600.0","14,600.0","14,600.0","0.20K","-9.60%"
"21/02/2017","16,151.0","16,151.0","16,151.0","16,151.0","3.00K","9.94%"
"20/02/2017","14,691.0","14,600.0","16,060.0","14,600.0","10.60K","0.62%"
