"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"24/12/2019","6,800.0","6,800.0","6,800.0","6,800.0","0.10K","-9.33%"
"18/04/2019","7,500.0","7,500.0","7,500.0","7,500.0","1.10K","10.29%"
"10/04/2019","6,800.0","6,800.0","6,800.0","6,800.0","-","-9.33%"
"09/04/2019","7,500.0","7,500.0","7,500.0","7,500.0","0.10K","10.29%"
"15/03/2019","6,800.0","6,800.0","6,800.0","6,800.0","-","0.00%"
"01/03/2019","6,800.0","6,800.0","6,800.0","6,800.0","-","-9.33%"
"28/02/2019","7,500.0","7,500.0","7,500.0","7,500.0","0.10K","8.70%"
"10/10/2018","6,900.0","6,900.0","6,900.0","6,900.0","3.28K","0.00%"
"09/10/2018","6,900.0","6,900.0","6,900.0","6,900.0","11.88K","0.00%"
"22/08/2018","6,900.0","6,900.0","6,900.0","6,900.0","0.33K","0.00%"
"21/08/2018","6,900.0","6,900.0","6,900.0","6,900.0","1.11K","0.00%"
"20/08/2018","6,900.0","6,900.0","6,900.0","6,900.0","0.73K","0.00%"
"13/08/2018","6,900.0","6,900.0","6,900.0","6,900.0","0.49K","0.00%"
"30/07/2018","6,900.0","6,900.0","6,900.0","6,900.0","1.76K","0.00%"
"27/07/2018","6,900.0","6,900.0","6,900.0","6,900.0","2.44K","0.00%"
"26/07/2018","6,900.0","6,900.0","6,900.0","6,900.0","5.80K","0.00%"
"25/07/2018","6,900.0","6,900.0","6,900.0","6,900.0","3.11K","0.00%"
"24/07/2018","6,900.0","6,900.0","6,900.0","6,900.0","1.73K","0.00%"
"20/07/2018","6,900.0","6,900.0","6,900.0","6,900.0","-","0.00%"
"16/07/2018","6,900.0","6,900.0","6,900.0","6,900.0","16.60K","9.52%"
"19/06/2018","6,300.0","6,300.0","6,300.0","6,300.0","-","0.00%"
"18/06/2018","6,300.0","6,300.0","6,300.0","6,300.0","0.10K","-8.70%"
"18/04/2018","6,900.0","6,900.0","6,900.0","6,900.0","-","0.00%"
"30/03/2018","6,900.0","6,900.0","6,900.0","6,900.0","52.50K","9.52%"
"09/06/2017","6,300.0","6,300.0","6,300.0","6,300.0","0.73K","-9.13%"
"08/04/2016","6,933.0","6,933.0","6,933.0","6,933.0","0.10K","9.73%"
"30/03/2016","6,318.0","6,318.0","6,318.0","6,318.0","0.10K","-7.70%"
"24/03/2016","6,845.0","6,845.0","6,845.0","6,845.0","0.10K","-2.49%"
"21/03/2016","7,020.0","7,020.0","7,020.0","7,020.0","0.10K","8.97%"
"18/03/2016","6,442.0","6,442.0","6,442.0","6,442.0","0.20K","-8.23%"
"15/03/2016","7,020.0","7,020.0","7,020.0","7,020.0","0.20K","-5.56%"
"29/02/2016","7,433.0","7,433.0","7,433.0","7,433.0","0.33K","-9.10%"
"25/01/2016","8,177.0","8,177.0","8,177.0","8,177.0","2.10K","10.01%"
"17/12/2015","7,433.0","7,433.0","7,433.0","7,433.0","1.40K","-17.41%"
