"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"24/04/2020","2,800","2,800","2,800","2,800","0.10K","-12.50%"
"28/02/2020","3,200","3,200","3,200","3,200","2.00K","14.29%"
"17/01/2020","2,800","2,800","2,800","2,800","1.00K","-12.50%"
"27/12/2019","3,200","3,200","3,200","3,200","1.00K","-5.88%"
"22/11/2019","3,400","3,400","3,700","3,400","137.70K","-2.86%"
"15/11/2019","3,500","3,500","3,500","3,500","114.60K","2.94%"
"08/11/2019","3,400","3,200","3,400","3,200","44.20K","9.68%"
"01/11/2019","3,100","3,200","3,300","3,100","19.70K","3.33%"
"25/10/2019","3,000","3,400","3,400","2,600","36.10K","0.00%"
"18/10/2019","3,000","3,000","3,000","3,000","1.00K","-6.25%"
"11/10/2019","3,200","2,900","3,200","2,900","0.40K","-5.88%"
"27/09/2019","3,400","3,500","3,500","3,400","5.63K","6.25%"
"20/09/2019","3,200","3,200","3,200","3,200","0.10K","-13.51%"
"13/09/2019","3,700","3,700","3,700","3,700","0.20K","2.78%"
"06/09/2019","3,600","3,600","3,600","3,600","0.10K","2.86%"
"30/08/2019","3,500","3,500","3,500","2,700","4.20K","25.00%"
"09/08/2019","2,800","3,200","3,200","2,800","2.20K","0.00%"
"26/07/2019","2,800","2,800","2,800","2,800","1.00K","0.00%"
"19/07/2019","2,800","2,800","2,800","2,800","1.10K","0.00%"
"05/07/2019","2,800","2,500","2,800","2,500","2.30K","40.00%"
"25/06/2019","2,000","2,000","2,100","1,900","2.20K","0.00%"
"21/06/2019","2,000","2,000","2,000","2,000","0.18K","-9.09%"
"20/06/2019","2,200","2,200","2,200","2,200","4.70K","10.00%"
"17/06/2019","2,000","2,000","2,000","2,000","1.90K","0.00%"
"13/06/2019","2,000","2,000","2,000","2,000","1.08K","0.00%"
"12/06/2019","2,000","2,000","2,100","2,000","4.25K","-9.09%"
"10/06/2019","2,200","2,200","2,200","2,200","2.00K","10.00%"
"07/06/2019","2,000","2,000","2,000","2,000","0.60K","0.00%"
"06/06/2019","2,000","1,900","2,000","1,800","5.61K","0.00%"
"05/06/2019","2,000","1,900","2,000","1,900","2.10K","5.26%"
"04/06/2019","1,900","1,900","1,900","1,900","0.56K","-9.52%"
"03/06/2019","2,100","2,100","2,100","2,100","0.20K","5.00%"
"31/05/2019","2,000","1,900","2,000","1,900","1.10K","0.00%"
"21/05/2019","2,000","2,000","2,000","2,000","0.10K","-9.09%"
"20/05/2019","2,200","2,000","2,200","2,000","1.10K","10.00%"
"17/05/2019","2,000","2,000","2,200","1,900","2.50K","-4.76%"
"15/05/2019","2,100","2,100","2,100","2,100","0.30K","0.00%"
"10/05/2019","2,100","2,100","2,100","2,100","0.10K","-4.55%"
"09/05/2019","2,200","2,200","2,200","2,200","1.00K","-8.33%"
"03/05/2019","2,400","2,200","2,400","2,200","1.20K","9.09%"
"02/05/2019","2,200","2,100","2,200","2,100","0.80K","-4.35%"
"26/04/2019","2,300","2,300","2,500","2,300","5.40K","-8.00%"
